Map,triangle
arena,6
arena,6
arena,29
arena,27
arena,30
arena,21
arena,32
arena,28
arena,24
arena,42
arena,38
arena,38
arena,25
arena,25
arena,32
arena,29
arena,29
arena,34
arena,28
arena,37
arena,27
arena,45
arena,38
arena,6
arena,19
arena,34
arena,22
arena,31
arena,30
arena,22
arena,33
arena,41
arena,15
arena,44
arena,36
arena,35
arena,43
arena,25
arena,24
arena,39
arena,26
arena,37
arena,4
arena,39
arena,18
arena,53
arena,38
arena,31
arena,30
arena,38
arena,38
arena,33
arena,45
arena,22
arena,32
arena,38
arena,36
arena,27
arena,30
arena,25
arena,18
arena,31
arena,21
arena,6
arena2,4
arena2,12
arena2,4
arena2,17
arena2,8
arena2,26
arena2,12
arena2,4
arena2,34
arena2,12
arena2,20
arena2,26
arena2,7
arena2,14
arena2,8
arena2,8
arena2,32
arena2,41
arena2,7
arena2,69
arena2,52
arena2,7
arena2,63
arena2,57
arena2,38
arena2,40
arena2,49
arena2,40
arena2,51
arena2,48
arena2,32
arena2,19
arena2,52
arena2,4
arena2,4
arena2,39
arena2,42
arena2,17
arena2,35
arena2,36
arena2,43
arena2,20
arena2,49
arena2,74
arena2,20
arena2,8
arena2,51
arena2,30
arena2,51
arena2,35
arena2,30
arena2,23
arena2,29
arena2,31
arena2,50
arena2,24
arena2,21
arena2,50
arena2,6
arena2,27
arena2,22
arena2,66
arena2,16
arena2,52
arena2,90
arena2,40
arena2,56
arena2,45
arena2,48
arena2,41
arena2,71
arena2,79
arena2,110
arena2,66
arena2,59
arena2,22
arena2,42
arena2,54
arena2,32
arena2,83
arena2,76
arena2,30
arena2,42
arena2,73
arena2,85
arena2,26
arena2,85
arena2,48
arena2,40
arena2,83
arena2,33
arena2,10
arena2,11
arena2,54
arena2,53
arena2,11
arena2,59
arena2,13
arena2,28
arena2,33
arena2,30
arena2,48
arena2,46
arena2,37
arena2,34
arena2,32
arena2,11
arena2,15
arena2,13
arena2,15
arena2,16
arena2,8
arena2,4
arena2,7
arena2,4
arena2,54
arena2,39
arena2,40
arena2,39
arena2,42
arena2,4
arena2,51
arena2,44
arena2,42
arena2,41
arena2,34
arena2,19
