Map, triangle
AR0011SR,66.63283319
AR0012SR,45.28642220
AR0013SR,44.66760037
AR0014SR,52.62293275
AR0015SR,38.90322581
AR0016SR,41.35492958
AR0017SR,35.31034483
AR0018SR,42.95705521
AR0020SR,52.46857143
AR0041SR,53.59504132
AR0042SR,40.22352941
AR0043SR,39.82291667
AR0044SR,26.98148148
AR0045SR,53.12000000
AR0046SR,37.83439490
AR0070SR,44.52915452
AR0071SR,54.54635762
AR0072SR,39.04204204
AR0201SR,31.25433526
AR0202SR,39.99298738
AR0203SR,38.97656250
AR0204SR,46.35626102
AR0205SR,45.41049383
AR0206SR,42.06792453
AR0300SR,43.69046378
AR0301SR,34.78461538
AR0302SR,34.69902913
AR0303SR,39.88581315
AR0304SR,35.87052342
AR0305SR,38.06097561
AR0306SR,31.98533724
AR0307SR,46.34598214
AR0308SR,59.96411093
AR0309SR,34.29274966
AR0310SR,42.89230769
AR0314SR,37.90526316
AR0316SR,40.82978723
AR0317SR,42.89528796
AR0331SR,46.82584270
AR0400SR,55.54879386
AR0404SR,69.19265306
AR0405SR,44.39457203
AR0406SR,40.05457380
AR0410SR,37.27611940
AR0411SR,37.59453994
AR0412SR,45.82022472
AR0413SR,23.97727273
AR0414SR,63.76418440
AR0418SR,35.61016949
AR0500SR,52.43410214
AR0502SR,33.74117647
AR0503SR,23.71341463
AR0504SR,45.45812808
AR0505SR,50.58656873
AR0506SR,32.07949791
AR0509SR,28.78968254
AR0510SR,44.98140200
AR0511SR,40.83985765
AR0513SR,46.64503817
AR0516SR,37.41530055
AR0517SR,33.22413793
AR0526SR,46.82584270
AR0600SR,60.35977337
AR0601SR,48.62587413
AR0602SR,43.48557354
AR0603SR,45.95694716
AR0604SR,31.59302326
AR0605SR,38.77241379
AR0700SR,51.28617126
AR0701SR,55.17539586
AR0702SR,33.55248619
AR0704SR,33.76923077
AR0705SR,22.57641921
AR0709SR,43.97338403
AR0711SR,27.52918288
