Map,triangle
AR0011SR,80
AR0011SR,51
AR0011SR,67
AR0011SR,52
AR0011SR,65
AR0011SR,79
AR0011SR,39
AR0011SR,43
AR0011SR,43
AR0011SR,77
AR0011SR,70
AR0011SR,55
AR0011SR,115
AR0011SR,61
AR0011SR,65
AR0011SR,110
AR0011SR,92
AR0011SR,128
AR0011SR,120
AR0011SR,110
AR0011SR,148
AR0011SR,100
AR0011SR,72
AR0011SR,145
AR0011SR,85
AR0011SR,93
AR0011SR,70
AR0011SR,83
AR0011SR,74
AR0011SR,72
AR0011SR,78
AR0011SR,83
AR0011SR,111
AR0011SR,46
AR0011SR,106
AR0011SR,86
AR0011SR,100
AR0011SR,110
AR0011SR,99
AR0011SR,105
AR0011SR,82
AR0011SR,83
AR0011SR,87
AR0011SR,71
AR0011SR,76
AR0011SR,62
AR0011SR,48
AR0011SR,36
AR0011SR,65
AR0011SR,67
AR0011SR,73
AR0011SR,77
AR0011SR,17
AR0011SR,46
AR0011SR,64
AR0011SR,67
AR0011SR,97
AR0011SR,86
AR0011SR,73
AR0011SR,67
AR0011SR,42
AR0011SR,48
AR0011SR,94
AR0011SR,97
AR0011SR,89
AR0011SR,81
AR0011SR,79
AR0011SR,66
AR0011SR,85
AR0011SR,81
AR0011SR,97
AR0011SR,61
AR0011SR,29
AR0011SR,41
AR0011SR,32
AR0011SR,36
AR0011SR,100
AR0011SR,56
AR0011SR,45
AR0011SR,34
AR0011SR,46
AR0011SR,69
AR0011SR,107
AR0011SR,131
AR0011SR,128
AR0011SR,120
AR0011SR,73
AR0011SR,69
AR0011SR,70
AR0011SR,48
AR0011SR,63
AR0011SR,97
AR0011SR,99
AR0011SR,102
AR0011SR,93
AR0011SR,108
AR0011SR,121
AR0011SR,110
AR0011SR,86
AR0011SR,68
AR0011SR,66
AR0011SR,46
AR0011SR,58
AR0011SR,70
AR0011SR,58
AR0011SR,69
AR0011SR,76
AR0011SR,56
AR0011SR,53
AR0011SR,69
AR0011SR,114
AR0011SR,74
AR0011SR,66
AR0011SR,96
AR0011SR,56
AR0011SR,60
AR0011SR,56
AR0011SR,52
AR0011SR,45
AR0011SR,69
AR0011SR,60
AR0011SR,59
AR0011SR,57
AR0011SR,48
AR0011SR,58
AR0011SR,50
AR0011SR,40
AR0011SR,52
AR0011SR,54
AR0011SR,54
AR0011SR,52
AR0011SR,45
AR0011SR,40
AR0011SR,48
AR0011SR,39
AR0011SR,48
AR0011SR,70
AR0011SR,73
AR0011SR,39
AR0011SR,40
AR0011SR,87
AR0011SR,61
AR0011SR,69
AR0011SR,88
AR0011SR,44
AR0011SR,52
AR0011SR,37
AR0011SR,115
AR0011SR,30
AR0011SR,30
AR0011SR,118
AR0011SR,135
AR0011SR,98
AR0011SR,104
AR0011SR,87
AR0011SR,121
AR0011SR,86
AR0011SR,104
AR0011SR,90
AR0011SR,81
AR0011SR,77
AR0011SR,44
AR0011SR,30
AR0011SR,78
AR0011SR,74
AR0011SR,87
AR0011SR,38
AR0011SR,64
AR0011SR,92
AR0011SR,85
AR0011SR,83
AR0011SR,88
AR0011SR,98
AR0011SR,89
AR0011SR,89
AR0011SR,125
AR0011SR,74
AR0011SR,103
AR0011SR,82
AR0011SR,22
AR0011SR,79
AR0011SR,52
AR0011SR,32
AR0011SR,73
AR0011SR,67
AR0011SR,66
AR0011SR,84
AR0011SR,76
AR0011SR,72
AR0011SR,82
AR0011SR,72
AR0011SR,84
AR0011SR,75
AR0011SR,50
AR0011SR,76
AR0011SR,65
AR0011SR,64
AR0011SR,84
AR0011SR,89
AR0011SR,98
AR0011SR,72
AR0011SR,103
AR0011SR,65
AR0011SR,88
AR0011SR,90
AR0011SR,38
AR0011SR,64
AR0011SR,49
AR0011SR,49
AR0011SR,45
AR0011SR,122
AR0011SR,98
AR0011SR,118
AR0011SR,36
AR0011SR,37
AR0011SR,42
AR0011SR,104
AR0011SR,123
AR0011SR,126
AR0011SR,36
AR0011SR,23
AR0011SR,19
AR0011SR,21
AR0011SR,35
AR0011SR,64
AR0011SR,47
AR0011SR,33
AR0011SR,36
AR0011SR,34
AR0011SR,6
AR0011SR,30
AR0011SR,47
AR0011SR,22
AR0011SR,10
AR0011SR,31
AR0011SR,27
AR0011SR,125
AR0011SR,127
AR0011SR,117
AR0011SR,124
AR0011SR,105
AR0011SR,88
AR0011SR,98
AR0011SR,81
AR0011SR,166
AR0011SR,16
AR0011SR,29
AR0011SR,20
AR0011SR,23
AR0011SR,24
AR0011SR,24
AR0011SR,6
AR0011SR,21
AR0011SR,21
AR0011SR,100
AR0011SR,102
AR0011SR,106
AR0011SR,114
AR0011SR,113
AR0011SR,24
AR0011SR,36
AR0011SR,28
AR0011SR,38
AR0011SR,32
AR0011SR,56
AR0011SR,48
AR0011SR,28
AR0011SR,21
AR0011SR,43
AR0011SR,36
AR0011SR,50
AR0011SR,45
AR0011SR,26
AR0011SR,66
AR0011SR,67
AR0011SR,12
AR0011SR,48
AR0011SR,66
AR0011SR,44
AR0011SR,45
AR0011SR,35
AR0011SR,43
AR0011SR,35
AR0011SR,4
AR0011SR,34
AR0011SR,60
