Map,triangle
ca_cave,29.46175637
ca_cavern1_haunted,26.17620818
ca_caverns1,27.07185185
ca_caverns1_mines,26.03283582
ca_caverns2,25.46532663
ca_caverns2prc,24.86910995
dr_0_deeproads,27.31789639
dr_dungeon,25.70524017
dr_primevalentrance,28.35611511
dr_primevaltomb,28.45675676
dr_slavers,21.67669173
ht_0_hightown,34.83693046
ht_0_hightown_a2,34.81116390
ht_0_hightown_a3,34.90117647
ht_0_hightown_n,34.65155131
ht_bartrand_n,25.44937833
ht_brothel_n,21.19821826
ht_chantry,21.36395760
ht_chantry_n,21.09712230
ht_keep,20.38423645
ht_keep_n,20.28039702
ht_mansion2,19.72540984
ht_mansion2b,20.08174387
ht_mansion_n,21.52304609
ht_playershouse_n,16.62608696
ht_store,14.71428571
lt_0_lowtown,31.50266809
lt_0_lowtown_a2,32.16013072
lt_0_lowtown_a2_n,32.16398390
lt_0_lowtown_a2_n_c,32.78296703
lt_0_lowtown_a3_n_c,31.72570391
lt_0_lowtown_docks,34.69811321
lt_0_lowtown_docks_a3,34.29362416
lt_0_lowtown_docks_a3_n,34.29362416
lt_0_lowtown_docks_n,34.69811321
lt_0_lowtown_n,31.64386536
lt_backalley_g,28.08415842
lt_backalley_n,28.08415842
lt_darktown,22.63122172
lt_foundry_n,17.81294964
lt_gallowscourtyard,28.67865707
lt_gallowscourtyard_n,29.16585366
lt_gallowsprison_n,30.79411765
lt_gallowstemplar,19.89100817
lt_gallowstemplar_f,18.86764706
lt_gallowstemplar_n,19.65659341
lt_gamlenshouse_n,17.44444444
lt_hangedman,22.03779070
lt_hangedman_n,22.03779070
lt_house,13.89830508
lt_ruinedhouse_n,14.82000000
lt_shop,19.01694915
lt_undercitydungeon,24.08201893
lt_undercityencounter,19.83253589
lt_undercityserialkiller,25.82469136
lt_warehouse,20.23529412
lt_warehouse_n,20.21465969
w_blightlands,51.82706767
w_bonepit,48.83656510
w_bonepitdestroyed_a3,59.28447340
w_bonepitmining_a2,45.32409972
w_encounter1,43.62886598
w_encounter2,66.70945158
w_encounter2_camp,65.25307951
w_encounter3,46.19340659
w_sundermount,50.36274510
w_woundedcoast,39.57092511
