Map, triangle
AcrosstheCape,84.38631144
Aftershock,72.15316524
Archipelago,46.55176471
ArcticStation,88.90106429
Aurora,118.90140117
Backwoods,62.97134047
BigGameHunters,79.88370082
BlackLotus,71.51189128
BlastFurnace,96.64717451
BrokenSteppes,94.75683168
Brushfire,57.52341357
Caldera,103.43354565
CatwalkAlley,113.81786766
Cauldron,84.26068270
CrashSites,80.28934476
CrescentMoon,94.90337909
Crossroads,105.98907003
DarkContinent,84.41270197
Desolation,103.37642276
EbonLakes,62.67027477
Elderlands,115.71779240
Enigma,93.24362856
Entanglement,49.87428881
Eruption,75.87816011
Expedition,114.16754689
FireWalker,74.96150999
FloodedPlains,90.60014488
GhostTown,154.92541197
GladiatorPits,78.78074028
GreenerPastures,106.28919861
Hellfire,73.45816013
HotZone,86.66838148
IceFloes,61.79535519
IceMountain,71.65125059
Inferno,60.68413871
Isolation,87.44742103
JungleSiege,92.48922030
Labyrinth,81.53989297
LakeShore,75.78383336
Legacy,66.04773017
Medusa,64.34996269
Nightshade,87.31371158
NovaStation,70.58365085
Octopus,80.07490301
OrbitalGully,100.09616904
Predators,84.01087903
PrimevalIsles,74.23026681
Ramparts,72.63642298
RedCanyons,97.51983723
RiverLethe,94.29125529
Rosewood,65.23394495
Sanctuary,83.85536859
Sandstorm,61.46876859
SapphireIsles,77.68941504
ShroudPlatform,94.75913694
Sirocco,87.50000000
SpaceAtoll,81.01499893
SpaceDebris,86.07669774
SpringThaw,101.78044227
SteppingStones,62.09412991
TaleofTwoCities,113.97692192
TheFrozenSea,81.79010399
TheHighway,98.60430891
TheatreofWar,67.43566650
ThinIce,66.90701630
Tribes,118.14534289
Triskelion,65.76816685
Turbo,77.91424229
Typhoon,101.88054608
ValleyofRe,60.33901258
WarpGates,59.05878084
WatersEdge,69.61836735
WaypointJunction,99.17322835
WheelofWar,95.83352446
WinterConquest,67.96724138
