Map,NumVertices,M-CdtRegions,VisTime,PointLocationTime,ViaLabelTime,TotalTime,ViaLabelsCheckedAvg,VisibleChecksAvg,ViaLabelsPrunedAvg,NumViaLabels,HubSpaceMB,ViaSpaceMB,TotalSpaceMB
arena,112,55,0.24800000,0.19212500,0.38337500,0.82350000,9.36250000,1.69375000,20.86875000,152106,1.35711670,2.46601295,3.82312965
arena2,1075,547,0.34979548,0.32441335,0.67670614,1.35091496,10.28632939,0.89020452,19.59095802,2934177,26.18244934,47.57023716,73.75268650
brc000d,2353,1331,0.52376471,0.43941176,2.18891765,3.15209412,17.82352941,2.02000000,187.09294118,17753262,118.61607361,287.82411003,406.44018364
brc100d,3334,1918,0.55004899,0.54585024,1.60999300,2.70589223,29.62561232,1.86074178,35.46396081,10487628,66.72512436,170.03028488,236.75540924
brc101d,2646,1534,0.45450285,0.44051932,1.22383787,2.11886004,25.20075997,1.32425586,25.71374288,7962897,52.78940964,129.09817600,181.88758564
brc200d,1322,708,0.71380000,0.39141333,0.89940000,2.00461333,17.74933333,1.67200000,15.30000000,2304015,18.51691818,37.35375881,55.87067699
brc201d,4214,2170,0.41841694,0.43849057,1.06665439,1.92356190,15.13391624,1.51173493,14.93603313,4785303,32.04908371,77.58154964,109.63063335
brc202d,4035,2013,0.36776499,0.41344184,0.87302104,1.65422787,8.09924573,0.90551806,9.02342199,7262417,57.63040543,117.74166965,175.37207508
brc203d,2258,1190,0.45069697,0.43431818,0.89245455,1.77746970,9.16590909,1.11515152,15.79545455,3663810,28.09508133,59.39938545,87.49446678
brc204d,2399,1254,0.41236434,0.44536176,1.19666667,2.05439276,17.28165375,1.81653747,22.37919897,4610626,36.64446259,74.74960518,111.39406776
brc300d,848,483,0.32527869,0.30695082,0.76850820,1.40073770,22.03360656,3.11639344,17.95000000,1002910,6.98087692,16.25964165,23.24051857
brc501d,2853,1601,0.62655474,0.47734307,2.47589781,3.57979562,29.63357664,2.32919708,159.41970803,37258706,244.49303818,604.05540657,848.54844475
brc502d,670,394,0.42434426,0.32213115,1.10614754,1.85262295,23.47336066,3.93442623,85.42418033,1486917,11.90880966,24.10658741,36.01539707
brc503d,4313,2433,0.56176471,0.47049872,1.96641944,2.99868286,21.53644501,1.62723785,133.95716113,31440700,213.62778854,509.73119736,723.35898590
brc504d,5007,2739,0.59015113,0.50187657,1.53982368,2.63185139,18.57115869,1.49055416,24.34382872,14666353,97.98133469,237.77771091,335.75904560
brc505d,3903,2186,0.54633987,0.49581699,2.10326797,3.14542484,25.22287582,1.70915033,115.09673203,20765387,138.89657593,336.65807629,475.55465221
brc997d,1751,1003,0.53316642,0.40768778,1.93022091,2.87107511,22.06185567,2.20618557,172.75699558,9005872,65.06946945,146.00737000,211.07683945
brc999d,782,460,0.48243478,0.32313043,1.26556522,2.07113043,15.09782609,2.97826087,162.56304348,4383587,38.58993149,71.06874371,109.65867519
combat,44,28,0.17687790,0.18188563,0.15440495,0.51316847,3.26275116,0.38021638,6.31066461,611236,8.52600098,9.90964127,18.43564224
combat2,38,22,0.21941267,0.28336940,0.21109737,0.71387944,3.68624420,0.39721793,6.15610510,530639,7.51774597,8.60296535,16.12071133
den000d,3997,2244,0.79096825,0.61382540,1.72834921,3.13314286,9.68809524,1.05238095,33.55952381,17768250,133.02864075,288.06710243,421.09574318
den001d,484,245,0.59274510,0.38807843,0.80764706,1.78847059,12.24117647,1.64705882,26.90980392,908154,8.15587997,14.72341347,22.87929344
den005d,1953,976,0.38422164,0.47262533,0.73474934,1.59159631,8.10488127,0.85817942,3.51385224,1799228,14.73701096,29.16991806,43.90692902
den009d,94,47,0.25660000,0.28000000,0.17850000,0.71510000,4.14500000,0.27000000,0.86000000,30482,0.31914902,0.49418831,0.81333733
den011d,1346,604,0.33692308,0.33597436,0.53587179,1.20876923,9.58846154,1.11794872,8.30641026,1433077,11.88160706,23.23370838,35.11531544
den012d,1541,852,0.39934233,0.35733558,0.75485666,1.51153457,9.52866779,0.94856661,21.96627319,4252252,34.89326096,68.93947983,103.83274078
den020d,369,191,0.19671429,0.24728571,0.31542857,0.75942857,7.14285714,0.85238095,5.15000000,220848,1.93782425,3.58049011,5.51831436
