Map,NumVertices,M-CdtRegions,VisTime,PointLocationTime,ViaLabelTime,TotalTime,ViaLabelsCheckedAvg,VisibleChecksAvg,ViaLabelsPrunedAvg,NumViaLabels,HubSpaceMB,ViaSpaceMB,TotalSpaceMB
AR0011SR,2198,1339,0.64912500,0.69979687,25.44345312,26.79237500,2312.43437500,169.81875000,1894.54687500,223842,0.19791794,3.62903023,3.82694817
AR0012SR,1930,1132,0.51781250,0.62629687,23.24545313,24.38956250,1990.73906250,166.21015625,1245.22265625,130388,0.14330673,2.11391068,2.25721741
AR0013SR,2038,1197,0.59547797,0.83110557,45.43117207,46.85775561,4665.96176226,244.94014963,3822.25935162,232274,0.17798996,3.76573372,3.94372368
AR0014SR,1762,1027,0.64915447,0.81071545,38.22357724,39.68344715,3788.51869919,212.97723577,3164.39024390,190953,0.15876389,3.09581852,3.25458241
AR0015SR,658,368,0.43803543,0.45172303,11.05006441,11.93982287,788.64492754,77.18276973,551.94847021,44832,0.07662582,0.72683716,0.80346298
AR0016SR,690,401,0.44799345,0.45911548,12.80822277,13.71533170,1117.54463554,91.26945127,675.78132678,59037,0.07706833,0.95713520,1.03420353
AR0017SR,622,352,0.38304687,0.41468750,5.99604687,6.79378125,383.77734375,48.96718750,175.11328125,29626,0.05843735,0.48031044,0.53874779
AR0018SR,938,548,0.45646875,0.50834375,20.03078125,20.99559375,1943.88593750,114.38359375,1239.13906250,98029,0.10996628,1.58929157,1.69925785
AR0020SR,330,196,0.48580952,0.37453968,7.07509524,7.93544444,552.30714286,49.72857143,575.26031746,41535,0.06194687,0.67338467,0.73533154
AR0041SR,246,143,0.38100000,0.35587500,1.40965625,2.14653125,99.68437500,11.60937500,139.55000000,30585,0.05297470,0.49585819,0.54883289
AR0042SR,162,104,0.25781250,0.30329687,0.76131250,1.32242187,42.82343750,5.78203125,61.58125000,22011,0.04937363,0.35685253,0.40622616
AR0043SR,188,113,0.35928125,0.33000000,0.71257813,1.40185937,29.33359375,5.91406250,59.07031250,15029,0.04757309,0.24365711,0.29123020
AR0044SR,84,57,0.21546875,0.26562500,0.93668750,1.41778125,48.22968750,7.35781250,45.22578125,13691,0.04407883,0.22196484,0.26604366
AR0045SR,296,184,0.38409375,0.35953125,3.87617187,4.61979688,238.55468750,30.99531250,309.87578125,30654,0.06042099,0.49697685,0.55739784
AR0046SR,318,179,0.34854687,0.33642188,2.38390625,3.06887500,131.60781250,19.77187500,151.00000000,20382,0.05436325,0.33044243,0.38480568
AR0070SR,1364,783,0.47853125,0.54439062,13.74985938,14.77278125,1181.38359375,95.23828125,624.61640625,80730,0.09591293,1.30883217,1.40474510
AR0071SR,1839,1062,0.45748437,0.54776562,16.25385937,17.25910937,1498.45312500,116.88906250,1051.31484375,136961,0.11190414,2.22047520,2.33237934
AR0072SR,670,403,0.41245312,0.44721875,6.43746875,7.29714063,405.42578125,52.69375000,217.68750000,29008,0.05491257,0.47029114,0.52520370
