Map,NumVertices,M-CdtRegions,VisTime,PointLocationTime,ViaLabelTime,TotalTime,ViaLabelsCheckedAvg,VisibleChecksAvg,ViaLabelsPrunedAvg,NumViaLabels,HubSpaceMB,ViaSpaceMB,TotalSpaceMB
16room_000,9882,5520,0.48917204,2.03758065,56.19415054,58.72090323,6169.04677419,284.59838710,2721.87741935,708363,0.38489914,11.48430920,11.86920834
16room_001,9680,5398,0.41804188,1.61113089,41.66581152,43.69498429,4545.91884817,261.41727749,3138.84869110,602885,0.34634018,9.77425098,10.12059116
16room_002,9808,5491,0.53273575,2.20056995,60.85721244,63.59051813,5905.25388601,279.45233161,2897.33678756,703427,0.37466049,11.40428448,11.77894497
16room_003,9768,5446,0.47984536,1.98638144,50.65922680,53.12545361,4827.22319588,269.42628866,2525.20567010,632551,0.36243820,10.25520992,10.61764812
16room_004,9734,5405,0.39711702,1.57531915,45.14355319,47.11598936,5754.27659574,280.90797872,2919.64308511,660387,0.36330795,10.70650005,11.06980801
16room_005,9766,5458,0.42116230,1.62460733,46.86475393,48.91052356,5723.71832461,280.78376963,2605.30418848,649899,0.36256027,10.53646374,10.89902401
16room_006,9768,5437,0.42743158,1.62863158,43.30132632,45.35738947,5204.80894737,276.68000000,2728.11473684,648233,0.36933517,10.50945377,10.87878895
16room_007,9814,5491,0.42776963,1.59527749,44.35502618,46.37807330,5258.86125654,274.25078534,2580.81204188,638030,0.36257553,10.34403801,10.70661354
16room_008,9684,5397,0.41953846,1.58180513,44.58913846,46.59048205,5572.23282051,272.60307692,2495.35487179,634998,0.35375595,10.29488182,10.64863777
16room_009,9784,5487,0.44756614,1.71760847,50.90492063,53.07009524,5705.82962963,282.64867725,2556.30317460,663746,0.36857224,10.76095772,11.12952995
32room_000,2618,1440,0.34271579,0.94248421,16.66706316,17.95226316,1246.78631579,103.72894737,767.58315789,150898,0.16578293,2.44642830,2.61221123
32room_001,2592,1431,0.25071579,0.61220000,12.41298947,13.27590526,1011.31368421,98.67052632,509.33684211,121756,0.14912033,1.97396469,2.12308502
32room_002,2580,1422,0.24873267,0.62352475,11.97130693,12.84356436,1079.08415842,97.17326733,539.36831683,129296,0.15363693,2.09620667,2.24984360
32room_003,2590,1424,0.23951515,0.58484848,11.99941414,12.82377778,1047.19040404,94.16616162,566.04797980,130034,0.15343857,2.10817146,2.26161003
32room_004,2460,1361,0.25200000,0.63161326,13.86228729,14.74590055,1195.65524862,98.80773481,637.78839779,131393,0.15229416,2.13020420,2.28249836
32room_005,2592,1422,0.24274737,0.59905263,13.48515789,14.32695789,1227.41315789,100.24263158,646.95368421,140516,0.16180038,2.27811050,2.43991089
32room_006,2592,1428,0.29204167,0.75652083,14.47237500,15.52093750,1321.01666667,100.77187500,646.73489583,140217,0.15678024,2.27326298,2.43004322
32room_007,2580,1433,0.23578680,0.57887310,12.08225381,12.89691371,1154.68832487,97.71472081,550.00609137,136109,0.15699387,2.20666218,2.36365604
32room_008,2628,1447,0.24608163,0.57943878,11.71646939,12.54198980,989.91071429,95.18163265,455.84081633,121444,0.14866257,1.96890640,2.11756897
32room_009,2596,1423,0.27932020,0.74839409,13.75360591,14.78132020,1228.21724138,100.03793103,683.73743842,136252,0.15354538,2.20898056,2.36252594
64room_000,614,320,0.19794089,0.38004926,4.08426601,4.66225616,240.58029557,34.34926108,165.61576355,29208,0.06325912,0.47353363,0.53679276
64room_001,590,310,0.20436453,0.39123153,3.47359606,4.06919212,185.59261084,32.00591133,76.68275862,20625,0.05347824,0.33438206,0.38786030
64room_002,630,340,0.22593427,0.42476056,5.03994366,5.69063850,294.44413146,37.73849765,115.60892019,29510,0.06501389,0.47842979,0.54344368
64room_003,598,321,0.21495853,0.39969585,4.05589862,4.67055300,237.52903226,34.85437788,137.74700461,26826,0.06129074,0.43491554,0.49620628
64room_004,560,302,0.20359821,0.38137500,3.71484821,4.29982143,217.18437500,32.85758929,97.38303571,21858,0.05460739,0.35437202,0.40897942
64room_005,622,334,0.20090090,0.37936937,3.60485586,4.18512613,201.74144144,33.64459459,107.18108108,25237,0.06017685,0.40915394,0.46933079
64room_006,630,340,0.24244954,0.44551376,5.10578899,5.79375229,286.62798165,37.52844037,157.79770642,31066,0.06733322,0.50365639,0.57098961
64room_007,628,331,0.19581463,0.38320976,3.92803902,4.50706341,236.52536585,34.89317073,94.46000000,24084,0.05831528,0.39046097,0.44877625
64room_008,640,348,0.22322051,0.41605128,4.61801026,5.25728205,265.78000000,38.57538462,123.18974359,30724,0.06960678,0.49811172,0.56771851
64room_009,626,340,0.23024038,0.41924038,4.31300000,4.96248077,236.68221154,34.70961538,98.42067308,25526,0.06037521,0.41383934,0.47421455
8room_000,35320,20134,0.54347423,2.63773196,185.46408247,188.64528866,24715.55824742,827.51958763,13250.73762887,3227382,0.89602280,52.32381248,53.21983528
8room_001,35436,20256,0.55660104,2.74494301,204.54679793,207.84834197,28935.47150259,843.16010363,14678.20362694,3554025,0.91840744,57.61950016,58.53790760
8room_002,35454,20273,0.55366667,2.67350000,199.41019792,202.63736458,27922.74947917,842.08333333,13039.34791667,3385867,0.90209579,54.89324474,55.79534054
8room_003,35292,20114,0.55917277,2.70608377,199.97585340,203.24110995,29158.48743455,835.54345550,12880.43560209,3383831,0.89547348,54.86023617,55.75570965
8room_004,35602,20340,0.57550769,2.75533333,209.08190769,212.41274872,28783.10358974,840.08051282,16191.76923077,3639617,0.93363571,59.00715733,59.94079304
8room_005,35276,20099,0.54991667,2.72518750,194.32075000,197.59585417,26259.94427083,828.36822917,11975.33645833,3176550,0.88676071,51.49970055,52.38646126
8room_006,35322,20165,0.55134375,2.78285417,205.58759375,208.92179167,27935.35781250,843.25000000,13981.12916667,3385223,0.89536667,54.88280392,55.77817059
8room_007,35488,20235,0.56709184,2.81912245,206.67679592,210.06301020,28707.52755102,847.77040816,16057.51938776,3549856,0.92380905,57.55191040,58.47571945
8room_008,35524,20320,0.54038974,2.60743590,180.30130256,183.44912821,25537.47025641,841.56205128,11912.65846154,3230424,0.90029526,52.37313080,53.27342606
