Map,NumVertices,Regions,M-CdtRegions,VisTime,PointLocationTime,ViaLabelTime,TotalTime,ViaLabelsCheckedAvg,VisibleChecksAvg,ViaLabelsPrunedAvg,NumViaLabels,HubSpaceMB,ViaSpaceMB,AuxSpaceMB,MeshSpaceMB,TotalSpaceMB,Cost/ViaLabels
ca_cave,707,80084,372,0.45613333,0.96990000,0.48996667,1.91600000,3.20500000,0.00000000,2.04000000,2020569,31.05733871,32.75840092,0.30549622,6.50954151,70.63077736,1.00000000
dr_primevalentrance,536,87184,274,0.35497778,1.04720000,0.45788889,1.86006667,3.78444444,0.00000000,1.25888889,2641919,36.29073715,42.83201504,0.33258057,7.21823692,86.67356968,1.00000000
dr_slavers,728,94470,293,0.33305263,1.21536842,0.59917895,2.14760000,6.53263158,0.00000000,5.49368421,4032554,48.83876419,65.37763405,0.36037445,7.95237732,122.52915001,1.00000000
ht_brothel_n,846,92158,432,0.36566667,1.04729630,0.52725926,1.94022222,7.72222222,0.00000000,5.40370370,3046028,41.60840225,49.38361740,0.35155487,7.57465172,98.91822624,1.00000000
ht_chantry,510,53727,271,0.32697872,0.95800000,0.50727660,1.79225532,8.54468085,0.00000000,7.78297872,2279567,27.49692535,36.95739651,0.20495224,4.38467503,69.04394913,1.00000000
ht_chantry_n,500,52364,267,0.37723404,1.00893617,0.62068085,2.00685106,7.92127660,0.00000000,10.40638298,2044837,25.30540085,33.15184498,0.19975281,4.27030754,62.92730618,1.00000000
ht_keep,788,70592,396,0.33165000,1.16220000,0.56785000,2.06170000,6.87875000,0.00000000,7.68250000,2486072,32.24323654,40.30535126,0.26928711,5.80757332,78.62544823,1.00000000
ht_keep_n,782,70028,394,0.52122500,1.61037500,0.79315000,2.92475000,6.72125000,0.00000000,7.07125000,2500388,32.32293320,40.53744888,0.26713562,5.76030827,78.88782597,1.00000000
ht_playershouse_n,226,10257,109,0.28757895,0.63094737,0.30373684,1.22226316,4.79210526,0.00000000,1.22894737,188410,2.75117493,3.05459023,0.03912735,0.71870041,6.56359291,1.00000000
ht_store,42,1419,19,0.21342857,0.46542857,0.11542857,0.79428571,2.04285714,0.00000000,2.91428571,17011,0.24958038,0.27579021,0.00541306,0.08623600,0.61701965,1.00000000
lt_backalley_g,400,68553,189,0.32548837,0.92958140,0.37186047,1.62693023,4.34651163,0.00000000,2.66511628,1835166,27.84327698,29.75256157,0.26150894,5.66272640,63.52007389,1.00000000
