Map,NumVertices,Regions,M-CdtRegions,VisTime,PointLocationTime,ViaLabelTime,TotalTime,ViaLabelsCheckedAvg,VisibleChecksAvg,ViaLabelsPrunedAvg,NumViaLabels,HubSpaceMB,ViaSpaceMB,AuxSpaceMB,MeshSpaceMB,TotalSpaceMB,Cost/ViaLabels
64room_000,614,29265,320,0.20312315,0.94832512,0.56029557,1.71174384,8.58768473,0.00000000,11.58374384,1046998,13.61103821,16.97441673,0.11163712,2.36127090,33.05836296,1.00000000
64room_001,590,24205,310,0.20338916,0.87116256,0.44962562,1.52417734,7.02315271,0.00000000,4.51773399,615000,8.63276672,9.97066498,0.09233475,1.92727757,20.62304401,1.00000000
64room_002,630,31718,340,0.21498592,1.04853521,0.64413146,1.90765258,11.35446009,0.00000000,7.74741784,1093311,14.20044327,17.72526455,0.12099457,2.57147598,34.61817837,1.00000000
64room_003,598,27051,321,0.21202765,0.96385253,0.55429493,1.73017512,8.88294931,0.00000000,8.59769585,904684,11.73899078,14.66715622,0.10319138,2.16938972,28.67872810,1.00000000
64room_004,560,22573,302,0.21272321,0.93000000,0.52311607,1.66583929,8.84419643,0.00000000,6.27053571,663773,8.89051819,10.76139545,0.08610916,1.78511047,21.52313328,1.00000000
64room_005,622,28045,334,0.21142342,0.98862162,0.55490991,1.75495495,7.31576577,0.00000000,5.77072072,905976,12.06477356,14.68810272,0.10698318,2.25372314,29.11358261,1.00000000
64room_006,630,30104,340,0.21927523,0.96826606,0.60867890,1.79622018,9.64678899,0.00000000,9.50504587,1105173,14.81505966,17.91757679,0.11483765,2.43217278,35.27964687,1.00000000
64room_007,628,25814,331,0.21356098,0.93257561,0.54307317,1.68920976,9.74000000,0.00000000,6.97951220,738929,9.94856644,11.97985935,0.09847260,2.06122494,24.08812332,1.00000000
64room_008,640,34085,348,0.21548718,1.06598974,0.62077949,1.90225641,9.70256410,0.00000000,8.08512821,1213318,15.70576477,19.67087364,0.13002396,2.77383614,38.28049850,1.00000000
64room_009,626,28090,340,0.27129808,1.47200962,0.73657692,2.47988462,9.39663462,0.00000000,6.32451923,865684,11.42966080,14.03487015,0.10715485,2.25784397,27.82952976,1.00000000
