Map,NumVertices,Regions,M-CdtRegions,VisTime,PointLocationTime,ViaLabelTime,TotalTime,ViaLabelsCheckedAvg,VisibleChecksAvg,ViaLabelsPrunedAvg,NumViaLabels,HubSpaceMB,ViaSpaceMB,AuxSpaceMB,MeshSpaceMB,TotalSpaceMB,Cost/ViaLabels
arena,112,26642,55,0.49650000,0.97925000,0.62475000,2.10050000,9.94375000,0.00000000,0.68750000,351695,16.72726059,5.36643982,0.22913361,2.13285255,24.45568657,0.27949817
combat,44,1269,28,0.27109737,0.52145286,0.24976816,1.04231839,5.53941267,0.00000000,0.15765070,11040,0.43976593,0.16845703,0.01127625,0.07852173,0.69802094,0.35806439
combat2,38,1047,22,0.14899536,0.34714065,0.18231839,0.67845440,6.36939722,0.00000000,0.10819165,8121,0.33121490,0.12391663,0.00930023,0.06249809,0.52692986,0.35721868
den009d,94,3265,47,0.31710000,0.50920000,0.25910000,1.08540000,3.04500000,0.00000000,0.00000000,15697,0.78663635,0.23951721,0.02851105,0.21485519,1.26951981,0.31754982
den020d,369,32274,191,0.42490476,0.98204762,0.60109524,2.00804762,4.75714286,0.00000000,0.04761905,306383,15.70923615,4.67503357,0.28271866,2.55357265,23.22056103,0.31630247
den101d,162,9063,87,0.37718182,0.62581818,0.36418182,1.36718182,3.53636364,0.00000000,0.04090909,68050,3.26320648,1.03836060,0.07932281,0.63073635,5.01162624,0.32027092
den201d,70,3072,39,0.17436364,0.34872727,0.16690909,0.69000000,3.12727273,0.00000000,0.02727273,18354,0.87392807,0.28005981,0.02723694,0.20166302,1.38288784,0.35022431
den202d,84,5370,47,0.23900000,0.35542857,0.19657143,0.79100000,3.87857143,0.00000000,0.15000000,41423,2.07331467,0.63206482,0.04720306,0.36381531,3.11639786,0.32541056
den203d,314,14507,160,0.40400000,0.63258824,0.41188235,1.44847059,5.85294118,0.00000000,0.04117647,122278,5.73292542,1.86581421,0.12739563,1.04979801,8.77593327,0.32636653
den206d,362,19366,188,0.25149923,0.54955178,0.36139104,1.16244204,7.35703246,0.00000000,0.06027821,149639,7.98604965,2.28330994,0.16883087,1.47016621,11.90835667,0.31396637
den207d,100,8816,50,0.19175000,0.67450000,0.38575000,1.25200000,3.16875000,0.00000000,0.08750000,67765,3.42937851,1.03401184,0.07669067,0.61843204,5.15851307,0.30495305
den308d,396,60610,204,0.24929032,0.67612903,0.39103226,1.31645161,4.25483871,0.00000000,0.00645161,624552,35.32839966,9.52990723,0.52785873,4.93069553,50.31686115,0.30431376
den312d,362,30640,180,0.25812500,0.50912500,0.29775000,1.06500000,3.27812500,0.00000000,0.07500000,249404,13.18565369,3.80560303,0.26718521,2.42138577,19.67982769,0.30817533
den403d,166,10728,80,0.17809091,0.46445455,0.24490909,0.88745455,4.87727273,0.00000000,0.06818182,80551,3.87876511,1.22911072,0.09378052,0.76585293,5.96750927,0.31623693
den404d,68,1330,35,0.08230769,0.28276923,0.15369231,0.51876923,2.73846154,0.00000000,0.00000000,5436,0.25220108,0.08294678,0.01167297,0.07775211,0.42457294,0.33417493
den405d,136,7580,67,0.24711111,0.46844444,0.24633333,0.96188889,3.66666667,0.00000000,0.00555556,36575,1.87483597,0.55809021,0.06568146,0.52743530,3.02604294,0.30769670
den407d,114,8555,64,0.22200000,0.39285714,0.26042857,0.87528571,5.12142857,0.00000000,0.04285714,54117,2.80761719,0.82575989,0.07432556,0.59554195,4.30324459,0.30718675
den408d,122,14679,65,0.31071429,0.40042857,0.13057143,0.84171429,1.53571429,0.00000000,0.18571429,115840,6.30105209,1.76757812,0.12804794,1.08441830,9.28109646,0.30586060
den998d,333,45672,190,0.24492308,0.58369231,0.45761538,1.28623077,7.78846154,0.00000000,0.08461538,515116,28.16489792,7.86004639,0.39717102,3.68181992,40.10393524,0.30158017
hrt001d,442,97140,234,0.32229412,0.72223529,0.47905882,1.52358824,5.72058824,0.00000000,0.17352941,1113248,62.34540176,16.98681641,0.84226227,8.09851837,88.27299881,0.29464128
hrt002d,194,12843,100,0.24748899,0.39911894,0.26669604,0.91330396,4.07488987,0.00000000,0.03524229,98122,5.05667877,1.49722290,0.11206818,0.92491627,7.59088612,0.31098058
isound1,20,82,11,0.11936364,0.23381818,0.05754545,0.41072727,0.94545455,0.00000000,0.00000000,218,0.00756073,0.00332642,0.00070572,0.00377178,0.01536465,0.39249147
lak101d,52,1629,25,0.28250000,0.47350000,0.09825000,0.85425000,1.02500000,0.00000000,0.00000000,6593,0.31297302,0.10060120,0.01422882,0.09880924,0.52661228,0.32360781
lak102d,90,2613,42,0.16938462,0.35292308,0.26430769,0.78661538,5.38461538,0.00000000,0.54615385,14564,0.72366333,0.22222900,0.02295685,0.16646481,1.13531399,0.33082328
lak103d,136,6022,67,0.23581081,0.46770270,0.27114865,0.97466216,3.60810811,0.00000000,0.02702703,38147,1.83535767,0.58207703,0.05271530,0.41264153,2.88279152,0.32364358
lak104d,100,6740,52,0.20584615,0.65753846,0.51723077,1.38061538,6.29230769,0.00000000,0.11538462,37432,1.88667679,0.57116699,0.05846405,0.46751785,2.98382568,0.30552672
lak105d,91,3680,43,0.11580000,0.32000000,0.19580000,0.63160000,4.75000000,0.00000000,0.02000000,24815,1.22530746,0.37864685,0.03216553,0.24440861,1.88052845,0.31940332
lak106d,215,40726,111,0.30744000,0.71528000,0.39720000,1.41992000,2.90400000,0.00000000,0.00800000,463652,21.99502945,7.07476807,0.35301208,3.29688835,32.71969795,0.29237150
lak107d,56,1601,28,0.12836364,0.29327273,0.13490909,0.55654545,2.07272727,0.00000000,0.00909091,6560,0.30515671,0.10009766,0.01402664,0.09813595,0.51741695,0.33269031
lak108d,72,2468,33,0.14444444,0.30333333,0.10577778,0.55355556,1.71111111,0.00000000,0.00000000,11631,0.59240341,0.17747498,0.02139282,0.15910912,0.95038033,0.30829279
lak109d,96,3199,58,0.49200000,0.56876923,0.28123077,1.34200000,2.26153846,0.00000000,0.00000000,17331,0.84992981,0.26445007,0.02813721,0.20601463,1.34853172,0.34087434
lak110d,36,502,16,0.21285714,0.30257143,0.09914286,0.61457143,1.22857143,0.00000000,0.11428571,1866,0.08010483,0.02847290,0.00441742,0.02782345,0.14081860,0.35318155
lak202d,629,71840,325,0.27914286,0.73697143,0.41745714,1.43357143,6.77571429,0.00000000,0.00714286,631477,33.50239944,9.63557434,0.62253571,5.90243435,49.66294384,0.29749320
lak203d,447,50353,201,0.25841176,0.60258824,0.30411765,1.16511765,2.79411765,0.00000000,0.01470588,388365,21.95534134,5.92597961,0.43633652,4.08694458,32.40460205,0.29438781
lak507d,300,93782,157,0.38372727,0.90454545,0.26281818,1.55109091,1.41818182,0.00000000,0.01363636,1024076,62.25769043,15.62615967,0.81161118,7.75445080,86.44991207,0.29044782
lak515d,200,77846,109,0.91421053,0.99715789,0.20052632,2.11189474,1.71578947,0.00000000,0.02631579,1330602,66.84420395,20.30337524,0.67737579,6.45818710,94.28314209,0.30152010
lak526d,212,16919,120,0.38545455,0.63281818,0.41163636,1.42990909,2.70000000,0.00000000,0.06363636,136514,7.16696548,2.08303833,0.14914322,1.26635170,10.66549873,0.33373225
lgt101d,128,7474,71,0.26030769,0.42369231,0.36138462,1.04538462,7.96153846,0.00000000,0.01538462,62537,3.03113937,0.95423889,0.06575775,0.50969505,4.56083107,0.33145746
lgt605d,230,43580,136,0.71570370,1.01674074,0.39370370,2.12614815,2.59259259,0.00000000,0.08148148,519148,29.07830429,7.92156982,0.38471985,3.48371506,40.86830902,0.33171430
orz000d,252,34271,111,0.23238095,0.71137566,0.51698413,1.46074074,7.21164021,0.00000000,0.06613757,350816,17.71995544,5.35302734,0.29570007,2.78288078,26.15156364,0.28781939
orz101d,200,17441,105,0.26182609,0.48191304,0.30234783,1.04608696,5.54347826,0.00000000,0.06521739,134688,7.07816315,2.05517578,0.15200806,1.32174110,10.60708809,0.30958952
orz102d,84,3885,38,0.25923077,0.39415385,0.18892308,0.84230769,2.45384615,0.00000000,0.02307692,21736,1.10496140,0.33166504,0.03372574,0.26341152,1.73376369,0.30509646
orz105d,110,5433,56,0.19760000,0.44333333,0.23386667,0.87480000,3.10666667,0.00000000,0.04000000,33024,1.73836899,0.50390625,0.04747391,0.36694050,2.65668964,0.31951456
orz106d,60,2813,28,0.33075000,0.44950000,0.15925000,0.93950000,2.71250000,0.00000000,0.07500000,16175,0.81858063,0.24681091,0.02458191,0.18360710,1.27358055,0.31506505
orz107d,82,3701,40,0.25283333,0.49866667,0.10683333,0.85833333,1.03333333,0.00000000,0.05833333,16665,0.84634399,0.25428772,0.03208160,0.24786949,1.38058281,0.30620294
orz201d,136,8069,60,0.14653333,0.44826667,0.23133333,0.82613333,3.14666667,0.00000000,0.01333333,45267,2.29670715,0.69071960,0.07045746,0.55743694,3.61532116,0.31654637
orz203d,36,699,19,0.22700000,0.30075000,0.03525000,0.56300000,0.70000000,0.00000000,0.00000000,2530,0.11209488,0.03860474,0.00610733,0.03857040,0.19537735,0.33685082
orz302d,444,67757,225,0.24111538,0.67500000,0.37780769,1.29392308,5.29615385,0.00000000,0.02500000,529576,29.79076004,8.08068848,0.58585739,5.58278751,44.04009342,0.29448705
orz304d,464,73768,251,0.25133333,0.81442857,0.56704762,1.63280952,6.18095238,0.00000000,0.05476190,718756,39.40509796,10.96734619,0.64078903,6.11469555,57.12792873,0.30048681
orz601d,292,26810,141,0.42700000,0.91661538,0.62592308,1.96953846,5.07692308,0.00000000,0.01538462,199811,11.56902695,3.04887390,0.23172760,2.12637234,16.97600079,0.29208076
orz704d,154,33546,79,0.27570000,0.63660000,0.23990000,1.15220000,2.22500000,0.00000000,0.05000000,379964,20.41194534,5.79779053,0.29045105,2.70506668,29.20525360,0.29298612
ost102d,38,669,18,0.20971429,0.32457143,0.08428571,0.61857143,1.34285714,0.00000000,0.00000000,2320,0.10560608,0.03540039,0.00582123,0.03693485,0.18376255,0.31880584
oth999d,6,6,2,0.06826667,0.13720000,0.00120000,0.20666667,0.02666667,0.00000000,0.00000000,10,0.00025558,0.00015259,0.00005341,0.00025749,0.00071907,0.50000000
rmtst,409,83598,215,0.25774468,0.68931915,0.49319149,1.44025532,7.28085106,0.00000000,0.61914894,855423,46.60857773,13.05271912,0.72385406,6.96580029,67.35095119,0.29412513
rmtst01,393,79489,205,0.23157447,0.68174468,0.51302128,1.42634043,8.15531915,0.00000000,0.76170213,794279,43.51520920,12.11973572,0.68750381,6.62171841,62.94416714,0.29136373
rmtst03,413,84157,213,0.36076596,0.92025532,0.73953191,2.02055319,8.75957447,0.00000000,0.56170213,866278,47.29270554,13.21835327,0.72824478,7.02042389,68.25972748,0.29265573
