Map,NumVertices,Regions,M-CdtRegions,VisTime,PointLocationTime,ViaLabelTime,TotalTime,ViaLabelsCheckedAvg,VisibleChecksAvg,ViaLabelsPrunedAvg,NumViaLabels,HubSpaceMB,ViaSpaceMB,AuxSpaceMB,MeshSpaceMB,TotalSpaceMB,Cost/ViaLabels
AR0041SR,246,49433,143,0.47825000,1.31493750,0.15884375,1.95203125,0.88125000,0.00000000,0.02500000,214148,30.74424362,3.26763916,0.47189713,4.05657959,38.54035950,0.07760292
AR0042SR,162,40997,104,0.28437500,1.01329687,0.10281250,1.40048437,1.07421875,0.00000000,0.01640625,167201,21.99359894,2.55128479,0.38581848,3.38366795,28.31437016,0.07352743
AR0043SR,188,37812,113,0.31420313,1.11523437,0.13290625,1.56234375,0.72500000,0.00000000,0.01718750,144778,19.12689590,2.20913696,0.35456085,3.08900356,24.77959728,0.07572435
AR0044SR,84,16359,57,0.23046875,0.94398438,0.19834375,1.37279688,3.28203125,0.00000000,0.05703125,80308,8.20815659,1.22540283,0.15563583,1.27011585,10.85931110,0.08363398
AR0046SR,318,74952,179,0.43415625,1.67467187,0.34714062,2.45596875,2.10156250,0.00000000,0.04375000,268498,37.98544312,4.09695435,0.69414139,6.29072857,49.06726742,0.07212104
AR0201SR,350,28993,214,0.35362500,1.10735937,0.43679688,1.89778125,4.03281250,0.00000000,0.01328125,118373,11.77070618,1.80622864,0.28774261,2.31931877,16.18399620,0.10988501
AR0203SR,256,49385,149,0.29954687,1.15514062,0.32373437,1.77842187,2.85859375,0.00000000,0.02656250,156072,20.33325958,2.38146973,0.45172119,4.09562778,27.26207829,0.07245000
AR0310SR,256,74424,154,0.28571700,1.71589744,0.46180437,2.46341880,3.17853751,0.00000000,0.07502374,292169,41.51897049,4.45814514,0.68785858,6.27335644,52.93833065,0.07177757
AR0331SR,356,58644,220,0.36083904,2.17785959,0.92402397,3.46272260,6.99229452,0.00000000,0.03339041,281193,36.12923050,4.29066467,0.56938934,4.87737274,45.86665726,0.08886339
AR0410SR,272,56270,160,0.38704446,1.77886661,0.56939843,2.73530950,3.29555362,0.00000000,0.01394943,199080,26.64015961,3.03771973,0.52417374,4.69915390,34.90120697,0.07575350
AR0413SR,352,22114,215,0.26654687,1.01945313,0.48887500,1.77487500,6.06796875,0.00000000,0.02500000,90842,9.37892151,1.38613892,0.21644211,1.74352074,12.72502327,0.10582502
AR0418SR,122,13498,71,0.18993135,0.67581236,0.02199085,0.88773455,0.18306636,0.00000000,0.00686499,37738,4.22138214,0.57583618,0.12401199,1.01564598,5.93687630,0.07795219
AR0502SR,336,80620,187,0.33138280,1.71863406,0.62069140,2.67070826,4.98145025,0.00000000,0.04468803,287440,38.52486038,4.38598633,0.74106598,6.84426117,50.49617386,0.07309950
AR0503SR,316,40222,183,0.31299320,1.17027211,0.49399660,1.97726190,4.45068027,0.00000000,0.04166667,147450,16.89040756,2.24990845,0.37659454,3.33105373,22.84796429,0.08387102
AR0517SR,120,12235,62,0.23561421,0.83248731,0.06343147,1.13153299,0.42639594,0.00000000,0.00507614,33459,3.70671463,0.51054382,0.11247635,0.91041279,5.24014759,0.07708037
AR0526SR,356,58644,220,0.35255137,1.73654110,0.78731164,2.87640411,6.99229452,0.00000000,0.03339041,281193,36.12923050,4.29066467,0.56938934,4.87737274,45.86665726,0.08886339
AR0705SR,864,64236,471,0.33067187,1.93354688,0.77151563,3.03573438,6.73203125,0.00000000,0.08671875,269387,29.05229568,4.11051941,0.61716461,5.29527569,39.07525539,0.09600299
AR0711SR,502,64051,290,0.35668750,1.42468750,0.61085937,2.39223438,5.40312500,0.00000000,0.03671875,249350,29.74724197,3.80477905,0.60033035,5.33547211,39.48782349,0.08132893
