Map,NumVertices,Regions,M-CdtRegions,VisTime,PointLocationTime,ViaLabelTime,TotalTime,ViaLabelsCheckedAvg,VisibleChecksAvg,ViaLabelsPrunedAvg,NumViaLabels,HubSpaceMB,ViaSpaceMB,AuxSpaceMB,MeshSpaceMB,TotalSpaceMB,Cost/ViaLabels
arena,112,275,55,0.26950000,0.29325000,1.37987500,1.94262500,84.55000000,8.12500000,85.65000000,30371,0.16468048,0.49238873,0.00104904,0.01937389,0.67749214,1.00000000
arena2,1075,2722,547,0.39470398,0.51347686,2.94344456,3.85162540,166.50914962,15.53283100,213.58988159,496011,2.64896011,8.04156017,0.01038361,0.22452641,10.92543030,1.00000000
brc000d,2353,6638,1331,0.92425882,1.54581176,16.62665882,19.09672941,929.24941176,44.05411765,3322.56000000,7756311,21.89935684,125.74890804,0.02532196,0.57691383,148.25050068,1.00000000
brc100d,3334,9572,1918,0.53739678,0.91626312,5.78362491,7.23728481,394.28691393,24.83135059,319.34639608,4577982,14.64992905,74.22036552,0.03651428,0.82411766,89.73092651,1.00000000
brc101d,2646,7667,1534,0.62848638,1.05727676,6.21787207,7.90363521,469.40468651,20.05953135,321.88980367,3017435,9.95679474,48.92005444,0.02924728,0.63871861,59.54481506,1.00000000
brc200d,1322,3502,708,0.61673333,0.46261333,2.42928000,3.50862667,111.32000000,15.53066667,50.45600000,585033,2.90668106,9.48482609,0.01335907,0.29358387,12.69845009,1.00000000
brc201d,4214,10210,2170,0.55409112,1.01034514,3.80201565,5.36645191,195.65991717,14.03175334,116.03589508,1795203,7.04263687,29.10466290,0.03894806,0.82002258,37.00627041,1.00000000
brc202d,4035,9972,2013,0.45506947,0.86115919,4.09291782,5.40914649,203.21595871,20.24454148,172.07066296,2072762,9.43061447,33.60457802,0.03804016,0.86536884,43.93860149,1.00000000
brc203d,2258,5885,1190,0.50316667,0.67495455,3.95633333,5.13445455,174.45000000,19.36893939,250.99469697,1204405,5.61242676,19.52637196,0.02244949,0.50043201,25.66168022,1.00000000
brc204d,2399,6227,1254,0.46135659,0.80428941,4.70078811,5.96643411,243.14018088,21.63436693,269.23708010,1466874,6.79039764,23.78164101,0.02375412,0.52773666,31.12352943,1.00000000
brc300d,848,2415,483,0.35773770,0.43806557,2.72555738,3.52136066,180.71967213,15.83770492,41.53606557,405261,1.70185089,6.57027912,0.00921249,0.18988705,8.47122955,1.00000000
brc501d,2853,7978,1601,0.84080292,1.19264234,17.48969343,19.52313869,1566.09562044,64.98394161,2904.77153285,11548722,25.79651260,187.23323250,0.03043365,0.70052242,213.76070118,1.00000000
brc502d,670,1966,394,0.47434426,0.47250000,3.78106557,4.72790984,237.42213115,19.60860656,456.09836066,568455,2.19707108,9.21605587,0.00749969,0.15660667,11.57723331,1.00000000
brc503d,4313,12047,2433,0.79684143,1.26524297,22.25815857,24.32024297,2036.13427110,83.73976982,2984.63810742,9215250,25.81143951,149.40190315,0.04595566,1.07579708,176.33509541,1.00000000
brc504d,5007,13550,2739,0.73227960,1.13440806,7.58318640,9.44987406,446.49307305,31.84445844,369.63035264,5647138,20.37710953,91.55401802,0.05168915,1.21790981,113.20072651,1.00000000
brc505d,3903,10866,2186,0.72095425,1.08767320,15.21452288,17.02315033,1276.04967320,52.55294118,1431.24248366,7583418,22.32844925,122.94588661,0.04145050,0.96628952,146.28207588,1.00000000
brc997d,1751,5011,1003,0.91944035,1.51799705,19.77425626,22.21169367,1200.31369661,61.53755523,2606.08247423,3691774,11.59416962,59.85275078,0.01911545,0.42698288,71.89301872,1.00000000
brc999d,782,2294,460,0.58739130,0.53413043,7.84995652,8.97147826,495.07391304,43.75434783,1869.02173913,1459431,5.25078201,23.66097164,0.00875092,0.19033337,29.11083794,1.00000000
combat,44,128,28,0.23366306,0.29854714,0.95051005,1.48272025,45.75734158,7.30293663,27.22720247,5165,0.03756332,0.08373737,0.00048828,0.00805187,0.12984085,1.00000000
combat2,38,105,22,0.15335394,0.23119011,0.89910355,1.28364760,49.48840804,8.33539413,21.24729521,3942,0.02822876,0.06390953,0.00040054,0.00633049,0.09886932,1.00000000
den000d,3997,11189,2244,0.76566667,0.99036508,10.34292063,12.09895238,650.36111111,47.20634921,1201.48333333,5666986,20.02796936,91.87580299,0.04268265,0.97077751,112.91723251,1.00000000
den001d,484,1207,245,0.46580392,0.42909804,2.85513725,3.75003922,128.45686275,16.91764706,203.89803922,162135,0.90703583,2.62860775,0.00460434,0.09209728,3.63234520,1.00000000
den005d,1953,4828,976,0.36134565,0.58399736,2.12833773,3.07368074,91.67810026,13.05870712,42.40831135,456086,2.75440598,7.39427757,0.01841736,0.39284325,10.55994415,1.00000000
den009d,94,234,47,0.26550000,0.33930000,1.01090000,1.61570000,45.30500000,9.70000000,9.00000000,5901,0.05305862,0.09566975,0.00089264,0.01484203,0.16446304,1.00000000
den011d,1346,3001,604,0.38925641,0.51948718,2.04746154,2.95620513,88.65256410,11.42307692,58.40641026,353416,1.90036011,5.72974396,0.01144791,0.24753094,7.88908291,1.00000000
den012d,1541,4247,852,0.53173693,0.87505902,5.14684654,6.55364250,248.17622260,24.41146712,364.38111298,1196070,5.15148163,19.39124107,0.01620102,0.35943985,24.91836357,1.00000000
den020d,369,938,191,0.22095238,0.37176190,1.19876190,1.79147619,63.40000000,8.73571429,14.91190476,58995,0.37671280,0.95645428,0.00357819,0.06623363,1.40297890,1.00000000
den101d,162,427,87,0.31990909,0.34963636,0.74181818,1.41136364,20.58181818,3.92727273,17.23181818,17993,0.13553619,0.29171085,0.00162888,0.02888775,0.45776367,1.00000000
den200d,1270,3415,688,0.42418338,0.57386819,3.44955110,4.44760267,163.60076409,17.40401146,193.94746896,578874,2.89286041,9.38497353,0.01302719,0.28376484,12.57462597,1.00000000
den200n,1309,3569,717,0.38483748,0.52372849,2.70118547,3.60975143,130.59369025,13.66634799,132.79923518,687458,3.34783936,11.14538765,0.01361465,0.29623795,14.80307961,1.00000000
den201d,70,190,39,0.21690909,0.27490909,0.65981818,1.15163636,22.49090909,3.60000000,26.40909091,6011,0.04831314,0.09745312,0.00072479,0.01244259,0.15893364,1.00000000
den202d,84,233,47,0.30200000,0.30214286,0.79785714,1.40200000,31.86428571,5.48571429,17.44285714,10337,0.07450867,0.16758823,0.00088882,0.01495934,0.25794506,1.00000000
den203d,314,780,160,0.35511765,0.40482353,1.10023529,1.86017647,39.34705882,5.44117647,9.98823529,40442,0.27662277,0.65566444,0.00297546,0.05417156,0.98943424,1.00000000
den204d,207,524,106,0.31238938,0.36265487,2.71442478,3.38946903,179.68141593,16.65929204,157.10619469,97906,0.42405319,1.58729744,0.00199890,0.03864384,2.05199337,1.00000000
den206d,362,905,188,0.26556414,0.37619784,1.24732612,1.88908810,71.69706337,8.59041731,25.60432767,44333,0.33441162,0.71874714,0.00345230,0.06423378,1.12084484,1.00000000
den207d,100,247,50,0.12812500,0.29925000,0.72437500,1.15175000,18.20000000,5.09375000,8.42500000,13963,0.09407806,0.22637463,0.00094223,0.01687527,0.33827019,1.00000000
den308d,396,1016,204,0.24729032,0.36670968,1.44141935,2.05541935,70.26774194,9.12258065,62.83225806,84911,0.55622482,1.37661648,0.00387573,0.07223225,2.00894928,1.00000000
den312d,362,891,180,0.33918750,0.43306250,1.02850000,1.80075000,33.23750000,6.22812500,12.87500000,51653,0.35358429,0.83742237,0.00339890,0.06334782,1.25775337,1.00000000
den400d,1631,4399,886,0.66545000,0.99177500,11.00137500,12.65860000,756.41250000,41.93750000,1799.36000000,2937767,9.72261810,47.62843990,0.01678085,0.37482643,57.74266529,1.00000000
den401d,1161,2845,576,0.35392208,0.48285714,1.80638961,2.64316883,70.44935065,10.35714286,91.48961039,302239,1.74617004,4.90003872,0.01085281,0.23287106,6.88993263,1.00000000
den403d,166,395,80,0.24036364,0.33154545,0.80963636,1.38154545,29.78636364,4.49545455,10.80000000,20406,0.14076996,0.33083153,0.00150681,0.02769756,0.50080585,1.00000000
den404d,68,166,35,0.10153846,0.27338462,0.41569231,0.79061538,8.99230769,2.86923077,0.27692308,2751,0.02791214,0.04460049,0.00063324,0.00964260,0.08278847,1.00000000
den405d,136,326,67,0.26444444,0.32255556,0.67444444,1.26144444,20.01111111,3.50555556,1.90000000,8192,0.07637405,0.13281250,0.00124359,0.02179623,0.23222637,1.00000000
den407d,114,315,64,0.30357143,0.33442857,1.33757143,1.97557143,44.62142857,9.63571429,22.96428571,12264,0.09989166,0.19882965,0.00120163,0.02149200,0.32141495,1.00000000
