Map,NumVertices,Regions,M-CdtRegions,VisTime,PointLocationTime,ViaLabelTime,TotalTime,ViaLabelsCheckedAvg,VisibleChecksAvg,ViaLabelsPrunedAvg,NumViaLabels,HubSpaceMB,ViaSpaceMB,AuxSpaceMB,MeshSpaceMB,TotalSpaceMB,Cost/ViaLabels
ca_cave,707,3264,372,0.42516667,0.58283333,2.49493333,3.50293333,76.74000000,13.75500000,10.42166667,119002,2.03258896,1.81582642,0.18564606,0.27044964,4.30451107,0.60007758
ca_cavern1_haunted,2668,12878,1484,0.50727027,0.97064865,3.28981982,4.76773874,96.64504505,11.32612613,8.66621622,653667,9.22699356,9.97416687,0.68111801,1.16226482,21.04454327,0.60709113
ca_caverns1,2676,12965,1489,0.49113004,0.93055605,3.05020628,4.47189238,76.49417040,10.52331839,9.62017937,677345,9.54283524,10.33546448,0.69860458,1.16356468,21.74046898,0.61029325
ca_caverns1_mines,2654,12784,1473,0.47538182,0.92270000,2.70677273,4.10485455,60.13454545,10.57500000,10.24772727,634739,9.01549911,9.68534851,0.67341232,1.15225506,20.52651501,0.60361563
ca_caverns2,1937,9181,1045,0.50869863,0.96520548,2.91809589,4.39200000,54.18561644,10.95616438,9.40000000,451884,6.55630493,6.89520264,0.47838974,0.79963779,14.72953510,0.60595653
ca_caverns2prc,1507,7196,825,0.40416667,0.70875641,2.34517949,3.45810256,62.31217949,9.93846154,7.52628205,289894,4.69883347,4.42343140,0.37327576,0.61645031,10.11199093,0.59648876
dr_0_deeproads,2522,11639,1328,0.47438904,0.89832329,3.10148493,4.47419726,80.99780822,12.65479452,2.75123288,539390,8.16188049,8.23043823,0.64491653,1.04510975,18.08234501,0.60651159
dr_dungeon,864,3132,359,0.37932632,0.60604211,2.60284211,3.58821053,71.38421053,11.79157895,13.62736842,149361,2.28380966,2.27906799,0.16490555,0.26210499,4.98988819,0.59637385
dr_primevalentrance,536,2433,274,0.38831111,0.56762222,2.13506667,3.09100000,53.28555556,11.26555556,10.31222222,99054,1.59671021,1.51144409,0.13912964,0.20527935,3.45256329,0.59798989
dr_primevaltomb,1424,6083,691,0.49926360,0.85355649,3.26830126,4.62112134,69.14602510,11.58912134,6.43807531,384346,5.42137909,5.86465454,0.36637497,0.52768612,12.18009472,0.61194234
dr_slavers,728,2543,293,0.36048421,0.59025263,2.26143158,3.21216842,57.73473684,10.23263158,16.23157895,122534,1.83002090,1.86972046,0.11993027,0.21286106,4.03253269,0.61579541
ht_0_hightown,1408,6005,679,0.50527820,0.91998496,5.78157895,7.20684211,192.70451128,16.28796992,51.41578947,826670,8.38621902,12.61398315,0.39628601,0.54303741,21.93952560,0.62201742
ht_0_hightown_a2,1428,6092,690,0.43056296,0.79589630,4.39958519,5.62604444,117.18000000,15.12740741,48.74814815,786748,8.26848221,12.00482178,0.40311432,0.55353928,21.22995758,0.62658986
ht_0_hightown_a3,1440,6148,696,0.47346565,0.86920611,4.83296183,6.17563359,130.91832061,15.44274809,56.55877863,825552,8.57439423,12.59692383,0.40613556,0.55810070,22.13555431,0.62368799
ht_0_hightown_n,1420,6022,682,0.48852239,0.88743284,5.91683582,7.29279104,220.98656716,16.87985075,45.32313433,817846,8.34041214,12.47933960,0.39789200,0.54552078,21.76316452,0.62671382
ht_bartrand_n,1096,4947,565,0.42872414,0.67086207,2.52668966,3.62627586,69.34655172,12.87586207,20.51379310,195271,3.33281326,2.97959900,0.26139069,0.41157913,6.98538208,0.59127104
ht_brothel_n,846,3765,432,0.40096296,0.65514815,2.75811111,3.81422222,77.18333333,12.65185185,17.29259259,159818,2.59766006,2.43862915,0.17803574,0.31427383,5.52859879,0.59369624
ht_chantry,510,2315,271,0.36195745,0.59676596,2.71642553,3.67514894,74.91276596,12.14468085,15.80851064,98106,1.63580322,1.49697876,0.11249924,0.18672085,3.43200207,0.58724481
ht_chantry_n,500,2273,267,0.36940426,0.61280851,3.03523404,4.01744681,84.29361702,14.25531915,21.44042553,93719,1.55071640,1.43003845,0.10866928,0.18388844,3.27331257,0.58712593
ht_keep,788,3421,396,0.38112500,0.63912500,2.71690000,3.73715000,78.25375000,11.48625000,26.57750000,129837,2.00888443,1.98115540,0.15390778,0.28237343,4.42632103,0.59560826
ht_keep_n,782,3408,394,0.42050000,0.77637500,2.84030000,4.03717500,70.11250000,10.40500000,21.26750000,129961,2.01042175,1.98304749,0.15273666,0.28010464,4.42631054,0.60013513
ht_mansion2,1339,5696,671,0.39013462,0.83140385,2.60413462,3.82567308,53.66634615,8.62307692,18.45769231,304439,4.57165146,4.64537048,0.25606537,0.48408794,9.95717525,0.58901117
ht_mansion2b,1352,5974,698,0.39205882,0.77225490,2.68001961,3.84433333,66.04509804,9.34313725,16.78627451,300141,4.59744263,4.57978821,0.27150345,0.50621796,9.95495224,0.59310468
ht_mansion_n,956,4228,491,0.41047458,0.67033898,2.70342373,3.78423729,82.83559322,11.26949153,15.28813559,161758,2.77782059,2.46823120,0.20289230,0.35183620,5.80078030,0.58352666
