Map,NumVertices,Regions,M-CdtRegions,VisTime,PointLocationTime,ViaLabelTime,TotalTime,ViaLabelsCheckedAvg,VisibleChecksAvg,ViaLabelsPrunedAvg,NumViaLabels,HubSpaceMB,ViaSpaceMB,AuxSpaceMB,MeshSpaceMB,TotalSpaceMB,Cost/ViaLabels
AR0011SR,2198,12051,1339,0.73192188,1.69410937,12.25893750,14.68496875,412.65390625,38.79453125,222.54218750,2188350,19.86411285,33.39157104,1.25639725,1.13040829,55.64248943,0.54329372
AR0012SR,1930,10182,1132,0.56503125,1.26693750,8.09015625,9.92212500,237.59453125,24.48984375,116.02890625,1190921,14.07388687,18.17201233,0.81050491,0.94055939,33.99696350,0.52568247
AR0013SR,2038,10773,1197,0.64410640,1.59996675,12.81634248,15.06041563,410.85785536,30.26101413,389.24605154,2269246,21.12800980,34.62594604,0.80950546,1.01397419,57.57743549,0.55428829
AR0014SR,1762,9234,1027,0.62494309,1.42904065,10.56339837,12.61738211,318.18455285,26.39837398,253.07235772,1808481,16.70887756,27.59523010,0.79573441,0.84582424,45.94566631,0.54239742
AR0015SR,658,3301,368,0.44660225,0.70450886,5.06851852,6.21962963,162.92270531,19.22061192,55.94444444,217873,3.26114655,3.32447815,0.23635101,0.28760433,7.10958004,0.50264336
AR0016SR,690,3598,401,0.47569206,0.74160524,5.69716626,6.91446355,212.04914005,20.05651106,70.21867322,304514,3.86912155,4.64651489,0.26504517,0.31252575,9.09320736,0.51913201
AR0017SR,622,3163,352,0.40825000,0.66595312,3.49504687,4.56925000,110.69296875,15.51796875,19.52812500,131235,2.39552689,2.00248718,0.21919250,0.27357960,4.89078617,0.47099033
AR0018SR,938,4901,548,0.48310938,0.90498438,8.06059375,9.44868750,267.40781250,25.17109375,156.25781250,672811,7.91788101,10.26628113,0.38422012,0.43939114,19.00777340,0.52301891
AR0020SR,330,1764,196,0.50976190,0.59644444,4.66050794,5.76671429,168.18095238,18.01984127,100.16428571,170736,2.10105896,2.60522461,0.16227722,0.14930916,5.01786995,0.51611882
AR0041SR,246,1287,143,0.39164062,0.47203125,0.95398438,1.81765625,30.20390625,4.47734375,19.83046875,77224,1.12914658,1.17834473,0.11983490,0.10018444,2.52751064,0.50726085
AR0042SR,162,915,104,0.28121875,0.46221875,0.80934375,1.55278125,26.85546875,3.72109375,12.10937500,50799,0.69646072,0.77513123,0.06499863,0.07065010,1.60724068,0.51217183
AR0043SR,188,1007,113,0.31321875,0.43487500,0.60307812,1.35117188,13.91484375,3.10234375,13.01953125,37534,0.70344162,0.57272339,0.07634735,0.07695484,1.42946720,0.49046150
AR0044SR,84,483,57,0.23568750,0.42868750,1.42200000,2.08637500,45.45468750,6.29921875,12.08984375,20180,0.31654358,0.30792236,0.02870178,0.03628922,0.68945694,0.48147873
AR0045SR,296,1642,184,0.41612500,0.56670312,3.51682812,4.49965625,123.48437500,17.05156250,58.47343750,104985,1.65700531,1.60194397,0.16033936,0.13352013,3.55280876,0.48882588
AR0046SR,318,1607,179,0.44123437,0.60700000,2.81423438,3.86246875,91.14140625,12.97812500,30.37031250,59828,1.08054733,0.91290283,0.11287308,0.13337994,2.23970318,0.49552259
AR0070SR,1364,7033,783,0.54281250,1.03095312,6.67256250,8.24632813,225.95703125,19.81796875,73.78750000,612560,7.04922485,9.34692383,0.55273438,0.62042141,17.56930447,0.51922750
AR0071SR,1839,9376,1062,0.51906250,1.19014063,6.36301563,8.07221875,215.27500000,19.03046875,102.36093750,1508576,12.26641464,23.01904297,0.80300140,0.83785915,36.92631817,0.56382033
AR0072SR,670,3616,403,0.43740625,0.70192187,4.34778125,5.48710937,150.70546875,21.36562500,33.54062500,165246,2.63911057,2.52145386,0.25541687,0.30834198,5.72432327,0.49510634
AR0201SR,350,1903,214,0.40585938,0.66176562,2.89754688,3.96517187,86.05703125,13.23281250,8.61015625,84436,1.15616608,1.28839111,0.10600281,0.15425587,2.70481586,0.54214058
AR0202SR,2808,15050,1698,0.62239063,1.37340625,6.80045313,8.79625000,195.70078125,19.54609375,49.27656250,1344715,15.89745712,20.51872253,1.08360672,1.40707684,38.90686321,0.52918692
AR0203SR,256,1341,149,0.33212500,0.54998437,2.58471875,3.46682813,82.41718750,11.46015625,7.68046875,34948,0.82093430,0.53326416,0.10440445,0.10788059,1.56648350,0.42506558
AR0204SR,2204,11636,1295,0.72203125,1.35968750,10.37531250,12.45703125,331.65078125,28.39375000,158.10078125,1509138,16.20416260,23.02761841,0.93151474,1.07932472,41.24262047,0.53664990
AR0205SR,1864,10567,1178,0.61479688,1.49478125,9.91056250,12.02014062,279.03906250,23.73593750,177.12265625,1667499,17.65338516,25.44401550,0.80025101,0.97302818,44.87067986,0.54692422
