Map,NumVertices,Regions,M-CdtRegions,VisTime,PointLocationTime,ViaLabelTime,TotalTime,ViaLabelsCheckedAvg,VisibleChecksAvg,ViaLabelsPrunedAvg,NumViaLabels,HubSpaceMB,ViaSpaceMB,AuxSpaceMB,MeshSpaceMB,TotalSpaceMB,Cost/ViaLabels
16room_000,9882,47432,5520,0.65727957,2.43092473,6.25994624,9.34815054,107.90752688,7.17526882,47.79677419,5983065,102.15640640,91.29432678,1.78684998,4.74281693,199.98040009,0.45517133
16room_001,9680,46325,5398,0.64912042,2.40164398,5.52471204,8.57547644,71.74031414,6.85863874,48.62931937,5063888,89.04488373,77.26879883,1.71807861,4.60487175,172.63663292,0.45362501
16room_002,9808,47278,5491,0.66747150,2.39296373,6.28483938,9.34527461,111.58704663,7.41243523,48.36217617,5973366,102.32700348,91.14633179,1.77103806,4.72364998,199.96802330,0.45487789
16room_003,9768,46777,5446,0.67600000,2.41105155,5.74962887,8.83668041,77.38298969,6.84175258,46.13041237,5347339,92.30382919,81.59391785,1.75326157,4.67092037,180.32192898,0.45667826
16room_004,9734,46467,5405,0.67344681,2.51297872,6.39438298,9.58080851,107.11382979,7.41861702,47.59042553,5448304,95.92256546,83.13452148,1.72428131,4.61777496,185.39914322,0.45289742
16room_005,9766,46865,5458,0.64508901,2.37147644,6.13193717,9.14850262,119.50942408,7.20314136,39.88900524,5439543,94.02392578,83.00083923,1.75045013,4.67320538,183.44842052,0.45580157
16room_006,9768,46767,5437,0.63570526,2.32188421,5.62632632,8.58391579,81.23000000,6.83052632,46.86368421,5475590,95.08696747,83.55087280,1.74638748,4.67039394,185.05462170,0.45447704
16room_007,9814,47185,5491,0.66481675,2.41085864,5.85042932,8.92610471,91.89319372,6.75130890,41.87434555,5369289,93.28320312,81.92884827,1.76192856,4.70027065,181.67425060,0.45477433
16room_008,9684,46395,5397,0.64052308,2.34951795,5.97987692,8.96991795,112.94256410,7.04615385,40.66051282,5273641,91.63379669,80.46937561,1.72309113,4.61506557,178.44132900,0.45255634
16room_009,9784,47146,5487,0.65190476,2.40829630,6.11468783,9.17488889,110.75820106,7.34074074,43.30687831,5649714,97.37816238,86.20779419,1.76870728,4.70786095,190.06252480,0.45417517
32room_000,2618,12492,1440,0.41571579,1.39194737,4.18998947,5.99765263,74.29789474,8.23894737,29.55263158,858892,15.94438934,13.10565186,0.46501160,1.18372631,30.69877911,0.45448768
32room_001,2592,12321,1431,0.36497895,1.25758947,3.33345263,4.95602105,59.99894737,7.40105263,19.01526316,681633,13.02108765,10.40089417,0.45173645,1.16112804,25.03484631,0.45513006
32room_002,2580,12244,1422,0.38609901,1.33350495,3.56295050,5.28255446,57.75940594,6.97574257,19.98514851,716765,13.71644974,10.93696594,0.45107269,1.15297604,26.25746441,0.45274550
32room_003,2590,12228,1424,0.34889899,1.23293939,3.26365657,4.84549495,56.88636364,7.00959596,20.16919192,712991,13.63395691,10.87937927,0.44759750,1.14690304,26.10783672,0.44941704
