Map,Query Number,Time,Distance,Path Length
AR0602SR,0,0.95160000,5.09901951,0
AR0602SR,1,22.84140000,207.20419989,9
AR0602SR,2,5.45540000,48.34804129,4
AR0602SR,3,24.82340000,426.06216206,29
AR0602SR,4,52.84300000,330.91445465,14
AR0602SR,5,30.92140000,455.35787201,19
AR0602SR,6,16.22660000,229.18842773,9
AR0602SR,7,18.01880000,257.21439215,24
AR0602SR,8,56.46040000,461.04023545,14
AR0602SR,9,14.59560000,184.44888543,9
AR0602SR,10,37.39200000,269.65226565,15
AR0602SR,11,30.96620000,359.87781139,20
AR0602SR,12,43.57380000,449.79379675,23
AR0602SR,13,19.09400000,210.28926696,11
AR0602SR,14,23.40220000,167.56095907,20
AR0602SR,15,6.43340000,45.22212269,5
AR0602SR,16,22.61840000,243.55835703,9
AR0602SR,17,16.97180000,194.62592817,10
AR0602SR,18,43.91980000,471.65850727,20
AR0602SR,19,13.56240000,138.71114004,8
AR0602SR,20,25.76980000,489.83645801,21
AR0602SR,21,27.51100000,259.26433128,12
AR0602SR,22,43.06600000,453.23641767,23
AR0602SR,23,14.40820000,267.45666469,16
AR0602SR,24,7.06180000,55.00813907,6
AR0602SR,25,42.49060000,381.07912104,13
AR0602SR,26,16.23700000,239.28216135,16
AR0602SR,27,23.43100000,290.82031376,15
AR0602SR,28,68.08180000,318.83505397,10
AR0602SR,29,21.88760000,292.68590673,15
AR0602SR,30,30.23200000,483.61374754,23
AR0602SR,31,42.07160000,411.27588072,19
AR0602SR,32,29.77540000,487.49227996,20
AR0602SR,33,14.77320000,273.79690479,12
AR0602SR,34,20.33960000,439.92613440,17
AR0602SR,35,18.02400000,491.04871095,29
AR0602SR,36,11.60100000,286.38972987,16
AR0602SR,37,21.27420000,148.16757115,15
AR0602SR,38,40.74920000,358.96793395,17
AR0602SR,39,38.07220000,335.22443654,17
AR0602SR,40,29.24360000,225.70441971,12
AR0602SR,41,46.55400000,486.70644903,21
AR0602SR,42,18.87700000,134.74706437,8
AR0602SR,43,15.06080000,400.19985972,17
AR0602SR,44,8.41300000,398.97783413,24
AR0602SR,45,5.21060000,24.95961163,6
AR0602SR,46,39.07140000,424.95257823,17
AR0602SR,47,10.33160000,127.63368577,4
AR0602SR,48,54.32580000,454.37538016,22
AR0602SR,49,5.71640000,41.79584574,4
AR0602SR,50,18.96020000,400.68627251,25
AR0602SR,51,15.23160000,304.31567705,10
AR0602SR,52,25.33720000,352.74324032,28
AR0602SR,53,15.43720000,396.98575426,22
AR0602SR,54,5.41420000,89.52757757,5
AR0602SR,55,5.66360000,49.24928741,4
AR0602SR,56,30.43680000,272.50462916,14
AR0602SR,57,39.15400000,285.91249064,16
AR0602SR,58,74.65440000,494.49912421,26
AR0602SR,59,28.97680000,248.90044357,21
AR0602SR,60,24.42240000,378.51454073,24
AR0602SR,61,19.50840000,466.56862429,35
AR0602SR,62,41.06600000,196.89387436,13
AR0602SR,63,54.04480000,482.05837909,22
AR0602SR,64,28.65240000,191.96988872,11
AR0602SR,65,5.57240000,37.93263490,4
AR0602SR,66,21.43820000,292.09110994,19
AR0602SR,67,27.32740000,185.16776118,8
AR0602SR,68,23.70080000,466.46278568,14
AR0602SR,69,36.58420000,454.69621537,19
AR0602SR,70,40.92880000,287.57700987,13
AR0602SR,71,25.29080000,261.59525191,15
AR0602SR,72,8.60840000,124.19419289,5
AR0602SR,73,14.54300000,94.46568749,9
AR0602SR,74,41.34380000,368.37539767,20
AR0602SR,75,26.47860000,404.15669771,15
AR0602SR,76,21.23300000,490.88768800,24
AR0602SR,77,18.00860000,368.96628932,12
AR0602SR,78,30.21740000,291.45323715,13
AR0602SR,79,34.89900000,307.81481857,16
AR0602SR,80,62.43860000,365.70394271,17
AR0602SR,81,21.73340000,270.42969333,16
AR0602SR,82,31.49920000,258.45949143,18
AR0602SR,83,9.67940000,105.01223562,7
AR0602SR,84,6.83040000,70.13461080,4
AR0602SR,85,4.43160000,71.55417528,0
AR0602SR,86,40.24760000,379.67935064,13
AR0602SR,87,24.28400000,214.20021967,14
AR0602SR,88,42.35440000,445.14757255,17
AR0602SR,89,2.02500000,6.32455532,0
AR0602SR,90,11.49820000,100.47590854,7
AR0602SR,91,11.90120000,166.84070998,13
AR0602SR,92,27.38740000,253.23729948,13
AR0602SR,93,59.58660000,482.65681497,21
AR0602SR,94,61.39720000,327.61283356,16
AR0602SR,95,22.90180000,190.29690281,16
AR0602SR,96,37.99720000,446.59360820,22
AR0602SR,97,18.39320000,244.29135703,16
AR0602SR,98,21.98240000,114.84337101,13
AR0602SR,99,3.62440000,33.54101966,0
AR0602SR,100,27.86280000,435.48121035,16
AR0602SR,101,21.41580000,346.64246505,16
AR0602SR,102,4.05440000,21.34104115,4
AR0602SR,103,80.85940000,298.69174646,12
AR0602SR,104,15.17520000,471.65734544,26
AR0602SR,105,44.50700000,469.82193203,22
AR0602SR,106,32.63420000,263.86208544,16
AR0602SR,107,28.19480000,333.24124497,17
AR0602SR,108,27.25620000,366.99350464,21
AR0602SR,109,11.28020000,143.48743151,11
AR0602SR,110,19.93680000,231.08215914,13
AR0602SR,111,29.09840000,262.31478578,16
AR0602SR,112,23.20240000,373.91291561,20
AR0602SR,113,36.50240000,277.51978776,16
AR0602SR,114,0.70780000,14.31782106,0
AR0602SR,115,46.37400000,294.89116183,11
AR0602SR,116,2.95920000,46.09772229,0
AR0602SR,117,30.25460000,278.95425551,25
AR0602SR,118,6.99980000,122.30121496,4
AR0602SR,119,18.27360000,203.26759285,7
AR0602SR,120,18.55020000,163.62033167,11
AR0602SR,121,36.09600000,260.13196905,13
AR0602SR,122,10.07300000,232.80483982,9
AR0602SR,123,4.21700000,41.00495900,4
AR0602SR,124,6.16020000,57.74089514,7
AR0602SR,125,27.56820000,474.59968547,18
AR0602SR,126,35.83680000,419.14405558,19
AR0602SR,127,3.06040000,24.18677324,0
AR0602SR,128,8.48580000,84.94000674,4
AR0602SR,129,22.24840000,232.19412668,17
AR0602SR,130,12.53880000,272.44328368,11
AR0602SR,131,42.95900000,460.17770420,24
AR0602SR,132,13.81680000,176.84805736,14
AR0602SR,133,10.91120000,439.07950646,25
AR0602SR,134,20.85020000,95.25215182,4
AR0602SR,135,60.99440000,479.27285437,21
AR0602SR,136,7.54160000,97.41118081,4
AR0602SR,137,14.73640000,225.77730756,7
AR0602SR,138,51.73280000,381.85583501,18
AR0602SR,139,16.65200000,101.43176635,7
AR0602SR,140,14.40860000,161.19164680,10
AR0602SR,141,66.76820000,334.87031748,12
AR0602SR,142,1.78940000,9.89949494,0
AR0602SR,143,23.77020000,377.55445428,28
AR0602SR,144,22.70960000,226.45466862,24
AR0602SR,145,29.16240000,485.63382685,27
AR0602SR,146,15.65760000,467.28232413,33
AR0602SR,147,39.22460000,317.98499987,17
AR0602SR,148,33.80020000,462.49281433,21
AR0602SR,149,17.52260000,244.31160352,13
AR0602SR,150,22.37120000,110.67685091,6
AR0602SR,151,3.57960000,62.93647591,0
AR0602SR,152,17.78560000,156.29574067,9
AR0602SR,153,13.82780000,481.27059067,37
AR0602SR,154,39.16900000,412.83994142,18
AR0602SR,155,15.07000000,268.49217776,12
AR0602SR,156,15.02100000,342.87908137,10
AR0602SR,157,27.10080000,461.43714324,28
AR0602SR,158,15.87620000,285.99646884,17
AR0602SR,159,16.09840000,235.13992727,12
AR0602SR,160,17.76280000,178.25355896,11
AR0602SR,161,7.92580000,189.73601536,10
AR0602SR,162,27.09720000,244.74309106,13
AR0602SR,163,2.37640000,16.40121947,0
AR0602SR,164,15.64040000,432.53629040,21
AR0602SR,165,22.04660000,381.51217383,23
AR0602SR,166,30.66380000,416.50069736,22
AR0602SR,167,8.99620000,163.32216083,7
AR0602SR,168,14.04460000,212.04130568,8
AR0602SR,169,34.90060000,319.68709315,24
AR0602SR,170,7.03900000,79.11593694,5
AR0602SR,171,40.44400000,450.89117668,15
AR0602SR,172,13.17040000,337.00527078,13
AR0602SR,173,12.51780000,318.14192721,11
AR0602SR,174,27.81840000,144.86830511,4
AR0602SR,175,27.57340000,308.04959441,21
AR0602SR,176,19.95900000,166.83389693,9
AR0602SR,177,27.01180000,149.39548549,6
AR0602SR,178,15.26660000,170.59348335,9
AR0602SR,179,17.28060000,130.43275944,8
AR0602SR,180,19.08580000,228.70988211,14
AR0602SR,181,29.61400000,380.80539402,14
AR0602SR,182,12.67860000,101.40946101,6
AR0602SR,183,10.29940000,223.30122171,11
AR0602SR,184,15.59440000,468.14848663,28
AR0602SR,185,6.48640000,102.42007818,9
AR0602SR,186,8.81880000,188.53933051,8
AR0602SR,187,22.51280000,290.88916735,14
AR0602SR,188,60.25760000,297.66243797,12
AR0602SR,189,0.62280000,11.70469991,0
AR0602SR,190,8.86740000,48.76891318,6
AR0602SR,191,2.30200000,13.03840481,0
AR0602SR,192,20.16140000,180.73840946,9
AR0602SR,193,12.69300000,222.94640146,14
AR0602SR,194,12.66920000,247.25298474,13
AR0602SR,195,2.48840000,22.09072203,0
AR0602SR,196,38.36740000,250.42954977,10
AR0602SR,197,43.03280000,416.73640760,21
AR0602SR,198,18.37140000,142.83460291,11
AR0602SR,199,9.77940000,129.62313320,4
AR0602SR,200,0.66120000,33.37663854,0
AR0602SR,201,30.69500000,405.99890581,25
AR0602SR,202,21.11120000,182.27099393,6
AR0602SR,203,3.82360000,53.85164807,0
AR0602SR,204,58.07220000,340.46588093,19
AR0602SR,205,14.53480000,294.82548091,15
AR0602SR,206,17.57340000,245.65385969,13
AR0602SR,207,27.41620000,357.14896868,27
AR0602SR,208,28.78720000,424.24736688,18
AR0602SR,209,34.88820000,416.97460639,23
AR0602SR,210,24.76420000,117.54292272,9
AR0602SR,211,21.95040000,377.88517916,18
AR0602SR,212,50.60060000,435.59527359,14
AR0602SR,213,7.16200000,44.91319037,4
AR0602SR,214,16.00260000,195.40552671,23
AR0602SR,215,24.44140000,477.38836171,25
AR0602SR,216,32.14300000,248.66700107,16
AR0602SR,217,6.96760000,113.72149063,6
AR0602SR,218,30.01880000,237.13169847,14
AR0602SR,219,14.36940000,452.83930131,42
AR0602SR,220,2.07400000,15.81138830,0
AR0602SR,221,8.63260000,58.29542881,5
AR0602SR,222,25.85320000,384.33369928,18
AR0602SR,223,50.26680000,274.93616885,11
AR0602SR,224,3.00420000,63.15853070,0
AR0602SR,225,37.12340000,468.60821108,21
AR0602SR,226,20.93580000,386.61354048,33
AR0602SR,227,6.63160000,50.75743376,4
AR0602SR,228,11.63220000,360.16411511,21
AR0602SR,229,12.03980000,182.59475182,9
AR0602SR,230,36.07560000,297.35142221,20
AR0602SR,231,5.61200000,44.05017327,4
AR0602SR,232,19.84100000,431.92684082,23
AR0602SR,233,23.63220000,439.07358028,20
AR0602SR,234,6.22280000,91.70904715,10
AR0602SR,235,23.72020000,443.36770822,21
AR0602SR,236,31.57860000,434.66314999,16
AR0602SR,237,25.66640000,261.84141257,11
AR0602SR,238,28.89080000,325.46826620,15
AR0602SR,239,51.20900000,410.03251295,18
AR0602SR,240,15.29340000,305.26276768,15
AR0602SR,241,36.28540000,285.08054991,11
AR0602SR,242,32.30060000,354.17647335,18
AR0602SR,243,22.84800000,258.91348712,19
AR0602SR,244,26.67460000,282.21861448,18
AR0602SR,245,4.29900000,27.83948470,4
AR0602SR,246,15.90320000,196.78563865,4
AR0602SR,247,19.45760000,177.30424009,10
AR0602SR,248,10.67280000,247.77460859,11
AR0602SR,249,43.91760000,306.98881580,14
AR0602SR,250,33.58820000,324.09032839,21
AR0602SR,251,6.06320000,97.37004211,5
AR0602SR,252,12.80220000,94.43484937,4
AR0602SR,253,50.91360000,490.11641826,25
AR0602SR,254,26.04960000,471.00413645,24
AR0602SR,255,12.15240000,231.55005951,9
AR0602SR,256,31.84460000,483.18598550,24
AR0602SR,257,12.22940000,94.06942713,7
AR0602SR,258,12.22500000,399.74442945,19
