Map,Query Number,Time,Distance,Path Length
ca_cavern1_haunted,0,0.97680000,7.07106781,0
ca_cavern1_haunted,1,0.70000000,4.47213595,0
ca_cavern1_haunted,2,2.25620000,4.00000000,0
ca_cavern1_haunted,3,2.62880000,4.47213595,0
ca_cavern1_haunted,4,0.57160000,6.00000000,0
ca_cavern1_haunted,5,1.84340000,5.09901951,0
ca_cavern1_haunted,6,0.66780000,4.00000000,0
ca_cavern1_haunted,7,0.51280000,5.00000000,0
ca_cavern1_haunted,8,0.51080000,5.00000000,0
ca_cavern1_haunted,9,0.58140000,6.70820393,0
ca_cavern1_haunted,10,1.29540000,8.24621125,0
ca_cavern1_haunted,11,0.76320000,10.29563014,0
ca_cavern1_haunted,12,2.04360000,8.06225775,0
ca_cavern1_haunted,13,1.59780000,7.81024968,0
ca_cavern1_haunted,14,4.92180000,7.30056308,4
ca_cavern1_haunted,15,2.42140000,7.61577311,0
ca_cavern1_haunted,16,1.58380000,8.24621125,0
ca_cavern1_haunted,17,2.75620000,10.64576492,6
ca_cavern1_haunted,18,3.05220000,10.81665383,0
ca_cavern1_haunted,19,1.68520000,7.61577311,0
ca_cavern1_haunted,20,3.24580000,13.89244399,0
ca_cavern1_haunted,21,2.91120000,14.31782106,0
ca_cavern1_haunted,22,1.64940000,13.92838828,0
ca_cavern1_haunted,23,1.91440000,13.60147051,0
ca_cavern1_haunted,24,2.02480000,14.76482306,0
ca_cavern1_haunted,25,1.95240000,12.64911064,0
ca_cavern1_haunted,26,2.12380000,15.55634919,0
ca_cavern1_haunted,27,1.78340000,15.55634919,0
ca_cavern1_haunted,28,2.17340000,13.89244399,0
ca_cavern1_haunted,29,1.73140000,14.31782106,0
ca_cavern1_haunted,30,2.82640000,16.79937837,8
ca_cavern1_haunted,31,0.51960000,16.27882060,0
ca_cavern1_haunted,32,1.75460000,16.40121947,0
ca_cavern1_haunted,33,1.82500000,18.38477631,0
ca_cavern1_haunted,34,4.09400000,17.69180601,0
ca_cavern1_haunted,35,1.94040000,15.81138830,0
