Map,Query Number,Time,Distance,Path Length
dr_dungeon,0,0.57160000,7.07106781,0
dr_dungeon,1,0.53580000,7.07106781,0
dr_dungeon,2,0.54900000,5.38516481,0
dr_dungeon,3,0.45460000,6.08276253,0
dr_dungeon,4,3.10300000,5.38516481,0
dr_dungeon,5,0.50180000,6.08276253,0
dr_dungeon,6,0.44600000,7.21110255,0
dr_dungeon,7,0.35840000,7.21110255,0
dr_dungeon,8,2.26940000,5.83095189,0
dr_dungeon,9,2.71980000,6.40312424,0
dr_dungeon,10,1.43000000,10.77032961,0
dr_dungeon,11,2.53400000,9.48683298,0
dr_dungeon,12,0.52580000,9.21954446,0
dr_dungeon,13,0.45920000,7.61577311,0
dr_dungeon,14,0.41240000,7.81024968,0
dr_dungeon,15,0.29520000,10.00000000,0
dr_dungeon,16,2.09340000,9.84885780,0
dr_dungeon,17,0.44580000,11.40175425,0
dr_dungeon,18,0.37940000,9.21954446,0
dr_dungeon,19,1.94000000,9.62780549,4
dr_dungeon,20,4.76440000,12.45623262,4
dr_dungeon,21,0.38880000,15.00000000,0
dr_dungeon,22,3.20220000,12.72792206,0
dr_dungeon,23,1.54220000,14.86606875,0
dr_dungeon,24,1.53260000,14.00000000,0
dr_dungeon,25,2.65040000,11.41421356,4
dr_dungeon,26,2.20820000,14.31782106,0
dr_dungeon,27,2.64420000,15.03329638,0
dr_dungeon,28,1.40820000,15.13274595,0
dr_dungeon,29,2.98700000,12.04159458,0
dr_dungeon,30,4.52880000,19.21954446,4
dr_dungeon,31,2.48480000,17.72004515,0
dr_dungeon,32,1.63920000,17.88854382,0
dr_dungeon,33,2.06860000,16.27882060,0
dr_dungeon,34,2.00340000,17.02938637,0
dr_dungeon,35,1.90820000,15.29705854,0
dr_dungeon,36,0.47240000,14.86606875,0
dr_dungeon,37,2.29420000,16.27882060,0
dr_dungeon,38,3.00880000,15.24621125,5
dr_dungeon,39,1.73640000,16.56062330,5
dr_dungeon,40,4.50320000,19.95611312,4
dr_dungeon,41,3.65160000,21.26029163,0
dr_dungeon,42,2.37420000,20.22374842,0
dr_dungeon,43,2.34340000,20.61552813,0
dr_dungeon,44,0.47860000,20.88061302,0
dr_dungeon,45,3.97100000,21.93162033,5
dr_dungeon,46,3.15960000,22.80350850,0
dr_dungeon,47,2.90980000,19.97577474,4
dr_dungeon,48,3.34960000,20.12461180,0
dr_dungeon,49,2.20940000,22.02271555,0
dr_dungeon,50,4.38340000,24.21267040,4
dr_dungeon,51,1.35200000,23.02172887,0
dr_dungeon,52,2.67260000,25.61249695,0
dr_dungeon,53,3.11260000,25.70992026,0
dr_dungeon,54,2.38060000,25.01999201,0
dr_dungeon,55,2.58700000,22.84731932,0
dr_dungeon,56,2.27500000,24.02082430,0
dr_dungeon,57,4.23200000,24.31370850,4
dr_dungeon,58,3.72540000,24.51530134,0
dr_dungeon,59,2.07700000,22.56102835,0
dr_dungeon,60,2.38920000,28.16025568,0
dr_dungeon,61,1.72180000,28.23118843,0
dr_dungeon,62,1.44760000,29.01723626,0
dr_dungeon,63,2.20080000,27.20294102,0
dr_dungeon,64,3.46840000,27.92485885,5
dr_dungeon,65,0.40920000,30.06659276,0
dr_dungeon,66,2.33420000,28.01785145,0
dr_dungeon,67,4.30780000,28.10511439,4
dr_dungeon,68,2.12120000,27.65863337,0
dr_dungeon,69,3.73980000,28.53931036,4
dr_dungeon,70,3.39680000,32.23535204,6
