Map,Query Number,Time,Distance,Path Length
dr_primevalentrance,0,3.30460000,4.12310563,0
dr_primevalentrance,1,0.95440000,7.07106781,0
dr_primevalentrance,2,0.96160000,5.83095189,0
dr_primevalentrance,3,2.06920000,5.00000000,0
dr_primevalentrance,4,2.33080000,5.09901951,0
dr_primevalentrance,5,0.60560000,5.09901951,0
dr_primevalentrance,6,0.49000000,6.08276253,0
dr_primevalentrance,7,0.81300000,5.00000000,0
dr_primevalentrance,8,2.94200000,5.09901951,0
dr_primevalentrance,9,2.04680000,7.07106781,0
dr_primevalentrance,10,4.32820000,9.21954446,0
dr_primevalentrance,11,0.54360000,11.00000000,0
dr_primevalentrance,12,1.44320000,11.31370850,0
dr_primevalentrance,13,2.43200000,10.81665383,0
dr_primevalentrance,14,1.54360000,7.61577311,0
dr_primevalentrance,15,0.41940000,8.48528137,0
dr_primevalentrance,16,2.08940000,10.44030651,0
dr_primevalentrance,17,0.40500000,7.61577311,0
dr_primevalentrance,18,0.33660000,8.94427191,0
dr_primevalentrance,19,1.61120000,8.60232527,0
dr_primevalentrance,20,0.63200000,14.03566885,0
dr_primevalentrance,21,2.98580000,14.21267040,0
dr_primevalentrance,22,2.25700000,12.04159458,0
dr_primevalentrance,23,6.44640000,13.34166406,0
dr_primevalentrance,24,2.76000000,13.41640786,0
dr_primevalentrance,25,0.31080000,14.31782106,0
dr_primevalentrance,26,2.71420000,15.00000000,0
dr_primevalentrance,27,0.71040000,12.52996409,0
dr_primevalentrance,28,2.52240000,15.13274595,0
dr_primevalentrance,29,2.26060000,11.70469991,0
dr_primevalentrance,30,3.20700000,16.40121947,0
dr_primevalentrance,31,2.18940000,17.50040550,4
dr_primevalentrance,32,1.41840000,15.62049935,0
dr_primevalentrance,33,0.44660000,16.12451550,0
dr_primevalentrance,34,2.17560000,17.46424920,0
dr_primevalentrance,35,2.81700000,15.81138830,0
dr_primevalentrance,36,1.31040000,15.52417470,0
dr_primevalentrance,37,0.39780000,17.26267650,0
dr_primevalentrance,38,1.76720000,18.43908891,0
dr_primevalentrance,39,2.01180000,16.76305461,0
dr_primevalentrance,40,2.00740000,20.02498439,0
dr_primevalentrance,41,0.43760000,20.02498439,0
dr_primevalentrance,42,2.06660000,22.20360331,0
dr_primevalentrance,43,1.66600000,21.58703314,0
dr_primevalentrance,44,0.33380000,20.00000000,0
dr_primevalentrance,45,6.19860000,21.61577311,5
dr_primevalentrance,46,2.08820000,20.61552813,0
dr_primevalentrance,47,1.67360000,21.09502311,0
dr_primevalentrance,48,2.36780000,21.93171220,0
dr_primevalentrance,49,2.39740000,19.23538406,0
dr_primevalentrance,50,3.39000000,24.69817807,0
dr_primevalentrance,51,3.54560000,24.09901951,5
dr_primevalentrance,52,2.48100000,23.34523506,0
dr_primevalentrance,53,3.62040000,24.18677324,0
dr_primevalentrance,54,2.63440000,23.53720459,0
dr_primevalentrance,55,2.60840000,23.82542442,4
dr_primevalentrance,56,6.03700000,22.36067977,0
dr_primevalentrance,57,2.67760000,23.43074903,0
dr_primevalentrance,58,2.82360000,26.30589288,0
dr_primevalentrance,59,2.49280000,25.68291052,4
dr_primevalentrance,60,3.41500000,29.15475947,0
dr_primevalentrance,61,4.05300000,28.04924508,4
dr_primevalentrance,62,3.11500000,30.06659276,0
dr_primevalentrance,63,4.85380000,27.78488798,0
dr_primevalentrance,64,4.61680000,28.17800561,0
dr_primevalentrance,65,2.63040000,31.11269837,0
dr_primevalentrance,66,3.59380000,26.92898102,4
dr_primevalentrance,67,2.49100000,26.47351354,4
dr_primevalentrance,68,2.96920000,28.59269073,7
dr_primevalentrance,69,3.46300000,27.54066381,4
dr_primevalentrance,70,2.06140000,34.05877273,0
dr_primevalentrance,71,3.38180000,33.55320512,4
dr_primevalentrance,72,4.35420000,30.63014581,4
dr_primevalentrance,73,5.02660000,33.58300265,8
dr_primevalentrance,74,3.05340000,33.12451550,5
dr_primevalentrance,75,5.29720000,33.20633852,9
dr_primevalentrance,76,2.88660000,29.89852905,5
dr_primevalentrance,77,2.28140000,30.80584360,0
dr_primevalentrance,78,3.37120000,31.32604664,4
dr_primevalentrance,79,2.41820000,29.96664813,0
dr_primevalentrance,80,2.22600000,35.91515953,4
dr_primevalentrance,81,2.66880000,34.99094948,4
dr_primevalentrance,82,2.83820000,36.34556369,0
dr_primevalentrance,83,3.10540000,34.75972356,4
dr_primevalentrance,84,2.17960000,36.01388621,0
dr_primevalentrance,85,1.70220000,33.54101966,0
dr_primevalentrance,86,2.23900000,36.05551275,0
dr_primevalentrance,87,4.21580000,38.11823711,0
dr_primevalentrance,88,4.21460000,36.17935662,4
dr_primevalentrance,89,4.25380000,36.76955262,0
dr_primevalentrance,90,8.06500000,39.80964049,6
dr_primevalentrance,91,3.73340000,39.21779041,4
dr_primevalentrance,92,2.69520000,38.83640842,4
dr_primevalentrance,93,3.26380000,38.02506165,4
dr_primevalentrance,94,2.60820000,39.20459157,0
dr_primevalentrance,95,4.65140000,42.41787909,4
dr_primevalentrance,96,4.05280000,36.78572309,4
dr_primevalentrance,97,4.58260000,41.44727394,4
dr_primevalentrance,98,6.01980000,41.83879580,4
dr_primevalentrance,99,3.16780000,39.31920650,0
dr_primevalentrance,100,8.03880000,44.07223801,5
dr_primevalentrance,101,4.72600000,45.49422128,5
dr_primevalentrance,102,5.04860000,43.62992820,4
dr_primevalentrance,103,3.85000000,42.47859415,4
dr_primevalentrance,104,3.94060000,44.07311739,4
dr_primevalentrance,105,7.31960000,43.24768488,5
dr_primevalentrance,106,3.73400000,45.96737974,0
dr_primevalentrance,107,2.90860000,42.72001873,0
dr_primevalentrance,108,4.37360000,42.73737814,6
dr_primevalentrance,109,2.90200000,42.24478902,4
dr_primevalentrance,110,7.00500000,48.38451540,5
dr_primevalentrance,111,5.12500000,48.64635119,9
dr_primevalentrance,112,4.40840000,46.49477439,4
dr_primevalentrance,113,3.14560000,47.40043103,4
dr_primevalentrance,114,7.77220000,45.81154363,9
dr_primevalentrance,115,1.86780000,49.01020302,0
dr_primevalentrance,116,2.62740000,46.02808929,4
dr_primevalentrance,117,4.83860000,45.17742799,0
dr_primevalentrance,118,7.26240000,46.57252409,0
dr_primevalentrance,119,7.13220000,48.60749367,5
dr_primevalentrance,120,3.07180000,52.15071285,5
dr_primevalentrance,121,4.89340000,50.37853123,4
dr_primevalentrance,122,2.80220000,49.39643385,4
dr_primevalentrance,123,5.74740000,53.03772242,0
dr_primevalentrance,124,3.99780000,52.16260379,5
dr_primevalentrance,125,3.81880000,53.29023502,5
dr_primevalentrance,126,5.62460000,52.83229629,4
dr_primevalentrance,127,4.73680000,52.67047380,5
dr_primevalentrance,128,2.84840000,51.78758010,4
dr_primevalentrance,129,6.95180000,52.10798032,5
dr_primevalentrance,130,6.27560000,51.64613441,7
dr_primevalentrance,131,5.80040000,52.56243605,5
dr_primevalentrance,132,8.89420000,56.10971795,5
dr_primevalentrance,133,8.90760000,57.27882962,7
dr_primevalentrance,134,5.50260000,55.76283905,5
dr_primevalentrance,135,5.76560000,52.97328089,4
dr_primevalentrance,136,5.59460000,53.84236843,4
dr_primevalentrance,137,6.57020000,54.38251232,4
dr_primevalentrance,138,4.87120000,53.93514624,0
dr_primevalentrance,139,7.46840000,52.19482701,6
dr_primevalentrance,140,9.07360000,58.64812884,7
dr_primevalentrance,141,6.57240000,61.34868106,5
dr_primevalentrance,142,5.86260000,59.55122145,5
dr_primevalentrance,143,6.99380000,58.05170109,0
dr_primevalentrance,144,5.10900000,59.00897813,5
