Map,Query Number,Time,Distance,Path Length
ht_0_hightown_a2,0,1.06340000,4.00000000,0
ht_0_hightown_a2,1,0.61400000,5.00000000,0
ht_0_hightown_a2,2,0.66060000,6.70820393,0
ht_0_hightown_a2,3,0.71960000,4.47213595,0
ht_0_hightown_a2,4,5.25580000,7.33508749,4
ht_0_hightown_a2,5,0.64480000,6.08276253,0
ht_0_hightown_a2,6,0.51520000,4.24264069,0
ht_0_hightown_a2,7,2.98540000,5.65685425,0
ht_0_hightown_a2,8,0.57440000,4.12310563,0
ht_0_hightown_a2,9,0.45860000,4.12310563,0
ht_0_hightown_a2,10,1.74400000,8.24621125,0
ht_0_hightown_a2,11,0.58480000,11.00000000,0
ht_0_hightown_a2,12,2.01660000,11.00000000,0
ht_0_hightown_a2,13,0.73600000,7.81024968,0
ht_0_hightown_a2,14,0.50200000,7.81024968,0
ht_0_hightown_a2,15,1.51940000,11.18033989,0
ht_0_hightown_a2,16,0.69860000,9.00000000,0
ht_0_hightown_a2,17,0.46660000,8.60232527,0
ht_0_hightown_a2,18,0.47140000,9.21954446,0
ht_0_hightown_a2,19,1.98040000,9.21954446,0
ht_0_hightown_a2,20,0.59560000,11.18033989,0
ht_0_hightown_a2,21,0.44500000,14.56021978,0
ht_0_hightown_a2,22,1.71160000,13.03840481,0
ht_0_hightown_a2,23,0.50200000,13.41640786,0
ht_0_hightown_a2,24,0.41640000,13.34166406,0
ht_0_hightown_a2,25,1.36140000,14.14213562,0
ht_0_hightown_a2,26,0.42820000,15.13274595,0
ht_0_hightown_a2,27,7.39600000,15.13814767,4
ht_0_hightown_a2,28,2.93060000,13.03840481,0
ht_0_hightown_a2,29,4.74960000,13.32455532,5
ht_0_hightown_a2,30,0.41860000,18.02775638,0
ht_0_hightown_a2,31,3.80720000,17.91140325,4
ht_0_hightown_a2,32,1.93340000,16.76305461,0
ht_0_hightown_a2,33,2.95920000,14.86606875,0
ht_0_hightown_a2,34,2.20060000,17.02938637,0
ht_0_hightown_a2,35,3.67060000,16.42357483,5
ht_0_hightown_a2,36,0.51180000,16.49242250,0
ht_0_hightown_a2,37,2.94240000,15.53932602,4
ht_0_hightown_a2,38,1.96360000,17.26267650,0
ht_0_hightown_a2,39,1.76020000,18.35755975,0
ht_0_hightown_a2,40,3.44440000,19.23538406,0
ht_0_hightown_a2,41,2.62460000,19.69771560,0
ht_0_hightown_a2,42,2.54240000,20.88061302,0
ht_0_hightown_a2,43,1.44800000,22.00000000,0
ht_0_hightown_a2,44,2.69740000,19.69771560,0
ht_0_hightown_a2,45,5.43380000,20.28217583,4
ht_0_hightown_a2,46,0.60260000,22.80350850,0
ht_0_hightown_a2,47,0.48360000,20.61552813,0
ht_0_hightown_a2,48,2.57180000,19.31320792,0
ht_0_hightown_a2,49,3.69480000,21.21320344,0
ht_0_hightown_a2,50,1.76000000,25.07987241,0
ht_0_hightown_a2,51,2.25840000,24.33105012,0
ht_0_hightown_a2,52,2.41460000,21.91040781,4
ht_0_hightown_a2,53,2.96060000,25.00000000,0
ht_0_hightown_a2,54,3.09340000,24.08318916,0
ht_0_hightown_a2,55,2.08020000,27.58622845,0
ht_0_hightown_a2,56,2.47140000,24.83948470,0
ht_0_hightown_a2,57,3.00680000,24.00000000,0
ht_0_hightown_a2,58,2.03900000,25.96150997,0
ht_0_hightown_a2,59,3.41300000,25.61134848,4
ht_0_hightown_a2,60,0.45560000,27.89265136,0
ht_0_hightown_a2,61,3.74000000,29.17618695,4
ht_0_hightown_a2,62,6.70140000,29.43206501,4
ht_0_hightown_a2,63,6.06260000,28.84987259,4
ht_0_hightown_a2,64,5.43560000,27.85593629,4
ht_0_hightown_a2,65,3.70220000,29.52964612,0
ht_0_hightown_a2,66,3.50400000,27.34523506,4
ht_0_hightown_a2,67,3.96300000,26.72004515,4
ht_0_hightown_a2,68,2.52760000,29.00000000,0
ht_0_hightown_a2,69,4.01780000,29.32254937,4
ht_0_hightown_a2,70,4.88940000,34.20526275,0
ht_0_hightown_a2,71,3.41800000,33.54101966,0
ht_0_hightown_a2,72,4.72020000,32.29005131,4
ht_0_hightown_a2,73,3.50360000,34.13209633,0
ht_0_hightown_a2,74,4.55180000,30.28245473,4
ht_0_hightown_a2,75,0.51900000,32.38826948,0
ht_0_hightown_a2,76,3.33620000,33.42154993,0
ht_0_hightown_a2,77,3.38780000,31.79783231,4
ht_0_hightown_a2,78,4.05660000,33.15475947,5
ht_0_hightown_a2,79,4.50580000,34.48683298,5
ht_0_hightown_a2,80,6.67700000,36.49937640,4
ht_0_hightown_a2,81,2.54400000,34.48187930,0
ht_0_hightown_a2,82,6.54080000,38.72474642,6
ht_0_hightown_a2,83,2.26560000,39.01281841,0
ht_0_hightown_a2,84,2.28760000,38.11823711,0
ht_0_hightown_a2,85,0.52520000,37.20215048,0
ht_0_hightown_a2,86,3.92200000,32.59682773,4
ht_0_hightown_a2,87,4.95440000,36.46414678,5
ht_0_hightown_a2,88,4.55040000,34.22183692,4
ht_0_hightown_a2,89,6.11960000,33.95585369,0
ht_0_hightown_a2,90,4.14660000,43.01162634,0
ht_0_hightown_a2,91,4.48220000,41.10960958,0
ht_0_hightown_a2,92,1.98280000,40.44749683,0
ht_0_hightown_a2,93,10.60900000,39.98309266,6
ht_0_hightown_a2,94,3.35120000,39.81205847,0
ht_0_hightown_a2,95,5.25060000,37.66711302,4
ht_0_hightown_a2,96,5.50180000,39.43731110,6
ht_0_hightown_a2,97,2.72400000,40.11234224,0
ht_0_hightown_a2,98,2.93160000,40.03739638,4
ht_0_hightown_a2,99,4.08400000,39.81205847,0
ht_0_hightown_a2,100,5.07820000,42.31920650,5
ht_0_hightown_a2,101,5.33280000,46.10632552,5
ht_0_hightown_a2,102,4.66040000,44.10215414,0
ht_0_hightown_a2,103,4.53920000,41.83548988,4
ht_0_hightown_a2,104,3.61780000,42.43803862,5
ht_0_hightown_a2,105,3.15120000,44.65422712,0
ht_0_hightown_a2,106,2.08040000,45.39823785,0
ht_0_hightown_a2,107,4.00800000,45.60701700,0
ht_0_hightown_a2,108,5.39020000,41.73614354,5
ht_0_hightown_a2,109,3.59140000,41.09939754,4
ht_0_hightown_a2,110,4.34040000,47.05204999,5
ht_0_hightown_a2,111,4.29960000,46.61544808,0
ht_0_hightown_a2,112,2.56400000,47.42362281,0
ht_0_hightown_a2,113,1.91960000,45.17742799,0
ht_0_hightown_a2,114,4.98940000,50.05817942,4
ht_0_hightown_a2,115,3.66220000,47.85394446,0
ht_0_hightown_a2,116,3.59080000,45.46262762,4
ht_0_hightown_a2,117,3.46080000,48.89244399,4
ht_0_hightown_a2,118,0.44700000,49.36598019,0
ht_0_hightown_a2,119,4.78620000,43.34010426,5
ht_0_hightown_a2,120,4.47160000,49.34034204,5
ht_0_hightown_a2,121,4.15980000,49.85773860,4
ht_0_hightown_a2,122,2.61600000,52.39274759,0
ht_0_hightown_a2,123,6.90700000,49.67847928,4
ht_0_hightown_a2,124,5.73760000,50.35836439,4
ht_0_hightown_a2,125,5.32040000,49.92255927,4
ht_0_hightown_a2,126,9.18840000,51.15564667,4
ht_0_hightown_a2,127,4.65800000,53.13179748,4
ht_0_hightown_a2,128,4.67460000,48.38388161,0
ht_0_hightown_a2,129,4.95760000,49.91237461,4
ht_0_hightown_a2,130,8.92840000,52.84303391,6
ht_0_hightown_a2,131,3.92040000,54.65720118,4
ht_0_hightown_a2,132,6.76060000,57.13670881,4
ht_0_hightown_a2,133,6.59260000,55.72067670,4
ht_0_hightown_a2,134,3.66100000,53.15072906,0
ht_0_hightown_a2,135,5.13460000,55.49366662,4
ht_0_hightown_a2,136,6.62600000,50.98686433,6
ht_0_hightown_a2,137,7.81420000,57.11671742,6
ht_0_hightown_a2,138,2.94540000,54.23098745,0
ht_0_hightown_a2,139,7.26500000,59.39696962,0
ht_0_hightown_a2,140,4.41420000,56.85476994,5
ht_0_hightown_a2,141,3.41920000,61.29437168,0
ht_0_hightown_a2,142,3.92520000,59.41380311,0
ht_0_hightown_a2,143,7.18800000,55.99508914,5
ht_0_hightown_a2,144,10.29300000,58.42209619,5
ht_0_hightown_a2,145,4.10880000,57.07013229,0
ht_0_hightown_a2,146,7.12540000,59.07862705,4
ht_0_hightown_a2,147,7.17900000,56.27686732,4
ht_0_hightown_a2,148,6.13060000,57.83987080,5
ht_0_hightown_a2,149,10.41540000,58.70775002,4
ht_0_hightown_a2,150,9.99760000,62.03971335,4
ht_0_hightown_a2,151,3.46980000,64.54664145,6
ht_0_hightown_a2,152,8.06880000,60.98097539,5
ht_0_hightown_a2,153,3.85280000,62.00230152,5
ht_0_hightown_a2,154,5.30980000,63.15456446,5
ht_0_hightown_a2,155,4.85800000,64.51608821,9
ht_0_hightown_a2,156,7.24160000,66.06814664,0
ht_0_hightown_a2,157,6.07360000,62.21020323,4
