Map,Query Number,Time,Distance,Path Length
ht_brothel_n,0,0.66080000,5.83095189,0
ht_brothel_n,1,2.20160000,5.00000000,0
ht_brothel_n,2,1.93100000,5.83095189,0
ht_brothel_n,3,1.84840000,6.70820393,0
ht_brothel_n,4,0.49020000,7.21110255,0
ht_brothel_n,5,1.44800000,6.00000000,0
ht_brothel_n,6,2.72240000,7.07106781,0
ht_brothel_n,7,1.32640000,5.38516481,0
ht_brothel_n,8,0.38980000,5.65685425,0
ht_brothel_n,9,0.50600000,6.40312424,0
ht_brothel_n,10,5.71460000,10.77032961,0
ht_brothel_n,11,0.43820000,8.60232527,0
ht_brothel_n,12,2.31580000,8.06225775,0
ht_brothel_n,13,2.28780000,10.07106781,5
ht_brothel_n,14,1.54120000,8.54400375,0
ht_brothel_n,15,2.75580000,7.61577311,0
ht_brothel_n,16,1.67300000,11.31370850,0
ht_brothel_n,17,2.13880000,8.00000000,0
ht_brothel_n,18,1.62000000,8.00000000,0
ht_brothel_n,19,1.75140000,7.61577311,0
ht_brothel_n,20,0.52600000,15.03329638,0
ht_brothel_n,21,1.71420000,12.00000000,0
ht_brothel_n,22,5.90540000,12.72865690,5
ht_brothel_n,23,5.83440000,15.03329638,0
ht_brothel_n,24,3.22240000,12.04159458,0
ht_brothel_n,25,2.50300000,14.37588089,4
ht_brothel_n,26,1.81820000,12.86795680,4
ht_brothel_n,27,1.92280000,12.72792206,0
ht_brothel_n,28,0.48420000,14.31782106,0
ht_brothel_n,29,2.10640000,12.52996409,0
ht_brothel_n,30,1.97580000,14.86606875,0
ht_brothel_n,31,2.50280000,14.73887873,5
ht_brothel_n,32,5.51760000,17.00389692,6
ht_brothel_n,33,2.62180000,15.04536102,5
ht_brothel_n,34,1.71860000,16.03121954,0
ht_brothel_n,35,2.07340000,15.29705854,0
ht_brothel_n,36,5.32580000,17.49285568,4
ht_brothel_n,37,3.94000000,18.60555128,4
ht_brothel_n,38,4.12180000,15.76358907,5
ht_brothel_n,39,4.97540000,15.37994046,5
ht_brothel_n,40,4.30500000,21.07106781,4
ht_brothel_n,41,4.32420000,21.35331075,5
ht_brothel_n,42,3.74720000,20.39607805,0
ht_brothel_n,43,3.47180000,20.82694157,4
ht_brothel_n,44,5.69540000,20.68002143,4
ht_brothel_n,45,2.91900000,21.42751891,5
ht_brothel_n,46,4.75300000,21.64911064,5
ht_brothel_n,47,2.25340000,23.08679276,0
ht_brothel_n,48,8.63340000,21.14624818,6
ht_brothel_n,49,3.51320000,20.47955672,6
ht_brothel_n,50,2.54440000,23.53720459,0
ht_brothel_n,51,5.10660000,26.36067977,4
ht_brothel_n,52,4.93440000,24.51530134,0
ht_brothel_n,53,3.83360000,24.72100421,4
ht_brothel_n,54,3.10280000,23.82425372,4
ht_brothel_n,55,5.32260000,23.54965676,4
ht_brothel_n,56,3.34500000,25.07987241,0
ht_brothel_n,57,3.13760000,24.58041943,7
ht_brothel_n,58,5.75620000,25.05296253,8
ht_brothel_n,59,5.72040000,25.09964637,4
ht_brothel_n,60,8.75020000,29.02472461,7
ht_brothel_n,61,1.97520000,29.06888371,0
ht_brothel_n,62,3.23000000,28.49638612,4
ht_brothel_n,63,4.74440000,27.30266313,6
ht_brothel_n,64,5.12040000,29.55859293,4
ht_brothel_n,65,3.90500000,28.85631528,5
ht_brothel_n,66,5.09760000,27.93171220,5
ht_brothel_n,67,3.62740000,26.58765930,4
ht_brothel_n,68,3.20820000,27.02498439,5
ht_brothel_n,69,3.50420000,26.00000000,0
ht_brothel_n,70,3.89040000,33.11687097,4
ht_brothel_n,71,7.07800000,31.60494805,5
ht_brothel_n,72,3.18800000,29.21954446,5
ht_brothel_n,73,5.26700000,31.41421356,5
ht_brothel_n,74,3.60900000,33.18324231,6
ht_brothel_n,75,3.99320000,30.09018386,4
ht_brothel_n,76,4.43980000,32.88689042,6
ht_brothel_n,77,5.16080000,30.47220505,4
ht_brothel_n,78,5.64460000,30.29016463,4
ht_brothel_n,79,4.73480000,31.06107503,6
ht_brothel_n,80,4.59600000,34.40265168,8
ht_brothel_n,81,4.03500000,33.57587914,5
ht_brothel_n,82,5.07880000,36.93012576,5
ht_brothel_n,83,3.45660000,36.24880950,4
ht_brothel_n,84,5.43520000,36.11876589,6
ht_brothel_n,85,4.63660000,35.32542906,4
ht_brothel_n,86,5.96340000,34.39834564,4
ht_brothel_n,87,4.16740000,38.05975062,4
ht_brothel_n,88,3.90920000,34.10300205,6
ht_brothel_n,89,4.06620000,36.76955262,4
ht_brothel_n,90,4.89880000,38.18706884,5
ht_brothel_n,91,3.79860000,37.97249595,5
