Map,Query Number,Time,Distance,Path Length
ht_keep_n,0,0.64960000,5.83095189,0
ht_keep_n,1,1.54700000,6.08276253,0
ht_keep_n,2,0.47600000,4.47213595,0
ht_keep_n,3,2.02760000,7.00000000,0
ht_keep_n,4,2.01520000,6.40312424,0
ht_keep_n,5,1.63880000,4.12310563,0
ht_keep_n,6,1.08600000,6.00000000,0
ht_keep_n,7,2.46160000,7.07106781,0
ht_keep_n,8,0.56860000,6.08276253,0
ht_keep_n,9,0.42100000,5.00000000,0
ht_keep_n,10,0.82660000,10.19803903,0
ht_keep_n,11,0.49700000,9.84885780,0
ht_keep_n,12,1.41160000,11.18033989,0
ht_keep_n,13,2.22120000,9.89949494,0
ht_keep_n,14,1.84080000,10.77032961,0
ht_keep_n,15,1.82260000,7.61577311,0
ht_keep_n,16,1.50020000,8.54400375,0
ht_keep_n,17,0.59660000,11.40175425,0
ht_keep_n,18,3.14840000,10.21954446,4
ht_keep_n,19,2.89960000,9.05538514,0
ht_keep_n,20,0.44660000,11.18033989,0
ht_keep_n,21,1.80000000,13.34166406,0
ht_keep_n,22,1.68800000,12.04159458,0
ht_keep_n,23,0.39780000,13.15294644,0
ht_keep_n,24,0.43520000,14.56021978,0
ht_keep_n,25,3.37640000,11.23606798,5
ht_keep_n,26,1.70000000,12.08304597,0
ht_keep_n,27,2.66820000,12.08790906,4
ht_keep_n,28,2.77900000,11.40175425,0
ht_keep_n,29,1.75140000,13.00000000,0
ht_keep_n,30,0.45260000,16.27882060,0
ht_keep_n,31,1.52900000,19.10497317,0
ht_keep_n,32,4.88460000,15.72947366,6
ht_keep_n,33,1.39840000,17.02938637,0
ht_keep_n,34,1.50520000,17.46424920,0
ht_keep_n,35,1.91600000,18.35755975,0
ht_keep_n,36,2.48560000,18.43908891,0
ht_keep_n,37,2.22160000,18.43908891,0
ht_keep_n,38,0.43540000,16.40121947,0
ht_keep_n,39,2.24480000,15.81138830,0
ht_keep_n,40,3.09640000,22.67156810,0
ht_keep_n,41,2.56100000,21.40093456,0
ht_keep_n,42,3.02680000,19.26942008,4
ht_keep_n,43,2.06720000,21.22353501,4
ht_keep_n,44,2.58320000,20.22374842,0
ht_keep_n,45,3.66080000,19.82237931,5
ht_keep_n,46,2.07300000,22.20360331,0
ht_keep_n,47,1.44040000,18.68154169,0
ht_keep_n,48,1.82280000,21.22374842,4
ht_keep_n,49,1.22700000,21.02379604,0
ht_keep_n,50,2.95780000,23.88854382,4
ht_keep_n,51,0.44840000,25.00000000,0
ht_keep_n,52,1.66960000,23.60084744,0
ht_keep_n,53,3.92720000,24.76782894,6
ht_keep_n,54,2.50480000,23.76972865,0
ht_keep_n,55,3.17920000,25.87250742,5
ht_keep_n,56,0.52260000,27.01851217,0
ht_keep_n,57,3.64880000,24.33105012,0
ht_keep_n,58,5.49460000,24.54065923,5
ht_keep_n,59,1.70500000,23.40939982,0
ht_keep_n,60,3.21340000,27.29468813,0
ht_keep_n,61,1.99460000,29.15475947,0
ht_keep_n,62,3.20940000,26.45857294,4
ht_keep_n,63,3.07280000,28.42534081,4
ht_keep_n,64,3.71760000,25.72330601,4
ht_keep_n,65,2.13300000,30.06659276,0
ht_keep_n,66,1.76720000,29.06888371,0
ht_keep_n,67,5.90680000,26.56993007,4
ht_keep_n,68,2.16820000,27.20294102,0
ht_keep_n,69,2.01740000,29.29111016,4
ht_keep_n,70,2.12980000,32.75667871,0
ht_keep_n,71,2.96560000,35.07034541,4
ht_keep_n,72,3.12720000,31.48138042,4
ht_keep_n,73,3.56840000,32.51610230,4
ht_keep_n,74,3.28900000,30.30808227,5
ht_keep_n,75,3.22620000,29.79176599,4
ht_keep_n,76,2.46640000,33.08318916,4
ht_keep_n,77,2.85520000,33.62123278,5
ht_keep_n,78,3.43700000,32.52364204,4
ht_keep_n,79,3.24040000,32.00000000,0
ht_keep_n,80,2.45320000,35.74813376,4
ht_keep_n,81,3.00740000,35.19482701,4
ht_keep_n,82,2.31480000,33.95585369,0
ht_keep_n,83,5.37660000,36.06865673,8
ht_keep_n,84,3.06360000,38.65128080,4
ht_keep_n,85,4.05920000,34.99831913,4
ht_keep_n,86,5.68860000,35.24209678,4
ht_keep_n,87,4.12400000,37.07283525,4
ht_keep_n,88,2.29780000,36.05551275,0
ht_keep_n,89,2.89140000,35.11409973,0
ht_keep_n,90,1.83380000,38.47076812,0
ht_keep_n,91,3.74300000,39.72017845,5
ht_keep_n,92,4.25580000,40.13219476,4
ht_keep_n,93,3.63100000,39.81693689,5
ht_keep_n,94,5.33660000,39.70726481,5
ht_keep_n,95,4.61820000,39.52775887,6
ht_keep_n,96,3.96220000,40.78901333,5
ht_keep_n,97,3.42700000,41.76955262,4
ht_keep_n,98,2.89820000,39.30596808,4
ht_keep_n,99,3.98740000,42.09502311,5
ht_keep_n,100,4.43400000,43.44400581,5
ht_keep_n,101,2.79900000,44.21523753,5
ht_keep_n,102,5.06880000,44.60555257,5
ht_keep_n,103,3.24760000,41.64939129,4
ht_keep_n,104,2.48120000,42.80186912,0
ht_keep_n,105,3.44240000,42.86442199,4
ht_keep_n,106,3.09380000,43.06292329,4
ht_keep_n,107,4.21160000,41.59352412,7
ht_keep_n,108,5.25620000,43.63891282,8
ht_keep_n,109,2.95500000,42.21999634,4
ht_keep_n,110,4.76140000,46.21513190,4
ht_keep_n,111,2.44540000,44.90470822,6
ht_keep_n,112,3.84120000,48.87934258,4
ht_keep_n,113,4.17260000,47.52856658,6
ht_keep_n,114,3.54320000,47.23367048,5
ht_keep_n,115,5.52020000,50.09378336,7
ht_keep_n,116,4.07540000,47.51416872,6
ht_keep_n,117,4.31800000,47.96715106,4
ht_keep_n,118,5.66280000,44.17155575,4
ht_keep_n,119,2.55380000,46.10883319,4
ht_keep_n,120,3.74920000,49.93943331,4
ht_keep_n,121,5.78400000,52.04329142,8
ht_keep_n,122,3.45440000,54.13274595,4
ht_keep_n,123,1.98540000,53.03772242,0
ht_keep_n,124,3.68140000,51.12481972,4
ht_keep_n,125,5.98800000,49.72791481,5
ht_keep_n,126,4.16180000,51.06304499,4
ht_keep_n,127,3.81460000,50.43467838,4
ht_keep_n,128,3.26700000,49.92995093,0
ht_keep_n,129,4.51920000,54.66780902,7
ht_keep_n,130,7.59800000,52.86412571,4
ht_keep_n,131,6.02180000,54.79029113,7
ht_keep_n,132,3.62700000,52.67028904,4
ht_keep_n,133,4.89640000,57.04996879,4
ht_keep_n,134,5.81320000,54.66190379,6
ht_keep_n,135,2.04860000,57.21887800,0
ht_keep_n,136,3.11660000,55.33100644,5
ht_keep_n,137,7.51800000,53.99769889,4
ht_keep_n,138,5.01000000,56.01999201,6
ht_keep_n,139,4.18440000,54.78505426,4
ht_keep_n,140,4.28380000,58.67862538,5
ht_keep_n,141,9.51920000,61.77235127,5
ht_keep_n,142,7.60620000,60.07799639,4
ht_keep_n,143,4.07340000,59.71897013,6
ht_keep_n,144,4.32760000,59.37576687,6
ht_keep_n,145,6.93880000,57.29561029,8
ht_keep_n,146,3.13780000,56.87780550,6
ht_keep_n,147,4.33480000,56.50672011,10
ht_keep_n,148,3.64940000,59.47528438,4
ht_keep_n,149,2.50260000,59.56723693,8
ht_keep_n,150,5.07880000,59.17276035,6
ht_keep_n,151,2.74380000,61.29552266,4
ht_keep_n,152,4.67540000,59.63762879,5
ht_keep_n,153,3.94080000,66.12110102,0
ht_keep_n,154,3.95080000,64.66649299,4
ht_keep_n,155,4.63440000,62.64727221,6
ht_keep_n,156,3.12440000,65.51337466,6
ht_keep_n,157,7.72540000,62.74939138,8
ht_keep_n,158,6.38580000,62.29112596,8
ht_keep_n,159,4.88620000,61.73325310,4
ht_keep_n,160,5.06320000,63.67858991,6
ht_keep_n,161,4.98460000,65.31931870,4
ht_keep_n,162,7.33080000,67.04966185,4
ht_keep_n,163,3.05720000,65.12070821,7
ht_keep_n,164,7.70000000,66.07918371,4
ht_keep_n,165,8.64460000,64.28813037,5
ht_keep_n,166,3.99020000,67.11929678,0
ht_keep_n,167,6.83560000,67.88738864,5
ht_keep_n,168,4.56200000,65.38930270,5
ht_keep_n,169,4.70820000,65.12402897,6
ht_keep_n,170,4.08220000,70.31585524,7
ht_keep_n,171,5.06340000,70.93026184,4
ht_keep_n,172,4.18320000,71.17612688,4
ht_keep_n,173,6.86060000,69.17041265,7
ht_keep_n,174,4.62400000,71.16143230,4
ht_keep_n,175,4.72560000,72.22776459,7
ht_keep_n,176,3.76340000,68.19623001,5
ht_keep_n,177,4.57700000,71.47788573,6
ht_keep_n,178,6.24640000,70.67378141,4
ht_keep_n,179,6.75820000,71.63920417,5
ht_keep_n,180,3.32920000,73.04801351,6
ht_keep_n,181,6.40440000,73.17119420,7
ht_keep_n,182,11.76360000,74.83461784,5
ht_keep_n,183,4.65640000,68.82009560,5
ht_keep_n,184,5.29840000,75.74520680,6
ht_keep_n,185,3.93720000,73.33954146,8
ht_keep_n,186,2.44660000,71.77808479,6
ht_keep_n,187,3.87600000,72.19741994,4
ht_keep_n,188,5.07700000,73.01194343,4
ht_keep_n,189,3.85780000,73.43704787,0
ht_keep_n,190,3.96880000,78.67013053,4
ht_keep_n,191,4.53820000,78.46120873,4
ht_keep_n,192,5.69140000,77.65390869,12
ht_keep_n,193,4.77660000,75.88510257,6
ht_keep_n,194,7.09040000,75.43128241,4
ht_keep_n,195,6.52900000,78.54117651,5
ht_keep_n,196,6.02380000,76.57688105,4
ht_keep_n,197,7.34260000,78.78134742,5
ht_keep_n,198,5.23940000,75.02312679,8
ht_keep_n,199,4.95120000,78.42310770,5
ht_keep_n,200,3.24640000,79.28313788,6
ht_keep_n,201,4.73920000,78.67434671,4
ht_keep_n,202,3.33560000,81.23289200,8
ht_keep_n,203,6.60300000,81.50500650,4
ht_keep_n,204,7.99140000,82.73747895,7
ht_keep_n,205,5.61720000,78.80131400,4
ht_keep_n,206,6.19440000,85.40939982,4
ht_keep_n,207,6.85180000,81.46710470,8
ht_keep_n,208,5.86080000,81.62190562,7
ht_keep_n,209,5.77040000,84.21484940,5
ht_keep_n,210,5.81600000,82.40291947,6
ht_keep_n,211,7.37340000,84.41495114,4
ht_keep_n,212,4.43720000,84.89457899,7
ht_keep_n,213,6.18380000,85.71104219,6
ht_keep_n,214,4.52160000,86.08306570,7
ht_keep_n,215,5.74120000,87.57283039,4
ht_keep_n,216,3.98040000,86.18312481,7
