Map,Query Number,Time,Distance,Path Length
ht_mansion2,0,3.52040000,6.08276253,0
ht_mansion2,1,0.75100000,5.65685425,0
ht_mansion2,2,0.70180000,5.83095189,0
ht_mansion2,3,0.52200000,4.12310563,0
ht_mansion2,4,0.46360000,7.00000000,0
ht_mansion2,5,2.38980000,6.40312424,0
ht_mansion2,6,0.45640000,5.00000000,0
ht_mansion2,7,2.34060000,4.47213595,0
ht_mansion2,8,4.38180000,6.82842712,5
ht_mansion2,9,0.47360000,6.32455532,0
ht_mansion2,10,2.19100000,10.04987562,0
ht_mansion2,11,2.45000000,11.00000000,4
ht_mansion2,12,1.71040000,8.54400375,0
ht_mansion2,13,3.48400000,9.12310563,4
ht_mansion2,14,2.23520000,8.06225775,0
ht_mansion2,15,2.30660000,11.00000000,0
ht_mansion2,16,0.62580000,8.06225775,0
ht_mansion2,17,0.41440000,8.06225775,0
ht_mansion2,18,1.83620000,8.48528137,0
ht_mansion2,19,2.56400000,8.24621125,0
ht_mansion2,20,0.41240000,12.00000000,0
ht_mansion2,21,2.30580000,13.00000000,0
ht_mansion2,22,1.86760000,13.01957842,4
ht_mansion2,23,5.70840000,14.83062143,4
ht_mansion2,24,0.49000000,13.00000000,0
ht_mansion2,25,0.40280000,12.80624847,0
ht_mansion2,26,4.52900000,15.00000000,0
ht_mansion2,27,2.17740000,13.00000000,0
ht_mansion2,28,1.84140000,13.57973862,4
ht_mansion2,29,2.86260000,12.18033989,4
ht_mansion2,30,3.01520000,18.24828759,0
ht_mansion2,31,2.12860000,15.81138830,0
ht_mansion2,32,3.13460000,14.48885194,5
ht_mansion2,33,1.56720000,16.27882060,0
ht_mansion2,34,1.80820000,15.81138830,0
ht_mansion2,35,3.76280000,16.18454318,4
ht_mansion2,36,2.00380000,17.00000000,0
ht_mansion2,37,1.98960000,18.02775638,0
ht_mansion2,38,3.18660000,17.93696414,4
ht_mansion2,39,3.98160000,15.68079495,4
ht_mansion2,40,2.42900000,23.34523506,0
ht_mansion2,41,1.67900000,21.21320344,0
ht_mansion2,42,2.97920000,21.25451393,4
ht_mansion2,43,6.01800000,19.32998551,4
ht_mansion2,44,2.36480000,19.72308292,0
ht_mansion2,45,2.15800000,20.00000000,0
ht_mansion2,46,1.96020000,20.22374842,0
ht_mansion2,47,3.02080000,21.81138830,4
ht_mansion2,48,2.91300000,21.66042481,6
ht_mansion2,49,2.96220000,21.02379604,0
ht_mansion2,50,1.97080000,25.01999201,0
ht_mansion2,51,4.20680000,24.46385079,6
ht_mansion2,52,3.48300000,25.42026692,4
ht_mansion2,53,3.06740000,22.82780554,5
ht_mansion2,54,3.46320000,24.41455117,5
ht_mansion2,55,3.15460000,25.63171163,4
ht_mansion2,56,3.17300000,24.04163056,0
ht_mansion2,57,3.08180000,25.07987241,0
ht_mansion2,58,2.83000000,23.88641861,5
ht_mansion2,59,3.64680000,24.33105012,0
ht_mansion2,60,3.77200000,27.75902541,4
ht_mansion2,61,5.36060000,26.87659011,4
ht_mansion2,62,3.40540000,26.97366596,4
ht_mansion2,63,6.16760000,28.31308584,5
ht_mansion2,64,2.16560000,26.91057832,7
ht_mansion2,65,0.72180000,28.16025568,0
ht_mansion2,66,5.49180000,27.34011674,4
ht_mansion2,67,2.40640000,27.72643651,4
ht_mansion2,68,2.98420000,29.42787794,0
ht_mansion2,69,1.45780000,29.61418579,0
ht_mansion2,70,9.07440000,29.85521709,6
ht_mansion2,71,5.65400000,31.60718061,4
ht_mansion2,72,6.02040000,29.31623326,7
ht_mansion2,73,4.18920000,29.85436077,4
ht_mansion2,74,5.84500000,29.62124695,4
ht_mansion2,75,3.46440000,32.43452782,4
ht_mansion2,76,5.35060000,31.60555128,4
ht_mansion2,77,2.64940000,34.20937271,4
ht_mansion2,78,3.13960000,31.04834939,0
ht_mansion2,79,2.94500000,31.17142074,5
ht_mansion2,80,4.52060000,36.03110157,4
ht_mansion2,81,2.12740000,36.00000000,0
ht_mansion2,82,4.13240000,36.94501695,5
ht_mansion2,83,3.29560000,36.07633080,9
ht_mansion2,84,4.36100000,36.52058581,5
ht_mansion2,85,3.04140000,36.56401209,4
ht_mansion2,86,3.31680000,34.20526275,0
ht_mansion2,87,6.53160000,34.90427969,5
ht_mansion2,88,2.59120000,33.95585369,0
ht_mansion2,89,5.67460000,36.06861405,6
ht_mansion2,90,2.81000000,38.67745263,4
ht_mansion2,91,2.37840000,40.96472922,5
ht_mansion2,92,3.68660000,40.65972714,4
ht_mansion2,93,4.31380000,39.89474513,4
ht_mansion2,94,4.47520000,36.81733780,6
ht_mansion2,95,3.54220000,37.07487496,7
ht_mansion2,96,8.07160000,37.83865215,8
ht_mansion2,97,6.01000000,40.75480913,5
ht_mansion2,98,7.57460000,40.09217656,5
ht_mansion2,99,6.14040000,40.88649171,5
ht_mansion2,100,4.87300000,42.42294833,4
ht_mansion2,101,9.37480000,44.09731965,5
ht_mansion2,102,2.93040000,41.88394167,5
ht_mansion2,103,5.52900000,41.76024267,8
ht_mansion2,104,7.81360000,44.84129869,7
ht_mansion2,105,6.40340000,44.84163268,6
ht_mansion2,106,7.86700000,39.53176419,6
ht_mansion2,107,5.14100000,44.49907924,4
ht_mansion2,108,5.44180000,39.18998128,8
ht_mansion2,109,3.70620000,41.98157077,4
ht_mansion2,110,3.30360000,49.65698326,4
ht_mansion2,111,3.93820000,44.62371942,5
ht_mansion2,112,7.13560000,47.12678560,7
ht_mansion2,113,5.39500000,45.13166378,7
ht_mansion2,114,4.91020000,46.56403361,4
ht_mansion2,115,10.24960000,47.36805957,7
ht_mansion2,116,6.81480000,49.37980067,4
ht_mansion2,117,5.84840000,46.64761516,4
ht_mansion2,118,4.82320000,45.50793980,4
