Map,Query Number,Time,Distance,Path Length
ht_playershouse_n,0,2.21480000,5.06449510,4
ht_playershouse_n,1,0.43840000,5.00000000,0
ht_playershouse_n,2,0.38460000,6.08276253,0
ht_playershouse_n,3,0.43900000,6.00000000,0
ht_playershouse_n,4,0.39840000,5.83095189,0
ht_playershouse_n,5,2.09500000,7.07106781,0
ht_playershouse_n,6,0.40760000,6.70820393,0
ht_playershouse_n,7,0.31680000,5.38516481,0
ht_playershouse_n,8,1.37680000,4.12310563,0
ht_playershouse_n,9,0.49160000,4.12310563,0
ht_playershouse_n,10,1.96220000,8.54400375,0
ht_playershouse_n,11,1.29380000,8.54400375,0
ht_playershouse_n,12,0.41040000,11.18033989,0
ht_playershouse_n,13,1.19160000,8.06225775,0
ht_playershouse_n,14,1.23240000,11.00000000,0
ht_playershouse_n,15,1.19360000,10.77032961,0
ht_playershouse_n,16,0.37260000,7.61577311,0
ht_playershouse_n,17,1.34500000,10.29563014,0
ht_playershouse_n,18,1.78520000,8.24621125,0
ht_playershouse_n,19,1.44520000,7.81024968,0
ht_playershouse_n,20,1.87040000,12.04159458,0
ht_playershouse_n,21,0.99040000,14.00000000,0
ht_playershouse_n,22,2.70160000,13.28142899,4
ht_playershouse_n,23,3.89080000,14.26493029,6
ht_playershouse_n,24,0.73280000,12.16552506,0
ht_playershouse_n,25,0.38180000,12.80624847,0
ht_playershouse_n,26,0.35120000,13.03840481,0
ht_playershouse_n,27,1.83860000,12.04159458,0
ht_playershouse_n,28,1.76740000,12.08304597,0
ht_playershouse_n,29,1.28440000,14.76482306,0
ht_playershouse_n,30,1.34040000,15.62049935,0
ht_playershouse_n,31,1.58260000,17.49285568,0
ht_playershouse_n,32,3.28200000,15.27336030,4
ht_playershouse_n,33,1.68800000,17.20465053,0
ht_playershouse_n,34,2.56140000,16.03121954,0
ht_playershouse_n,35,2.25520000,18.43908891,0
ht_playershouse_n,36,3.48640000,16.16552506,4
ht_playershouse_n,37,1.50480000,16.76305461,0
ht_playershouse_n,38,1.39100000,17.80449381,0
ht_playershouse_n,39,1.44580000,17.46424920,0
ht_playershouse_n,40,1.45980000,20.39607805,0
ht_playershouse_n,41,3.11480000,22.09721835,4
ht_playershouse_n,42,2.67840000,20.97164214,4
ht_playershouse_n,43,5.04120000,19.60276593,4
ht_playershouse_n,44,1.35700000,19.23538406,0
ht_playershouse_n,45,1.87860000,22.67156810,0
ht_playershouse_n,46,1.30800000,20.24845673,0
ht_playershouse_n,47,3.53200000,21.41172018,4
ht_playershouse_n,48,2.04060000,22.00000000,0
ht_playershouse_n,49,1.88440000,21.93171220,0
ht_playershouse_n,50,2.01120000,24.79673512,4
ht_playershouse_n,51,3.57080000,25.18102600,4
ht_playershouse_n,52,3.41360000,24.90748647,6
ht_playershouse_n,53,0.37320000,23.76972865,0
ht_playershouse_n,54,3.68300000,23.93171834,4
ht_playershouse_n,55,4.04900000,23.10335672,6
ht_playershouse_n,56,3.91080000,24.40312424,5
ht_playershouse_n,57,4.66840000,23.10124292,4
ht_playershouse_n,58,3.15220000,22.83271943,4
ht_playershouse_n,59,2.56480000,23.67917630,4
ht_playershouse_n,60,1.96040000,26.41773328,5
ht_playershouse_n,61,3.33920000,28.88245611,5
ht_playershouse_n,62,3.64840000,28.73039987,4
ht_playershouse_n,63,2.48440000,26.48447749,6
ht_playershouse_n,64,3.29780000,31.11824318,4
ht_playershouse_n,65,4.34180000,24.99025510,6
ht_playershouse_n,66,3.52500000,28.92050105,5
ht_playershouse_n,67,4.18720000,29.65375131,4
ht_playershouse_n,68,3.94440000,28.47660803,4
ht_playershouse_n,69,3.24220000,30.27018921,4
ht_playershouse_n,70,2.71200000,33.89273578,6
ht_playershouse_n,71,5.61460000,32.92183036,5
ht_playershouse_n,72,4.59360000,32.17761738,6
ht_playershouse_n,73,2.47040000,33.11269837,4
ht_playershouse_n,74,2.91380000,32.52691193,0
ht_playershouse_n,75,4.64180000,32.62278753,4
ht_playershouse_n,76,5.13420000,30.80891240,4
ht_playershouse_n,77,4.55420000,30.78545191,6
ht_playershouse_n,78,2.78780000,31.81843975,4
ht_playershouse_n,79,4.37560000,33.49045715,4
ht_playershouse_n,80,3.80120000,35.94605374,5
ht_playershouse_n,81,5.42080000,35.98691042,6
ht_playershouse_n,82,4.83780000,34.40203172,4
ht_playershouse_n,83,4.96260000,36.83567074,7
ht_playershouse_n,84,3.11520000,33.09780736,5
ht_playershouse_n,85,2.60420000,34.47548558,5
ht_playershouse_n,86,3.39200000,37.15399816,4
ht_playershouse_n,87,3.90860000,36.82747061,4
ht_playershouse_n,88,3.24060000,35.37836575,7
ht_playershouse_n,89,2.63520000,33.37040646,6
ht_playershouse_n,90,2.05580000,41.42736918,4
ht_playershouse_n,91,5.97920000,41.84165534,6
ht_playershouse_n,92,5.22220000,39.50537252,6
ht_playershouse_n,93,3.73320000,39.42470201,5
ht_playershouse_n,94,4.42660000,40.30495168,5
ht_playershouse_n,95,3.10480000,36.96058762,6
ht_playershouse_n,96,4.46060000,37.83094873,4
ht_playershouse_n,97,5.66220000,41.09159388,6
ht_playershouse_n,98,5.44000000,38.73425992,4
ht_playershouse_n,99,4.25800000,38.22349411,4
ht_playershouse_n,100,4.45960000,44.23717789,6
ht_playershouse_n,101,3.83160000,44.82206821,4
ht_playershouse_n,102,4.81080000,43.31054118,4
ht_playershouse_n,103,3.91500000,45.29077109,5
ht_playershouse_n,104,3.19980000,40.71088324,7
ht_playershouse_n,105,4.08020000,43.13642660,6
ht_playershouse_n,106,4.84920000,44.60480680,5
ht_playershouse_n,107,4.43640000,41.79719482,4
ht_playershouse_n,108,6.25200000,41.62108195,6
ht_playershouse_n,109,4.65480000,44.98259966,7
ht_playershouse_n,110,3.05580000,46.82417740,4
ht_playershouse_n,111,4.35340000,45.85085098,6
ht_playershouse_n,112,3.39420000,45.92437029,8
ht_playershouse_n,113,5.11420000,46.68338983,7
ht_playershouse_n,114,4.13280000,46.27571834,6
ht_playershouse_n,115,3.89040000,45.10272110,7
ht_playershouse_n,116,3.80500000,48.82522066,8
ht_playershouse_n,117,4.12440000,46.47440391,6
ht_playershouse_n,118,2.99200000,43.67373016,9
ht_playershouse_n,119,4.71140000,48.15767249,7
ht_playershouse_n,120,3.43660000,50.54753414,6
ht_playershouse_n,121,3.93100000,51.22091667,4
ht_playershouse_n,122,3.75840000,52.32705712,6
ht_playershouse_n,123,4.97900000,48.51810187,6
ht_playershouse_n,124,2.98140000,49.49896304,4
ht_playershouse_n,125,5.30580000,51.70789335,7
ht_playershouse_n,126,5.48380000,50.63668156,6
ht_playershouse_n,127,7.10780000,52.94564412,7
ht_playershouse_n,128,2.98720000,48.08271726,8
ht_playershouse_n,129,6.06180000,52.14332158,6
ht_playershouse_n,130,6.69700000,56.70144724,6
ht_playershouse_n,131,4.45900000,54.04617478,10
ht_playershouse_n,132,6.05300000,57.09196348,7
ht_playershouse_n,133,4.59940000,53.60788101,4
ht_playershouse_n,134,3.66020000,54.53817174,7
ht_playershouse_n,135,4.09420000,56.73037208,8
ht_playershouse_n,136,4.42060000,54.18831058,7
ht_playershouse_n,137,4.62040000,54.25140770,8
ht_playershouse_n,138,4.40980000,54.26063109,7
ht_playershouse_n,139,5.09260000,54.79907809,7
ht_playershouse_n,140,4.46560000,55.53606594,6
ht_playershouse_n,141,4.80580000,56.51903319,5
ht_playershouse_n,142,6.36380000,58.46438593,6
ht_playershouse_n,143,8.70560000,57.38996883,6
ht_playershouse_n,144,6.13260000,58.96605671,6
ht_playershouse_n,145,7.38380000,58.27569961,5
ht_playershouse_n,146,4.96600000,58.38047788,7
ht_playershouse_n,147,5.30500000,56.49432202,5
ht_playershouse_n,148,6.38100000,60.71288892,5
ht_playershouse_n,149,8.50020000,58.37592319,6
ht_playershouse_n,150,4.93420000,61.02300765,6
ht_playershouse_n,151,6.24780000,62.70832480,6
ht_playershouse_n,152,4.79260000,60.88835486,6
ht_playershouse_n,153,6.06900000,62.01557138,10
ht_playershouse_n,154,5.36300000,60.81959575,8
ht_playershouse_n,155,5.51420000,61.44730227,6
ht_playershouse_n,156,4.61220000,64.07007001,7
ht_playershouse_n,157,5.28720000,60.04721847,7
ht_playershouse_n,158,6.08040000,58.74463399,7
ht_playershouse_n,159,4.09880000,64.10182090,7
ht_playershouse_n,160,4.80620000,65.32318601,8
ht_playershouse_n,161,8.90540000,69.31567244,7
ht_playershouse_n,162,6.18280000,66.46493798,7
ht_playershouse_n,163,6.50540000,66.17966871,9
ht_playershouse_n,164,5.76440000,68.10715033,8
ht_playershouse_n,165,5.07540000,64.62677003,8
ht_playershouse_n,166,3.68040000,67.18950578,8
ht_playershouse_n,167,5.96040000,64.10390497,5
ht_playershouse_n,168,8.91440000,67.45055126,6
ht_playershouse_n,169,6.82740000,64.45812647,9
ht_playershouse_n,170,3.17860000,68.79838395,12
ht_playershouse_n,171,8.50560000,69.46045674,7
ht_playershouse_n,172,3.80320000,65.95013292,9
ht_playershouse_n,173,6.36020000,72.18611012,9
ht_playershouse_n,174,3.61780000,67.90901574,6
ht_playershouse_n,175,4.23480000,68.91416849,6
ht_playershouse_n,176,7.86440000,69.13468690,7
ht_playershouse_n,177,5.24800000,68.36826017,7
ht_playershouse_n,178,5.90660000,68.65835398,9
ht_playershouse_n,179,5.38480000,71.68014001,7
ht_playershouse_n,180,3.28300000,69.13701309,12
ht_playershouse_n,181,7.00100000,74.03748707,8
ht_playershouse_n,182,6.13620000,73.04941344,9
ht_playershouse_n,183,6.30320000,72.91063121,8
ht_playershouse_n,184,5.06700000,74.96282818,8
ht_playershouse_n,185,6.91080000,74.23364290,10
ht_playershouse_n,186,5.18460000,72.84632795,6
ht_playershouse_n,187,3.29620000,71.92741079,12
ht_playershouse_n,188,5.34440000,72.92271055,9
ht_playershouse_n,189,4.40680000,73.87889866,8
ht_playershouse_n,190,6.54720000,77.06564803,9
ht_playershouse_n,191,4.67920000,75.70043899,8
ht_playershouse_n,192,5.73220000,75.79566244,8
ht_playershouse_n,193,4.04580000,78.22687998,8
ht_playershouse_n,194,5.39740000,77.60171762,9
ht_playershouse_n,195,4.20780000,76.65964695,9
ht_playershouse_n,196,5.93460000,77.72021484,9
ht_playershouse_n,197,4.49680000,75.45428077,9
ht_playershouse_n,198,4.50220000,78.04784587,9
ht_playershouse_n,199,3.48360000,76.19953651,9
ht_playershouse_n,200,6.41060000,81.55477173,10
ht_playershouse_n,201,3.64920000,79.12858050,11
ht_playershouse_n,202,4.71200000,79.05539490,8
ht_playershouse_n,203,4.74060000,82.32499020,11
ht_playershouse_n,204,6.13840000,80.04445691,10
ht_playershouse_n,205,6.15440000,79.49694346,12
ht_playershouse_n,206,5.72260000,81.00863106,10
ht_playershouse_n,207,3.46880000,79.60479494,8
ht_playershouse_n,208,6.22400000,81.37540851,11
ht_playershouse_n,209,6.84080000,83.13440224,10
ht_playershouse_n,210,3.47060000,82.31409772,10
ht_playershouse_n,211,5.28880000,86.08868754,9
ht_playershouse_n,212,3.33080000,85.78475478,8
ht_playershouse_n,213,4.86140000,85.72020063,11
ht_playershouse_n,214,5.25040000,84.61485577,11
ht_playershouse_n,215,6.02880000,84.49499463,10
ht_playershouse_n,216,5.32740000,83.51588665,9
ht_playershouse_n,217,7.05060000,85.46627766,10
ht_playershouse_n,218,5.57800000,86.24804887,11
ht_playershouse_n,219,6.27400000,85.09972558,7
ht_playershouse_n,220,6.22440000,89.66672583,8
ht_playershouse_n,221,5.45540000,88.50820765,8
ht_playershouse_n,222,3.88640000,88.39908541,10
ht_playershouse_n,223,4.52440000,88.46042416,8
ht_playershouse_n,224,4.46980000,87.69802270,11
ht_playershouse_n,225,5.28660000,90.59931190,9
ht_playershouse_n,226,4.26560000,88.42561751,10
ht_playershouse_n,227,5.79840000,86.91545545,11
ht_playershouse_n,228,7.13200000,88.63312752,8
ht_playershouse_n,229,5.21720000,90.53672812,9
ht_playershouse_n,230,5.14980000,90.37544442,10
ht_playershouse_n,231,5.54540000,90.93627341,11
ht_playershouse_n,232,4.52740000,91.95513601,10
ht_playershouse_n,233,4.16820000,92.18221323,8
ht_playershouse_n,234,4.07800000,91.69489274,10
ht_playershouse_n,235,5.83620000,93.04674956,11
ht_playershouse_n,236,5.79640000,92.19848140,11
ht_playershouse_n,237,4.07960000,90.61453716,11
ht_playershouse_n,238,4.60980000,93.47766775,10
ht_playershouse_n,239,5.46040000,94.67530243,8
ht_playershouse_n,240,5.89080000,95.66307904,9
ht_playershouse_n,241,6.52600000,94.23599832,10
ht_playershouse_n,242,3.53240000,93.73003950,11
ht_playershouse_n,243,6.46900000,96.48260482,10
ht_playershouse_n,244,3.17780000,96.52668779,9
ht_playershouse_n,245,5.69480000,96.87043800,13
ht_playershouse_n,246,4.73860000,97.40223259,10
ht_playershouse_n,247,4.13080000,96.29339547,9
