Map,Query Number,Time,Distance,Path Length
ht_store,0,1.41300000,7.21110255,0
ht_store,1,1.20660000,5.00000000,0
ht_store,2,0.26800000,4.12310563,0
ht_store,3,1.52500000,5.38516481,0
ht_store,4,0.29640000,6.32455532,0
ht_store,5,0.34160000,4.24264069,0
ht_store,6,2.97860000,3.16227766,0
ht_store,7,1.30140000,7.07106781,0
ht_store,8,0.21940000,7.21110255,0
ht_store,9,1.20480000,6.08276253,0
ht_store,10,1.26440000,9.21954446,0
ht_store,11,0.31240000,8.06225775,0
ht_store,12,0.24140000,8.06225775,0
ht_store,13,0.30760000,9.21954446,0
ht_store,14,0.79800000,8.06225775,0
ht_store,15,1.11500000,11.04536102,0
ht_store,16,1.08440000,10.63014581,0
ht_store,17,1.01900000,8.06225775,0
ht_store,18,1.04560000,8.06225775,0
ht_store,19,2.73140000,9.34166020,4
ht_store,20,2.10340000,12.09901951,4
ht_store,21,0.29620000,12.64911064,0
ht_store,22,2.00460000,14.41421356,5
ht_store,23,1.10040000,13.34166406,0
ht_store,24,1.85980000,11.32455532,4
ht_store,25,1.04300000,13.03840481,0
ht_store,26,1.99340000,12.60838700,4
ht_store,27,1.85240000,12.38182212,4
ht_store,28,1.16400000,12.64911064,0
ht_store,29,1.37560000,15.00000000,0
ht_store,30,2.00100000,17.91926251,4
ht_store,31,2.12480000,14.65685425,4
ht_store,32,1.78740000,19.02629759,0
ht_store,33,0.26700000,17.00000000,0
ht_store,34,1.01020000,16.12451550,0
ht_store,35,1.45280000,15.81138830,0
ht_store,36,1.17240000,16.03121954,0
ht_store,37,1.90840000,18.70820393,4
ht_store,38,1.15180000,18.43908891,0
ht_store,39,2.18140000,17.43398113,5
ht_store,40,1.31860000,22.02271555,0
ht_store,41,2.03040000,21.50152232,4
ht_store,42,2.11840000,19.76092574,4
ht_store,43,2.69300000,21.25696034,4
ht_store,44,2.34820000,20.92485885,4
ht_store,45,1.11140000,21.18962010,0
ht_store,46,2.32780000,21.19803903,5
ht_store,47,1.29120000,21.37755833,0
ht_store,48,2.23020000,19.84885780,4
ht_store,49,1.78540000,18.68154169,0
ht_store,50,1.49200000,26.17903662,5
ht_store,51,1.36420000,22.84731932,0
ht_store,52,1.98320000,22.73527725,4
ht_store,53,1.99340000,25.49509757,0
ht_store,54,2.16620000,25.00322476,4
ht_store,55,1.56280000,23.08679276,0
ht_store,56,1.83220000,25.69033276,4
ht_store,57,1.72740000,23.61860693,4
ht_store,58,1.68400000,25.62123278,8
ht_store,59,1.93980000,24.61345120,4
ht_store,60,2.22580000,25.91521989,4
ht_store,61,2.11580000,28.28427125,0
ht_store,62,1.47560000,26.22043550,4
ht_store,63,1.94360000,28.92793124,4
ht_store,64,1.40400000,27.00089104,5
ht_store,65,2.11640000,26.47640459,0
ht_store,66,1.16280000,26.22043550,4
ht_store,67,2.02640000,29.15475947,0
ht_store,68,1.83160000,27.31300057,0
ht_store,69,1.88780000,27.30907633,4
