Map,Query Number,Time,Distance,Path Length
lt_0_lowtown_a2_n_c,0,1.04220000,5.09901951,0
lt_0_lowtown_a2_n_c,1,0.52220000,5.83095189,0
lt_0_lowtown_a2_n_c,2,0.49240000,6.00000000,0
lt_0_lowtown_a2_n_c,3,0.53340000,6.08276253,0
lt_0_lowtown_a2_n_c,4,2.97820000,7.00000000,0
lt_0_lowtown_a2_n_c,5,2.12680000,7.21110255,0
lt_0_lowtown_a2_n_c,6,0.68700000,4.24264069,0
lt_0_lowtown_a2_n_c,7,1.59720000,5.00000000,0
lt_0_lowtown_a2_n_c,8,1.85360000,7.21110255,0
lt_0_lowtown_a2_n_c,9,1.38740000,5.83095189,0
lt_0_lowtown_a2_n_c,10,0.68120000,9.43398113,0
lt_0_lowtown_a2_n_c,11,0.60460000,8.06225775,0
lt_0_lowtown_a2_n_c,12,1.66100000,9.21954446,0
lt_0_lowtown_a2_n_c,13,2.15660000,10.04987562,0
lt_0_lowtown_a2_n_c,14,0.42800000,10.81665383,0
lt_0_lowtown_a2_n_c,15,0.63900000,7.61577311,0
lt_0_lowtown_a2_n_c,16,0.48640000,11.18033989,0
lt_0_lowtown_a2_n_c,17,0.54020000,10.04987562,0
lt_0_lowtown_a2_n_c,18,1.69680000,11.40175425,0
lt_0_lowtown_a2_n_c,19,0.56620000,8.24621125,0
lt_0_lowtown_a2_n_c,20,0.58120000,14.56021978,0
lt_0_lowtown_a2_n_c,21,2.69800000,11.70469991,0
lt_0_lowtown_a2_n_c,22,0.51080000,13.92838828,0
lt_0_lowtown_a2_n_c,23,2.08940000,12.16552506,0
lt_0_lowtown_a2_n_c,24,1.32520000,12.00000000,0
lt_0_lowtown_a2_n_c,25,2.41420000,12.64911064,0
lt_0_lowtown_a2_n_c,26,2.62200000,12.53169812,4
lt_0_lowtown_a2_n_c,27,2.30040000,11.70469991,0
lt_0_lowtown_a2_n_c,28,2.18640000,13.03840481,0
lt_0_lowtown_a2_n_c,29,2.60180000,14.76482306,0
lt_0_lowtown_a2_n_c,30,1.81480000,17.69180601,0
lt_0_lowtown_a2_n_c,31,1.46620000,15.65247584,0
lt_0_lowtown_a2_n_c,32,1.90200000,15.26433752,0
lt_0_lowtown_a2_n_c,33,2.34760000,15.62049935,0
lt_0_lowtown_a2_n_c,34,3.21420000,18.11077028,0
lt_0_lowtown_a2_n_c,35,1.35400000,17.72004515,0
lt_0_lowtown_a2_n_c,36,0.59980000,19.02629759,0
lt_0_lowtown_a2_n_c,37,2.46780000,17.08800749,0
lt_0_lowtown_a2_n_c,38,1.72440000,16.55294536,0
lt_0_lowtown_a2_n_c,39,0.50700000,19.10497317,0
lt_0_lowtown_a2_n_c,40,0.53920000,19.41648784,0
lt_0_lowtown_a2_n_c,41,3.57540000,23.09901951,4
lt_0_lowtown_a2_n_c,42,2.54140000,19.64688270,0
lt_0_lowtown_a2_n_c,43,1.22100000,21.02379604,0
lt_0_lowtown_a2_n_c,44,0.51660000,18.86796226,0
lt_0_lowtown_a2_n_c,45,2.62580000,21.93190378,4
lt_0_lowtown_a2_n_c,46,0.39800000,21.02379604,0
lt_0_lowtown_a2_n_c,47,0.52120000,22.13594362,0
lt_0_lowtown_a2_n_c,48,2.11020000,21.02379604,0
lt_0_lowtown_a2_n_c,49,2.38500000,19.23538406,0
lt_0_lowtown_a2_n_c,50,0.43480000,24.18677324,0
lt_0_lowtown_a2_n_c,51,1.24700000,27.58622845,0
lt_0_lowtown_a2_n_c,52,1.22500000,27.07397274,0
lt_0_lowtown_a2_n_c,53,0.36980000,26.07680962,0
lt_0_lowtown_a2_n_c,54,2.20900000,26.01922366,0
lt_0_lowtown_a2_n_c,55,4.06220000,22.36091598,5
lt_0_lowtown_a2_n_c,56,1.90580000,23.02172887,0
lt_0_lowtown_a2_n_c,57,4.11700000,25.00000000,5
lt_0_lowtown_a2_n_c,58,3.33940000,24.69180601,4
lt_0_lowtown_a2_n_c,59,0.50600000,24.59674775,0
lt_0_lowtown_a2_n_c,60,2.04480000,30.14962686,0
lt_0_lowtown_a2_n_c,61,1.73600000,26.92582404,0
lt_0_lowtown_a2_n_c,62,2.41780000,29.83286778,0
lt_0_lowtown_a2_n_c,63,5.19320000,29.60168482,4
lt_0_lowtown_a2_n_c,64,3.76060000,27.64331698,4
lt_0_lowtown_a2_n_c,65,1.73460000,27.89265136,0
lt_0_lowtown_a2_n_c,66,1.07300000,28.01785145,0
lt_0_lowtown_a2_n_c,67,4.97940000,27.49242250,4
lt_0_lowtown_a2_n_c,68,2.07880000,26.92582404,0
lt_0_lowtown_a2_n_c,69,1.67960000,28.01785145,0
lt_0_lowtown_a2_n_c,70,5.40860000,30.60967985,7
lt_0_lowtown_a2_n_c,71,2.84300000,32.01562119,0
lt_0_lowtown_a2_n_c,72,3.67560000,32.81497113,4
lt_0_lowtown_a2_n_c,73,2.62620000,30.80584360,0
lt_0_lowtown_a2_n_c,74,0.43080000,33.24154028,0
lt_0_lowtown_a2_n_c,75,5.10200000,31.18054043,5
lt_0_lowtown_a2_n_c,76,4.23400000,33.60535756,4
lt_0_lowtown_a2_n_c,77,2.44940000,31.94126562,6
lt_0_lowtown_a2_n_c,78,1.17000000,31.30495168,0
lt_0_lowtown_a2_n_c,79,0.46740000,30.01666204,0
lt_0_lowtown_a2_n_c,80,2.83560000,35.90264614,0
lt_0_lowtown_a2_n_c,81,1.49680000,35.51056181,0
lt_0_lowtown_a2_n_c,82,2.78060000,36.26700331,4
lt_0_lowtown_a2_n_c,83,1.10640000,35.73513677,0
lt_0_lowtown_a2_n_c,84,2.28260000,34.52535300,0
lt_0_lowtown_a2_n_c,85,3.56560000,34.78505426,0
lt_0_lowtown_a2_n_c,86,3.26900000,36.34556369,0
lt_0_lowtown_a2_n_c,87,0.57720000,34.88552709,0
lt_0_lowtown_a2_n_c,88,1.36340000,37.53664876,0
lt_0_lowtown_a2_n_c,89,7.25860000,35.12940609,4
lt_0_lowtown_a2_n_c,90,3.65680000,39.62322551,0
lt_0_lowtown_a2_n_c,91,4.41380000,41.61730409,0
lt_0_lowtown_a2_n_c,92,7.88600000,41.47635168,8
lt_0_lowtown_a2_n_c,93,1.73780000,41.95941995,4
lt_0_lowtown_a2_n_c,94,5.23140000,40.76287382,6
lt_0_lowtown_a2_n_c,95,5.42140000,39.71464863,5
lt_0_lowtown_a2_n_c,96,1.15880000,41.43669871,0
lt_0_lowtown_a2_n_c,97,4.01600000,39.56008089,0
lt_0_lowtown_a2_n_c,98,5.48800000,40.31260808,6
lt_0_lowtown_a2_n_c,99,4.03020000,39.33350505,4
lt_0_lowtown_a2_n_c,100,5.49900000,46.10231713,4
lt_0_lowtown_a2_n_c,101,3.68880000,45.96737974,0
lt_0_lowtown_a2_n_c,102,5.37780000,42.40976071,5
lt_0_lowtown_a2_n_c,103,4.16360000,44.56594695,4
lt_0_lowtown_a2_n_c,104,3.20560000,43.82921400,0
lt_0_lowtown_a2_n_c,105,0.55220000,46.04345773,0
lt_0_lowtown_a2_n_c,106,4.37140000,41.04222147,4
lt_0_lowtown_a2_n_c,107,3.21160000,41.77319715,0
lt_0_lowtown_a2_n_c,108,3.15060000,43.87250742,9
lt_0_lowtown_a2_n_c,109,2.04060000,42.04759208,0
lt_0_lowtown_a2_n_c,110,5.93880000,46.22769733,0
lt_0_lowtown_a2_n_c,111,5.83240000,46.03771594,5
lt_0_lowtown_a2_n_c,112,4.92280000,48.06225775,4
lt_0_lowtown_a2_n_c,113,7.73640000,45.50505636,5
lt_0_lowtown_a2_n_c,114,3.24240000,45.69367651,4
lt_0_lowtown_a2_n_c,115,1.64400000,47.16990566,0
lt_0_lowtown_a2_n_c,116,2.57540000,49.36598019,0
lt_0_lowtown_a2_n_c,117,1.91500000,48.04164860,0
lt_0_lowtown_a2_n_c,118,4.66360000,47.01063709,0
lt_0_lowtown_a2_n_c,119,6.75460000,47.73986152,6
lt_0_lowtown_a2_n_c,120,5.09640000,51.06343816,4
lt_0_lowtown_a2_n_c,121,5.20200000,48.60660000,8
lt_0_lowtown_a2_n_c,122,4.07940000,51.93433701,4
lt_0_lowtown_a2_n_c,123,2.83960000,53.33854141,0
lt_0_lowtown_a2_n_c,124,5.08540000,49.77722635,6
lt_0_lowtown_a2_n_c,125,8.51280000,46.96012507,8
lt_0_lowtown_a2_n_c,126,6.05340000,49.51151443,6
lt_0_lowtown_a2_n_c,127,7.01540000,51.54103222,4
lt_0_lowtown_a2_n_c,128,5.33480000,48.10261724,5
lt_0_lowtown_a2_n_c,129,3.98980000,52.47815070,4
lt_0_lowtown_a2_n_c,130,4.95020000,57.00262453,6
lt_0_lowtown_a2_n_c,131,6.04980000,53.39823923,4
lt_0_lowtown_a2_n_c,132,5.86700000,54.48935339,4
lt_0_lowtown_a2_n_c,133,8.84880000,55.03460951,7
lt_0_lowtown_a2_n_c,134,6.37080000,54.45485079,4
lt_0_lowtown_a2_n_c,135,5.15620000,52.45036319,4
lt_0_lowtown_a2_n_c,136,5.24760000,57.02775638,4
lt_0_lowtown_a2_n_c,137,1.85000000,56.94248608,4
lt_0_lowtown_a2_n_c,138,13.66860000,56.02319350,5
lt_0_lowtown_a2_n_c,139,8.32100000,56.30094117,4
lt_0_lowtown_a2_n_c,140,5.71240000,56.08029957,0
lt_0_lowtown_a2_n_c,141,5.34420000,60.48737068,6
lt_0_lowtown_a2_n_c,142,6.74800000,57.57669712,4
lt_0_lowtown_a2_n_c,143,4.62700000,56.79788728,0
lt_0_lowtown_a2_n_c,144,5.79120000,62.51466774,5
lt_0_lowtown_a2_n_c,145,3.20840000,58.94064811,0
lt_0_lowtown_a2_n_c,146,4.76480000,57.17063580,6
lt_0_lowtown_a2_n_c,147,5.26500000,57.91990207,4
lt_0_lowtown_a2_n_c,148,4.69520000,56.87679344,5
lt_0_lowtown_a2_n_c,149,4.61760000,58.33364613,4
lt_0_lowtown_a2_n_c,150,6.27840000,61.15719065,5
lt_0_lowtown_a2_n_c,151,9.89460000,60.97935723,12
lt_0_lowtown_a2_n_c,152,11.65560000,60.39547469,5
lt_0_lowtown_a2_n_c,153,4.97900000,61.06174073,4
lt_0_lowtown_a2_n_c,154,6.02840000,65.00667673,6
lt_0_lowtown_a2_n_c,155,2.29760000,59.76582207,4
lt_0_lowtown_a2_n_c,156,5.68540000,61.50488807,4
lt_0_lowtown_a2_n_c,157,6.63360000,63.33124318,4
lt_0_lowtown_a2_n_c,158,5.53500000,59.90862607,4
lt_0_lowtown_a2_n_c,159,5.62440000,63.73967224,8
lt_0_lowtown_a2_n_c,160,5.81600000,65.84384722,4
lt_0_lowtown_a2_n_c,161,8.97140000,66.16309158,7
lt_0_lowtown_a2_n_c,162,9.46240000,64.76581409,4
lt_0_lowtown_a2_n_c,163,7.20580000,66.92650602,7
lt_0_lowtown_a2_n_c,164,7.51400000,67.19803343,7
lt_0_lowtown_a2_n_c,165,8.73700000,69.57115224,4
lt_0_lowtown_a2_n_c,166,6.80240000,67.36058348,8
lt_0_lowtown_a2_n_c,167,5.99060000,65.57259747,14
lt_0_lowtown_a2_n_c,168,4.81180000,64.67680982,6
lt_0_lowtown_a2_n_c,169,0.60300000,68.06614430,0
lt_0_lowtown_a2_n_c,170,5.27620000,70.84529316,5
lt_0_lowtown_a2_n_c,171,10.58120000,69.00986608,8
lt_0_lowtown_a2_n_c,172,5.27200000,69.46718680,6
lt_0_lowtown_a2_n_c,173,2.71340000,69.99070321,4
lt_0_lowtown_a2_n_c,174,9.28420000,71.70183318,4
lt_0_lowtown_a2_n_c,175,4.47820000,69.60258417,11
lt_0_lowtown_a2_n_c,176,5.03840000,68.74134844,4
lt_0_lowtown_a2_n_c,177,8.74940000,70.62324280,4
lt_0_lowtown_a2_n_c,178,3.58820000,72.02777242,0
lt_0_lowtown_a2_n_c,179,3.59760000,70.28804590,4
lt_0_lowtown_a2_n_c,180,7.47920000,75.16437305,6
lt_0_lowtown_a2_n_c,181,6.41560000,71.61232563,4
lt_0_lowtown_a2_n_c,182,7.04320000,71.53971997,5
lt_0_lowtown_a2_n_c,183,7.41280000,75.30652233,7
lt_0_lowtown_a2_n_c,184,8.18140000,73.59339169,9
lt_0_lowtown_a2_n_c,185,4.84960000,72.99246500,6
lt_0_lowtown_a2_n_c,186,9.13000000,72.22553760,8
lt_0_lowtown_a2_n_c,187,7.51700000,74.94435312,4
