Map,Query Number,Time,Distance,Path Length
lt_0_lowtown_docks,0,2.81800000,5.00000000,0
lt_0_lowtown_docks,1,3.40920000,4.12310563,0
lt_0_lowtown_docks,2,0.64480000,5.09901951,0
lt_0_lowtown_docks,3,0.66500000,6.40312424,0
lt_0_lowtown_docks,4,2.56060000,5.09901951,0
lt_0_lowtown_docks,5,0.67900000,7.21110255,0
lt_0_lowtown_docks,6,0.48240000,6.40312424,0
lt_0_lowtown_docks,7,2.72840000,5.00000000,0
lt_0_lowtown_docks,8,3.22120000,5.38516481,0
lt_0_lowtown_docks,9,0.51960000,5.09901951,0
lt_0_lowtown_docks,10,0.64220000,10.19803903,0
lt_0_lowtown_docks,11,0.64020000,10.77032961,0
lt_0_lowtown_docks,12,0.62440000,10.00000000,0
lt_0_lowtown_docks,13,1.97840000,10.00000000,0
lt_0_lowtown_docks,14,0.56580000,10.00000000,0
lt_0_lowtown_docks,15,0.45960000,11.18033989,0
lt_0_lowtown_docks,16,0.41800000,10.44030651,0
lt_0_lowtown_docks,17,0.50620000,9.48683298,0
lt_0_lowtown_docks,18,2.42620000,10.03952968,4
lt_0_lowtown_docks,19,3.24100000,10.39834564,5
lt_0_lowtown_docks,20,2.96480000,13.03840481,0
lt_0_lowtown_docks,21,2.60540000,14.86606875,0
lt_0_lowtown_docks,22,2.65680000,13.45362405,0
lt_0_lowtown_docks,23,2.10680000,14.86606875,0
lt_0_lowtown_docks,24,0.49300000,12.80624847,0
lt_0_lowtown_docks,25,2.51940000,11.89949494,4
lt_0_lowtown_docks,26,2.22760000,14.14213562,0
lt_0_lowtown_docks,27,3.99340000,14.31782106,0
lt_0_lowtown_docks,28,0.44440000,12.00000000,0
lt_0_lowtown_docks,29,0.72340000,11.18033989,0
lt_0_lowtown_docks,30,1.83760000,18.02775638,0
lt_0_lowtown_docks,31,2.75500000,17.02938637,0
lt_0_lowtown_docks,32,1.96580000,19.20937271,0
lt_0_lowtown_docks,33,1.22440000,18.60107524,0
lt_0_lowtown_docks,34,2.09860000,18.43908891,0
lt_0_lowtown_docks,35,0.61880000,18.02775638,0
lt_0_lowtown_docks,36,2.76580000,16.15549442,0
lt_0_lowtown_docks,37,3.20940000,18.02775638,0
lt_0_lowtown_docks,38,1.87700000,16.03840481,4
lt_0_lowtown_docks,39,1.83240000,15.26433752,0
lt_0_lowtown_docks,40,2.12700000,20.61552813,0
lt_0_lowtown_docks,41,3.39980000,19.23538406,0
lt_0_lowtown_docks,42,3.85600000,20.10654957,6
lt_0_lowtown_docks,43,0.53100000,21.26029163,0
lt_0_lowtown_docks,44,3.49400000,22.09072203,0
lt_0_lowtown_docks,45,2.73080000,21.93171220,0
lt_0_lowtown_docks,46,2.27720000,20.22374842,0
lt_0_lowtown_docks,47,3.14160000,22.20360331,0
lt_0_lowtown_docks,48,2.15700000,18.86796226,0
lt_0_lowtown_docks,49,3.16360000,22.02271555,0
lt_0_lowtown_docks,50,7.05400000,25.91841776,5
lt_0_lowtown_docks,51,3.14800000,24.33105012,0
lt_0_lowtown_docks,52,4.39580000,23.34194204,8
lt_0_lowtown_docks,53,2.31380000,24.18677324,0
lt_0_lowtown_docks,54,2.71960000,26.90724809,0
lt_0_lowtown_docks,55,2.77060000,23.08679276,0
lt_0_lowtown_docks,56,3.10140000,24.75883681,0
lt_0_lowtown_docks,57,3.63300000,24.00945607,4
lt_0_lowtown_docks,58,6.99020000,23.97252734,5
lt_0_lowtown_docks,59,1.97020000,25.49509757,0
lt_0_lowtown_docks,60,4.00600000,28.07133770,0
lt_0_lowtown_docks,61,1.92240000,29.27456234,0
lt_0_lowtown_docks,62,2.44300000,29.42787794,0
lt_0_lowtown_docks,63,3.40780000,29.15475947,0
lt_0_lowtown_docks,64,2.54660000,26.24880950,0
lt_0_lowtown_docks,65,3.38240000,27.73084925,0
lt_0_lowtown_docks,66,3.87740000,27.27250884,4
lt_0_lowtown_docks,67,4.70140000,27.19882144,4
lt_0_lowtown_docks,68,4.96260000,27.01851217,0
lt_0_lowtown_docks,69,0.53040000,28.86173938,0
lt_0_lowtown_docks,70,5.24700000,31.73288209,4
lt_0_lowtown_docks,71,3.97300000,33.13608305,0
lt_0_lowtown_docks,72,3.69580000,31.95309062,0
lt_0_lowtown_docks,73,3.64160000,31.46406925,4
lt_0_lowtown_docks,74,4.69260000,33.39286604,4
lt_0_lowtown_docks,75,4.32440000,32.76683196,4
lt_0_lowtown_docks,76,2.07860000,32.24903099,0
lt_0_lowtown_docks,77,3.90360000,32.50245216,4
lt_0_lowtown_docks,78,2.87180000,29.73977658,4
lt_0_lowtown_docks,79,5.80660000,31.24099870,0
lt_0_lowtown_docks,80,5.30960000,34.92849839,0
lt_0_lowtown_docks,81,0.55420000,37.21558813,0
lt_0_lowtown_docks,82,5.80020000,35.51362621,4
