Map,Query Number,Time,Distance,Path Length
lt_0_lowtown_docks_a3,0,1.18200000,5.65685425,0
lt_0_lowtown_docks_a3,1,2.67360000,5.53731919,4
lt_0_lowtown_docks_a3,2,3.49300000,5.99070478,4
lt_0_lowtown_docks_a3,3,2.31480000,7.07106781,0
lt_0_lowtown_docks_a3,4,0.56920000,5.09901951,0
lt_0_lowtown_docks_a3,5,0.50980000,5.09901951,0
lt_0_lowtown_docks_a3,6,0.59840000,6.08276253,0
lt_0_lowtown_docks_a3,7,2.43820000,6.08276253,0
lt_0_lowtown_docks_a3,8,3.50200000,4.47213595,0
lt_0_lowtown_docks_a3,9,0.49820000,7.07106781,0
lt_0_lowtown_docks_a3,10,0.48980000,11.18033989,0
lt_0_lowtown_docks_a3,11,2.75420000,7.81024968,0
lt_0_lowtown_docks_a3,12,0.53920000,7.81024968,0
lt_0_lowtown_docks_a3,13,0.48920000,7.61577311,0
lt_0_lowtown_docks_a3,14,0.46800000,10.00000000,0
lt_0_lowtown_docks_a3,15,1.66180000,10.00000000,0
lt_0_lowtown_docks_a3,16,2.15160000,10.77032961,0
lt_0_lowtown_docks_a3,17,0.59660000,7.81024968,0
lt_0_lowtown_docks_a3,18,3.26720000,9.48683298,0
lt_0_lowtown_docks_a3,19,2.33400000,10.63014581,0
lt_0_lowtown_docks_a3,20,1.56700000,11.66190379,0
lt_0_lowtown_docks_a3,21,0.41020000,13.45362405,0
lt_0_lowtown_docks_a3,22,1.71140000,14.56021978,0
lt_0_lowtown_docks_a3,23,0.45540000,13.03840481,0
lt_0_lowtown_docks_a3,24,2.90900000,14.53300065,4
lt_0_lowtown_docks_a3,25,1.73580000,12.04159458,0
lt_0_lowtown_docks_a3,26,2.03320000,14.31782106,0
lt_0_lowtown_docks_a3,27,1.52100000,14.86606875,0
lt_0_lowtown_docks_a3,28,0.51460000,13.34166406,0
lt_0_lowtown_docks_a3,29,1.26420000,12.04159458,0
lt_0_lowtown_docks_a3,30,0.41660000,16.00000000,0
lt_0_lowtown_docks_a3,31,1.72640000,19.10497317,0
lt_0_lowtown_docks_a3,32,2.81720000,16.49242250,0
lt_0_lowtown_docks_a3,33,2.44000000,18.43398113,5
lt_0_lowtown_docks_a3,34,0.67820000,16.76305461,0
lt_0_lowtown_docks_a3,35,0.45260000,18.11077028,0
lt_0_lowtown_docks_a3,36,2.45660000,19.00000000,0
