Map,Query Number,Time,Distance,Path Length
lt_0_lowtown_docks_n,0,2.49160000,5.83095189,0
lt_0_lowtown_docks_n,1,0.62920000,6.40312424,0
lt_0_lowtown_docks_n,2,0.47280000,7.28010989,0
lt_0_lowtown_docks_n,3,1.90100000,5.38516481,0
lt_0_lowtown_docks_n,4,0.71700000,7.21110255,0
lt_0_lowtown_docks_n,5,0.47740000,7.28010989,0
lt_0_lowtown_docks_n,6,2.59980000,6.40312424,0
lt_0_lowtown_docks_n,7,2.08080000,5.09901951,0
lt_0_lowtown_docks_n,8,2.52460000,7.00000000,0
lt_0_lowtown_docks_n,9,0.39260000,7.07106781,0
lt_0_lowtown_docks_n,10,0.54680000,10.63014581,0
lt_0_lowtown_docks_n,11,2.03400000,10.00000000,0
lt_0_lowtown_docks_n,12,3.64960000,7.81024968,0
lt_0_lowtown_docks_n,13,0.45880000,9.00000000,0
lt_0_lowtown_docks_n,14,2.02880000,7.81024968,0
lt_0_lowtown_docks_n,15,2.01360000,8.06225775,0
lt_0_lowtown_docks_n,16,0.45960000,10.04987562,0
lt_0_lowtown_docks_n,17,3.55400000,7.83095189,4
lt_0_lowtown_docks_n,18,3.07480000,11.04536102,0
lt_0_lowtown_docks_n,19,0.46340000,7.81024968,0
lt_0_lowtown_docks_n,20,2.16020000,12.04159458,0
lt_0_lowtown_docks_n,21,2.06360000,13.41640786,0
lt_0_lowtown_docks_n,22,1.14360000,14.14213562,0
lt_0_lowtown_docks_n,23,3.59600000,13.08276253,4
lt_0_lowtown_docks_n,24,1.39420000,14.21267040,0
lt_0_lowtown_docks_n,25,2.14740000,14.76482306,0
lt_0_lowtown_docks_n,26,2.71300000,13.60147051,0
lt_0_lowtown_docks_n,27,0.57000000,12.52996409,0
lt_0_lowtown_docks_n,28,2.44400000,13.45362405,0
lt_0_lowtown_docks_n,29,0.53280000,14.86606875,0
lt_0_lowtown_docks_n,30,1.99780000,17.08800749,0
lt_0_lowtown_docks_n,31,1.41080000,18.02775638,0
lt_0_lowtown_docks_n,32,2.34040000,18.02775638,0
lt_0_lowtown_docks_n,33,3.36600000,15.26433752,0
lt_0_lowtown_docks_n,34,0.55340000,18.02775638,0
lt_0_lowtown_docks_n,35,1.39600000,18.35755975,0
lt_0_lowtown_docks_n,36,0.48260000,14.86606875,0
lt_0_lowtown_docks_n,37,1.69360000,15.65247584,0
lt_0_lowtown_docks_n,38,2.71600000,18.11077028,0
lt_0_lowtown_docks_n,39,1.92580000,15.26433752,0
lt_0_lowtown_docks_n,40,0.55440000,18.97366596,0
lt_0_lowtown_docks_n,41,0.67520000,19.41648784,0
lt_0_lowtown_docks_n,42,2.69960000,20.61552813,0
lt_0_lowtown_docks_n,43,2.98140000,21.47091055,0
lt_0_lowtown_docks_n,44,3.44220000,21.59144202,4
lt_0_lowtown_docks_n,45,2.85540000,18.86796226,0
lt_0_lowtown_docks_n,46,3.58980000,21.08800749,4
lt_0_lowtown_docks_n,47,4.71360000,21.09502311,0
lt_0_lowtown_docks_n,48,1.72740000,19.31320792,0
lt_0_lowtown_docks_n,49,4.25640000,22.80350850,0
lt_0_lowtown_docks_n,50,5.06360000,23.70530252,4
lt_0_lowtown_docks_n,51,1.99680000,25.07987241,0
lt_0_lowtown_docks_n,52,1.41400000,25.45584412,0
lt_0_lowtown_docks_n,53,1.98920000,23.19482701,0
lt_0_lowtown_docks_n,54,3.30280000,24.83948470,0
lt_0_lowtown_docks_n,55,0.65680000,24.51530134,0
lt_0_lowtown_docks_n,56,3.17000000,25.55849663,4
lt_0_lowtown_docks_n,57,4.26080000,23.31590280,4
lt_0_lowtown_docks_n,58,1.90400000,25.70992026,0
lt_0_lowtown_docks_n,59,4.20520000,25.80697580,0
lt_0_lowtown_docks_n,60,5.09420000,28.44292531,0
lt_0_lowtown_docks_n,61,2.99760000,28.84441020,0
lt_0_lowtown_docks_n,62,5.72540000,25.31782106,4
lt_0_lowtown_docks_n,63,2.48260000,27.73084925,0
lt_0_lowtown_docks_n,64,0.50760000,30.06659276,0
lt_0_lowtown_docks_n,65,4.23820000,28.59588863,4
lt_0_lowtown_docks_n,66,3.27720000,29.06888371,0
lt_0_lowtown_docks_n,67,3.07680000,29.41311123,4
lt_0_lowtown_docks_n,68,2.28880000,29.15475947,0
lt_0_lowtown_docks_n,69,3.88800000,26.57066051,0
lt_0_lowtown_docks_n,70,3.29600000,34.13209633,0
lt_0_lowtown_docks_n,71,6.57680000,29.73213749,0
lt_0_lowtown_docks_n,72,4.28620000,33.20305543,4
lt_0_lowtown_docks_n,73,1.91160000,30.01666204,0
lt_0_lowtown_docks_n,74,2.90740000,30.87069808,0
lt_0_lowtown_docks_n,75,4.68460000,33.30165161,0
lt_0_lowtown_docks_n,76,2.17400000,32.69556545,0
lt_0_lowtown_docks_n,77,4.36380000,30.59411708,0
lt_0_lowtown_docks_n,78,4.18620000,32.70843978,5
lt_0_lowtown_docks_n,79,3.99480000,31.17624316,4
lt_0_lowtown_docks_n,80,4.05720000,34.52908915,4
lt_0_lowtown_docks_n,81,4.71400000,35.34119409,0
lt_0_lowtown_docks_n,82,5.65300000,35.73852779,4
lt_0_lowtown_docks_n,83,4.65620000,34.57203326,4
lt_0_lowtown_docks_n,84,5.23880000,34.71310992,0
lt_0_lowtown_docks_n,85,4.42820000,34.13410884,4
lt_0_lowtown_docks_n,86,2.80140000,34.66987165,0
lt_0_lowtown_docks_n,87,4.86720000,33.74130882,4
lt_0_lowtown_docks_n,88,2.15660000,34.52535300,0
lt_0_lowtown_docks_n,89,2.80620000,34.66987165,0
lt_0_lowtown_docks_n,90,6.02480000,41.23105626,4
lt_0_lowtown_docks_n,91,4.43620000,37.36308338,0
lt_0_lowtown_docks_n,92,3.61920000,37.13867510,4
lt_0_lowtown_docks_n,93,3.17320000,39.39543121,0
lt_0_lowtown_docks_n,94,2.88720000,39.84971769,0
lt_0_lowtown_docks_n,95,4.13640000,40.16227766,11
lt_0_lowtown_docks_n,96,3.22600000,42.04759208,0
lt_0_lowtown_docks_n,97,3.37260000,38.07886553,0
lt_0_lowtown_docks_n,98,4.59900000,38.08004623,4
lt_0_lowtown_docks_n,99,3.37280000,38.28663395,4
lt_0_lowtown_docks_n,100,5.45320000,44.74693174,4
lt_0_lowtown_docks_n,101,5.17000000,41.81206385,4
lt_0_lowtown_docks_n,102,1.84560000,42.43819035,0
lt_0_lowtown_docks_n,103,6.87340000,44.69066919,5
lt_0_lowtown_docks_n,104,6.63020000,45.14271011,5
lt_0_lowtown_docks_n,105,5.10820000,44.19329236,4
lt_0_lowtown_docks_n,106,2.62000000,44.01136217,0
lt_0_lowtown_docks_n,107,4.65520000,43.12579747,4
lt_0_lowtown_docks_n,108,5.69820000,42.88270404,4
lt_0_lowtown_docks_n,109,3.09000000,41.50191974,4
lt_0_lowtown_docks_n,110,2.51760000,49.20365840,0
lt_0_lowtown_docks_n,111,4.13000000,46.28101780,4
lt_0_lowtown_docks_n,112,8.43860000,45.17635748,4
lt_0_lowtown_docks_n,113,2.18720000,49.36598019,0
lt_0_lowtown_docks_n,114,6.04540000,46.01219331,4
lt_0_lowtown_docks_n,115,4.72120000,51.03920062,0
lt_0_lowtown_docks_n,116,5.82860000,47.00000000,7
lt_0_lowtown_docks_n,117,4.46360000,44.94441011,0
lt_0_lowtown_docks_n,118,6.04300000,46.92073362,4
lt_0_lowtown_docks_n,119,1.92840000,46.22769733,0
lt_0_lowtown_docks_n,120,6.41040000,53.52631711,7
lt_0_lowtown_docks_n,121,2.88240000,54.03702434,0
lt_0_lowtown_docks_n,122,1.90660000,52.49761899,0
lt_0_lowtown_docks_n,123,3.45880000,50.27105910,4
lt_0_lowtown_docks_n,124,5.51120000,51.78207026,6
lt_0_lowtown_docks_n,125,3.38140000,48.17569241,4
lt_0_lowtown_docks_n,126,3.60620000,52.95313537,4
lt_0_lowtown_docks_n,127,4.23180000,50.09680487,5
lt_0_lowtown_docks_n,128,3.88340000,51.08815910,0
lt_0_lowtown_docks_n,129,5.47280000,52.03937759,4
lt_0_lowtown_docks_n,130,5.25680000,53.09600436,7
lt_0_lowtown_docks_n,131,5.80000000,55.22083842,5
lt_0_lowtown_docks_n,132,0.69280000,58.03447251,0
lt_0_lowtown_docks_n,133,3.84140000,54.58937626,0
lt_0_lowtown_docks_n,134,6.26860000,52.03982122,4
lt_0_lowtown_docks_n,135,4.63840000,52.28620211,4
lt_0_lowtown_docks_n,136,8.78860000,55.12306220,4
lt_0_lowtown_docks_n,137,5.43940000,52.05345227,4
lt_0_lowtown_docks_n,138,5.45340000,56.48519335,4
lt_0_lowtown_docks_n,139,7.01960000,57.23412508,4
lt_0_lowtown_docks_n,140,7.33260000,56.51913092,4
lt_0_lowtown_docks_n,141,5.69320000,59.45380936,4
lt_0_lowtown_docks_n,142,8.76460000,56.19630134,6
lt_0_lowtown_docks_n,143,6.65900000,59.61326855,4
lt_0_lowtown_docks_n,144,3.58080000,60.13318551,0
lt_0_lowtown_docks_n,145,12.11900000,56.46663423,6
lt_0_lowtown_docks_n,146,3.69660000,63.03173804,0
lt_0_lowtown_docks_n,147,4.88840000,58.25971405,4
lt_0_lowtown_docks_n,148,7.70660000,60.36638009,5
lt_0_lowtown_docks_n,149,8.37340000,56.75001663,5
lt_0_lowtown_docks_n,150,3.20560000,64.19501538,0
lt_0_lowtown_docks_n,151,8.19920000,62.79763477,5
lt_0_lowtown_docks_n,152,4.97940000,66.00757532,0
lt_0_lowtown_docks_n,153,4.90800000,64.38525678,6
lt_0_lowtown_docks_n,154,4.58680000,63.06108247,6
lt_0_lowtown_docks_n,155,6.78460000,61.23505069,4
lt_0_lowtown_docks_n,156,9.63420000,61.49509757,5
lt_0_lowtown_docks_n,157,9.23620000,62.65021066,4
lt_0_lowtown_docks_n,158,4.63980000,62.02867726,4
lt_0_lowtown_docks_n,159,5.12520000,60.62918830,4
