Map,Query Number,Time,Distance,Path Length
lt_backalley_g,0,5.31320000,7.38516481,4
lt_backalley_g,1,0.34160000,6.08276253,0
lt_backalley_g,2,0.49740000,5.09901951,0
lt_backalley_g,3,3.12080000,6.23606798,4
lt_backalley_g,4,0.40400000,4.12310563,0
lt_backalley_g,5,0.39640000,5.83095189,0
lt_backalley_g,6,1.47320000,5.09901951,0
lt_backalley_g,7,0.35880000,6.40312424,0
lt_backalley_g,8,0.62480000,6.70820393,0
lt_backalley_g,9,1.96540000,5.83095189,0
lt_backalley_g,10,0.33680000,7.61577311,0
lt_backalley_g,11,1.58840000,8.94427191,0
lt_backalley_g,12,0.32260000,8.06225775,0
lt_backalley_g,13,0.35480000,8.00000000,0
lt_backalley_g,14,0.41000000,10.00000000,0
lt_backalley_g,15,0.30500000,8.24621125,0
lt_backalley_g,16,2.65580000,10.00000000,0
lt_backalley_g,17,2.56140000,9.21954446,0
lt_backalley_g,18,0.80420000,8.54400375,0
lt_backalley_g,19,2.77220000,9.01976484,4
lt_backalley_g,20,2.63080000,12.20655562,0
lt_backalley_g,21,2.19600000,12.36931688,0
lt_backalley_g,22,2.03700000,14.63375802,5
lt_backalley_g,23,0.42320000,15.13274595,0
lt_backalley_g,24,0.35860000,14.31782106,0
lt_backalley_g,25,3.05240000,14.88131749,4
lt_backalley_g,26,1.83940000,13.03840481,0
lt_backalley_g,27,0.67180000,14.56021978,0
lt_backalley_g,28,1.81260000,13.03840481,0
lt_backalley_g,29,0.37180000,15.03329638,0
lt_backalley_g,30,2.75960000,18.43908891,0
lt_backalley_g,31,1.77660000,16.03121954,0
lt_backalley_g,32,2.02960000,18.83878885,4
lt_backalley_g,33,2.80580000,19.02629759,0
lt_backalley_g,34,0.42220000,17.49285568,0
lt_backalley_g,35,1.58660000,17.08800749,0
lt_backalley_g,36,1.80440000,15.26433752,0
lt_backalley_g,37,0.42260000,18.35755975,0
lt_backalley_g,38,0.57520000,18.43908891,0
lt_backalley_g,39,1.43880000,17.20465053,0
lt_backalley_g,40,0.49120000,21.63330765,0
lt_backalley_g,41,2.13600000,20.24621125,4
lt_backalley_g,42,0.39120000,19.23538406,0
lt_backalley_g,43,3.20720000,21.70018278,4
lt_backalley_g,44,1.90000000,20.61552813,0
