Map,Query Number,Time,Distance,Path Length
lt_backalley_n,0,0.68320000,5.00000000,0
lt_backalley_n,1,2.90380000,3.41421356,4
lt_backalley_n,2,0.41780000,5.83095189,0
lt_backalley_n,3,0.40640000,4.24264069,0
lt_backalley_n,4,3.47860000,6.32455532,0
lt_backalley_n,5,0.38160000,4.24264069,0
lt_backalley_n,6,1.47720000,4.12310563,0
lt_backalley_n,7,0.28140000,4.24264069,0
lt_backalley_n,8,0.29780000,6.08276253,0
lt_backalley_n,9,0.52040000,5.00000000,0
lt_backalley_n,10,0.38640000,8.06225775,0
lt_backalley_n,11,3.27000000,7.72865690,4
lt_backalley_n,12,0.41540000,11.18033989,0
lt_backalley_n,13,1.95000000,11.04536102,0
lt_backalley_n,14,1.50620000,7.81024968,0
lt_backalley_n,15,0.40740000,9.43398113,0
lt_backalley_n,16,0.44560000,7.81024968,0
lt_backalley_n,17,0.38360000,10.00000000,0
lt_backalley_n,18,1.76580000,9.21954446,0
lt_backalley_n,19,3.50460000,9.21954446,0
lt_backalley_n,20,0.43720000,12.80624847,0
lt_backalley_n,21,1.35100000,14.14213562,0
lt_backalley_n,22,3.95140000,13.80624847,4
lt_backalley_n,23,1.53600000,12.64911064,0
lt_backalley_n,24,0.45760000,11.40175425,0
lt_backalley_n,25,0.91500000,14.31782106,0
lt_backalley_n,26,2.75180000,14.91147310,4
lt_backalley_n,27,0.31080000,12.64911064,0
lt_backalley_n,28,0.42360000,13.15294644,0
lt_backalley_n,29,1.95740000,13.03840481,0
lt_backalley_n,30,0.44240000,16.76305461,0
lt_backalley_n,31,0.49120000,17.00000000,0
lt_backalley_n,32,0.37620000,18.11077028,0
lt_backalley_n,33,2.69520000,18.24828759,0
lt_backalley_n,34,2.45740000,17.49285568,0
lt_backalley_n,35,1.48560000,16.27882060,0
lt_backalley_n,36,2.43540000,18.43908891,0
lt_backalley_n,37,0.53320000,15.65247584,0
lt_backalley_n,38,0.35600000,19.00000000,0
lt_backalley_n,39,1.56840000,15.81138830,0
lt_backalley_n,40,1.89240000,21.21320344,0
lt_backalley_n,41,0.39540000,23.02172887,0
lt_backalley_n,42,3.25900000,22.47220505,0
lt_backalley_n,43,2.67040000,21.26029163,0
lt_backalley_n,44,2.34240000,21.89329565,4
lt_backalley_n,45,2.37680000,21.58703314,0
lt_backalley_n,46,2.81460000,22.98702453,5
lt_backalley_n,47,0.44220000,19.69771560,0
lt_backalley_n,48,0.39600000,21.84032967,0
lt_backalley_n,49,0.42880000,21.02379604,0
lt_backalley_n,50,2.14240000,23.34523506,0
lt_backalley_n,51,2.48280000,25.49509757,0
lt_backalley_n,52,2.63780000,24.73863375,0
lt_backalley_n,53,2.53260000,23.60084744,0
lt_backalley_n,54,2.08180000,25.17935662,0
lt_backalley_n,55,0.42260000,24.02082430,0
lt_backalley_n,56,0.36320000,26.01922366,0
lt_backalley_n,57,2.60360000,26.17250466,0
lt_backalley_n,58,2.99900000,26.56219454,6
lt_backalley_n,59,2.77080000,25.49509757,0
lt_backalley_n,60,0.36160000,29.12043956,0
lt_backalley_n,61,1.11220000,29.06888371,0
lt_backalley_n,62,0.49380000,27.65863337,0
lt_backalley_n,63,10.42360000,28.44648661,4
lt_backalley_n,64,2.29340000,26.40075756,0
lt_backalley_n,65,5.00720000,29.82842712,6
lt_backalley_n,66,2.06820000,28.99333143,4
lt_backalley_n,67,3.74820000,29.02498439,5
lt_backalley_n,68,3.79340000,26.51549395,4
lt_backalley_n,69,0.82800000,29.41088234,0
lt_backalley_n,70,3.60760000,30.88689042,4
lt_backalley_n,71,3.27720000,34.04987562,6
lt_backalley_n,72,2.52840000,33.42204312,4
lt_backalley_n,73,0.45300000,31.40063694,0
lt_backalley_n,74,2.35420000,31.78049716,0
lt_backalley_n,75,2.68900000,30.59143932,4
lt_backalley_n,76,3.25800000,32.81171501,4
lt_backalley_n,77,2.39920000,32.00000000,0
lt_backalley_n,78,2.65320000,34.71310992,0
lt_backalley_n,79,1.92840000,30.80584360,0
lt_backalley_n,80,2.58100000,36.89434872,4
lt_backalley_n,81,2.86760000,36.87817783,0
lt_backalley_n,82,4.11040000,36.65890919,5
lt_backalley_n,83,3.06300000,36.64395609,7
lt_backalley_n,84,3.71800000,37.00000000,5
lt_backalley_n,85,2.08840000,37.48332963,0
lt_backalley_n,86,3.57660000,34.84510308,4
lt_backalley_n,87,2.38440000,36.05236019,4
lt_backalley_n,88,3.69040000,35.73280437,4
lt_backalley_n,89,3.22620000,35.44030651,4
lt_backalley_n,90,5.39280000,41.70269367,6
lt_backalley_n,91,4.02940000,36.17841857,12
lt_backalley_n,92,3.98240000,39.62014795,4
lt_backalley_n,93,3.61020000,40.70952881,6
lt_backalley_n,94,4.67960000,37.03003417,4
lt_backalley_n,95,5.92280000,39.62455666,6
lt_backalley_n,96,5.75780000,40.88901101,9
lt_backalley_n,97,6.22780000,40.79215611,0
lt_backalley_n,98,3.71820000,41.80209309,7
lt_backalley_n,99,2.60700000,39.38457842,6
lt_backalley_n,100,3.32640000,44.10456600,4
lt_backalley_n,101,3.57800000,41.95912041,4
lt_backalley_n,102,3.24420000,42.04759208,0
lt_backalley_n,103,3.33980000,44.18144407,0
lt_backalley_n,104,2.92700000,42.52996409,6
lt_backalley_n,105,4.53580000,44.44101807,6
lt_backalley_n,106,3.44020000,43.06541054,7
lt_backalley_n,107,4.32540000,42.52523779,6
