Map,Query Number,Time,Distance,Path Length
lt_foundry_n,0,0.51560000,4.12310563,0
lt_foundry_n,1,2.72080000,4.12310563,0
lt_foundry_n,2,2.23200000,6.23606798,4
lt_foundry_n,3,0.38240000,5.00000000,0
lt_foundry_n,4,0.59780000,7.28010989,0
lt_foundry_n,5,1.72660000,7.00000000,0
lt_foundry_n,6,0.43860000,4.24264069,0
lt_foundry_n,7,0.36140000,7.28010989,0
lt_foundry_n,8,0.37080000,7.07106781,0
lt_foundry_n,9,0.35040000,5.00000000,0
lt_foundry_n,10,4.42000000,8.07106781,5
lt_foundry_n,11,0.44500000,8.94427191,0
lt_foundry_n,12,0.37160000,10.04987562,0
lt_foundry_n,13,0.35320000,9.00000000,0
lt_foundry_n,14,2.07600000,7.70820393,4
lt_foundry_n,15,0.36300000,9.21954446,0
lt_foundry_n,16,1.44180000,8.06225775,0
lt_foundry_n,17,0.93980000,10.04987562,0
lt_foundry_n,18,1.55000000,8.06225775,0
lt_foundry_n,19,2.38020000,9.84885780,0
lt_foundry_n,20,0.37920000,13.41640786,0
lt_foundry_n,21,1.51500000,13.03840481,0
lt_foundry_n,22,1.31640000,12.72792206,0
lt_foundry_n,23,0.43000000,13.34166406,0
lt_foundry_n,24,1.92760000,12.16552506,0
lt_foundry_n,25,1.78520000,14.14213562,0
lt_foundry_n,26,6.16740000,13.06177260,4
lt_foundry_n,27,0.41140000,13.89244399,0
lt_foundry_n,28,0.34740000,13.15294644,0
lt_foundry_n,29,2.26860000,15.18033989,5
lt_foundry_n,30,0.52980000,15.62049935,0
lt_foundry_n,31,0.39060000,15.29705854,0
lt_foundry_n,32,2.90080000,16.55294536,0
lt_foundry_n,33,1.69400000,17.24621125,4
lt_foundry_n,34,3.08120000,17.53837497,4
lt_foundry_n,35,2.83340000,17.03121954,4
lt_foundry_n,36,0.37760000,16.03121954,0
lt_foundry_n,37,3.50280000,17.80449381,0
lt_foundry_n,38,2.64460000,17.76354820,4
lt_foundry_n,39,3.14860000,16.12451550,0
lt_foundry_n,40,1.86320000,22.50923667,4
lt_foundry_n,41,2.22220000,19.84943324,0
lt_foundry_n,42,4.46740000,19.31782106,4
lt_foundry_n,43,2.12800000,22.09072203,0
lt_foundry_n,44,0.44980000,20.59126028,0
lt_foundry_n,45,0.36440000,18.86796226,0
lt_foundry_n,46,1.67220000,18.56403191,4
lt_foundry_n,47,1.84000000,21.54065923,0
lt_foundry_n,48,2.92640000,23.32455532,4
lt_foundry_n,49,2.20620000,21.09502311,0
lt_foundry_n,50,3.32080000,23.49593508,4
lt_foundry_n,51,2.49240000,25.63201124,0
lt_foundry_n,52,3.36040000,23.68194483,5
lt_foundry_n,53,1.99260000,24.73863375,0
lt_foundry_n,54,4.01220000,26.24880950,0
lt_foundry_n,55,2.85120000,24.59674775,0
lt_foundry_n,56,5.13820000,24.83841564,5
lt_foundry_n,57,2.11600000,24.69817807,0
lt_foundry_n,58,2.82120000,23.05816965,5
lt_foundry_n,59,2.22920000,22.64686212,4
lt_foundry_n,60,4.75680000,27.04248038,4
lt_foundry_n,61,4.52140000,29.00000000,8
lt_foundry_n,62,3.68820000,30.57813954,5
lt_foundry_n,63,6.48720000,27.84618855,4
lt_foundry_n,64,4.16920000,27.04752122,5
lt_foundry_n,65,1.36760000,31.00000000,0
lt_foundry_n,66,3.40160000,27.31300057,0
lt_foundry_n,67,2.01080000,27.55892872,4
lt_foundry_n,68,1.91340000,28.49121172,5
lt_foundry_n,69,1.75400000,31.01612484,0
lt_foundry_n,70,2.02040000,30.88689042,0
lt_foundry_n,71,2.95180000,31.14962686,4
lt_foundry_n,72,2.86340000,30.23434161,5
lt_foundry_n,73,1.86180000,34.20526275,0
lt_foundry_n,74,2.94120000,31.52717814,4
lt_foundry_n,75,5.92520000,31.82964481,4
lt_foundry_n,76,2.67700000,31.52636605,4
lt_foundry_n,77,2.70480000,32.94033359,4
lt_foundry_n,78,1.57640000,34.05877273,0
lt_foundry_n,79,3.26680000,28.70469991,6
lt_foundry_n,80,2.71120000,33.77383304,6
lt_foundry_n,81,6.61800000,34.61176915,7
lt_foundry_n,82,5.73100000,32.52386520,7
lt_foundry_n,83,6.35200000,35.69574597,7
lt_foundry_n,84,3.49740000,36.89441016,5
lt_foundry_n,85,2.69380000,34.87300299,5
lt_foundry_n,86,2.69780000,36.02790468,5
lt_foundry_n,87,4.84860000,35.93590380,4
lt_foundry_n,88,3.59900000,35.76031075,5
