Map,Query Number,Time,Distance,Path Length
lt_gallowstemplar_n,0,0.63660000,5.00000000,0
lt_gallowstemplar_n,1,0.43760000,6.00000000,0
lt_gallowstemplar_n,2,0.53180000,4.00000000,0
lt_gallowstemplar_n,3,0.36740000,6.00000000,0
lt_gallowstemplar_n,4,0.30680000,5.00000000,0
lt_gallowstemplar_n,5,2.40540000,6.70820393,0
lt_gallowstemplar_n,6,2.79240000,4.00000000,5
lt_gallowstemplar_n,7,0.45220000,6.70820393,0
lt_gallowstemplar_n,8,0.41540000,6.70820393,0
lt_gallowstemplar_n,9,0.34560000,7.00000000,0
lt_gallowstemplar_n,10,2.10300000,10.04987562,0
lt_gallowstemplar_n,11,0.44680000,8.48528137,0
lt_gallowstemplar_n,12,0.35560000,9.48683298,0
lt_gallowstemplar_n,13,0.35320000,9.48683298,0
lt_gallowstemplar_n,14,0.38800000,8.48528137,0
lt_gallowstemplar_n,15,2.23780000,7.81024968,0
lt_gallowstemplar_n,16,0.38220000,10.04987562,0
lt_gallowstemplar_n,17,0.38920000,11.00000000,0
lt_gallowstemplar_n,18,2.31080000,10.83839324,4
lt_gallowstemplar_n,19,0.37140000,8.94427191,0
lt_gallowstemplar_n,20,2.12020000,11.45561243,4
lt_gallowstemplar_n,21,0.39820000,12.52996409,0
lt_gallowstemplar_n,22,2.98320000,11.28010989,5
lt_gallowstemplar_n,23,1.81260000,12.00000000,0
lt_gallowstemplar_n,24,2.44360000,14.21267040,0
lt_gallowstemplar_n,25,0.44680000,11.66190379,0
lt_gallowstemplar_n,26,0.29060000,14.00000000,0
lt_gallowstemplar_n,27,3.38060000,14.12310563,5
lt_gallowstemplar_n,28,3.38500000,14.44030651,4
lt_gallowstemplar_n,29,0.39360000,14.03566885,0
lt_gallowstemplar_n,30,2.26080000,15.81138830,0
lt_gallowstemplar_n,31,3.17980000,17.00000000,0
lt_gallowstemplar_n,32,1.29260000,18.11077028,0
lt_gallowstemplar_n,33,2.99520000,17.99647696,4
lt_gallowstemplar_n,34,3.27840000,17.46424920,0
lt_gallowstemplar_n,35,2.50760000,17.46424920,0
lt_gallowstemplar_n,36,2.57440000,19.00000000,0
lt_gallowstemplar_n,37,3.92660000,15.52417470,0
lt_gallowstemplar_n,38,1.64540000,17.00000000,0
lt_gallowstemplar_n,39,5.22360000,17.46424920,0
lt_gallowstemplar_n,40,2.87120000,19.87203896,4
lt_gallowstemplar_n,41,2.82880000,22.36067977,0
lt_gallowstemplar_n,42,3.08940000,19.31782106,5
lt_gallowstemplar_n,43,2.25020000,20.24845673,0
lt_gallowstemplar_n,44,2.53100000,21.86796226,4
lt_gallowstemplar_n,45,2.73140000,20.69355877,4
lt_gallowstemplar_n,46,4.78180000,21.47145204,4
lt_gallowstemplar_n,47,2.47300000,20.02498439,0
lt_gallowstemplar_n,48,3.81360000,21.13424109,5
lt_gallowstemplar_n,49,2.67280000,22.13594362,0
lt_gallowstemplar_n,50,2.62580000,24.33105012,0
lt_gallowstemplar_n,51,3.32760000,24.08318916,0
lt_gallowstemplar_n,52,2.74680000,25.49509757,0
lt_gallowstemplar_n,53,0.31980000,25.49509757,0
lt_gallowstemplar_n,54,2.51680000,23.19003404,5
lt_gallowstemplar_n,55,4.02760000,22.52763973,4
lt_gallowstemplar_n,56,3.60800000,25.69695018,4
lt_gallowstemplar_n,57,4.12040000,22.96330429,6
lt_gallowstemplar_n,58,5.26120000,23.15294644,4
lt_gallowstemplar_n,59,0.49160000,24.02082430,0
lt_gallowstemplar_n,60,3.97960000,27.82365686,4
lt_gallowstemplar_n,61,2.50440000,25.85588316,7
lt_gallowstemplar_n,62,4.05720000,25.94510812,4
lt_gallowstemplar_n,63,0.37840000,28.00000000,0
lt_gallowstemplar_n,64,2.98580000,28.83095189,4
lt_gallowstemplar_n,65,5.01840000,28.80878468,4
lt_gallowstemplar_n,66,2.43080000,28.92847004,4
lt_gallowstemplar_n,67,2.72700000,27.65912853,4
lt_gallowstemplar_n,68,1.67320000,28.44292531,0
lt_gallowstemplar_n,69,5.56280000,29.21110255,5
lt_gallowstemplar_n,70,3.74900000,32.55764119,0
lt_gallowstemplar_n,71,3.43840000,32.14031736,0
lt_gallowstemplar_n,72,3.03480000,33.28663395,0
lt_gallowstemplar_n,73,3.63220000,32.68256374,4
lt_gallowstemplar_n,74,3.08960000,34.00000000,0
lt_gallowstemplar_n,75,2.52720000,31.67637449,7
lt_gallowstemplar_n,76,2.19920000,31.78291985,5
lt_gallowstemplar_n,77,3.23200000,33.66631032,4
lt_gallowstemplar_n,78,4.53880000,29.80309112,4
lt_gallowstemplar_n,79,2.90820000,31.93784125,4
lt_gallowstemplar_n,80,0.49320000,34.71310992,0
lt_gallowstemplar_n,81,1.95140000,34.48187930,0
lt_gallowstemplar_n,82,2.88400000,36.27882060,5
lt_gallowstemplar_n,83,4.70220000,36.97988159,4
lt_gallowstemplar_n,84,2.30100000,35.61249695,4
lt_gallowstemplar_n,85,3.09860000,34.87780201,5
lt_gallowstemplar_n,86,8.75340000,35.44855923,6
lt_gallowstemplar_n,87,4.80660000,36.67099005,4
lt_gallowstemplar_n,88,4.16420000,34.91308790,4
lt_gallowstemplar_n,89,10.62740000,36.38040165,4
lt_gallowstemplar_n,90,6.96080000,40.14935529,5
lt_gallowstemplar_n,91,8.51900000,41.04834939,4
lt_gallowstemplar_n,92,4.05700000,37.81340266,5
lt_gallowstemplar_n,93,3.42140000,39.05151647,5
lt_gallowstemplar_n,94,5.22960000,38.17753820,4
lt_gallowstemplar_n,95,2.17520000,39.35733731,0
lt_gallowstemplar_n,96,7.53640000,36.70307905,5
lt_gallowstemplar_n,97,2.26160000,41.30375286,0
lt_gallowstemplar_n,98,3.57060000,41.01219331,0
lt_gallowstemplar_n,99,3.76600000,40.11234224,0
lt_gallowstemplar_n,100,2.41180000,46.01086828,0
lt_gallowstemplar_n,101,2.85920000,45.27692569,0
lt_gallowstemplar_n,102,6.56900000,42.07987241,4
lt_gallowstemplar_n,103,5.94820000,46.39625307,4
lt_gallowstemplar_n,104,6.44960000,44.38632593,7
lt_gallowstemplar_n,105,2.40740000,45.04442252,0
lt_gallowstemplar_n,106,2.69840000,45.27692569,0
lt_gallowstemplar_n,107,4.50060000,41.78181783,7
lt_gallowstemplar_n,108,1.94000000,44.94441011,0
