Map,Query Number,Time,Distance,Path Length
lt_gamlenshouse_n,0,2.12580000,6.40312424,0
lt_gamlenshouse_n,1,3.36240000,7.33508749,4
lt_gamlenshouse_n,2,2.09280000,7.07106781,0
lt_gamlenshouse_n,3,1.12900000,7.07106781,0
lt_gamlenshouse_n,4,2.39480000,5.00000000,0
lt_gamlenshouse_n,5,1.16960000,4.47213595,0
lt_gamlenshouse_n,6,1.73680000,5.83095189,0
lt_gamlenshouse_n,7,0.42680000,6.70820393,0
lt_gamlenshouse_n,8,0.39160000,7.07106781,0
lt_gamlenshouse_n,9,0.33980000,5.00000000,0
lt_gamlenshouse_n,10,0.34660000,7.61577311,0
lt_gamlenshouse_n,11,2.06520000,11.31370850,0
lt_gamlenshouse_n,12,0.36520000,9.48683298,0
lt_gamlenshouse_n,13,3.63020000,10.20586816,4
lt_gamlenshouse_n,14,1.46640000,8.24621125,0
lt_gamlenshouse_n,15,0.39340000,9.05538514,0
lt_gamlenshouse_n,16,0.30820000,8.48528137,0
lt_gamlenshouse_n,17,0.30100000,9.00000000,0
lt_gamlenshouse_n,18,1.35340000,10.44030651,0
lt_gamlenshouse_n,19,1.14200000,8.24621125,0
lt_gamlenshouse_n,20,1.30560000,13.34166406,0
lt_gamlenshouse_n,21,2.20560000,12.36931688,0
lt_gamlenshouse_n,22,0.36260000,11.70469991,0
lt_gamlenshouse_n,23,1.31980000,13.03840481,0
lt_gamlenshouse_n,24,2.07320000,12.66190379,4
lt_gamlenshouse_n,25,0.27520000,15.13274595,0
lt_gamlenshouse_n,26,3.53160000,12.16227766,5
lt_gamlenshouse_n,27,0.37220000,13.15294644,0
lt_gamlenshouse_n,28,0.29540000,12.36931688,0
lt_gamlenshouse_n,29,2.18780000,13.03840481,0
lt_gamlenshouse_n,30,4.05620000,15.90306550,5
lt_gamlenshouse_n,31,3.66240000,16.50077376,4
lt_gamlenshouse_n,32,1.64240000,16.76305461,0
lt_gamlenshouse_n,33,4.14160000,17.12645295,5
lt_gamlenshouse_n,34,3.05860000,17.14851044,4
lt_gamlenshouse_n,35,3.66380000,17.91111555,4
lt_gamlenshouse_n,36,1.53180000,17.46424920,0
lt_gamlenshouse_n,37,2.16100000,15.86683194,4
lt_gamlenshouse_n,38,3.28660000,17.03121954,4
lt_gamlenshouse_n,39,4.02620000,16.12658204,4
lt_gamlenshouse_n,40,2.90740000,23.08679276,0
lt_gamlenshouse_n,41,3.96220000,19.23606798,4
lt_gamlenshouse_n,42,2.59080000,21.26029163,0
lt_gamlenshouse_n,43,3.07720000,18.60232527,4
lt_gamlenshouse_n,44,3.14420000,22.79898987,4
lt_gamlenshouse_n,45,2.04560000,19.64688270,0
lt_gamlenshouse_n,46,3.90240000,18.73304423,6
lt_gamlenshouse_n,47,2.71480000,21.20973394,4
lt_gamlenshouse_n,48,2.31960000,21.00524653,8
lt_gamlenshouse_n,49,2.31680000,19.31320792,0
lt_gamlenshouse_n,50,4.04920000,25.08907027,5
lt_gamlenshouse_n,51,3.16960000,26.40284484,5
lt_gamlenshouse_n,52,4.11780000,23.97524191,4
lt_gamlenshouse_n,53,3.00060000,24.52581152,4
lt_gamlenshouse_n,54,3.07060000,23.37368699,4
lt_gamlenshouse_n,55,2.89660000,23.33561805,4
lt_gamlenshouse_n,56,2.55860000,25.49509757,0
lt_gamlenshouse_n,57,3.51200000,22.72781489,7
lt_gamlenshouse_n,58,3.74380000,26.84191732,4
lt_gamlenshouse_n,59,2.21420000,22.86952465,4
lt_gamlenshouse_n,60,3.51560000,28.05149391,7
lt_gamlenshouse_n,61,3.56780000,29.02518994,4
lt_gamlenshouse_n,62,3.34520000,28.48388198,4
lt_gamlenshouse_n,63,3.95800000,26.63876778,4
lt_gamlenshouse_n,64,4.43440000,29.91332328,4
lt_gamlenshouse_n,65,3.26520000,26.06840412,4
lt_gamlenshouse_n,66,2.75680000,27.90466132,4
lt_gamlenshouse_n,67,4.12140000,28.16227766,6
lt_gamlenshouse_n,68,4.70260000,27.10032304,7
lt_gamlenshouse_n,69,2.67560000,27.65661196,5
lt_gamlenshouse_n,70,3.97740000,31.46386414,4
lt_gamlenshouse_n,71,2.99580000,34.26868044,4
lt_gamlenshouse_n,72,3.74280000,33.56323963,6
lt_gamlenshouse_n,73,2.63660000,32.54122885,5
lt_gamlenshouse_n,74,3.05780000,33.01514804,0
lt_gamlenshouse_n,75,3.08820000,32.00000000,0
lt_gamlenshouse_n,76,4.02240000,29.91838713,4
lt_gamlenshouse_n,77,3.17280000,31.99460083,4
lt_gamlenshouse_n,78,3.08200000,33.54101966,0
lt_gamlenshouse_n,79,3.92720000,32.57749892,6
lt_gamlenshouse_n,80,2.83380000,34.58070173,4
lt_gamlenshouse_n,81,3.80760000,36.09975124,5
lt_gamlenshouse_n,82,2.12740000,36.51848627,4
lt_gamlenshouse_n,83,4.73240000,35.41110541,4
lt_gamlenshouse_n,84,4.35020000,33.54491983,4
lt_gamlenshouse_n,85,3.63060000,33.48026378,5
lt_gamlenshouse_n,86,3.79080000,36.66299676,4
lt_gamlenshouse_n,87,2.85720000,35.27838860,4
lt_gamlenshouse_n,88,3.42940000,35.78651559,4
lt_gamlenshouse_n,89,4.72040000,38.33347334,6
lt_gamlenshouse_n,90,4.27680000,40.56825173,6
lt_gamlenshouse_n,91,4.11880000,38.75982213,6
lt_gamlenshouse_n,92,4.19940000,41.84853185,5
lt_gamlenshouse_n,93,4.83360000,38.38039790,6
lt_gamlenshouse_n,94,3.70540000,40.14517257,4
lt_gamlenshouse_n,95,3.21700000,40.50776734,4
lt_gamlenshouse_n,96,3.57420000,41.86796226,4
lt_gamlenshouse_n,97,4.64620000,40.19368653,6
lt_gamlenshouse_n,98,3.39660000,38.30657697,4
lt_gamlenshouse_n,99,3.43980000,38.11619241,4
lt_gamlenshouse_n,100,3.92960000,42.52997914,6
lt_gamlenshouse_n,101,2.36060000,41.72487453,6
lt_gamlenshouse_n,102,3.06460000,44.82457075,8
lt_gamlenshouse_n,103,2.76820000,43.19038559,9
lt_gamlenshouse_n,104,3.96880000,43.15085958,5
lt_gamlenshouse_n,105,2.67720000,45.11766322,6
lt_gamlenshouse_n,106,3.71340000,43.48384079,5
