Map,Query Number,Time,Distance,Path Length
lt_house,0,1.94200000,4.12310563,0
lt_house,1,0.41080000,4.00000000,0
lt_house,2,0.28220000,4.47213595,0
lt_house,3,0.33420000,4.12310563,0
lt_house,4,0.31460000,4.12310563,0
lt_house,5,1.83040000,4.00000000,4
lt_house,6,0.35380000,5.09901951,0
lt_house,7,1.13880000,4.47213595,0
lt_house,8,1.95140000,5.65685425,4
lt_house,9,2.50340000,4.00000000,0
lt_house,10,2.30440000,8.21110255,4
lt_house,11,1.96780000,9.21954446,0
lt_house,12,0.30880000,8.94427191,0
lt_house,13,2.13980000,10.23334547,4
lt_house,14,2.99480000,7.99070478,4
lt_house,15,0.32520000,8.54400375,0
lt_house,16,2.28460000,10.79669128,4
lt_house,17,1.50840000,9.05538514,0
lt_house,18,1.16860000,11.31370850,0
lt_house,19,0.96980000,7.61577311,0
lt_house,20,0.36480000,13.03840481,0
lt_house,21,2.18860000,14.31782106,0
lt_house,22,1.34840000,11.40175425,0
lt_house,23,1.00840000,12.72792206,0
lt_house,24,2.75540000,12.56540190,4
lt_house,25,3.65460000,12.60232527,5
lt_house,26,1.36340000,11.40175425,0
lt_house,27,2.30580000,15.13274595,0
lt_house,28,2.50640000,13.00000000,4
lt_house,29,3.37860000,13.17095317,5
lt_house,30,1.16760000,17.72004515,0
lt_house,31,3.42920000,16.29061226,5
lt_house,32,1.67060000,17.26267650,0
lt_house,33,1.03460000,16.55294536,0
lt_house,34,2.04560000,15.52417470,0
lt_house,35,3.05360000,15.55708676,4
lt_house,36,2.70680000,16.20655562,4
lt_house,37,1.21560000,17.26267650,0
lt_house,38,2.69700000,15.62266869,4
lt_house,39,2.95300000,15.97486815,4
lt_house,40,3.16420000,22.37165037,4
lt_house,41,5.58480000,19.76539126,7
lt_house,42,2.85860000,19.64395609,4
lt_house,43,1.88140000,20.52687595,6
lt_house,44,1.22220000,21.09502311,0
lt_house,45,1.64800000,20.09975124,0
lt_house,46,1.21660000,17.32455532,4
lt_house,47,3.02280000,20.41273188,4
lt_house,48,2.62040000,20.07106781,7
lt_house,49,1.74880000,21.21320344,0
lt_house,50,2.81220000,24.85452007,6
lt_house,51,1.43280000,24.33105012,0
lt_house,52,2.87420000,25.96197403,4
lt_house,53,2.43020000,23.39958259,6
lt_house,54,3.24560000,23.26382435,4
lt_house,55,1.88600000,23.76972865,0
lt_house,56,2.23660000,23.03753785,7
lt_house,57,3.05020000,26.46404877,5
lt_house,58,2.77480000,24.74721381,9
lt_house,59,2.44920000,24.46571746,9
lt_house,60,3.34100000,27.95683300,5
lt_house,61,2.53680000,24.23602841,5
lt_house,62,3.57480000,28.80460506,4
lt_house,63,3.81820000,26.19703575,4
lt_house,64,2.80100000,27.19151314,5
lt_house,65,1.55540000,29.06888371,0
lt_house,66,3.77160000,27.94953490,5
lt_house,67,2.69960000,28.91180725,5
lt_house,68,2.95020000,25.97337330,4
lt_house,69,1.97220000,26.74111692,6
lt_house,70,2.19600000,31.92339048,5
lt_house,71,4.08820000,30.92817836,5
lt_house,72,2.03440000,30.46032011,7
lt_house,73,3.34680000,30.12451550,4
lt_house,74,2.83160000,33.33642404,5
lt_house,75,3.52040000,31.10402474,6
lt_house,76,2.05980000,30.39562313,6
lt_house,77,3.24020000,30.32212894,13
lt_house,78,2.71720000,30.14051758,4
lt_house,79,3.82540000,31.71765907,7
lt_house,80,2.10520000,36.10026550,6
lt_house,81,2.87740000,37.37766091,5
lt_house,82,4.66420000,33.42967155,4
lt_house,83,3.99380000,36.17234819,10
lt_house,84,3.08940000,35.96504481,5
lt_house,85,3.55520000,34.06220085,4
lt_house,86,3.87020000,35.50993578,7
lt_house,87,3.22000000,35.59382205,5
lt_house,88,3.55720000,33.18910689,6
lt_house,89,3.70740000,34.09962277,6
lt_house,90,3.01980000,38.97688943,6
lt_house,91,3.51920000,40.80960625,5
lt_house,92,2.90060000,36.72281399,12
lt_house,93,4.46620000,39.00124670,8
lt_house,94,3.71880000,40.97565816,5
lt_house,95,3.82340000,37.41565894,6
lt_house,96,2.77160000,40.74732342,6
lt_house,97,4.39820000,36.36608158,5
lt_house,98,2.27740000,40.76468157,5
lt_house,99,2.37820000,37.14430363,6
lt_house,100,2.51300000,41.53409380,9
lt_house,101,3.27240000,41.68065029,7
lt_house,102,1.72220000,42.75401784,5
lt_house,103,1.94960000,41.91826275,7
lt_house,104,3.24960000,44.04944928,5
lt_house,105,2.13020000,43.98949537,5
lt_house,106,4.57400000,42.38477631,5
lt_house,107,2.53740000,42.95757962,4
lt_house,108,2.78800000,43.16820887,7
lt_house,109,2.53800000,44.32203510,7
lt_house,110,2.97500000,45.85999326,6
lt_house,111,4.63260000,46.45201339,10
lt_house,112,3.46760000,47.26162298,5
lt_house,113,4.18480000,42.36725248,8
lt_house,114,3.36660000,45.43252805,6
lt_house,115,3.44500000,45.88989670,7
lt_house,116,2.22800000,47.13282294,6
lt_house,117,3.57240000,45.00077531,13
lt_house,118,3.61800000,44.56046174,10
lt_house,119,2.34740000,47.29922796,6
lt_house,120,2.35860000,47.68808137,10
lt_house,121,3.00900000,48.61845323,5
lt_house,122,2.35300000,46.56046174,12
lt_house,123,2.68680000,49.26065670,6
lt_house,124,1.79140000,48.01946819,6
lt_house,125,2.24040000,49.07096413,7
lt_house,126,2.31940000,47.82402499,6
lt_house,127,2.72820000,50.02009038,6
lt_house,128,4.21620000,45.92414934,10
lt_house,129,1.79220000,51.24127129,7
lt_house,130,2.23360000,50.10229493,12
lt_house,131,1.73700000,51.54703650,8
lt_house,132,1.95120000,52.97444219,8
lt_house,133,1.75840000,52.09012909,7
lt_house,134,1.83820000,52.26487466,8
lt_house,135,3.10480000,50.40931954,9
lt_house,136,3.59460000,50.96028383,9
lt_house,137,2.40120000,48.43119304,17
lt_house,138,2.32300000,50.58406511,13
lt_house,139,2.82680000,48.58406511,12
