Map,Query Number,Time,Distance,Path Length
lt_shop,0,0.99700000,7.28010989,0
lt_shop,1,1.94420000,6.00000000,0
lt_shop,2,1.75060000,7.28010989,0
lt_shop,3,1.44020000,5.09901951,0
lt_shop,4,0.42860000,6.32455532,0
lt_shop,5,0.83940000,6.32455532,0
lt_shop,6,0.31920000,6.70820393,0
lt_shop,7,0.28700000,5.00000000,0
lt_shop,8,1.62800000,5.00000000,0
lt_shop,9,2.01960000,7.21110255,0
lt_shop,10,1.18740000,10.00000000,0
lt_shop,11,0.25880000,8.54400375,0
lt_shop,12,1.85080000,9.84885780,0
lt_shop,13,1.44740000,8.06225775,0
lt_shop,14,2.27900000,10.63014581,0
lt_shop,15,2.60200000,10.92997141,4
lt_shop,16,0.37660000,9.05538514,0
lt_shop,17,1.03460000,8.60232527,0
lt_shop,18,1.36300000,9.48683298,0
lt_shop,19,1.88380000,11.00000000,0
lt_shop,20,2.44440000,14.31782106,0
lt_shop,21,0.35720000,12.80624847,0
lt_shop,22,0.30260000,11.18033989,0
lt_shop,23,1.64340000,13.60147051,0
lt_shop,24,1.39280000,11.18033989,0
lt_shop,25,1.69320000,12.04159458,0
lt_shop,26,2.72100000,14.07948826,5
lt_shop,27,2.01580000,13.60147051,0
lt_shop,28,2.81480000,13.77927174,4
lt_shop,29,2.69620000,13.60147051,0
lt_shop,30,1.47380000,15.26433752,0
lt_shop,31,1.92240000,15.52417470,0
lt_shop,32,1.92580000,18.38477631,0
lt_shop,33,3.17500000,13.29832573,4
lt_shop,34,3.11060000,18.65352559,4
lt_shop,35,2.96300000,17.21954446,4
lt_shop,36,2.38900000,16.12451550,0
lt_shop,37,1.37160000,15.62049935,0
lt_shop,38,2.45000000,15.62049935,0
lt_shop,39,1.84320000,18.38477631,0
lt_shop,40,3.81240000,21.52954534,4
lt_shop,41,1.55300000,23.02172887,0
lt_shop,42,2.79560000,19.53932602,5
lt_shop,43,3.14140000,21.12124660,5
lt_shop,44,2.59180000,22.39915769,4
lt_shop,45,3.03480000,21.31577874,4
lt_shop,46,1.69480000,20.02498439,0
lt_shop,47,3.32780000,18.79096646,5
lt_shop,48,3.07100000,18.26882723,4
lt_shop,49,1.36960000,21.47091055,0
lt_shop,50,2.32520000,23.53041012,4
lt_shop,51,2.07620000,25.07987241,0
lt_shop,52,3.06980000,24.27106290,4
lt_shop,53,2.82440000,24.70601443,5
lt_shop,54,3.67080000,24.35290173,4
lt_shop,55,2.81160000,23.55695458,7
lt_shop,56,3.16000000,24.39607805,4
lt_shop,57,3.64140000,25.20615249,4
lt_shop,58,3.13080000,23.95743717,4
lt_shop,59,2.51360000,26.47152605,4
lt_shop,60,4.86900000,28.79205367,5
lt_shop,61,3.63140000,27.45162987,4
lt_shop,62,3.19820000,28.15367765,5
lt_shop,63,5.07580000,25.69548915,5
lt_shop,64,4.32960000,28.53401708,4
lt_shop,65,3.33700000,27.91808417,4
lt_shop,66,2.77440000,29.93599816,4
lt_shop,67,3.86260000,28.81138830,4
lt_shop,68,4.80040000,27.90526799,5
lt_shop,69,2.90960000,27.04987562,4
lt_shop,70,3.07380000,31.89379753,4
lt_shop,71,4.83700000,34.16127726,5
lt_shop,72,3.06460000,32.36445290,4
lt_shop,73,4.77240000,32.41785002,9
lt_shop,74,4.61980000,33.40268956,5
lt_shop,75,4.45920000,33.80722344,9
lt_shop,76,3.51660000,29.76776610,4
lt_shop,77,3.88940000,33.12264310,5
lt_shop,78,2.97340000,31.10111955,7
lt_shop,79,5.27000000,32.09901951,5
lt_shop,80,3.20020000,36.92719007,4
lt_shop,81,5.65680000,33.18908757,7
lt_shop,82,3.85400000,34.89949494,4
lt_shop,83,4.25420000,33.98628213,5
lt_shop,84,3.29720000,36.53519221,11
lt_shop,85,5.23240000,36.48379582,5
lt_shop,86,3.07440000,36.17187731,4
lt_shop,87,4.82240000,35.99630736,4
lt_shop,88,3.02640000,35.50190908,4
lt_shop,89,5.46140000,34.62614180,5
lt_shop,90,3.87240000,41.04825370,6
lt_shop,91,4.63240000,37.22145418,4
lt_shop,92,4.25680000,40.84098139,5
lt_shop,93,4.15180000,40.04329142,5
lt_shop,94,2.91220000,40.07106781,6
lt_shop,95,3.03380000,39.38044851,7
lt_shop,96,5.38700000,40.85181693,5
lt_shop,97,4.06500000,37.94809755,6
lt_shop,98,3.34020000,40.85117570,6
lt_shop,99,3.56160000,41.36116631,5
lt_shop,100,3.41560000,42.89870427,11
lt_shop,101,4.23620000,43.21303063,5
lt_shop,102,4.74340000,42.65763686,6
lt_shop,103,5.19260000,42.24390886,5
lt_shop,104,4.76480000,42.89719943,4
lt_shop,105,2.83380000,42.54558881,11
lt_shop,106,4.98600000,42.52448393,5
lt_shop,107,4.09440000,43.59253874,5
lt_shop,108,3.53540000,41.31171513,6
lt_shop,109,4.46800000,44.51877856,5
