Map,Query Number,Time,Distance,Path Length
lt_warehouse,0,0.53200000,5.38516481,0
lt_warehouse,1,1.31800000,7.07106781,0
lt_warehouse,2,0.48800000,5.83095189,0
lt_warehouse,3,1.46560000,5.00000000,0
lt_warehouse,4,2.12020000,6.40312424,0
lt_warehouse,5,0.37960000,7.28010989,0
lt_warehouse,6,1.26060000,5.09901951,0
lt_warehouse,7,3.51020000,5.47213595,4
lt_warehouse,8,2.36940000,4.47213595,0
lt_warehouse,9,1.77420000,5.00000000,0
lt_warehouse,10,0.40760000,10.44030651,0
lt_warehouse,11,2.18920000,8.06225775,0
lt_warehouse,12,1.59880000,7.61577311,0
lt_warehouse,13,1.28200000,8.06225775,0
lt_warehouse,14,1.22300000,11.04536102,0
lt_warehouse,15,1.06780000,8.00000000,0
lt_warehouse,16,0.45920000,8.24621125,0
lt_warehouse,17,1.83660000,10.29563014,0
lt_warehouse,18,0.36840000,8.24621125,0
lt_warehouse,19,1.20480000,11.00000000,0
lt_warehouse,20,2.36340000,14.41421356,4
lt_warehouse,21,2.12080000,12.16552506,0
lt_warehouse,22,1.67140000,11.66190379,0
lt_warehouse,23,0.30960000,12.04159458,0
lt_warehouse,24,1.09840000,14.31782106,0
lt_warehouse,25,1.35920000,15.13274595,0
lt_warehouse,26,0.36660000,11.70469991,0
lt_warehouse,27,0.32340000,13.00000000,0
lt_warehouse,28,0.38580000,12.20655562,0
lt_warehouse,29,3.22020000,13.92838828,0
lt_warehouse,30,1.73900000,19.10497317,0
lt_warehouse,31,1.39440000,18.24828759,0
lt_warehouse,32,1.84480000,17.11724277,0
lt_warehouse,33,1.39120000,17.08800749,0
lt_warehouse,34,1.91140000,16.29061227,4
lt_warehouse,35,1.26820000,18.02775638,0
lt_warehouse,36,1.41200000,17.20465053,0
lt_warehouse,37,1.61700000,16.12451550,0
lt_warehouse,38,3.29640000,19.28010989,4
lt_warehouse,39,1.44680000,16.97056275,0
lt_warehouse,40,3.82600000,20.20937271,4
lt_warehouse,41,1.41480000,19.41648784,0
lt_warehouse,42,2.69800000,19.70031717,4
lt_warehouse,43,1.94480000,19.64688270,0
lt_warehouse,44,1.36080000,22.09072203,0
lt_warehouse,45,3.07640000,21.64911064,4
lt_warehouse,46,3.59140000,20.37338021,4
lt_warehouse,47,2.46800000,22.62741700,0
lt_warehouse,48,2.58140000,21.18962010,0
lt_warehouse,49,1.36580000,21.09502311,0
lt_warehouse,50,1.96280000,23.70653918,0
lt_warehouse,51,3.16480000,23.43074903,0
lt_warehouse,52,2.80620000,21.33907241,4
lt_warehouse,53,4.05420000,25.32998551,5
lt_warehouse,54,4.66780000,22.65685425,4
lt_warehouse,55,4.07640000,24.98983177,5
lt_warehouse,56,4.02020000,21.51076159,4
lt_warehouse,57,1.36600000,25.17935662,0
lt_warehouse,58,1.36220000,26.00000000,0
lt_warehouse,59,3.98120000,24.95141815,4
lt_warehouse,60,2.83280000,29.91414105,4
lt_warehouse,61,2.13540000,28.44292531,0
lt_warehouse,62,3.33760000,27.20294102,0
lt_warehouse,63,1.70780000,27.51363298,0
lt_warehouse,64,3.60520000,25.09172149,5
lt_warehouse,65,3.48860000,26.40093456,4
lt_warehouse,66,3.67060000,30.07726343,4
lt_warehouse,67,4.71940000,29.68222335,6
lt_warehouse,68,3.70880000,26.41968963,0
lt_warehouse,69,1.69280000,27.31300057,0
lt_warehouse,70,2.24500000,31.29756038,4
lt_warehouse,71,2.29180000,32.69556545,0
lt_warehouse,72,3.61440000,34.13976767,4
lt_warehouse,73,3.28040000,31.98899193,4
lt_warehouse,74,4.24660000,31.94712798,4
lt_warehouse,75,2.03520000,30.59411708,0
lt_warehouse,76,4.28660000,32.97779874,4
lt_warehouse,77,3.57320000,31.40749281,4
lt_warehouse,78,5.07600000,33.18772525,6
lt_warehouse,79,2.67720000,32.41455874,6
lt_warehouse,80,3.79260000,35.47560222,5
lt_warehouse,81,3.91060000,35.71099051,5
lt_warehouse,82,4.66480000,37.06225775,4
lt_warehouse,83,1.75400000,36.22154055,0
lt_warehouse,84,2.57880000,34.75037428,4
lt_warehouse,85,3.67480000,35.99581292,6
lt_warehouse,86,1.80220000,39.01281841,0
lt_warehouse,87,3.25120000,34.86231408,4
lt_warehouse,88,2.96860000,35.07987241,4
lt_warehouse,89,3.72420000,36.08424186,6
lt_warehouse,90,3.38560000,40.26519144,4
lt_warehouse,91,3.44100000,39.50321047,4
lt_warehouse,92,1.70960000,42.19004622,0
lt_warehouse,93,3.73880000,37.58170523,5
lt_warehouse,94,4.68700000,41.57666355,4
lt_warehouse,95,4.95240000,39.31782106,7
lt_warehouse,96,5.74900000,39.09928082,7
lt_warehouse,97,2.82020000,38.28842816,4
lt_warehouse,98,4.62900000,37.94183423,5
lt_warehouse,99,3.60720000,36.92040523,7
lt_warehouse,100,3.29860000,44.72037315,9
lt_warehouse,101,2.99120000,43.56604182,0
lt_warehouse,102,3.63920000,42.32209788,5
lt_warehouse,103,4.10460000,42.08439447,5
lt_warehouse,104,4.20920000,42.43547997,6
lt_warehouse,105,2.92160000,43.48301042,5
lt_warehouse,106,4.62840000,44.04759208,4
lt_warehouse,107,7.00680000,43.69673857,5
lt_warehouse,108,3.96120000,44.49646006,6
lt_warehouse,109,5.35760000,43.40896085,5
lt_warehouse,110,8.58320000,50.00999900,0
lt_warehouse,111,2.84080000,49.63137606,5
lt_warehouse,112,4.30920000,49.57822102,0
lt_warehouse,113,6.57400000,47.85941315,4
lt_warehouse,114,5.83960000,47.17203676,7
lt_warehouse,115,4.67820000,46.27529308,5
lt_warehouse,116,2.88740000,48.09365863,0
lt_warehouse,117,7.01040000,44.65907621,5
lt_warehouse,118,2.77520000,46.35232388,5
lt_warehouse,119,4.37320000,45.94492943,4
lt_warehouse,120,5.12660000,51.41531755,6
lt_warehouse,121,4.38660000,49.13561494,5
lt_warehouse,122,5.47460000,49.36959493,6
lt_warehouse,123,2.20700000,55.03635162,0
lt_warehouse,124,5.06920000,50.15544912,5
lt_warehouse,125,5.36380000,51.28765089,7
lt_warehouse,126,6.01440000,50.03062577,6
lt_warehouse,127,3.42820000,49.41568771,7
lt_warehouse,128,4.20400000,50.57926323,4
lt_warehouse,129,4.51140000,54.24568247,4
lt_warehouse,130,3.72380000,52.52609218,5
lt_warehouse,131,5.03200000,54.12090230,4
lt_warehouse,132,4.86660000,55.79937656,6
lt_warehouse,133,8.47320000,54.20973394,7
lt_warehouse,134,5.15820000,54.47419205,8
lt_warehouse,135,3.66020000,55.37601950,6
lt_warehouse,136,4.29820000,53.33918344,4
lt_warehouse,137,6.70740000,55.98580892,4
lt_warehouse,138,5.99100000,51.96787020,6
lt_warehouse,139,3.51060000,52.18957869,5
lt_warehouse,140,6.05920000,60.67129499,6
lt_warehouse,141,4.84940000,56.04894534,5
lt_warehouse,142,4.28140000,59.82659273,6
lt_warehouse,143,4.97180000,58.43405700,7
lt_warehouse,144,6.04900000,56.01431947,7
lt_warehouse,145,4.57680000,59.86425335,6
lt_warehouse,146,6.20120000,59.03006289,6
lt_warehouse,147,8.73840000,56.19076911,8
lt_warehouse,148,4.82220000,57.05602627,4
lt_warehouse,149,3.92320000,59.22148487,6
lt_warehouse,150,6.64560000,60.48287082,5
lt_warehouse,151,3.10220000,59.70936368,6
lt_warehouse,152,6.25540000,60.01629631,6
lt_warehouse,153,4.66160000,66.14794548,4
lt_warehouse,154,7.41800000,59.39245604,11
lt_warehouse,155,5.82880000,62.93152172,8
lt_warehouse,156,6.61300000,61.52687595,10
lt_warehouse,157,7.31500000,61.19344142,6
lt_warehouse,158,4.29780000,62.66860484,6
lt_warehouse,159,3.40580000,61.66036004,0
lt_warehouse,160,5.48920000,63.88178043,9
lt_warehouse,161,6.13780000,66.29244505,4
lt_warehouse,162,3.18920000,67.43108336,4
lt_warehouse,163,5.90140000,62.41882538,6
lt_warehouse,164,6.33240000,62.35587472,7
lt_warehouse,165,5.57640000,65.87946028,7
lt_warehouse,166,4.75880000,65.71245434,10
lt_warehouse,167,6.20200000,65.22580797,6
lt_warehouse,168,3.63660000,65.06236353,9
lt_warehouse,169,3.56520000,68.19482701,6
lt_warehouse,170,6.66800000,66.50465655,10
lt_warehouse,171,9.93980000,69.21675652,6
lt_warehouse,172,5.11240000,69.71127330,5
lt_warehouse,173,5.94900000,67.13016639,9
lt_warehouse,174,5.88800000,67.17145597,7
lt_warehouse,175,2.58140000,73.47659445,4
lt_warehouse,176,5.46200000,67.63648408,6
lt_warehouse,177,5.97780000,65.81264081,7
lt_warehouse,178,5.16360000,71.91501688,4
