Map,Query Number,Time,Distance,Path Length
lt_warehouse_n,0,0.52620000,6.70820393,0
lt_warehouse_n,1,2.04420000,7.07106781,0
lt_warehouse_n,2,1.22840000,7.00000000,0
lt_warehouse_n,3,1.65700000,5.65685425,0
lt_warehouse_n,4,0.38800000,4.12310563,0
lt_warehouse_n,5,1.45860000,7.21110255,0
lt_warehouse_n,6,0.38460000,4.00000000,0
lt_warehouse_n,7,0.34580000,4.12310563,0
lt_warehouse_n,8,1.05860000,7.21110255,0
lt_warehouse_n,9,0.43080000,6.08276253,0
lt_warehouse_n,10,2.37900000,7.61577311,0
lt_warehouse_n,11,0.50840000,9.00000000,0
lt_warehouse_n,12,2.27520000,9.00000000,0
lt_warehouse_n,13,1.89820000,7.61577311,0
lt_warehouse_n,14,2.69160000,9.47647131,4
lt_warehouse_n,15,0.35600000,8.06225775,0
lt_warehouse_n,16,0.35980000,7.81024968,0
lt_warehouse_n,17,0.28120000,11.04536102,0
lt_warehouse_n,18,1.37520000,9.21954446,0
lt_warehouse_n,19,1.49660000,10.81665383,0
lt_warehouse_n,20,0.41420000,12.00000000,0
lt_warehouse_n,21,0.41540000,13.41640786,0
lt_warehouse_n,22,0.31300000,13.60147051,0
lt_warehouse_n,23,2.12380000,14.14213562,0
lt_warehouse_n,24,1.80820000,13.60147051,0
lt_warehouse_n,25,0.41220000,12.16552506,0
lt_warehouse_n,26,2.87060000,10.77805077,4
lt_warehouse_n,27,1.93900000,12.48683298,4
lt_warehouse_n,28,1.76220000,13.03840481,0
lt_warehouse_n,29,2.86080000,13.93260727,4
lt_warehouse_n,30,2.35120000,16.27935940,4
lt_warehouse_n,31,1.66680000,15.29705854,0
lt_warehouse_n,32,1.66100000,18.02775638,0
lt_warehouse_n,33,2.29540000,19.10497317,0
lt_warehouse_n,34,1.75640000,16.64331698,0
lt_warehouse_n,35,1.67760000,18.02775638,0
lt_warehouse_n,36,3.13260000,15.27336030,4
lt_warehouse_n,37,0.39660000,15.23154621,0
