Map,Query Number,Time,Distance,Path Length
w_bonepitmining_a2,0,0.87560000,7.28010989,0
w_bonepitmining_a2,1,2.81980000,7.28010989,0
w_bonepitmining_a2,2,2.55840000,6.70820393,0
w_bonepitmining_a2,3,0.72740000,5.09901951,0
w_bonepitmining_a2,4,2.22980000,5.00000000,0
w_bonepitmining_a2,5,2.03560000,6.70820393,0
w_bonepitmining_a2,6,2.00620000,6.40312424,0
w_bonepitmining_a2,7,1.92480000,4.47213595,0
w_bonepitmining_a2,8,0.49680000,6.00000000,0
w_bonepitmining_a2,9,1.83520000,6.32455532,0
w_bonepitmining_a2,10,2.03600000,8.24621125,0
w_bonepitmining_a2,11,2.33840000,8.60232527,0
w_bonepitmining_a2,12,2.56380000,8.06225775,0
w_bonepitmining_a2,13,0.49340000,8.06225775,0
w_bonepitmining_a2,14,0.51060000,9.43398113,0
w_bonepitmining_a2,15,1.74740000,9.05538514,0
w_bonepitmining_a2,16,2.22380000,8.94427191,0
w_bonepitmining_a2,17,0.63300000,9.84885780,0
w_bonepitmining_a2,18,1.70760000,10.00000000,0
w_bonepitmining_a2,19,1.53520000,10.00000000,0
w_bonepitmining_a2,20,0.47120000,13.89244399,0
w_bonepitmining_a2,21,0.49460000,12.20655562,0
w_bonepitmining_a2,22,6.53160000,14.45261837,4
w_bonepitmining_a2,23,1.95740000,15.00000000,0
w_bonepitmining_a2,24,2.69640000,12.04159458,0
w_bonepitmining_a2,25,0.55280000,13.60147051,0
w_bonepitmining_a2,26,2.06240000,11.18033989,0
w_bonepitmining_a2,27,2.85140000,15.00000000,0
w_bonepitmining_a2,28,1.36660000,12.52996409,0
w_bonepitmining_a2,29,2.29280000,14.56021978,0
w_bonepitmining_a2,30,3.49020000,16.88634951,5
w_bonepitmining_a2,31,2.98800000,15.52417470,0
w_bonepitmining_a2,32,4.04620000,18.19557404,4
w_bonepitmining_a2,33,0.48980000,18.60107524,0
w_bonepitmining_a2,34,2.53440000,15.81138830,0
w_bonepitmining_a2,35,1.89380000,15.81138830,0
w_bonepitmining_a2,36,2.52280000,16.12451550,0
w_bonepitmining_a2,37,2.90160000,17.08800749,0
w_bonepitmining_a2,38,1.97920000,16.12451550,0
w_bonepitmining_a2,39,3.23100000,17.15549442,4
w_bonepitmining_a2,40,1.96960000,22.00000000,0
w_bonepitmining_a2,41,2.06280000,20.61552813,0
w_bonepitmining_a2,42,2.04100000,22.36067977,0
w_bonepitmining_a2,43,3.67080000,21.66183468,4
w_bonepitmining_a2,44,0.51480000,23.08679276,0
w_bonepitmining_a2,45,1.55000000,21.40093456,0
w_bonepitmining_a2,46,1.70740000,19.23538406,0
w_bonepitmining_a2,47,4.47420000,22.48446285,4
w_bonepitmining_a2,48,2.42920000,19.41648784,0
w_bonepitmining_a2,49,5.09420000,21.97533243,4
w_bonepitmining_a2,50,4.94760000,23.46575571,4
w_bonepitmining_a2,51,2.25720000,25.94224354,0
w_bonepitmining_a2,52,4.14480000,24.04163056,0
w_bonepitmining_a2,53,3.08440000,25.94224354,0
w_bonepitmining_a2,54,3.64200000,24.20743687,0
w_bonepitmining_a2,55,3.12520000,23.19482701,0
w_bonepitmining_a2,56,2.88180000,25.49509757,0
w_bonepitmining_a2,57,2.57580000,24.51530134,0
w_bonepitmining_a2,58,1.84280000,26.90724809,0
w_bonepitmining_a2,59,1.97200000,25.23885893,0
w_bonepitmining_a2,60,1.93820000,28.63564213,0
w_bonepitmining_a2,61,5.75380000,27.74719115,5
w_bonepitmining_a2,62,0.59300000,27.89265136,0
w_bonepitmining_a2,63,4.34380000,27.94434101,5
w_bonepitmining_a2,64,5.78000000,28.40594175,5
w_bonepitmining_a2,65,6.11440000,28.23387590,4
w_bonepitmining_a2,66,3.22480000,29.06888371,0
w_bonepitmining_a2,67,3.04680000,28.63564213,0
w_bonepitmining_a2,68,3.89060000,27.51363298,0
w_bonepitmining_a2,69,2.07220000,30.41381265,0
w_bonepitmining_a2,70,4.65900000,33.39311292,4
w_bonepitmining_a2,71,4.40960000,32.11269837,5
w_bonepitmining_a2,72,4.01640000,31.89043744,0
w_bonepitmining_a2,73,3.40620000,30.72865690,5
w_bonepitmining_a2,74,2.09180000,33.10589071,0
w_bonepitmining_a2,75,1.79980000,31.40063694,0
w_bonepitmining_a2,76,3.36280000,30.14513304,4
w_bonepitmining_a2,77,5.08780000,32.20367861,5
w_bonepitmining_a2,78,2.49780000,33.13608305,0
w_bonepitmining_a2,79,1.94120000,33.73425559,0
w_bonepitmining_a2,80,3.42220000,36.87817783,0
w_bonepitmining_a2,81,6.85340000,37.18650187,6
w_bonepitmining_a2,82,6.33100000,34.85014594,5
w_bonepitmining_a2,83,7.72460000,36.67091327,4
w_bonepitmining_a2,84,4.80160000,38.01315562,0
w_bonepitmining_a2,85,3.91300000,37.65634077,0
w_bonepitmining_a2,86,4.68820000,35.51056181,0
w_bonepitmining_a2,87,3.29460000,34.91855517,6
w_bonepitmining_a2,88,1.85400000,37.33630941,0
w_bonepitmining_a2,89,6.80560000,37.14168842,5
w_bonepitmining_a2,90,2.25880000,38.27531842,0
w_bonepitmining_a2,91,7.10140000,37.60019783,4
w_bonepitmining_a2,92,5.75820000,40.67663314,5
w_bonepitmining_a2,93,7.20960000,39.92582404,4
w_bonepitmining_a2,94,2.89600000,37.64306045,0
w_bonepitmining_a2,95,4.15980000,41.00000000,0
w_bonepitmining_a2,96,6.79020000,39.83765756,4
w_bonepitmining_a2,97,2.39660000,41.10960958,0
w_bonepitmining_a2,98,6.29840000,42.01851217,4
w_bonepitmining_a2,99,2.30040000,40.79215611,0
w_bonepitmining_a2,100,5.41580000,41.88078318,0
w_bonepitmining_a2,101,5.07040000,43.04720346,4
w_bonepitmining_a2,102,6.83360000,44.74987972,8
w_bonepitmining_a2,103,3.72900000,42.90114533,7
w_bonepitmining_a2,104,4.15140000,43.96589587,0
w_bonepitmining_a2,105,3.53200000,43.41658669,0
w_bonepitmining_a2,106,4.42540000,42.49977323,8
w_bonepitmining_a2,107,3.42420000,47.01063709,0
w_bonepitmining_a2,108,5.03140000,43.56604182,0
w_bonepitmining_a2,109,5.01680000,44.18266864,5
w_bonepitmining_a2,110,5.38920000,46.42177216,4
w_bonepitmining_a2,111,4.63600000,48.41306299,6
