Map,Query Number,Time,Distance,Path Length
w_encounter2,0,1.18900000,4.47213595,0
w_encounter2,1,2.35340000,5.00000000,0
w_encounter2,2,0.78080000,7.21110255,0
w_encounter2,3,0.75480000,4.00000000,0
w_encounter2,4,1.77780000,4.00000000,0
w_encounter2,5,0.72680000,6.40312424,0
w_encounter2,6,0.54900000,5.00000000,0
w_encounter2,7,0.46720000,5.00000000,0
w_encounter2,8,0.43160000,5.83095189,0
w_encounter2,9,2.51040000,6.83095189,4
w_encounter2,10,0.61740000,9.21954446,0
w_encounter2,11,0.52200000,9.89949494,0
w_encounter2,12,0.55780000,10.04987562,0
w_encounter2,13,1.99520000,10.81665383,0
w_encounter2,14,0.47560000,8.00000000,0
w_encounter2,15,2.07000000,9.21954446,0
w_encounter2,16,0.58740000,8.60232527,0
w_encounter2,17,1.24820000,8.54400375,0
w_encounter2,18,0.51760000,8.54400375,0
w_encounter2,19,1.86420000,10.00000000,0
w_encounter2,20,0.55780000,12.08304597,0
w_encounter2,21,2.91060000,13.45362405,0
w_encounter2,22,1.63980000,13.92838828,0
w_encounter2,23,0.55600000,15.13274595,0
w_encounter2,24,1.34920000,13.00000000,0
w_encounter2,25,0.54100000,13.03840481,0
w_encounter2,26,0.55960000,15.13274595,0
w_encounter2,27,0.57800000,14.03566885,0
w_encounter2,28,0.40260000,14.14213562,0
w_encounter2,29,2.18880000,13.15294644,0
w_encounter2,30,1.97360000,18.24828759,0
w_encounter2,31,0.55740000,16.12451550,0
w_encounter2,32,3.40000000,17.72004515,0
w_encounter2,33,3.00560000,16.15549442,0
w_encounter2,34,2.31040000,17.69180601,0
w_encounter2,35,1.70640000,17.08800749,0
w_encounter2,36,2.12140000,17.11724277,0
w_encounter2,37,0.59240000,16.40121947,0
w_encounter2,38,1.89660000,16.64331698,0
w_encounter2,39,5.58220000,17.45623262,4
w_encounter2,40,1.67540000,21.00000000,0
w_encounter2,41,1.39680000,22.13594362,0
w_encounter2,42,1.77900000,20.83573538,4
w_encounter2,43,2.01440000,18.97366596,0
w_encounter2,44,1.39660000,21.40093456,0
w_encounter2,45,3.45560000,20.00000000,0
w_encounter2,46,1.56940000,20.61552813,0
w_encounter2,47,3.24220000,22.13594362,0
w_encounter2,48,0.56020000,19.92485885,0
w_encounter2,49,2.17560000,20.12461180,0
w_encounter2,50,5.14640000,24.24828759,4
w_encounter2,51,2.77980000,22.12743873,6
w_encounter2,52,0.59860000,26.17250466,0
w_encounter2,53,3.52780000,26.01922366,0
w_encounter2,54,2.44820000,25.49509757,0
w_encounter2,55,2.10940000,25.70992026,0
w_encounter2,56,3.25660000,24.08679276,4
w_encounter2,57,2.15880000,25.23885893,0
w_encounter2,58,2.93640000,24.18677324,0
w_encounter2,59,2.01200000,22.80350850,0
w_encounter2,60,3.23580000,28.08750672,4
w_encounter2,61,0.44440000,26.40075756,0
w_encounter2,62,2.35940000,29.27456234,0
w_encounter2,63,4.34000000,27.40075756,4
w_encounter2,64,0.57300000,28.07133770,0
w_encounter2,65,2.57960000,27.20294102,0
w_encounter2,66,1.74180000,30.01666204,0
w_encounter2,67,2.05620000,28.28427125,0
w_encounter2,68,4.01360000,25.58171309,4
w_encounter2,69,0.62380000,29.00000000,0
w_encounter2,70,3.35200000,32.57299495,0
w_encounter2,71,7.68560000,33.97057550,0
w_encounter2,72,1.91340000,30.41381265,0
w_encounter2,73,6.74800000,30.80584360,0
w_encounter2,74,0.61000000,31.38470965,0
w_encounter2,75,2.15140000,31.57530681,0
w_encounter2,76,2.40180000,32.01562119,0
w_encounter2,77,2.60340000,30.39949866,6
w_encounter2,78,5.01840000,32.62719290,4
w_encounter2,79,3.95460000,33.11417812,5
w_encounter2,80,7.03460000,34.94538459,5
w_encounter2,81,0.64520000,33.52610923,0
w_encounter2,82,2.83100000,36.23534186,0
w_encounter2,83,2.43220000,36.79673899,0
w_encounter2,84,5.95120000,37.48332963,0
w_encounter2,85,2.96940000,35.87222530,5
w_encounter2,86,4.34780000,36.67424164,0
w_encounter2,87,5.76820000,36.24871422,4
w_encounter2,88,2.65180000,34.52535300,0
w_encounter2,89,5.00940000,35.47064679,5
w_encounter2,90,2.23980000,37.33630941,0
w_encounter2,91,3.79380000,41.03656906,0
w_encounter2,92,1.81240000,41.04875150,0
w_encounter2,93,5.50800000,38.10616392,4
w_encounter2,94,3.07280000,39.20459157,0
