Map,Query Number,Time,Distance,Path Length
w_encounter2_camp,0,1.24980000,4.47213595,0
w_encounter2_camp,1,0.86040000,7.21110255,0
w_encounter2_camp,2,0.60280000,5.00000000,0
w_encounter2_camp,3,0.66560000,7.21110255,0
w_encounter2_camp,4,0.65800000,7.07106781,0
w_encounter2_camp,5,0.73640000,6.70820393,0
w_encounter2_camp,6,0.60480000,6.00000000,0
w_encounter2_camp,7,0.53020000,6.70820393,0
w_encounter2_camp,8,0.49680000,7.07106781,0
w_encounter2_camp,9,4.07420000,4.12310563,0
w_encounter2_camp,10,2.87060000,11.04536102,0
w_encounter2_camp,11,0.64220000,10.00000000,0
w_encounter2_camp,12,0.54020000,9.48683298,0
w_encounter2_camp,13,3.02300000,10.81665383,0
w_encounter2_camp,14,0.66960000,8.60232527,0
w_encounter2_camp,15,2.61480000,9.00000000,0
w_encounter2_camp,16,2.57840000,10.00000000,0
w_encounter2_camp,17,1.96320000,8.06225775,0
w_encounter2_camp,18,0.64280000,8.06225775,0
w_encounter2_camp,19,0.42780000,8.54400375,0
w_encounter2_camp,20,1.75600000,13.45362405,0
w_encounter2_camp,21,0.52500000,13.60147051,0
w_encounter2_camp,22,1.38220000,13.15294644,0
w_encounter2_camp,23,1.95780000,13.00000000,0
w_encounter2_camp,24,2.10660000,14.00000000,0
w_encounter2_camp,25,2.00860000,15.03329638,0
w_encounter2_camp,26,2.08660000,15.00000000,0
w_encounter2_camp,27,0.60900000,14.03566885,0
w_encounter2_camp,28,2.48080000,12.04159458,0
w_encounter2_camp,29,2.74360000,12.52996409,0
w_encounter2_camp,30,0.65680000,17.80449381,0
w_encounter2_camp,31,0.51680000,17.08800749,0
w_encounter2_camp,32,0.45900000,16.03121954,0
w_encounter2_camp,33,0.48860000,15.62049935,0
w_encounter2_camp,34,0.51080000,15.29705854,0
w_encounter2_camp,35,0.30560000,17.00000000,0
w_encounter2_camp,36,2.51920000,17.46424920,0
w_encounter2_camp,37,0.57180000,17.26267650,0
w_encounter2_camp,38,1.67480000,15.62049935,0
w_encounter2_camp,39,2.81440000,18.35755975,0
w_encounter2_camp,40,1.38760000,18.97366596,0
w_encounter2_camp,41,2.56060000,22.36067977,0
w_encounter2_camp,42,2.64620000,21.21320344,0
w_encounter2_camp,43,3.19340000,22.42955327,9
w_encounter2_camp,44,0.53520000,19.84943324,0
w_encounter2_camp,45,0.47240000,21.26029163,0
w_encounter2_camp,46,1.60660000,22.02271555,0
w_encounter2_camp,47,3.13080000,21.58703314,0
w_encounter2_camp,48,1.12400000,20.61552813,0
w_encounter2_camp,49,2.32460000,20.48747568,4
w_encounter2_camp,50,4.52520000,22.62247753,4
w_encounter2_camp,51,3.04120000,24.33105012,0
w_encounter2_camp,52,2.73380000,25.00000000,0
w_encounter2_camp,53,5.30580000,25.74963249,5
w_encounter2_camp,54,7.07560000,27.23086739,5
w_encounter2_camp,55,3.51420000,26.90724809,0
w_encounter2_camp,56,2.23460000,23.08679276,0
w_encounter2_camp,57,6.18620000,26.07680962,0
w_encounter2_camp,58,2.82660000,24.04163056,0
w_encounter2_camp,59,2.29480000,25.49509757,0
w_encounter2_camp,60,3.19720000,28.60640479,4
w_encounter2_camp,61,2.62880000,27.29468813,0
w_encounter2_camp,62,2.99960000,29.06888371,0
w_encounter2_camp,63,1.83120000,29.01723626,0
w_encounter2_camp,64,3.86420000,26.57749892,4
w_encounter2_camp,65,3.59020000,28.16025568,0
w_encounter2_camp,66,4.46160000,29.38007881,4
w_encounter2_camp,67,2.49840000,27.45906044,0
w_encounter2_camp,68,2.67120000,30.14962686,0
w_encounter2_camp,69,2.91920000,28.08724214,4
w_encounter2_camp,70,3.20120000,29.73213749,0
w_encounter2_camp,71,2.92240000,31.59203535,4
w_encounter2_camp,72,4.92100000,33.12218592,4
w_encounter2_camp,73,6.51740000,35.05709629,0
w_encounter2_camp,74,2.19780000,33.01514804,0
w_encounter2_camp,75,4.57220000,31.62129871,5
w_encounter2_camp,76,7.35700000,32.76496723,4
w_encounter2_camp,77,3.07000000,34.13209633,0
w_encounter2_camp,78,3.32780000,31.01612484,0
w_encounter2_camp,79,2.20400000,30.80584360,0
w_encounter2_camp,80,3.37940000,36.24913792,0
w_encounter2_camp,81,7.06980000,37.00000000,0
w_encounter2_camp,82,3.27920000,36.79673899,0
w_encounter2_camp,83,3.06320000,34.17880728,4
w_encounter2_camp,84,2.10040000,35.00000000,0
w_encounter2_camp,85,2.97660000,33.52610923,0
w_encounter2_camp,86,2.88720000,35.51056181,0
w_encounter2_camp,87,2.71960000,36.00000000,0
w_encounter2_camp,88,0.52940000,36.05551275,0
w_encounter2_camp,89,2.07080000,38.94868419,0
w_encounter2_camp,90,6.10760000,39.56008089,0
w_encounter2_camp,91,7.42100000,39.68154169,5
w_encounter2_camp,92,4.33900000,40.33509936,4
w_encounter2_camp,93,4.67220000,38.33802972,4
w_encounter2_camp,94,3.55220000,39.49658895,7
w_encounter2_camp,95,2.90100000,38.62641583,0
w_encounter2_camp,96,2.48340000,37.16180835,0
w_encounter2_camp,97,2.29720000,37.64306045,0
w_encounter2_camp,98,4.00580000,39.81205847,0
w_encounter2_camp,99,4.37700000,41.30375286,0
w_encounter2_camp,100,4.90900000,45.00000000,0
w_encounter2_camp,101,2.55360000,44.28317965,0
w_encounter2_camp,102,2.20920000,46.01086828,0
w_encounter2_camp,103,5.01620000,41.36406307,6
w_encounter2_camp,104,3.24460000,41.55816650,4
w_encounter2_camp,105,1.81960000,47.01063709,0
w_encounter2_camp,106,7.78020000,44.96887313,6
w_encounter2_camp,107,3.21360000,44.28317965,0
w_encounter2_camp,108,2.62100000,42.95346319,0
w_encounter2_camp,109,4.00900000,43.04648650,0
w_encounter2_camp,110,5.79960000,47.09772229,4
w_encounter2_camp,111,3.64240000,48.79549160,0
w_encounter2_camp,112,6.50640000,48.09710733,4
w_encounter2_camp,113,4.49940000,46.51959348,4
w_encounter2_camp,114,2.41040000,48.00000000,0
w_encounter2_camp,115,4.29760000,46.21440066,4
w_encounter2_camp,116,4.76060000,46.50720656,6
w_encounter2_camp,117,4.14900000,48.41487375,0
w_encounter2_camp,118,3.89560000,48.16369155,4
w_encounter2_camp,119,6.57940000,49.04079934,0
w_encounter2_camp,120,4.96440000,48.92492956,4
w_encounter2_camp,121,4.49080000,48.76474136,0
w_encounter2_camp,122,3.48740000,51.47815070,0
w_encounter2_camp,123,3.06800000,49.92995093,0
w_encounter2_camp,124,3.95240000,48.84669897,0
w_encounter2_camp,125,3.69660000,51.62363800,0
w_encounter2_camp,126,5.41560000,48.79754199,4
w_encounter2_camp,127,5.05660000,52.00000000,0
w_encounter2_camp,128,5.32620000,49.89529536,4
w_encounter2_camp,129,4.58580000,51.58457013,4
w_encounter2_camp,130,7.75840000,55.24657227,5
w_encounter2_camp,131,4.32680000,55.22680509,0
w_encounter2_camp,132,3.82820000,52.95280918,0
w_encounter2_camp,133,4.76740000,55.47071299,0
w_encounter2_camp,134,2.64120000,54.03702434,0
w_encounter2_camp,135,6.79300000,55.72084347,7
w_encounter2_camp,136,4.64540000,55.86591089,0
w_encounter2_camp,137,2.46860000,54.91812087,0
w_encounter2_camp,138,3.90540000,54.81788029,0
w_encounter2_camp,139,4.51080000,55.97320788,0
w_encounter2_camp,140,5.95960000,57.10021721,4
w_encounter2_camp,141,5.45780000,58.02424018,4
w_encounter2_camp,142,5.03240000,58.22126576,4
w_encounter2_camp,143,5.63340000,58.00862005,0
w_encounter2_camp,144,6.11660000,59.49881899,4
w_encounter2_camp,145,3.56340000,58.24946352,0
w_encounter2_camp,146,14.38480000,59.50398762,9
w_encounter2_camp,147,5.44760000,61.46946437,4
w_encounter2_camp,148,4.36040000,58.39221268,5
w_encounter2_camp,149,7.74780000,57.99400130,5
w_encounter2_camp,150,3.34580000,61.98386887,0
w_encounter2_camp,151,5.06500000,61.04742861,4
w_encounter2_camp,152,9.10660000,62.44616585,5
w_encounter2_camp,153,6.01920000,61.29437168,0
w_encounter2_camp,154,5.87880000,60.94163828,4
w_encounter2_camp,155,4.44760000,62.66571111,4
w_encounter2_camp,156,4.76180000,63.20679542,9
w_encounter2_camp,157,3.44960000,61.40032573,0
w_encounter2_camp,158,4.64200000,59.32183667,6
w_encounter2_camp,159,4.80420000,63.67083053,5
w_encounter2_camp,160,5.67420000,69.24135037,5
w_encounter2_camp,161,4.15440000,64.56004957,0
w_encounter2_camp,162,6.48960000,67.77063421,10
w_encounter2_camp,163,3.90180000,63.56099433,0
w_encounter2_camp,164,7.79160000,63.48947653,6
w_encounter2_camp,165,4.91860000,65.45991140,0
w_encounter2_camp,166,7.51120000,68.49734178,5
w_encounter2_camp,167,7.85180000,67.52971832,5
w_encounter2_camp,168,4.55100000,66.40030120,0
w_encounter2_camp,169,4.05020000,66.28725368,0
w_encounter2_camp,170,6.77160000,71.65472875,4
w_encounter2_camp,171,3.29260000,72.44308111,0
w_encounter2_camp,172,8.15780000,66.01016655,7
w_encounter2_camp,173,9.70940000,67.94809464,8
w_encounter2_camp,174,2.68040000,70.17834424,0
w_encounter2_camp,175,6.56940000,69.81938236,4
w_encounter2_camp,176,4.73300000,72.33947747,0
w_encounter2_camp,177,6.34300000,69.10368679,7
w_encounter2_camp,178,8.77540000,73.00000000,0
w_encounter2_camp,179,6.15780000,70.06792813,5
w_encounter2_camp,180,4.79160000,71.58910532,0
w_encounter2_camp,181,6.67000000,70.78052865,4
w_encounter2_camp,182,9.31220000,73.00684899,0
w_encounter2_camp,183,3.97100000,72.03471385,0
w_encounter2_camp,184,5.70620000,72.13735300,4
w_encounter2_camp,185,9.08520000,74.28007496,14
w_encounter2_camp,186,4.70740000,72.83543094,0
w_encounter2_camp,187,7.20880000,73.91859604,6
w_encounter2_camp,188,11.65420000,75.38139270,9
w_encounter2_camp,189,6.69960000,75.26759626,4
w_encounter2_camp,190,10.05040000,78.85586461,14
w_encounter2_camp,191,3.21140000,81.00000000,0
w_encounter2_camp,192,9.90420000,80.81242982,4
w_encounter2_camp,193,8.68660000,76.48529270,0
w_encounter2_camp,194,3.47720000,74.72929181,4
w_encounter2_camp,195,6.60580000,79.48802876,8
w_encounter2_camp,196,6.40320000,80.66249662,4
w_encounter2_camp,197,9.00680000,75.35220274,6
w_encounter2_camp,198,8.15980000,77.87186764,14
w_encounter2_camp,199,6.19180000,76.39217268,7
w_encounter2_camp,200,3.57200000,83.21658489,0
w_encounter2_camp,201,10.58280000,82.15229759,0
w_encounter2_camp,202,12.59820000,79.60759396,12
w_encounter2_camp,203,12.67080000,81.85028853,8
w_encounter2_camp,204,6.14360000,82.16952930,4
w_encounter2_camp,205,5.40120000,81.11469641,4
w_encounter2_camp,206,8.65820000,81.64688270,5
w_encounter2_camp,207,5.77360000,82.21683709,16
w_encounter2_camp,208,9.51320000,80.95095607,9
w_encounter2_camp,209,9.60400000,82.11278805,16
w_encounter2_camp,210,8.69200000,87.56574774,7
w_encounter2_camp,211,4.72120000,82.87760560,4
w_encounter2_camp,212,6.99700000,86.70063437,0
w_encounter2_camp,213,6.54220000,85.80178469,4
