Map,Query Number,Time,Distance,Path Length
w_woundedcoast,0,3.51700000,5.09901951,0
w_woundedcoast,1,4.23240000,4.47213595,0
w_woundedcoast,2,2.15640000,6.08276253,0
w_woundedcoast,3,2.39820000,5.38516481,0
w_woundedcoast,4,2.69760000,6.00000000,0
w_woundedcoast,5,3.06220000,6.47213595,4
w_woundedcoast,6,1.57080000,5.83095189,0
w_woundedcoast,7,1.07900000,4.12310563,0
w_woundedcoast,8,3.28320000,5.00000000,0
w_woundedcoast,9,2.34160000,5.65685425,0
w_woundedcoast,10,2.91280000,8.60232527,0
w_woundedcoast,11,4.27480000,10.19803903,0
w_woundedcoast,12,2.18540000,10.44030651,0
w_woundedcoast,13,2.24800000,8.60232527,0
w_woundedcoast,14,2.57620000,9.48683298,0
w_woundedcoast,15,2.71040000,11.04536102,0
w_woundedcoast,16,1.90400000,8.06225775,0
w_woundedcoast,17,1.10480000,10.29563014,0
w_woundedcoast,18,1.90520000,9.05538514,0
w_woundedcoast,19,3.09060000,7.81024968,0
w_woundedcoast,20,2.46240000,15.00000000,0
w_woundedcoast,21,1.94940000,13.15294644,0
w_woundedcoast,22,0.83260000,13.60147051,0
w_woundedcoast,23,2.09520000,13.00000000,0
w_woundedcoast,24,2.90760000,13.41640786,0
w_woundedcoast,25,2.20040000,12.64911064,0
w_woundedcoast,26,0.76220000,13.03840481,0
w_woundedcoast,27,2.39000000,12.52996409,0
w_woundedcoast,28,0.55720000,14.31782106,0
w_woundedcoast,29,1.87140000,13.60147051,0
w_woundedcoast,30,6.39660000,17.66780902,5
w_woundedcoast,31,4.33640000,15.55634918,6
w_woundedcoast,32,0.42380000,17.00000000,0
w_woundedcoast,33,3.92940000,16.12451550,0
w_woundedcoast,34,3.65500000,19.10497317,0
w_woundedcoast,35,1.96460000,17.69180601,0
w_woundedcoast,36,0.82980000,16.64331698,0
w_woundedcoast,37,1.72320000,16.03121954,0
w_woundedcoast,38,2.22440000,17.08800749,0
w_woundedcoast,39,2.76800000,18.35755975,0
w_woundedcoast,40,5.71960000,20.37975521,7
w_woundedcoast,41,4.82740000,19.64728032,4
w_woundedcoast,42,0.56340000,21.09502311,0
w_woundedcoast,43,3.12820000,20.19166403,4
w_woundedcoast,44,4.86460000,20.36794061,6
w_woundedcoast,45,1.97560000,19.64688270,0
w_woundedcoast,46,0.75580000,21.09502311,0
w_woundedcoast,47,2.25620000,20.00000000,0
w_woundedcoast,48,2.59420000,20.80865205,0
w_woundedcoast,49,6.87300000,19.84969027,4
w_woundedcoast,50,4.29700000,23.70653918,0
w_woundedcoast,51,5.76340000,24.49003382,5
w_woundedcoast,52,4.16820000,23.76972865,0
w_woundedcoast,53,2.47060000,24.35159132,0
w_woundedcoast,54,2.36580000,24.08318916,0
w_woundedcoast,55,4.53440000,24.58886133,4
w_woundedcoast,56,2.88560000,22.56102835,0
w_woundedcoast,57,2.37960000,25.70992026,0
w_woundedcoast,58,8.46180000,24.88245611,6
w_woundedcoast,59,2.70560000,23.76972865,0
w_woundedcoast,60,4.19200000,29.06888371,0
w_woundedcoast,61,5.84880000,27.74437149,6
w_woundedcoast,62,3.70420000,27.29468813,0
w_woundedcoast,63,5.10800000,28.56970798,6
w_woundedcoast,64,7.92260000,26.78609937,4
w_woundedcoast,65,5.32280000,27.90466132,4
w_woundedcoast,66,6.24420000,28.71687668,7
w_woundedcoast,67,2.55100000,27.80287755,0
