Map,Query Number,Time,Distance,Path Length
arena2,0,0.67760000,3.60555128,0
arena2,1,0.43240000,2.82842712,0
arena2,2,0.51540000,3.16227766,0
arena2,3,0.37620000,3.60555128,0
arena2,4,0.41420000,2.00000000,0
arena2,5,0.41560000,3.00000000,0
arena2,6,0.42140000,1.41421356,0
arena2,7,1.85280000,2.00000000,0
arena2,8,0.43920000,2.00000000,0
arena2,9,4.46900000,3.60555128,0
arena2,10,8.17920000,5.38516481,0
arena2,11,3.31740000,6.40312424,0
arena2,12,0.31000000,4.12310563,0
arena2,13,0.39620000,6.00000000,0
arena2,14,0.36140000,7.28010989,0
arena2,15,0.33500000,5.38516481,0
arena2,16,0.85560000,4.00000000,0
arena2,17,0.33400000,4.00000000,0
arena2,18,1.07220000,7.07106781,0
arena2,19,0.32720000,7.07106781,0
arena2,20,1.34420000,9.48683298,0
arena2,21,1.10940000,8.60232527,0
arena2,22,1.21400000,9.00000000,0
arena2,23,0.91320000,10.44030651,0
arena2,24,0.32420000,10.19803903,0
arena2,25,4.41660000,8.60232527,0
arena2,26,2.60040000,8.06225775,0
arena2,27,0.31060000,10.29563014,0
arena2,28,1.26940000,7.81024968,0
arena2,29,1.84620000,8.06225775,0
arena2,30,6.31460000,13.00000000,0
arena2,31,1.84320000,13.03840481,0
arena2,32,0.43620000,15.13274595,0
arena2,33,1.49360000,13.03840481,0
arena2,34,3.88300000,12.72792206,0
arena2,35,1.33880000,15.00000000,0
arena2,36,2.90380000,12.04159458,0
arena2,37,0.55020000,12.36931688,0
arena2,38,1.01560000,15.03329638,0
arena2,39,0.42260000,11.66190379,0
arena2,40,4.74560000,17.46424920,0
arena2,41,3.67800000,15.19348531,4
arena2,42,0.95600000,16.55294536,0
arena2,43,3.12080000,18.02775638,0
arena2,44,2.05840000,16.49242250,0
arena2,45,6.10800000,18.11077028,0
arena2,46,5.72460000,17.06668940,5
arena2,47,5.57720000,17.84139743,4
arena2,48,2.54960000,16.27882060,0
arena2,49,8.36160000,16.12451550,0
arena2,50,2.67860000,22.00033005,4
arena2,51,3.58620000,20.90104654,4
arena2,52,1.61960000,20.22374842,0
arena2,53,1.31280000,23.00000000,0
arena2,54,1.48780000,19.41648784,0
arena2,55,3.91820000,22.80350850,0
arena2,56,7.62960000,19.84943324,0
arena2,57,4.15020000,21.67253832,4
arena2,58,1.60420000,21.02379604,0
arena2,59,4.83500000,20.04689683,4
arena2,60,6.32520000,26.24893082,4
arena2,61,9.92440000,24.28010989,4
arena2,62,4.49280000,24.83641866,5
arena2,63,2.90240000,25.49509757,0
arena2,64,2.79100000,27.07397274,0
arena2,65,2.37640000,25.17935662,0
arena2,66,4.62260000,24.51530134,0
arena2,67,4.38080000,25.96150997,0
arena2,68,0.52860000,24.18677324,0
arena2,69,0.43160000,24.16609195,0
arena2,70,4.64480000,28.86173938,0
arena2,71,3.36000000,27.89800938,6
arena2,72,1.81980000,28.84441020,0
arena2,73,5.84620000,28.04924508,4
arena2,74,5.56020000,30.47950131,0
arena2,75,3.23200000,28.68735435,5
arena2,76,8.63660000,28.73091948,4
arena2,77,3.18000000,25.95821731,6
arena2,78,2.15020000,29.15475947,0
arena2,79,0.39360000,30.00000000,0
arena2,80,3.02720000,32.91889630,4
arena2,81,3.63320000,32.71237677,5
arena2,82,5.77740000,32.64965543,0
arena2,83,6.11680000,31.08030533,6
arena2,84,3.84420000,31.32091953,0
arena2,85,7.33260000,30.53365063,4
arena2,86,0.43760000,33.54101966,0
arena2,87,3.90900000,30.23243292,0
arena2,88,4.44040000,30.20405468,5
arena2,89,2.33120000,31.32091953,0
arena2,90,3.59960000,36.00000000,0
arena2,91,3.45160000,33.42684741,6
arena2,92,5.37880000,35.90264614,0
arena2,93,5.70480000,35.64988572,5
arena2,94,4.05400000,36.06937759,0
arena2,95,11.45680000,36.36464904,4
arena2,96,4.94760000,36.21564830,4
arena2,97,2.70320000,36.05551275,0
arena2,98,3.52060000,36.64331698,4
arena2,99,3.97560000,35.24200812,4
arena2,100,8.81640000,40.03611985,8
arena2,101,9.78560000,39.91367565,5
arena2,102,5.17480000,39.71932146,4
arena2,103,3.60660000,42.10700654,0
arena2,104,9.37440000,40.37944808,4
arena2,105,5.66880000,40.31128874,0
arena2,106,5.23200000,38.20563541,5
arena2,107,4.58400000,40.96898155,4
arena2,108,6.33900000,39.98120917,4
arena2,109,9.09560000,38.13455278,7
arena2,110,5.86480000,45.55980434,4
arena2,111,9.66640000,46.12478374,4
arena2,112,7.42500000,46.31735069,4
arena2,113,4.83340000,46.69047012,0
arena2,114,6.39980000,42.63849769,5
arena2,115,6.17800000,43.83968805,5
arena2,116,7.85240000,39.77489333,6
arena2,117,7.76840000,44.14748011,0
arena2,118,4.43420000,42.85056597,4
arena2,119,10.19340000,41.65827247,4
arena2,120,5.02120000,47.00184024,8
arena2,121,4.60820000,44.96616433,7
arena2,122,3.50100000,46.69047012,0
arena2,123,5.32240000,47.31463959,4
arena2,124,4.79700000,45.85103731,6
arena2,125,5.65660000,47.53945730,4
arena2,126,6.31220000,48.64863559,4
arena2,127,6.50540000,50.16045258,4
arena2,128,4.66040000,46.18612648,4
arena2,129,3.50080000,48.35142444,5
arena2,130,3.90700000,50.80252830,7
arena2,131,3.85060000,51.31372323,4
arena2,132,3.89300000,51.33371512,4
arena2,133,4.48700000,50.06888371,6
arena2,134,6.63200000,50.79194089,4
arena2,135,9.41980000,50.08321791,6
arena2,136,8.29700000,50.28373345,4
arena2,137,6.84820000,50.67242512,4
arena2,138,4.88160000,50.50540610,4
arena2,139,10.71800000,51.57973862,8
arena2,140,8.45200000,54.18787794,8
arena2,141,6.49520000,55.63897898,7
arena2,142,4.78480000,57.38466694,0
arena2,143,16.86100000,55.28644662,6
arena2,144,2.94960000,55.90169944,0
arena2,145,6.01260000,54.24428901,4
arena2,146,5.06720000,57.24515814,4
arena2,147,7.67880000,55.75983315,4
arena2,148,7.31180000,50.91021626,4
arena2,149,4.84640000,54.42425930,0
arena2,150,10.04560000,61.15294644,9
arena2,151,6.58640000,57.70615219,0
arena2,152,5.98500000,54.68070104,8
arena2,153,6.25420000,59.64106200,4
arena2,154,6.16620000,57.99243818,8
arena2,155,4.01760000,60.99096569,4
arena2,156,10.51820000,59.84169800,4
arena2,157,9.58900000,57.30007213,4
arena2,158,7.94960000,57.28643449,5
arena2,159,3.48660000,60.01666435,0
arena2,160,4.72620000,61.02964781,4
arena2,161,5.69800000,62.69829066,8
arena2,162,5.49740000,63.85372088,8
arena2,163,4.92060000,65.19202405,0
arena2,164,12.51000000,58.88641861,7
arena2,165,7.41640000,60.83875988,4
arena2,166,1.79400000,61.52235366,0
arena2,167,5.86700000,60.40059333,9
arena2,168,11.66900000,59.93928021,4
arena2,169,9.46980000,62.40161804,9
arena2,170,7.07800000,67.89315696,11
arena2,171,3.68800000,63.78871374,0
arena2,172,16.62460000,63.19311206,6
arena2,173,4.49760000,64.46707978,4
