Map,Query Number,Time,Distance,Path Length
brc202d,0,1.02280000,2.82842712,0
brc202d,1,1.69920000,2.23606798,0
brc202d,2,0.47120000,2.23606798,0
brc202d,3,0.64480000,3.16227766,0
brc202d,4,0.66060000,2.23606798,0
brc202d,5,0.61780000,1.41421356,0
brc202d,6,1.78700000,3.00000000,0
brc202d,7,0.62840000,3.00000000,0
brc202d,8,0.76480000,3.16227766,0
brc202d,9,0.44580000,2.23606798,0
brc202d,10,0.50760000,6.40312424,0
brc202d,11,0.42380000,6.32455532,0
brc202d,12,1.84960000,5.00000000,0
brc202d,13,2.78080000,5.09901951,0
brc202d,14,1.94400000,6.32455532,0
brc202d,15,2.26840000,5.00000000,0
brc202d,16,0.49580000,5.83095189,0
brc202d,17,0.36380000,7.00000000,0
brc202d,18,2.03340000,4.24264069,0
brc202d,19,1.52180000,5.83095189,0
brc202d,20,0.41720000,11.04536102,0
brc202d,21,0.30660000,9.48683298,0
brc202d,22,0.31360000,7.81024968,0
brc202d,23,3.03760000,8.38516481,4
brc202d,24,0.59080000,8.24621125,0
brc202d,25,2.90140000,10.77032961,0
brc202d,26,1.63600000,11.18033989,0
brc202d,27,0.31320000,9.48683298,0
brc202d,28,2.02520000,11.04536102,0
brc202d,29,0.29920000,11.18033989,0
brc202d,30,3.01560000,15.03329638,0
brc202d,31,2.12820000,12.04159458,0
brc202d,32,0.40960000,12.16552506,0
brc202d,33,1.94940000,13.89244399,0
brc202d,34,3.92800000,14.31782106,0
brc202d,35,1.65280000,12.72792206,0
brc202d,36,1.95240000,12.20655562,0
brc202d,37,1.68440000,14.56021978,0
brc202d,38,2.16300000,13.34166406,0
brc202d,39,0.43040000,15.55634919,0
brc202d,40,0.51400000,18.02775638,0
brc202d,41,1.71880000,15.52417470,0
brc202d,42,0.39720000,18.38477631,0
brc202d,43,4.81140000,17.21267040,4
brc202d,44,3.75480000,15.69187612,4
brc202d,45,2.01540000,17.80449381,0
brc202d,46,0.37520000,16.55294536,0
brc202d,47,0.42540000,17.80449381,0
brc202d,48,4.11100000,17.02938637,0
