Map,Query Number,Time,Distance,Path Length
combat,0,0.59900000,2.82842712,0
combat,1,0.27260000,2.82842712,0
combat,2,1.88600000,2.23606798,0
combat,3,0.25940000,1.41421356,0
combat,4,0.24820000,3.60555128,0
combat,5,0.25560000,3.60555128,0
combat,6,0.89300000,3.60555128,0
combat,7,1.11320000,1.41421356,0
combat,8,1.38520000,3.60555128,0
combat,9,0.26080000,3.00000000,0
combat,10,0.21100000,7.07106781,0
combat,11,0.19900000,4.47213595,0
combat,12,0.17040000,4.00000000,0
combat,13,0.16920000,7.21110255,0
combat,14,1.04760000,6.32455532,0
combat,15,1.64780000,5.38516481,0
combat,16,0.21500000,6.08276253,0
combat,17,0.21800000,5.83095189,0
combat,18,0.25000000,4.12310563,0
combat,19,0.21540000,7.21110255,0
combat,20,1.46000000,8.00000000,0
combat,21,0.23000000,8.24621125,0
combat,22,0.22680000,9.05538514,0
combat,23,0.18340000,8.06225775,0
combat,24,0.16920000,9.00000000,0
combat,25,0.16780000,9.21954446,0
combat,26,0.27860000,10.04987562,0
combat,27,0.19260000,11.04536102,0
combat,28,0.20580000,11.04536102,0
combat,29,0.17480000,10.63014581,0
combat,30,0.18600000,14.56021978,0
combat,31,0.15720000,12.16552506,0
combat,32,0.18500000,11.66190379,0
combat,33,0.17520000,14.14213562,0
combat,34,1.25020000,13.92838828,0
combat,35,1.05020000,11.70469991,0
combat,36,1.03800000,11.40175425,0
combat,37,1.10500000,13.03840481,0
combat,38,0.22580000,14.86606875,0
combat,39,0.23500000,15.00000000,0
combat,40,0.88640000,17.80449381,0
combat,41,0.65400000,16.03121954,0
combat,42,0.23800000,18.60107524,0
combat,43,0.68460000,17.80449381,0
combat,44,0.21220000,16.55294536,0
combat,45,0.90320000,18.02775638,0
combat,46,0.99300000,15.81138830,0
combat,47,0.80740000,19.02629759,0
combat,48,0.17940000,18.02775638,0
combat,49,0.20540000,16.64331698,0
combat,50,0.83280000,21.02379604,0
combat,51,1.17540000,20.12461180,0
combat,52,0.87440000,20.51828453,0
combat,53,2.73760000,22.67156810,0
combat,54,0.88640000,21.47091055,0
combat,55,0.80100000,22.67156810,0
combat,56,0.77160000,20.59126028,0
combat,57,0.56000000,20.00000000,0
combat,58,1.02540000,21.54065923,0
combat,59,0.19160000,18.86796226,0
combat,60,0.82240000,23.32380758,0
combat,61,0.23360000,25.63201124,0
combat,62,0.82760000,24.04163056,0
combat,63,0.20840000,25.00000000,0
combat,64,0.18940000,24.59674775,0
combat,65,0.19100000,24.33105012,0
combat,66,0.75900000,22.56102835,0
combat,67,1.57320000,25.89532189,4
combat,68,2.46080000,22.53837497,6
combat,69,1.39100000,24.59674775,0
combat,70,0.71780000,27.01851217,0
combat,71,0.53420000,29.06888371,0
combat,72,1.60680000,27.20379578,4
combat,73,1.16800000,31.14482300,0
combat,74,0.21180000,27.16615541,0
combat,75,0.18020000,27.51363298,0
combat,76,0.79600000,27.65863337,0
combat,77,0.18920000,28.79236010,0
combat,78,0.75760000,28.01785145,0
combat,79,0.80820000,30.00000000,0
combat,80,0.79280000,31.06444913,0
combat,81,0.84240000,33.10589071,0
combat,82,0.78380000,30.01666204,0
combat,83,0.77120000,35.38361203,0
combat,84,0.78620000,34.05877273,0
combat,85,2.19680000,30.81060012,4
combat,86,1.12820000,29.96664813,0
combat,87,0.19060000,34.05877273,0
combat,88,0.64740000,30.80584360,0
combat,89,0.89840000,32.28002478,0
combat,90,0.78620000,36.89173349,0
combat,91,0.98920000,36.89173349,0
combat,92,0.54400000,35.46829570,0
combat,93,0.92480000,35.46829570,0
combat,94,0.92040000,34.01470270,0
combat,95,0.24200000,35.11409973,0
combat,96,0.80100000,34.52535300,0
combat,97,1.01180000,36.22154055,0
combat,98,0.83660000,35.60898763,0
combat,99,0.72400000,36.22154055,0
combat,100,0.83980000,38.94868419,0
combat,101,1.83880000,39.59797975,0
combat,102,1.25340000,37.64306045,0
combat,103,0.31280000,40.04996879,0
combat,104,2.19540000,39.81205847,0
combat,105,0.93620000,37.58989226,0
combat,106,2.36960000,39.75883681,4
combat,107,0.21860000,39.81205847,0
combat,108,0.89260000,41.72529209,0
combat,109,0.22620000,39.29376541,0
combat,110,2.10300000,41.26854743,4
combat,111,0.57820000,41.10960958,0
combat,112,1.11860000,46.01086828,0
combat,113,2.53520000,42.10200847,4
combat,114,1.86520000,41.43682375,4
combat,115,0.76080000,40.85339643,0
combat,116,0.21620000,43.73785546,0
combat,117,3.16800000,43.59862014,4
combat,118,0.93320000,41.67733197,0
combat,119,1.01380000,45.04442252,0
combat,120,0.89120000,46.22769733,0
combat,121,0.81640000,47.50789408,0
combat,122,1.08400000,45.54119015,0
combat,123,1.01980000,47.01063709,0
combat,124,0.30700000,45.60701700,0
combat,125,0.91140000,48.25971405,0
combat,126,1.08100000,47.50789408,0
combat,127,0.90160000,46.32493929,0
combat,128,1.49440000,46.23440877,4
combat,129,2.67380000,47.19568405,4
combat,130,0.91080000,50.15974482,0
combat,131,0.87520000,49.04079934,0
combat,132,1.69860000,49.39928719,4
combat,133,2.88440000,51.69396610,4
combat,134,0.25180000,50.24937811,0
combat,135,0.91380000,49.24428901,0
combat,136,0.76920000,48.87739764,0
combat,137,0.76860000,55.17245690,0
combat,138,2.16200000,50.78780628,4
combat,139,2.05020000,47.79062911,5
combat,140,0.86900000,52.47856705,0
combat,141,0.87740000,58.72818744,0
combat,142,0.74980000,54.12947441,0
combat,143,0.77820000,52.88667129,0
combat,144,1.82540000,51.42172110,4
combat,145,2.05860000,53.89075335,4
combat,146,1.67020000,55.22680509,0
combat,147,1.55200000,55.21775077,0
combat,148,2.83820000,52.93599159,4
combat,149,1.15080000,55.02726597,0
combat,150,0.89000000,57.20139858,0
combat,151,0.26700000,58.24946352,0
combat,152,0.23340000,58.46366393,0
combat,153,0.82260000,58.79625838,0
combat,154,0.78180000,59.03388857,0
combat,155,0.75660000,56.88585061,0
combat,156,0.77440000,56.82429058,0
combat,157,3.68660000,60.04506677,5
combat,158,1.03140000,56.85947590,0
combat,159,0.77560000,58.82176468,0
combat,160,0.73960000,61.98386887,0
combat,161,0.24720000,63.15061362,0
combat,162,0.74520000,63.38769597,0
combat,163,0.80360000,66.52818951,0
combat,164,0.79180000,65.76473219,0
combat,165,1.09660000,62.39390996,0
