Map,Query Number,Time,Distance,Path Length
combat2,0,1.30560000,2.00000000,0
combat2,1,0.28600000,1.00000000,0
combat2,2,0.29120000,3.00000000,0
combat2,3,0.18760000,2.82842712,0
combat2,4,0.23080000,2.23606798,0
combat2,5,0.19820000,3.16227766,0
combat2,6,2.66540000,2.23606798,0
combat2,7,0.27580000,3.16227766,0
combat2,8,0.20780000,2.82842712,0
combat2,9,0.21460000,3.16227766,0
combat2,10,0.24640000,6.32455532,0
combat2,11,0.26220000,6.32455532,0
combat2,12,0.19160000,4.00000000,0
combat2,13,0.16520000,7.21110255,0
combat2,14,1.37160000,6.08276253,0
combat2,15,0.22340000,6.70820393,0
combat2,16,0.17280000,6.32455532,0
combat2,17,0.18160000,7.00000000,0
combat2,18,0.20960000,5.83095189,0
combat2,19,1.58060000,7.00000000,0
combat2,20,0.21580000,9.21954446,0
combat2,21,0.19300000,10.00000000,0
combat2,22,0.19380000,8.06225775,0
combat2,23,0.16860000,9.21954446,0
combat2,24,0.17980000,11.40175425,0
combat2,25,0.16560000,11.18033989,0
combat2,26,0.16140000,10.00000000,0
combat2,27,0.15820000,8.06225775,0
combat2,28,0.22940000,11.40175425,0
combat2,29,0.20960000,7.61577311,0
combat2,30,1.25140000,14.76482306,0
combat2,31,0.98740000,13.03840481,0
combat2,32,0.24660000,12.04159458,0
combat2,33,1.42240000,14.14213562,0
combat2,34,0.20780000,12.20655562,0
combat2,35,0.17800000,14.56021978,0
combat2,36,0.19020000,14.03566885,0
combat2,37,0.18240000,11.18033989,0
combat2,38,0.16480000,13.45362405,0
combat2,39,0.23660000,14.86606875,0
combat2,40,0.17400000,16.27882060,0
combat2,41,0.88940000,18.43908891,0
combat2,42,1.13040000,16.03121954,0
combat2,43,0.21320000,18.11077028,0
combat2,44,0.90800000,17.46424920,0
combat2,45,1.55140000,19.02629759,0
combat2,46,0.90840000,17.72004515,0
combat2,47,0.23060000,18.24828759,0
combat2,48,0.21700000,19.10497317,0
combat2,49,0.20280000,17.02938637,0
combat2,50,0.17380000,19.64688270,0
combat2,51,1.32500000,21.54065923,0
combat2,52,1.02720000,20.09975124,0
combat2,53,0.18380000,20.61552813,0
combat2,54,0.16420000,19.92485885,0
combat2,55,0.95220000,21.37755833,0
combat2,56,1.28240000,21.63330765,0
combat2,57,0.20740000,20.39607805,0
combat2,58,0.19680000,21.37755833,0
combat2,59,0.18500000,22.02271555,0
combat2,60,0.82820000,25.49509757,0
combat2,61,0.21420000,26.01922366,0
combat2,62,0.18760000,22.47220505,0
combat2,63,1.08200000,24.33105012,0
combat2,64,1.03700000,25.61249695,0
combat2,65,0.97880000,22.36067977,0
combat2,66,1.05480000,24.18677324,0
combat2,67,0.20080000,25.01999201,0
combat2,68,0.95400000,24.18677324,0
combat2,69,0.18900000,25.07987241,0
combat2,70,1.60820000,27.97056275,5
combat2,71,0.90300000,29.06888371,0
combat2,72,0.85120000,28.17800561,0
combat2,73,0.94120000,29.15475947,0
combat2,74,0.18320000,28.16025568,0
combat2,75,0.20040000,28.00000000,0
combat2,76,0.17960000,27.29468813,0
combat2,77,1.06500000,29.42787794,0
combat2,78,0.20220000,28.79236010,0
combat2,79,0.94160000,29.83286778,0
combat2,80,0.85800000,32.69556545,0
combat2,81,1.00660000,30.52867504,0
combat2,82,1.06660000,31.04834939,0
combat2,83,0.94560000,31.82766093,0
combat2,84,1.06660000,32.44996148,0
combat2,85,3.49520000,29.59674775,4
combat2,86,1.36420000,32.01562119,0
combat2,87,1.05540000,34.05877273,0
combat2,88,0.19880000,33.13608305,0
combat2,89,1.16440000,31.62277660,0
combat2,90,0.20440000,38.11823711,0
combat2,91,0.18940000,34.48187930,0
combat2,92,1.29460000,38.18376618,0
combat2,93,1.04080000,39.59797975,0
combat2,94,0.19360000,36.87817783,0
combat2,95,1.00540000,38.94868419,0
combat2,96,1.33300000,35.26874301,4
combat2,97,1.03800000,36.22154055,0
combat2,98,1.01540000,36.71511950,0
combat2,99,0.93860000,37.01351105,0
combat2,100,0.18200000,38.47076812,0
combat2,101,0.17160000,40.04996879,0
combat2,102,0.99140000,39.21734310,0
combat2,103,1.97480000,38.22374842,5
combat2,104,1.35840000,42.52058325,0
combat2,105,2.38320000,38.71462915,4
combat2,106,0.21380000,37.36308338,0
combat2,107,0.15520000,43.01162634,0
combat2,108,1.13680000,37.33630941,0
combat2,109,0.20440000,42.19004622,0
combat2,110,0.88860000,40.71854614,0
combat2,111,1.28180000,42.94182111,0
combat2,112,1.15360000,44.55333882,0
combat2,113,1.13960000,44.29446918,0
combat2,114,2.14160000,43.61216055,4
combat2,115,1.18780000,42.20189569,0
combat2,116,1.06800000,42.72001873,0
combat2,117,1.20180000,45.34313620,0
combat2,118,2.14700000,44.51319307,5
