Map,Query Number,Time,Distance,Path Length
den200d,0,19.43380000,-1.00000000,0
den200d,1,13.39800000,-1.00000000,0
den200d,2,15.60480000,-1.00000000,0
den200d,3,18.06500000,-1.00000000,0
den200d,4,20.62080000,-1.00000000,0
den200d,5,17.31120000,-1.00000000,0
den200d,6,15.02540000,-1.00000000,0
den200d,7,16.83040000,-1.00000000,0
den200d,8,16.62880000,-1.00000000,0
den200d,9,15.44140000,-1.00000000,0
den200d,10,1.53680000,4.47213595,0
den200d,11,0.44100000,5.00000000,0
den200d,12,1.23620000,5.09901951,0
den200d,13,2.18540000,7.07106781,0
den200d,14,0.43300000,5.09901951,0
den200d,15,1.43200000,7.28010989,0
den200d,16,1.50340000,5.83095189,0
den200d,17,0.40400000,4.12310563,0
den200d,18,0.43600000,7.28010989,0
den200d,19,0.41240000,4.12310563,0
den200d,20,2.49640000,8.06225775,0
den200d,21,0.43660000,9.21954446,0
den200d,22,2.15140000,10.29563014,0
den200d,23,2.36880000,8.06225775,0
den200d,24,1.27840000,10.81665383,0
den200d,25,2.82040000,11.40312424,4
den200d,26,1.90360000,11.40175425,0
den200d,27,1.63880000,8.00000000,0
den200d,28,1.85140000,10.81665383,0
den200d,29,2.10000000,10.77032961,0
den200d,30,1.86520000,12.52996409,0
den200d,31,0.35120000,11.18033989,0
den200d,32,1.88340000,14.42220510,0
den200d,33,2.86560000,12.20787654,4
den200d,34,3.27820000,12.29563014,4
den200d,35,2.35480000,14.31782106,0
den200d,36,2.04520000,12.00000000,0
den200d,37,1.96660000,14.31782106,0
den200d,38,0.38820000,14.03566885,0
den200d,39,0.33900000,15.13274595,0
den200d,40,3.94960000,17.24264069,4
den200d,41,0.32720000,16.15549442,0
den200d,42,3.25900000,17.49285568,0
den200d,43,2.66920000,16.27882060,0
den200d,44,1.90160000,19.02629759,0
den200d,45,2.37500000,16.76305461,0
den200d,46,2.00840000,15.62049935,0
den200d,47,1.57080000,18.24828759,0
den200d,48,5.92720000,17.61789009,5
den200d,49,0.36940000,16.27882060,0
den200d,50,0.44260000,21.54065923,0
den200d,51,0.41020000,22.80350850,0
den200d,52,0.30600000,21.09502311,0
den200d,53,2.89640000,20.88061302,0
den200d,54,2.36260000,20.22374842,0
den200d,55,4.80900000,21.24828759,4
den200d,56,3.40880000,19.06840226,4
den200d,57,6.56480000,18.36669795,4
den200d,58,1.87220000,22.67156810,0
den200d,59,1.99280000,22.20360331,0
den200d,60,0.35800000,24.69817807,0
den200d,61,5.99960000,26.50738060,7
den200d,62,2.78260000,25.01999201,0
den200d,63,5.13860000,24.76068399,4
den200d,64,3.11500000,26.40075756,0
den200d,65,4.13260000,23.60777477,4
den200d,66,3.80140000,25.10824773,4
den200d,67,4.15820000,23.76603207,7
den200d,68,5.83100000,25.15621431,5
den200d,69,1.86460000,23.25940670,0
den200d,70,3.04420000,26.40075756,0
den200d,71,2.44840000,28.63564213,0
den200d,72,2.07040000,26.68332813,0
den200d,73,4.85540000,27.43114551,6
den200d,74,3.04100000,29.06888371,0
den200d,75,3.56760000,26.90931113,4
den200d,76,3.08660000,27.29468813,0
den200d,77,2.62860000,26.57066051,0
den200d,78,2.16440000,26.24880950,0
den200d,79,2.16880000,27.20294102,0
den200d,80,3.10100000,31.30495168,0
den200d,81,3.86320000,32.01562119,0
den200d,82,2.46720000,35.05709629,0
den200d,83,2.86900000,30.46309242,0
den200d,84,4.55120000,31.17180339,5
den200d,85,3.02340000,31.78049716,0
den200d,86,4.00940000,30.36445290,0
den200d,87,4.08960000,31.92003878,4
den200d,88,1.90460000,33.10589071,0
den200d,89,4.64440000,31.01489411,4
den200d,90,3.54200000,36.71511950,0
den200d,91,2.17140000,35.35533906,0
den200d,92,2.30480000,34.98571137,0
den200d,93,4.32700000,34.31228114,10
den200d,94,6.19160000,37.96028343,8
den200d,95,5.18860000,33.34540995,5
den200d,96,3.34000000,35.90264614,0
den200d,97,4.14420000,36.21976789,5
den200d,98,4.52620000,37.52176561,4
den200d,99,4.27480000,33.96278260,4
den200d,100,3.75920000,40.49691346,0
den200d,101,2.23280000,42.00000000,0
den200d,102,2.66920000,37.16180835,0
den200d,103,4.15700000,37.96576503,8
den200d,104,4.61380000,35.71574086,7
den200d,105,3.65280000,40.46442167,4
den200d,106,4.08180000,36.44721967,7
den200d,107,4.81020000,40.06791227,5
den200d,108,4.79080000,38.95404564,6
den200d,109,3.10720000,41.30375286,0
den200d,110,6.18660000,43.00000000,4
den200d,111,2.12040000,42.54409477,0
den200d,112,2.26040000,42.15447782,0
den200d,113,4.25080000,42.06026894,7
den200d,114,2.87700000,39.82551422,12
den200d,115,5.53380000,44.99615850,4
den200d,116,5.33860000,43.41658669,0
den200d,117,3.81580000,42.94182111,0
den200d,118,7.33240000,42.62450413,5
den200d,119,3.72140000,43.41658669,0
den200d,120,4.49460000,50.08991915,0
den200d,121,4.96940000,47.09564736,0
den200d,122,4.52160000,47.16990566,0
den200d,123,3.45860000,47.07440918,0
den200d,124,5.59240000,49.22655149,8
den200d,125,5.15420000,50.59797975,4
den200d,126,7.02800000,46.48655720,0
den200d,127,2.61900000,49.67896939,0
den200d,128,3.88320000,43.78499368,7
den200d,129,5.53060000,45.12830139,4
den200d,130,6.52460000,50.79183883,7
den200d,131,3.75900000,50.63595560,0
den200d,132,3.63760000,49.81967483,0
den200d,133,4.04540000,53.12704634,4
den200d,134,3.39180000,50.00000000,0
den200d,135,7.08960000,48.44937593,4
den200d,136,5.08860000,48.09402325,7
den200d,137,4.76200000,51.47815070,0
