Map,Query Number,Time,Distance,Path Length
hrt201n,0,0.96740000,3.00000000,0
hrt201n,1,0.38320000,2.00000000,0
hrt201n,2,0.43820000,1.00000000,0
hrt201n,3,1.86760000,2.00000000,0
hrt201n,4,0.45420000,3.60555128,0
hrt201n,5,0.55280000,1.41421356,0
hrt201n,6,0.48520000,2.23606798,0
hrt201n,7,3.09620000,3.00000000,0
hrt201n,8,0.43920000,3.16227766,0
hrt201n,9,0.30620000,2.23606798,0
hrt201n,10,0.59900000,7.21110255,0
hrt201n,11,0.31400000,4.47213595,0
hrt201n,12,1.45780000,3.60555128,0
hrt201n,13,1.49920000,6.08276253,0
hrt201n,14,0.36720000,4.12310563,0
hrt201n,15,1.68840000,6.08276253,0
hrt201n,16,1.23640000,5.00000000,0
hrt201n,17,0.34120000,5.65685425,0
hrt201n,18,0.43880000,4.47213595,0
hrt201n,19,3.50820000,5.38516481,0
hrt201n,20,1.44360000,8.60232527,0
hrt201n,21,2.34960000,9.21954446,0
hrt201n,22,2.08000000,11.04536102,0
hrt201n,23,2.46180000,10.04987562,0
hrt201n,24,0.39860000,9.48683298,0
hrt201n,25,0.38800000,9.21954446,0
hrt201n,26,0.44180000,11.18033989,0
hrt201n,27,0.35380000,8.00000000,0
hrt201n,28,1.90920000,8.54400375,0
hrt201n,29,2.08540000,10.44030651,0
hrt201n,30,1.63380000,15.00000000,0
hrt201n,31,1.71300000,12.37912940,4
hrt201n,32,2.22320000,14.46538199,4
hrt201n,33,1.89740000,14.03566885,0
hrt201n,34,1.45540000,12.08304597,0
hrt201n,35,1.98200000,14.02260056,4
hrt201n,36,2.86220000,13.44030651,4
hrt201n,37,1.61560000,12.04159458,0
hrt201n,38,2.48580000,13.92838828,0
hrt201n,39,1.74840000,13.89244399,0
hrt201n,40,1.49760000,16.49242250,0
hrt201n,41,1.73320000,17.00000000,0
hrt201n,42,3.29760000,18.09676372,4
hrt201n,43,2.63820000,15.81665383,4
hrt201n,44,2.60200000,15.94427191,4
hrt201n,45,2.74120000,17.20702178,4
hrt201n,46,2.37180000,19.02629759,0
hrt201n,47,3.63720000,16.45857294,4
hrt201n,48,1.67340000,18.43908891,0
hrt201n,49,2.88800000,19.10497317,0
hrt201n,50,2.72940000,20.39607805,4
hrt201n,51,2.56060000,18.04745628,4
hrt201n,52,2.31700000,20.61552813,0
hrt201n,53,3.13420000,20.12461180,0
hrt201n,54,2.73080000,20.59938888,4
hrt201n,55,2.63940000,20.49623888,5
hrt201n,56,3.26660000,23.00000000,0
hrt201n,57,2.29920000,19.17776176,4
hrt201n,58,2.46900000,21.35512659,4
hrt201n,59,2.01080000,21.02379604,0
hrt201n,60,6.82980000,25.59665145,5
hrt201n,61,1.95380000,23.25063222,5
hrt201n,62,2.36080000,22.66562126,5
hrt201n,63,1.93400000,22.56120852,4
