Map,Query Number,Time,Distance,Path Length
isound1,0,0.28380000,2.00000000,0
isound1,1,0.26000000,1.41421356,0
isound1,2,0.16860000,3.60555128,0
isound1,3,0.16320000,3.16227766,0
isound1,4,0.19140000,3.60555128,0
isound1,5,0.15080000,3.60555128,0
isound1,6,0.16420000,2.00000000,0
isound1,7,0.15440000,3.16227766,0
isound1,8,0.18820000,3.00000000,0
isound1,9,0.19500000,3.16227766,0
isound1,10,0.18200000,5.38516481,0
isound1,11,0.15880000,6.08276253,0
isound1,12,0.15200000,4.12310563,0
isound1,13,0.15260000,5.65685425,0
isound1,14,0.17600000,7.00000000,0
isound1,15,0.14680000,5.83095189,0
isound1,16,0.14200000,7.07106781,0
isound1,17,0.13800000,7.28010989,0
isound1,18,0.13720000,4.00000000,0
isound1,19,0.13760000,5.65685425,0
isound1,20,1.09140000,9.00000000,0
isound1,21,0.24340000,8.06225775,0
isound1,22,0.14940000,10.04987562,0
isound1,23,0.14020000,10.04987562,0
isound1,24,0.14300000,9.48683298,0
isound1,25,0.14040000,9.05538514,0
isound1,26,0.13880000,8.60232527,0
isound1,27,0.17740000,8.54400375,0
isound1,28,0.13940000,8.06225775,0
isound1,29,0.13960000,9.00000000,0
isound1,30,0.15300000,13.92838828,0
isound1,31,0.63880000,13.45362405,0
isound1,32,0.18200000,13.00000000,0
isound1,33,0.55780000,14.86606875,0
isound1,34,0.16980000,14.42220510,0
isound1,35,0.14280000,13.03840481,0
isound1,36,0.57680000,13.00000000,0
isound1,37,0.15460000,13.00000000,0
isound1,38,0.14440000,12.08304597,0
isound1,39,0.14160000,13.15294644,0
isound1,40,0.64440000,19.10497317,0
isound1,41,0.19200000,19.10497317,0
isound1,42,0.14240000,19.79898987,0
isound1,43,0.14060000,16.12451550,0
isound1,44,0.14080000,17.02938637,0
isound1,45,0.14000000,17.11724277,0
isound1,46,0.13960000,17.46424920,0
isound1,47,0.13980000,17.72004515,0
isound1,48,0.14200000,16.12451550,0
isound1,49,0.56160000,17.49285568,0
isound1,50,0.66960000,22.00000000,0
isound1,51,0.15820000,20.88061302,0
isound1,52,0.14260000,21.63330765,0
isound1,53,0.14020000,18.78829423,0
isound1,54,0.14000000,20.61552813,0
isound1,55,0.56140000,23.02172887,0
isound1,56,0.56400000,22.13594362,0
isound1,57,0.17440000,20.88061302,0
isound1,58,0.14160000,23.02172887,0
isound1,59,0.54480000,20.12461180,0
isound1,60,0.15180000,22.80350850,0
isound1,61,0.58420000,25.94224354,0
isound1,62,0.20420000,25.07987241,0
isound1,63,0.14360000,22.56102835,0
isound1,64,0.16220000,26.07680962,0
isound1,65,0.15660000,24.51530134,0
isound1,66,0.14120000,22.82542442,0
isound1,67,0.54820000,23.34523506,0
isound1,68,0.15760000,24.08318916,0
isound1,69,0.54260000,26.07680962,0
isound1,70,0.20660000,27.31300057,0
isound1,71,0.19360000,29.61418579,0
isound1,72,1.22280000,30.27456234,4
isound1,73,0.19500000,27.31300057,0
isound1,74,0.16580000,28.31960452,0
isound1,75,0.14320000,29.41088234,0
isound1,76,0.15700000,30.41381265,0
isound1,77,0.58880000,28.86173938,0
isound1,78,0.17480000,29.42787794,0
isound1,79,0.15940000,26.68332813,0
isound1,80,0.60140000,31.30495168,0
isound1,81,0.59240000,32.44996148,0
