Map,Query Number,Time,Distance,Path Length
lak303d,0,3.01960000,1.41421356,0
lak303d,1,2.00840000,3.00000000,0
lak303d,2,0.61060000,2.23606798,0
lak303d,3,0.61740000,1.00000000,0
lak303d,4,0.40640000,3.60555128,0
lak303d,5,0.33760000,3.00000000,0
lak303d,6,0.31080000,2.00000000,0
lak303d,7,0.27280000,1.00000000,0
lak303d,8,0.64760000,2.82842712,0
lak303d,9,0.40660000,1.00000000,0
lak303d,10,2.10360000,4.47213595,0
lak303d,11,2.47360000,6.39834564,5
lak303d,12,0.63180000,7.07106781,0
lak303d,13,2.38280000,5.09901951,0
lak303d,14,0.39000000,5.00000000,0
lak303d,15,4.01520000,4.00000000,4
lak303d,16,2.32520000,5.83095189,0
lak303d,17,0.33520000,7.07106781,0
lak303d,18,2.13300000,5.00000000,0
lak303d,19,0.44640000,5.83095189,0
lak303d,20,4.46080000,9.89949494,0
lak303d,21,2.37320000,8.24621125,0
lak303d,22,4.61660000,11.89949494,5
lak303d,23,1.98900000,11.40175425,0
lak303d,24,2.08440000,9.06225775,4
lak303d,25,1.84140000,9.84885780,0
lak303d,26,2.51960000,10.81665383,0
lak303d,27,2.10700000,8.94427191,0
lak303d,28,0.40020000,11.40175425,0
lak303d,29,0.36040000,10.00000000,0
lak303d,30,3.43580000,13.50212262,4
lak303d,31,4.74260000,11.70469991,0
lak303d,32,2.59140000,10.99071609,5
lak303d,33,7.18320000,14.00000000,5
lak303d,34,2.78740000,13.34166406,0
lak303d,35,1.78220000,13.60147051,0
lak303d,36,2.36820000,15.55634919,0
lak303d,37,0.47520000,13.41640786,0
lak303d,38,0.36520000,15.03329638,0
lak303d,39,0.36920000,13.89244399,0
lak303d,40,2.53880000,15.04536102,4
lak303d,41,2.49380000,17.03121954,4
lak303d,42,4.74520000,17.36408499,6
lak303d,43,2.55800000,18.02775638,0
lak303d,44,3.56540000,17.49285568,0
lak303d,45,4.38600000,14.86606875,0
lak303d,46,5.17220000,17.50040550,4
lak303d,47,2.00200000,18.02775638,0
lak303d,48,2.14120000,15.65247584,0
lak303d,49,4.56980000,15.65247584,0
lak303d,50,2.71440000,21.09502311,0
lak303d,51,5.50160000,21.14148109,4
lak303d,52,3.43160000,21.96836864,4
lak303d,53,5.84920000,19.23154621,5
lak303d,54,5.68740000,21.40093456,0
lak303d,55,2.15460000,20.88061302,0
lak303d,56,4.07280000,20.88061302,0
lak303d,57,3.32540000,19.64688270,0
lak303d,58,1.80840000,19.69771560,0
lak303d,59,3.77180000,23.02775638,4
lak303d,60,5.61300000,23.11724277,5
lak303d,61,3.09920000,23.36067977,4
lak303d,62,6.97900000,24.31782106,4
lak303d,63,4.79220000,25.43532560,4
lak303d,64,3.47020000,24.35159132,0
lak303d,65,3.72720000,24.36869479,4
lak303d,66,2.42420000,24.73863375,0
lak303d,67,3.79680000,23.43074903,0
lak303d,68,2.22100000,25.07987241,0
lak303d,69,1.38420000,24.18677324,0
lak303d,70,5.22720000,28.96433474,4
lak303d,71,2.65020000,27.85677655,0
lak303d,72,4.58260000,27.69182300,6
lak303d,73,4.42880000,31.06444913,0
lak303d,74,4.93400000,28.07133770,0
lak303d,75,3.53360000,28.23118843,0
lak303d,76,5.19100000,28.16611008,4
lak303d,77,6.58640000,29.98075198,6
lak303d,78,2.71540000,30.14962686,0
lak303d,79,4.19760000,28.42534081,0
lak303d,80,8.75080000,32.40848891,6
lak303d,81,5.81060000,30.08321791,0
lak303d,82,5.53140000,32.35892443,4
lak303d,83,4.97720000,31.46834325,6
lak303d,84,4.72400000,29.96664813,0
lak303d,85,8.28600000,34.30093419,4
lak303d,86,5.04580000,35.05709629,0
lak303d,87,3.86920000,33.24154028,0
lak303d,88,6.66960000,30.76077527,6
lak303d,89,5.29020000,31.11269837,4
lak303d,90,5.29120000,34.73422892,5
