Map,Query Number,Time,Distance,Path Length
lgt605d,0,0.53880000,2.00000000,0
lgt605d,1,1.93700000,3.60555128,0
lgt605d,2,0.41220000,2.82842712,0
lgt605d,3,1.42100000,3.00000000,0
lgt605d,4,1.10080000,1.00000000,0
lgt605d,5,1.70680000,2.41421356,4
lgt605d,6,1.08940000,1.41421356,0
lgt605d,7,1.13580000,2.00000000,0
lgt605d,8,0.80180000,3.00000000,0
lgt605d,9,0.34740000,1.41421356,0
lgt605d,10,1.34960000,5.00000000,0
lgt605d,11,0.31220000,4.47213595,0
lgt605d,12,1.34760000,5.09901951,0
lgt605d,13,1.21200000,6.40312424,0
lgt605d,14,1.14140000,5.83095189,0
lgt605d,15,0.28900000,4.47213595,0
lgt605d,16,1.42620000,7.07106781,0
lgt605d,17,1.17260000,6.40312424,0
lgt605d,18,1.27880000,6.70820393,0
lgt605d,19,0.87560000,7.07106781,0
lgt605d,20,2.78800000,11.00000000,0
lgt605d,21,1.79880000,8.60232527,0
lgt605d,22,1.72000000,11.18033989,0
lgt605d,23,1.76600000,10.00000000,0
lgt605d,24,2.23000000,8.60232527,0
lgt605d,25,2.09440000,9.00000000,0
lgt605d,26,0.30940000,7.81024968,0
lgt605d,27,1.70340000,11.31370850,0
lgt605d,28,1.74300000,8.06225775,0
lgt605d,29,0.92540000,8.94427191,0
lgt605d,30,3.59740000,14.13711452,5
lgt605d,31,2.33160000,14.76482306,0
lgt605d,32,1.90020000,14.31782106,0
lgt605d,33,2.19920000,14.56021978,0
lgt605d,34,1.30340000,13.34166406,0
lgt605d,35,1.41900000,11.66190379,0
lgt605d,36,3.36660000,12.64911064,0
lgt605d,37,1.26980000,11.66190379,0
lgt605d,38,2.06120000,14.00000000,0
lgt605d,39,3.37580000,12.00000000,0
lgt605d,40,3.23480000,16.36931688,4
lgt605d,41,2.04180000,15.29705854,0
lgt605d,42,1.79600000,18.00000000,0
lgt605d,43,2.43180000,16.64331698,0
lgt605d,44,1.52640000,16.03121954,0
lgt605d,45,1.72560000,19.00000000,0
lgt605d,46,2.14580000,16.55294536,0
lgt605d,47,1.98560000,18.43908891,0
lgt605d,48,2.38700000,17.02938637,0
lgt605d,49,2.10780000,18.43908891,0
lgt605d,50,3.19340000,20.51918674,4
lgt605d,51,1.85900000,20.09975124,0
lgt605d,52,1.51140000,20.39607805,0
lgt605d,53,1.28500000,19.41648784,0
lgt605d,54,2.57100000,20.61552813,0
lgt605d,55,1.73460000,19.69771560,0
lgt605d,56,1.24980000,19.64688270,0
lgt605d,57,1.02600000,19.41648784,0
lgt605d,58,2.65300000,22.00000000,0
lgt605d,59,2.32380000,23.02172887,0
lgt605d,60,2.80280000,22.43857577,5
lgt605d,61,3.16520000,23.60084744,0
lgt605d,62,3.48000000,24.33105012,0
lgt605d,63,2.68880000,25.94071110,8
lgt605d,64,2.50420000,26.01922366,0
lgt605d,65,2.18800000,25.01999201,0
lgt605d,66,1.75280000,24.08318916,0
lgt605d,67,2.40280000,25.05992817,0
lgt605d,68,1.93980000,23.25940670,0
lgt605d,69,2.77340000,26.90724809,0
lgt605d,70,2.46340000,30.14962686,0
lgt605d,71,1.78180000,30.01666204,0
lgt605d,72,1.64820000,31.00000000,0
lgt605d,73,2.75860000,28.28427125,0
lgt605d,74,1.64700000,29.01723626,0
lgt605d,75,2.17520000,26.24880950,0
lgt605d,76,2.28140000,29.12043956,0
lgt605d,77,1.63260000,30.26549190,0
lgt605d,78,2.69300000,26.92582404,0
lgt605d,79,1.84120000,30.00000000,0
lgt605d,80,5.01360000,32.29678109,5
lgt605d,81,5.54940000,33.61982021,5
lgt605d,82,3.58100000,30.80584360,0
lgt605d,83,2.96680000,33.30165161,0
lgt605d,84,2.46900000,30.01666204,0
lgt605d,85,3.25660000,35.06444913,4
lgt605d,86,4.11060000,32.64780354,5
lgt605d,87,4.61900000,32.83374912,4
lgt605d,88,2.66320000,31.04834939,0
lgt605d,89,2.68660000,31.32091953,0
lgt605d,90,3.10920000,33.17897391,4
lgt605d,91,2.60600000,34.79510455,5
lgt605d,92,2.53260000,36.23534186,0
lgt605d,93,2.63100000,35.30259502,4
lgt605d,94,2.81420000,37.01514804,4
lgt605d,95,2.49600000,35.46829570,0
lgt605d,96,2.32500000,34.78505426,0
lgt605d,97,4.83220000,37.26798325,6
lgt605d,98,4.20840000,37.91212825,5
lgt605d,99,2.62920000,35.35533906,0
lgt605d,100,3.50560000,38.42772461,4
lgt605d,101,2.82940000,38.82129233,5
lgt605d,102,2.44500000,38.07886553,0
lgt605d,103,3.26180000,41.61730409,0
lgt605d,104,1.81320000,41.30375286,0
lgt605d,105,4.06460000,40.64269223,4
lgt605d,106,3.52800000,39.81205847,0
lgt605d,107,2.53460000,40.44749683,0
lgt605d,108,2.03700000,42.04759208,0
lgt605d,109,4.57120000,37.75469058,4
