Map,Query Number,Time,Distance,Path Length
orz300d,0,1.95740000,1.00000000,0
orz300d,1,3.99360000,3.60555128,0
orz300d,2,0.66340000,3.16227766,0
orz300d,3,0.40420000,3.00000000,0
orz300d,4,0.67360000,3.60555128,0
orz300d,5,0.61420000,2.82842712,0
orz300d,6,0.44640000,2.82842712,0
orz300d,7,0.29040000,2.00000000,0
orz300d,8,0.59900000,2.23606798,0
orz300d,9,0.45300000,3.60555128,0
orz300d,10,0.54560000,7.00000000,0
orz300d,11,0.36720000,5.09901951,0
orz300d,12,0.33480000,6.40312424,0
orz300d,13,0.48120000,5.09901951,0
orz300d,14,0.34900000,6.70820393,0
orz300d,15,2.00000000,6.70820393,0
orz300d,16,2.25160000,5.00000000,0
orz300d,17,2.32900000,5.09901951,0
orz300d,18,0.32480000,6.70820393,0
orz300d,19,0.40480000,5.00000000,0
orz300d,20,0.37260000,11.31370850,0
orz300d,21,0.55280000,9.48683298,0
orz300d,22,0.46920000,9.43398113,0
orz300d,23,0.34880000,9.48683298,0
orz300d,24,2.01000000,8.48528137,0
orz300d,25,3.85500000,8.48528137,0
orz300d,26,0.45160000,9.48683298,0
orz300d,27,5.76740000,9.66042481,4
orz300d,28,0.62100000,8.94427191,0
orz300d,29,0.52860000,11.40175425,0
orz300d,30,0.59080000,13.00000000,0
orz300d,31,0.42700000,13.03840481,0
orz300d,32,0.43560000,12.04159458,0
orz300d,33,5.14660000,11.70984370,4
orz300d,34,2.11440000,11.40175425,0
orz300d,35,0.42280000,12.20655562,0
orz300d,36,2.00280000,13.03840481,0
orz300d,37,0.43520000,13.60147051,0
orz300d,38,0.47220000,13.41640786,0
orz300d,39,0.42560000,13.41640786,0
orz300d,40,5.59040000,16.93838826,5
orz300d,41,1.78760000,15.81138830,0
orz300d,42,0.47580000,18.43908891,0
orz300d,43,1.98820000,15.29705854,0
orz300d,44,3.27200000,17.49285568,0
orz300d,45,2.58280000,17.26267650,0
orz300d,46,0.44240000,15.62049935,0
orz300d,47,2.83580000,16.67115824,4
orz300d,48,2.87620000,17.28423527,5
orz300d,49,2.56600000,14.86606875,0
orz300d,50,3.50220000,23.02271555,4
orz300d,51,4.48120000,22.47855762,4
orz300d,52,3.61620000,18.36881393,5
orz300d,53,3.10840000,21.37755833,0
orz300d,54,2.85380000,21.63330765,0
orz300d,55,3.42800000,22.47220505,0
orz300d,56,4.40520000,22.20360331,0
orz300d,57,3.15600000,19.74106664,4
orz300d,58,2.34120000,21.93171220,0
orz300d,59,5.70820000,20.76785033,5
orz300d,60,4.25460000,26.22925857,4
orz300d,61,4.56520000,24.19647959,4
orz300d,62,3.10740000,22.84731932,0
orz300d,63,3.56160000,23.43074903,0
orz300d,64,2.97620000,27.01851217,0
orz300d,65,2.65560000,24.73596031,4
orz300d,66,2.80680000,23.76972865,0
orz300d,67,4.86580000,26.47685962,5
orz300d,68,2.99880000,24.69817807,0
orz300d,69,3.98580000,24.10819561,4
orz300d,70,2.35640000,28.00000000,0
orz300d,71,4.63280000,28.99986978,4
orz300d,72,0.46540000,30.00000000,0
orz300d,73,1.54480000,27.85677655,0
orz300d,74,5.31760000,28.23118843,0
orz300d,75,2.45620000,27.51517939,4
orz300d,76,3.97340000,26.92582404,0
orz300d,77,2.55640000,27.51363298,0
orz300d,78,1.47060000,28.80049191,4
orz300d,79,2.38860000,29.15475947,0
orz300d,80,4.23760000,31.68467278,4
orz300d,81,8.48620000,28.42517487,7
orz300d,82,0.57520000,30.88689042,0
orz300d,83,2.46960000,33.00000000,0
orz300d,84,6.39500000,32.52996409,4
orz300d,85,6.66500000,32.20625057,4
orz300d,86,2.31740000,31.30495168,0
orz300d,87,2.63300000,30.23243292,0
orz300d,88,1.98020000,33.01514804,0
orz300d,89,2.38540000,33.13608305,0
orz300d,90,2.29720000,38.20994635,0
orz300d,91,5.82260000,33.29750571,9
orz300d,92,6.10480000,36.14212974,5
orz300d,93,3.92420000,38.89754319,4
orz300d,94,4.71580000,32.43174758,5
orz300d,95,6.77460000,37.70644368,5
orz300d,96,16.57440000,35.74353909,4
orz300d,97,5.38260000,35.60898763,0
orz300d,98,2.39800000,36.12478374,0
orz300d,99,2.74380000,34.43835072,0
orz300d,100,6.87180000,40.03641525,6
orz300d,101,3.98480000,38.47076812,0
orz300d,102,1.92920000,40.11234224,0
orz300d,103,5.69940000,41.32267606,4
orz300d,104,3.59480000,41.72529209,0
orz300d,105,6.63180000,40.76139532,4
orz300d,106,5.44800000,39.70469991,4
orz300d,107,4.42620000,39.85677655,5
orz300d,108,5.17940000,40.00696688,4
orz300d,109,6.63840000,38.62054867,4
orz300d,110,4.98300000,44.20279190,5
orz300d,111,5.72920000,41.70795080,4
orz300d,112,2.97660000,44.28317965,0
orz300d,113,6.93980000,43.38799766,4
orz300d,114,4.40340000,46.75467891,0
orz300d,115,2.98980000,43.86342440,0
orz300d,116,8.38740000,43.80505376,4
orz300d,117,5.80120000,43.71501454,4
orz300d,118,5.08240000,45.01315562,5
orz300d,119,5.48460000,44.31134928,4
orz300d,120,4.21820000,46.49657518,4
orz300d,121,8.13760000,46.05353837,5
orz300d,122,3.65540000,47.18749598,4
orz300d,123,4.92620000,49.51767361,0
orz300d,124,4.55560000,46.64912270,4
orz300d,125,7.10740000,44.92330963,4
orz300d,126,8.06680000,47.47947326,5
orz300d,127,13.53460000,47.19964312,5
orz300d,128,5.04700000,48.63525328,4
orz300d,129,4.08360000,46.40043103,0
orz300d,130,4.11420000,49.30441946,4
