Map,Query Number,Time,Distance,Path Length
ost000a,0,2.26940000,2.23606798,0
ost000a,1,3.48380000,1.41421356,0
ost000a,2,1.03140000,2.82842712,0
ost000a,3,4.87440000,3.00000000,0
ost000a,4,0.93980000,2.00000000,0
ost000a,5,0.84000000,3.60555128,0
ost000a,6,0.78260000,3.16227766,0
ost000a,7,0.53480000,3.16227766,0
ost000a,8,3.81320000,3.60555128,0
ost000a,9,4.06360000,3.60555128,0
ost000a,10,0.92140000,5.00000000,0
ost000a,11,1.03440000,7.21110255,0
ost000a,12,1.00240000,4.12310563,0
ost000a,13,0.83740000,5.83095189,0
ost000a,14,0.57920000,5.00000000,0
ost000a,15,4.68660000,7.28010989,0
ost000a,16,0.93480000,6.32455532,0
ost000a,17,3.66760000,7.21110255,0
ost000a,18,0.72680000,4.12310563,0
ost000a,19,2.93600000,4.47213595,0
ost000a,20,5.84860000,10.00000000,0
ost000a,21,0.54580000,10.04987562,0
ost000a,22,0.68160000,10.29563014,0
ost000a,23,3.18600000,10.77032961,0
ost000a,24,2.27560000,8.00000000,0
ost000a,25,0.68200000,8.60232527,0
ost000a,26,5.26560000,10.77032961,0
ost000a,27,5.61680000,11.04536102,0
ost000a,28,4.48280000,10.81665383,0
ost000a,29,7.59680000,10.00000000,0
ost000a,30,3.93760000,13.70469991,4
ost000a,31,3.30900000,14.00000000,0
ost000a,32,0.71620000,13.45362405,0
ost000a,33,4.12440000,12.80624847,0
ost000a,34,2.45660000,13.00000000,0
ost000a,35,8.76880000,14.60258417,4
ost000a,36,0.76480000,12.20655562,0
ost000a,37,0.95580000,13.45362405,0
ost000a,38,7.49900000,15.00000000,0
ost000a,39,0.66440000,13.60147051,0
ost000a,40,0.59320000,15.81138830,0
ost000a,41,4.77180000,15.23154621,0
ost000a,42,5.88540000,17.46424920,0
ost000a,43,0.51460000,15.26433752,0
ost000a,44,2.47840000,15.65247584,0
ost000a,45,2.13980000,18.35755975,0
ost000a,46,0.37420000,15.23154621,0
ost000a,47,2.25200000,14.86606875,0
ost000a,48,2.65180000,15.29705854,0
ost000a,49,2.11780000,16.64331698,0
ost000a,50,2.92520000,21.21320344,0
ost000a,51,0.47220000,20.22374842,0
ost000a,52,2.37000000,19.41648784,0
ost000a,53,5.69220000,21.21320344,0
ost000a,54,9.75160000,22.52417470,4
ost000a,55,0.56060000,20.61552813,0
ost000a,56,3.68200000,21.58703314,0
ost000a,57,0.74200000,20.24845673,0
ost000a,58,7.00880000,20.55388904,5
ost000a,59,0.51820000,22.09072203,0
ost000a,60,0.83760000,22.80350850,0
ost000a,61,0.53160000,24.41311123,0
ost000a,62,5.52680000,23.47220505,4
ost000a,63,0.48100000,24.00000000,0
ost000a,64,1.77680000,26.17250466,0
ost000a,65,2.32380000,23.32380758,0
ost000a,66,1.96880000,24.35159132,0
ost000a,67,0.57680000,23.60084744,0
ost000a,68,0.38380000,25.55386468,0
ost000a,69,0.45480000,26.40075756,0
ost000a,70,5.23320000,31.01612484,0
ost000a,71,2.05580000,30.01666204,0
ost000a,72,4.12020000,28.84441020,0
ost000a,73,2.44520000,28.65309756,0
ost000a,74,2.97600000,29.41088234,0
ost000a,75,2.41260000,29.73213749,0
ost000a,76,3.19480000,28.46049894,0
ost000a,77,6.81580000,28.61890172,4
ost000a,78,3.74660000,29.61418579,0
ost000a,79,6.53840000,27.31300057,0
ost000a,80,7.97080000,33.61924345,4
ost000a,81,2.54160000,32.28002478,0
ost000a,82,2.04940000,31.01612484,0
ost000a,83,1.63640000,31.78049716,0
ost000a,84,11.94720000,30.55102286,6
ost000a,85,12.20700000,33.32926936,4
ost000a,86,3.06600000,33.24154028,0
ost000a,87,1.92460000,31.14482300,0
ost000a,88,3.60380000,31.76476035,0
ost000a,89,6.49640000,32.57316000,4
ost000a,90,7.64220000,34.75766375,4
ost000a,91,9.70200000,32.59585912,7
ost000a,92,8.42820000,34.48970708,4
ost000a,93,4.80640000,37.03771594,4
ost000a,94,10.86000000,36.39332886,4
ost000a,95,4.39740000,36.72721413,5
ost000a,96,8.29980000,34.55349721,6
ost000a,97,2.36940000,36.40054945,0
ost000a,98,3.29100000,36.45579790,5
ost000a,99,8.49360000,36.26441055,8
ost000a,100,5.73000000,43.13930922,0
ost000a,101,5.67920000,40.80441153,0
ost000a,102,3.25240000,40.36087214,0
ost000a,103,6.71480000,38.47657634,4
ost000a,104,5.84000000,38.32753579,0
ost000a,105,7.75820000,39.30944965,7
ost000a,106,5.05640000,39.45883931,0
ost000a,107,4.14080000,39.82461550,0
ost000a,108,2.42940000,40.52159918,0
ost000a,109,8.91900000,42.44997055,0
ost000a,110,9.62120000,42.60148447,4
ost000a,111,5.85540000,44.98038667,5
ost000a,112,16.56920000,42.15605521,5
ost000a,113,10.11860000,45.50164989,8
ost000a,114,7.36380000,43.69094673,4
ost000a,115,7.52280000,45.26387643,6
ost000a,116,8.94560000,44.61458953,4
ost000a,117,7.69200000,40.98454660,5
ost000a,118,4.58760000,47.00000000,0
ost000a,119,3.25480000,44.64302857,0
ost000a,120,2.28340000,45.22167622,0
ost000a,121,1.53680000,48.00000000,0
ost000a,122,5.71400000,45.92952559,5
ost000a,123,4.95500000,49.25444142,0
ost000a,124,5.63980000,46.22769733,0
ost000a,125,19.95240000,47.61860616,4
ost000a,126,3.27500000,47.26520919,0
ost000a,127,5.44200000,47.73749597,4
ost000a,128,6.48480000,48.16637832,0
ost000a,129,17.07100000,46.69918729,9
ost000a,130,8.32440000,53.55622049,8
ost000a,131,2.90740000,48.10405388,0
ost000a,132,3.90620000,54.03702434,0
ost000a,133,4.67800000,51.24451190,0
ost000a,134,9.27620000,50.63978633,4
ost000a,135,7.37420000,49.67956184,4
ost000a,136,7.80280000,52.07273654,4
ost000a,137,7.50940000,49.25999995,4
ost000a,138,5.07940000,50.56923630,4
ost000a,139,3.11880000,49.04079934,0
ost000a,140,5.63660000,58.00862005,0
ost000a,141,2.99660000,55.00000000,0
ost000a,142,7.54940000,57.58464970,4
ost000a,143,4.89120000,53.75872022,0
ost000a,144,12.32960000,54.97029801,5
ost000a,145,7.51680000,55.31490281,5
ost000a,146,10.15440000,54.25226674,4
ost000a,147,8.75120000,55.76252048,5
ost000a,148,5.78820000,53.26016329,4
ost000a,149,2.53600000,54.74486277,0
ost000a,150,7.32120000,57.72735976,4
ost000a,151,3.59040000,61.00819617,0
ost000a,152,11.52180000,59.51335843,5
ost000a,153,7.39340000,58.55535317,4
ost000a,154,7.33580000,59.41515851,7
ost000a,155,7.77960000,57.46023828,5
ost000a,156,4.03340000,60.13318551,0
ost000a,157,21.15360000,58.29702742,5
ost000a,158,7.63740000,59.00795157,7
ost000a,159,5.79880000,56.85947590,0
ost000a,160,14.35260000,64.01967739,4
ost000a,161,9.36000000,62.39614448,4
ost000a,162,16.09680000,62.33249294,7
ost000a,163,15.40700000,59.34062805,6
ost000a,164,15.15600000,61.22031595,4
ost000a,165,7.18840000,61.46543744,0
ost000a,166,7.41460000,62.28782650,4
ost000a,167,10.15680000,61.91945209,4
ost000a,168,7.19680000,62.51399843,0
ost000a,169,5.66020000,61.85466838,0
ost000a,170,12.50180000,68.00499449,4
ost000a,171,16.36000000,64.20303961,7
ost000a,172,7.68040000,64.15462920,5
ost000a,173,6.31400000,63.23758297,7
ost000a,174,9.78780000,64.87838473,5
ost000a,175,8.32960000,67.47805077,9
ost000a,176,11.32600000,63.25232121,4
ost000a,177,5.37720000,70.08324077,4
ost000a,178,4.69520000,65.14598990,0
ost000a,179,7.90420000,68.79692840,4
ost000a,180,4.94320000,68.88396040,0
ost000a,181,5.47660000,67.62396025,0
ost000a,182,6.52380000,71.81137725,4
ost000a,183,4.01320000,68.12938814,4
ost000a,184,5.21540000,73.15672608,4
ost000a,185,8.40200000,71.89168787,4
ost000a,186,8.44260000,72.02777242,0
ost000a,187,18.88380000,71.79612502,7
ost000a,188,16.57560000,69.43220346,8
ost000a,189,16.06080000,70.05294467,4
ost000a,190,7.60200000,71.88486277,4
ost000a,191,9.35100000,77.16216690,0
ost000a,192,9.56260000,71.59912792,5
