Map,Query Number,Time,Distance,Path Length
ost000t,0,1.13680000,3.16227766,0
ost000t,1,0.72940000,3.60555128,0
ost000t,2,0.60800000,2.00000000,0
ost000t,3,2.05640000,1.00000000,0
ost000t,4,2.43840000,2.82842712,0
ost000t,5,0.76620000,3.60555128,0
ost000t,6,0.64840000,3.16227766,0
ost000t,7,0.55080000,3.16227766,0
ost000t,8,0.53340000,1.00000000,0
ost000t,9,0.73540000,3.00000000,0
ost000t,10,0.45300000,6.00000000,0
ost000t,11,2.41140000,5.65685425,0
ost000t,12,3.56980000,6.40312424,0
ost000t,13,0.65720000,4.47213595,0
ost000t,14,3.07580000,6.40312424,0
ost000t,15,5.35560000,5.53731919,4
ost000t,16,0.45140000,6.08276253,0
ost000t,17,0.66760000,5.38516481,0
ost000t,18,1.65960000,6.08276253,0
ost000t,19,1.36680000,4.00000000,0
ost000t,20,4.88660000,11.04536102,0
ost000t,21,0.56600000,8.94427191,0
ost000t,22,0.51180000,9.05538514,0
ost000t,23,0.55520000,10.19803903,0
ost000t,24,0.48480000,10.29563014,0
ost000t,25,2.40620000,9.21954446,0
ost000t,26,0.67860000,8.94427191,0
ost000t,27,4.73060000,7.63441362,4
ost000t,28,2.86860000,8.94427191,0
ost000t,29,2.12960000,9.43398113,0
ost000t,30,0.68860000,12.20655562,0
ost000t,31,1.67220000,13.15294644,0
ost000t,32,2.72620000,12.04159458,0
ost000t,33,3.97900000,13.41640786,0
ost000t,34,1.99320000,14.21267040,0
ost000t,35,0.60900000,13.60147051,0
ost000t,36,0.35540000,12.08304597,0
ost000t,37,1.93480000,12.72792206,0
ost000t,38,2.52960000,14.56021978,0
ost000t,39,2.41780000,12.04159458,0
ost000t,40,0.45180000,19.10497317,0
ost000t,41,0.47740000,16.97056275,0
ost000t,42,1.19020000,15.62049935,0
ost000t,43,2.15620000,16.55294536,0
ost000t,44,4.44820000,17.64575977,6
ost000t,45,2.17640000,17.88854382,0
ost000t,46,2.10360000,18.60107524,0
ost000t,47,2.06880000,17.69180601,0
ost000t,48,2.00420000,15.65247584,0
ost000t,49,3.60380000,14.63014581,5
ost000t,50,3.75340000,19.43908891,4
ost000t,51,3.16160000,21.18962010,0
ost000t,52,3.35960000,18.86796226,0
ost000t,53,2.66540000,19.41648784,0
ost000t,54,0.46340000,20.00000000,0
ost000t,55,0.42460000,21.09502311,0
ost000t,56,1.75800000,19.64688270,0
ost000t,57,2.03140000,20.39607805,0
ost000t,58,2.72340000,19.41648784,0
ost000t,59,4.69960000,22.21817468,4
ost000t,60,4.24340000,25.63014581,4
ost000t,61,0.56120000,23.08679276,0
ost000t,62,3.80260000,22.56102835,0
ost000t,63,6.44660000,25.71957531,4
ost000t,64,0.61620000,25.80697580,0
ost000t,65,7.30520000,25.61442465,4
ost000t,66,6.90180000,24.65247584,6
ost000t,67,2.41520000,24.59674775,0
ost000t,68,5.87160000,23.68461063,5
ost000t,69,1.67760000,27.00000000,0
ost000t,70,4.81460000,29.27456234,0
ost000t,71,4.30360000,28.42534081,0
ost000t,72,5.92280000,30.14962686,0
ost000t,73,3.10620000,27.45906044,0
ost000t,74,2.48160000,29.83286778,0
ost000t,75,2.26560000,31.11269837,0
ost000t,76,2.90040000,27.45906044,0
ost000t,77,1.83840000,29.83286778,0
ost000t,78,1.61940000,27.45906044,0
ost000t,79,4.92020000,29.42787794,0
ost000t,80,2.64680000,31.04834939,0
ost000t,81,1.91180000,34.71310992,0
ost000t,82,2.00060000,31.06444913,0
ost000t,83,2.42400000,33.42154993,0
ost000t,84,2.06960000,31.14482300,0
ost000t,85,4.73240000,32.01562119,0
ost000t,86,2.13580000,33.24154028,0
ost000t,87,5.47640000,33.97805910,4
ost000t,88,2.68980000,32.52691193,0
ost000t,89,1.87940000,33.13608305,0
ost000t,90,1.34960000,35.35533906,0
ost000t,91,3.47780000,34.87512263,4
ost000t,92,2.71900000,36.23534186,0
ost000t,93,3.90180000,36.13862200,0
ost000t,94,7.83200000,36.40737688,6
ost000t,95,2.59980000,36.00000000,0
ost000t,96,5.58920000,38.29040408,4
ost000t,97,2.47360000,34.36568055,0
ost000t,98,5.09600000,34.53983208,0
ost000t,99,2.14440000,37.21558813,0
ost000t,100,5.65640000,38.83297568,0
ost000t,101,2.28260000,38.27531842,0
ost000t,102,2.50340000,40.00000000,0
ost000t,103,2.27060000,41.04875150,0
ost000t,104,3.11140000,40.81666326,0
ost000t,105,1.89280000,37.94733192,0
ost000t,106,4.00040000,36.54549737,5
ost000t,107,4.19220000,43.01162634,0
ost000t,108,4.01840000,41.23105626,0
ost000t,109,4.18940000,37.94733192,0
ost000t,110,2.42620000,43.10452412,0
ost000t,111,6.99020000,41.64429539,5
ost000t,112,3.42220000,46.04345773,0
ost000t,113,2.70140000,43.65775991,0
ost000t,114,4.26380000,41.14675629,4
ost000t,115,2.85480000,42.48529157,0
ost000t,116,2.42120000,41.78516483,0
ost000t,117,5.60680000,43.89492173,6
ost000t,118,9.00300000,45.25084506,6
ost000t,119,7.25580000,43.56604182,0
ost000t,120,8.08340000,46.44329045,4
ost000t,121,7.19880000,48.93176527,5
ost000t,122,3.75800000,48.83646179,0
ost000t,123,6.02160000,48.10160127,4
ost000t,124,4.54180000,47.17041958,4
ost000t,125,4.30300000,45.35416188,0
ost000t,126,4.91160000,46.84015371,0
ost000t,127,10.01980000,47.56717129,6
ost000t,128,4.30920000,46.73425559,5
ost000t,129,4.71340000,46.16120810,4
ost000t,130,7.85500000,50.05480219,4
ost000t,131,7.01280000,52.05414218,4
ost000t,132,2.39480000,50.24937811,0
ost000t,133,3.97900000,50.57257552,6
ost000t,134,11.02560000,50.26875508,4
ost000t,135,6.00660000,50.66381427,4
ost000t,136,5.54360000,49.31741298,5
ost000t,137,7.51880000,48.36673899,4
ost000t,138,5.13040000,49.39608493,4
ost000t,139,5.62680000,51.26402247,0
ost000t,140,0.58360000,58.13776741,0
ost000t,141,6.63080000,52.94182111,4
ost000t,142,5.21100000,54.75387007,4
ost000t,143,6.20060000,54.29032544,5
ost000t,144,7.72700000,55.69054403,5
ost000t,145,5.00260000,53.62017636,4
ost000t,146,11.66940000,54.92522645,4
