Map,Query Number,Time,Distance,Path Length
ost100d,0,1.03720000,3.16227766,0
ost100d,1,0.68740000,2.23606798,0
ost100d,2,0.59920000,0.00000000,0
ost100d,3,0.91340000,2.82842712,0
ost100d,4,0.91480000,2.00000000,0
ost100d,5,0.83580000,2.00000000,0
ost100d,6,2.38280000,1.41421356,0
ost100d,7,0.79620000,2.00000000,0
ost100d,8,0.80520000,3.16227766,0
ost100d,9,4.20020000,2.23606798,0
ost100d,10,0.73160000,5.38516481,0
ost100d,11,0.46280000,6.70820393,0
ost100d,12,0.42760000,7.07106781,0
ost100d,13,0.58580000,6.40312424,0
ost100d,14,1.55240000,6.08276253,0
ost100d,15,0.64880000,5.09901951,0
ost100d,16,2.43800000,5.00000000,0
ost100d,17,3.02160000,6.00000000,0
ost100d,18,1.47040000,7.21110255,0
ost100d,19,1.51900000,6.32455532,0
ost100d,20,0.53580000,8.00000000,0
ost100d,21,0.72900000,8.60232527,0
ost100d,22,2.55520000,8.60232527,0
ost100d,23,0.42800000,7.61577311,0
ost100d,24,1.93040000,8.94427191,0
ost100d,25,0.57240000,8.54400375,0
ost100d,26,0.39620000,10.00000000,0
ost100d,27,0.56520000,10.63014581,0
ost100d,28,3.57940000,9.00000000,0
ost100d,29,0.71080000,10.44030651,0
ost100d,30,2.68940000,13.34166406,0
ost100d,31,4.47500000,15.14213560,13
ost100d,32,0.44000000,14.56021978,0
ost100d,33,0.35580000,13.41640786,0
ost100d,34,0.59960000,13.34166406,0
ost100d,35,0.36820000,11.18033989,0
ost100d,36,0.37080000,12.64911064,0
ost100d,37,2.99360000,14.14213562,0
ost100d,38,0.48600000,15.00000000,0
ost100d,39,1.64100000,13.34166406,0
ost100d,40,0.50900000,17.46424920,0
ost100d,41,1.35900000,18.02775638,0
ost100d,42,3.11500000,18.00000000,0
ost100d,43,4.61800000,15.34260184,4
ost100d,44,2.26420000,18.11077028,0
ost100d,45,1.92720000,18.11077028,0
ost100d,46,0.55160000,17.49285568,0
ost100d,47,1.76480000,18.35755975,0
ost100d,48,0.48540000,17.80449381,0
ost100d,49,1.19280000,16.40121947,0
ost100d,50,7.75720000,21.32099376,5
ost100d,51,0.42060000,23.00000000,0
ost100d,52,6.19860000,19.32170447,4
ost100d,53,2.87880000,20.24845673,0
ost100d,54,2.25760000,22.36067977,0
ost100d,55,0.37980000,20.22374842,0
ost100d,56,1.89700000,19.41648784,0
ost100d,57,0.42540000,21.26029163,0
ost100d,58,2.24960000,22.47220505,0
ost100d,59,4.11040000,20.61552813,0
ost100d,60,8.81100000,24.85764635,4
ost100d,61,3.54760000,25.01999201,0
ost100d,62,1.80740000,26.00000000,0
ost100d,63,2.03540000,23.25940670,0
ost100d,64,3.85260000,26.91161628,4
ost100d,65,2.35040000,23.32380758,0
ost100d,66,0.42560000,26.30589288,0
ost100d,67,4.40200000,23.85372088,0
ost100d,68,2.27080000,25.49509757,0
ost100d,69,3.24980000,25.49509757,0
ost100d,70,2.87540000,28.86173938,0
ost100d,71,2.41880000,31.00000000,0
ost100d,72,2.27020000,26.40075756,0
ost100d,73,0.40620000,28.30194340,0
ost100d,74,2.64820000,27.55386468,4
ost100d,75,1.95680000,26.92582404,0
ost100d,76,0.43000000,26.57066051,0
