Map,Query Number,Time,Distance,Path Length
oth001d,0,19.50960000,-1.00000000,0
oth001d,1,29.86100000,-1.00000000,0
oth001d,2,10.86960000,-1.00000000,0
oth001d,3,26.83380000,-1.00000000,0
oth001d,4,24.17940000,-1.00000000,0
oth001d,5,15.23820000,-1.00000000,0
oth001d,6,6.87760000,-1.00000000,0
oth001d,7,9.99460000,-1.00000000,0
oth001d,8,18.74400000,-1.00000000,0
oth001d,9,15.92300000,-1.00000000,0
oth001d,10,0.46840000,6.00000000,0
oth001d,11,1.93820000,6.70820393,0
oth001d,12,0.37580000,6.08276253,0
oth001d,13,0.46380000,4.12310563,0
oth001d,14,0.29020000,5.09901951,0
oth001d,15,0.31840000,5.00000000,0
oth001d,16,1.71480000,6.32455532,0
oth001d,17,0.28060000,5.00000000,0
oth001d,18,0.26400000,6.70820393,0
oth001d,19,0.29340000,7.21110255,0
oth001d,20,0.33920000,9.84885780,0
oth001d,21,2.49540000,8.12241749,4
oth001d,22,1.49780000,10.29563014,0
oth001d,23,0.34140000,10.44030651,0
oth001d,24,0.31720000,8.06225775,0
oth001d,25,1.45280000,10.00000000,0
oth001d,26,3.22940000,9.21954446,0
oth001d,27,0.25740000,11.04536102,0
oth001d,28,1.62440000,8.06225775,0
oth001d,29,1.30900000,10.77032961,0
oth001d,30,1.20300000,13.60147051,0
oth001d,31,1.03700000,14.31782106,0
oth001d,32,1.20880000,11.18033989,0
oth001d,33,1.68300000,13.45362405,0
oth001d,34,2.19820000,13.06225775,4
oth001d,35,1.87060000,14.31782106,0
oth001d,36,0.34380000,14.03566885,0
oth001d,37,1.13760000,12.04159458,0
oth001d,38,2.16500000,14.31782106,0
oth001d,39,1.88720000,13.03840481,0
oth001d,40,1.12860000,17.46424920,0
oth001d,41,1.44260000,18.02775638,0
oth001d,42,1.76700000,16.97056275,0
oth001d,43,1.74320000,16.40121947,0
oth001d,44,1.98620000,18.43908891,0
oth001d,45,1.37580000,16.76305461,0
oth001d,46,4.58940000,17.46424920,0
oth001d,47,3.05100000,16.12451550,0
oth001d,48,1.70360000,17.08800749,0
oth001d,49,1.25200000,16.15549442,0
oth001d,50,1.34400000,20.61552813,0
oth001d,51,1.30420000,22.47220505,0
oth001d,52,2.09580000,21.54065923,0
oth001d,53,1.79720000,20.00000000,0
oth001d,54,2.22740000,21.02379604,0
oth001d,55,1.38660000,19.31320792,0
oth001d,56,1.63260000,20.22374842,0
