Map,Query Number,Time,Distance,Path Length
rmtst,0,2.07520000,-1.00000000,0
rmtst,1,1.22140000,-1.00000000,0
rmtst,2,0.39180000,2.82842712,0
rmtst,3,1.55520000,2.23606798,0
rmtst,4,1.06360000,2.23606798,0
rmtst,5,0.41200000,2.23606798,0
rmtst,6,0.29220000,1.00000000,0
rmtst,7,0.28760000,1.41421356,0
rmtst,8,0.19700000,1.00000000,0
rmtst,9,1.52880000,2.23606798,0
rmtst,10,1.73400000,6.23606798,4
rmtst,11,1.77780000,6.70820393,0
rmtst,12,1.82540000,5.16227766,4
rmtst,13,1.92340000,5.82842712,4
rmtst,14,3.28860000,7.23606798,4
rmtst,15,1.40020000,6.32455532,0
rmtst,16,1.14560000,6.40312424,0
rmtst,17,1.33560000,5.65685425,0
rmtst,18,0.20700000,7.00000000,0
rmtst,19,0.18740000,7.21110255,0
rmtst,20,2.03260000,9.47213595,4
rmtst,21,3.65040000,10.54400375,4
rmtst,22,0.24440000,10.04987562,0
rmtst,23,1.56420000,10.00000000,0
rmtst,24,2.48840000,10.77032961,0
rmtst,25,1.86880000,9.60555128,4
rmtst,26,1.36880000,9.43398113,0
rmtst,27,1.11980000,8.94427191,0
rmtst,28,0.20860000,7.61577311,0
rmtst,29,0.24800000,9.48683298,0
rmtst,30,1.49880000,11.99070478,4
rmtst,31,3.04400000,13.63782223,4
rmtst,32,2.19880000,13.90387700,4
rmtst,33,3.09480000,12.53915583,4
rmtst,34,2.35220000,12.72134935,4
rmtst,35,6.30760000,14.21954446,4
rmtst,36,2.49360000,11.45561243,4
rmtst,37,2.73600000,14.27766256,4
rmtst,38,1.45680000,14.14213562,0
rmtst,39,1.38320000,11.66190379,0
rmtst,40,3.81060000,16.18033989,4
rmtst,41,2.15740000,17.36931688,4
rmtst,42,2.99340000,18.47213595,7
rmtst,43,2.44420000,15.47213595,6
rmtst,44,2.37680000,16.51373053,4
rmtst,45,1.78940000,18.43908891,0
rmtst,46,5.35740000,15.70820393,5
rmtst,47,2.47980000,17.88854382,4
rmtst,48,3.05320000,17.60626149,4
rmtst,49,2.86180000,17.32455532,5
rmtst,50,3.26180000,20.12037174,4
rmtst,51,1.79060000,18.06449510,6
rmtst,52,3.29740000,20.84161925,6
rmtst,53,3.21980000,21.87758731,4
rmtst,54,2.70000000,19.33569078,4
rmtst,55,2.13960000,19.41648784,0
rmtst,56,4.26900000,18.88131749,5
rmtst,57,2.63860000,20.59362773,4
rmtst,58,2.02860000,20.02925523,5
rmtst,59,3.48640000,21.41056525,4
rmtst,60,1.79420000,24.04493295,5
rmtst,61,3.26140000,25.04231645,5
rmtst,62,4.31440000,25.88437187,6
rmtst,63,3.43120000,24.00093791,5
rmtst,64,2.14640000,24.07639765,5
rmtst,65,3.64480000,23.44030651,4
rmtst,66,3.00540000,22.82542442,0
rmtst,67,3.31200000,24.81816212,4
rmtst,68,1.72440000,25.82842712,5
rmtst,69,2.52220000,21.26454457,7
rmtst,70,3.64360000,28.70043308,6
rmtst,71,3.14240000,27.49285568,5
rmtst,72,5.43340000,27.44196994,6
rmtst,73,2.99520000,27.22742539,5
rmtst,74,2.20160000,28.23644383,5
rmtst,75,2.45040000,27.92140737,4
rmtst,76,2.41740000,30.09356026,4
rmtst,77,3.74940000,27.70729844,4
rmtst,78,3.86480000,28.90527279,4
rmtst,79,3.21440000,27.89949493,7
rmtst,80,3.66520000,34.05897592,4
rmtst,81,2.01500000,29.85691226,9
rmtst,82,3.05840000,31.57237704,8
rmtst,83,2.68580000,31.09298024,9
rmtst,84,3.29180000,31.28431796,8
rmtst,85,3.37520000,31.71949571,7
rmtst,86,4.18980000,31.55385285,7
