Map,Query Number,Time,Distance,Path Length
rmtst01,0,0.54260000,2.23606798,0
rmtst01,1,0.54680000,3.00000000,0
rmtst01,2,1.37280000,2.82842712,0
rmtst01,3,0.31160000,1.00000000,0
rmtst01,4,1.45360000,-1.00000000,0
rmtst01,5,1.07520000,3.00000000,0
rmtst01,6,0.35360000,2.00000000,0
rmtst01,7,0.29760000,3.16227766,0
rmtst01,8,0.42600000,3.16227766,0
rmtst01,9,5.28200000,-1.00000000,0
rmtst01,10,1.76320000,5.00000000,0
rmtst01,11,1.19580000,7.00000000,0
rmtst01,12,2.01940000,7.47213595,4
rmtst01,13,1.54960000,6.47870866,4
rmtst01,14,1.67340000,6.00000000,0
rmtst01,15,2.07140000,6.76782894,4
rmtst01,16,2.15120000,7.28010989,0
rmtst01,17,2.49900000,6.16227766,4
rmtst01,18,2.32740000,7.09901951,4
rmtst01,19,1.45740000,6.70820393,0
rmtst01,20,2.37380000,8.60232527,0
rmtst01,21,2.62860000,8.06225775,0
rmtst01,22,3.33200000,8.62123278,4
rmtst01,23,2.39700000,8.47213595,5
rmtst01,24,1.70380000,7.60555128,5
rmtst01,25,1.77380000,8.63919221,4
rmtst01,26,1.05820000,10.81665383,0
rmtst01,27,1.94900000,9.48683298,0
rmtst01,28,0.26940000,10.29563014,0
rmtst01,29,0.27440000,8.06225775,0
rmtst01,30,2.08920000,11.18033989,0
rmtst01,31,1.98900000,15.19803903,4
rmtst01,32,3.38720000,12.71834721,4
rmtst01,33,2.45480000,12.31012206,4
rmtst01,34,2.35160000,12.53915583,5
rmtst01,35,2.45860000,13.00000000,6
rmtst01,36,1.85460000,12.47870866,6
rmtst01,37,2.50600000,12.08304597,0
rmtst01,38,2.66640000,13.01613970,5
rmtst01,39,0.32860000,14.86606875,0
rmtst01,40,2.84940000,18.36058347,4
rmtst01,41,2.49200000,15.42357483,5
rmtst01,42,1.74360000,17.89450962,5
rmtst01,43,3.49900000,16.33549503,4
rmtst01,44,3.16420000,16.19503691,4
rmtst01,45,3.02220000,14.94173465,5
rmtst01,46,1.96740000,17.54320377,6
rmtst01,47,3.10320000,16.82842712,7
rmtst01,48,2.33160000,15.35839121,4
rmtst01,49,3.08700000,15.11081276,4
rmtst01,50,1.85840000,20.16316870,5
rmtst01,51,4.33440000,19.56550469,4
rmtst01,52,2.53360000,21.42950236,4
rmtst01,53,2.11120000,21.28080156,4
rmtst01,54,1.61880000,21.94427191,6
rmtst01,55,3.59800000,18.54221812,4
rmtst01,56,1.62020000,19.43397840,7
rmtst01,57,3.88220000,19.63867680,4
rmtst01,58,6.02180000,19.73006677,4
rmtst01,59,2.89960000,20.67637449,6
rmtst01,60,3.46420000,23.46516941,4
rmtst01,61,2.82380000,23.66763773,6
rmtst01,62,4.61620000,23.61507156,4
rmtst01,63,3.13620000,23.62721911,4
rmtst01,64,1.88020000,24.45561243,6
rmtst01,65,2.87700000,22.05541342,4
rmtst01,66,2.17080000,23.02320944,4
rmtst01,67,3.04260000,23.60830987,4
rmtst01,68,2.10680000,22.29200363,4
rmtst01,69,1.22380000,23.37236666,4
rmtst01,70,4.11860000,25.74139590,4
rmtst01,71,3.65780000,26.70451458,4
rmtst01,72,2.78640000,26.17555688,7
rmtst01,73,2.70280000,28.22639556,8
rmtst01,74,4.26860000,28.93308862,6
rmtst01,75,3.25020000,27.87913307,5
rmtst01,76,4.48740000,29.41088234,0
rmtst01,77,3.80420000,28.83186891,4
rmtst01,78,2.19920000,27.83197186,4
rmtst01,79,1.51100000,26.95043389,4
rmtst01,80,4.89660000,29.97813706,5
rmtst01,81,2.97240000,31.69862442,4
rmtst01,82,3.18120000,31.54315812,4
rmtst01,83,5.59960000,33.21539774,7
rmtst01,84,3.22760000,30.97326283,7
rmtst01,85,3.51120000,33.14454068,7
rmtst01,86,4.35660000,32.23804883,8
rmtst01,87,3.32420000,32.12874525,4
rmtst01,88,6.14680000,30.66184578,4
rmtst01,89,4.68360000,34.04302170,4
rmtst01,90,4.24660000,35.28228310,6
rmtst01,91,3.14420000,33.04472003,5
rmtst01,92,3.83120000,32.62090891,7
rmtst01,93,3.40840000,34.66909839,7
