Map,Query Number,Time,Distance,Path Length
Aftershock,0,3.62940000,7.07106781,0
Aftershock,1,4.48420000,5.38516481,0
Aftershock,2,4.10280000,7.21110255,0
Aftershock,3,0.99660000,4.47213595,0
Aftershock,4,2.60720000,4.12310563,0
Aftershock,5,4.16100000,7.21110255,0
Aftershock,6,1.96240000,4.47213595,0
Aftershock,7,1.09620000,4.47213595,0
Aftershock,8,0.81620000,6.08276253,0
Aftershock,9,0.68520000,6.40312424,0
Aftershock,10,2.68220000,8.24621125,0
Aftershock,11,0.78340000,8.54400375,0
Aftershock,12,1.99680000,9.05538514,0
Aftershock,13,0.68000000,9.05538514,0
Aftershock,14,1.95420000,8.00000000,0
Aftershock,15,0.69840000,8.06225775,0
Aftershock,16,2.31420000,8.54400375,0
Aftershock,17,0.69900000,10.00000000,0
Aftershock,18,0.70420000,8.24621125,0
Aftershock,19,3.85820000,8.60232527,0
Aftershock,20,0.81320000,14.31782106,0
Aftershock,21,3.74780000,14.86606875,0
Aftershock,22,2.72220000,14.56021978,0
Aftershock,23,0.58640000,13.60147051,0
Aftershock,24,0.79980000,14.31782106,0
Aftershock,25,0.78400000,13.60147051,0
Aftershock,26,2.97040000,12.72792206,0
Aftershock,27,3.46120000,14.04329142,4
Aftershock,28,4.50820000,14.56021978,0
Aftershock,29,0.72480000,14.14213562,0
Aftershock,30,0.51720000,15.81138830,0
Aftershock,31,2.01340000,18.11077028,0
Aftershock,32,2.16840000,17.80449381,0
Aftershock,33,0.58460000,15.23154621,0
Aftershock,34,0.60380000,18.38477631,0
Aftershock,35,4.23760000,13.70628141,6
Aftershock,36,0.61000000,16.49242250,0
Aftershock,37,0.77160000,19.10497317,0
Aftershock,38,0.83560000,15.29705854,0
Aftershock,39,0.76580000,15.23154621,0
Aftershock,40,4.88640000,22.39766172,4
Aftershock,41,2.73980000,19.31320792,0
Aftershock,42,4.83040000,21.33064818,5
Aftershock,43,0.61780000,20.09975124,0
Aftershock,44,0.55780000,20.24845673,0
Aftershock,45,2.00160000,18.78829423,0
Aftershock,46,0.61400000,20.22374842,0
Aftershock,47,0.62340000,19.23538406,0
Aftershock,48,2.88380000,21.47091055,0
Aftershock,49,5.18080000,21.18962010,0
Aftershock,50,0.69120000,27.07397274,0
Aftershock,51,0.49140000,24.02082430,0
Aftershock,52,6.75140000,24.25767224,5
Aftershock,53,6.91480000,23.48992315,4
Aftershock,54,0.65160000,24.75883681,0
Aftershock,55,2.45320000,22.36067977,0
Aftershock,56,2.73460000,24.83948470,0
Aftershock,57,0.63460000,25.07987241,0
Aftershock,58,3.03060000,24.51530134,0
Aftershock,59,0.61000000,24.75883681,0
Aftershock,60,2.73080000,29.68164416,0
Aftershock,61,0.56800000,28.28427125,0
Aftershock,62,2.39440000,29.83286778,0
Aftershock,63,3.52240000,28.16025568,0
Aftershock,64,0.45120000,27.80287755,0
Aftershock,65,0.58080000,26.41968963,0
Aftershock,66,0.58980000,26.62705391,0
Aftershock,67,1.92640000,28.28427125,0
Aftershock,68,0.67140000,29.00000000,0
Aftershock,69,0.62720000,27.65863337,0
Aftershock,70,0.64500000,33.13608305,0
Aftershock,71,0.55400000,33.54101966,0
Aftershock,72,0.56420000,30.36445290,0
Aftershock,73,4.40400000,34.52302120,4
Aftershock,74,4.01780000,35.00000000,0
Aftershock,75,2.34320000,31.04834939,0
Aftershock,76,1.86040000,33.01514804,0
Aftershock,77,2.23980000,32.89376841,0
Aftershock,78,2.84940000,33.24154028,0
Aftershock,79,4.41140000,30.87069808,0
Aftershock,80,0.60700000,37.01351105,0
Aftershock,81,0.75400000,37.00000000,0
Aftershock,82,2.66340000,34.01470270,0
Aftershock,83,2.81740000,35.90264614,0
Aftershock,84,0.75660000,34.48187930,0
Aftershock,85,0.62740000,35.22782991,0
Aftershock,86,0.68620000,34.92849839,0
Aftershock,87,1.87740000,33.83784863,0
Aftershock,88,2.42460000,36.01388621,0
Aftershock,89,0.60400000,37.00000000,0
Aftershock,90,3.54140000,37.94733192,0
Aftershock,91,1.95620000,40.44749683,0
Aftershock,92,0.64860000,42.01190308,0
Aftershock,93,0.48360000,41.01219331,0
Aftershock,94,4.17160000,39.20459157,0
Aftershock,95,2.59240000,41.23105626,0
Aftershock,96,5.46000000,37.33630941,0
Aftershock,97,0.57240000,41.10960958,0
Aftershock,98,0.59860000,40.31128874,0
Aftershock,99,0.55160000,41.00000000,0
Aftershock,100,3.86620000,44.40720662,0
Aftershock,101,4.42300000,46.69047012,0
Aftershock,102,3.17620000,44.04543109,0
Aftershock,103,0.57200000,46.17358552,0
Aftershock,104,3.91280000,43.96589587,0
Aftershock,105,0.63100000,41.78516483,0
Aftershock,106,4.71820000,45.54119015,0
Aftershock,107,7.38200000,42.07216547,4
Aftershock,108,3.58180000,42.94182111,0
Aftershock,109,3.34360000,42.20189569,0
Aftershock,110,8.95140000,48.28465822,4
Aftershock,111,2.68620000,47.42362281,0
