Map,Query Number,Time,Distance,Path Length
ArcticStation,0,2.12820000,6.40312424,0
ArcticStation,1,0.87240000,5.38516481,0
ArcticStation,2,1.04180000,4.00000000,0
ArcticStation,3,11.13020000,6.40312424,0
ArcticStation,4,4.75800000,6.32455532,0
ArcticStation,5,0.95040000,6.32455532,0
ArcticStation,6,5.99660000,5.38516481,0
ArcticStation,7,1.31860000,7.21110255,0
ArcticStation,8,0.65320000,7.28010989,0
ArcticStation,9,4.61260000,6.32455532,0
ArcticStation,10,0.89220000,10.00000000,0
ArcticStation,11,0.94120000,10.63014581,0
ArcticStation,12,1.35700000,10.19803903,0
ArcticStation,13,0.76340000,8.54400375,0
ArcticStation,14,3.42200000,9.21954446,0
ArcticStation,15,1.13340000,10.44030651,0
ArcticStation,16,2.99660000,10.04631765,4
ArcticStation,17,3.61980000,9.21954446,0
ArcticStation,18,1.16900000,8.60232527,0
ArcticStation,19,1.24740000,10.44030651,0
ArcticStation,20,1.20400000,12.72792206,0
ArcticStation,21,5.50700000,14.21267040,0
ArcticStation,22,5.42300000,14.14213562,0
ArcticStation,23,0.79220000,13.89244399,0
ArcticStation,24,0.98180000,11.18033989,0
ArcticStation,25,2.41800000,12.64911064,0
ArcticStation,26,2.99760000,12.16552506,0
ArcticStation,27,3.41600000,14.86606875,0
ArcticStation,28,0.84240000,13.34166406,0
ArcticStation,29,2.70080000,13.60147051,0
ArcticStation,30,2.83460000,19.02629759,0
ArcticStation,31,4.21900000,17.69180601,0
ArcticStation,32,3.79620000,17.20465053,0
ArcticStation,33,3.16520000,17.46424920,0
ArcticStation,34,4.42400000,17.49285568,0
ArcticStation,35,2.75020000,17.80449381,0
ArcticStation,36,3.23000000,17.88854382,0
ArcticStation,37,0.66140000,17.08800749,0
ArcticStation,38,4.38680000,17.02938637,0
ArcticStation,39,0.74540000,16.27882060,0
ArcticStation,40,4.14460000,19.41648784,0
ArcticStation,41,2.41940000,21.26029163,0
ArcticStation,42,1.77260000,21.00000000,0
ArcticStation,43,1.10280000,21.02379604,0
ArcticStation,44,2.24840000,21.40093456,0
ArcticStation,45,2.19600000,20.51828453,0
ArcticStation,46,0.70660000,19.31320792,0
ArcticStation,47,4.64360000,22.09072203,0
ArcticStation,48,0.81380000,20.39607805,0
ArcticStation,49,0.90620000,20.00000000,0
ArcticStation,50,1.04320000,25.31797780,0
ArcticStation,51,5.26100000,23.53720459,0
ArcticStation,52,1.01180000,24.59674775,0
ArcticStation,53,0.91720000,26.07680962,0
ArcticStation,54,4.81040000,25.55386468,0
ArcticStation,55,3.84560000,22.36067977,0
ArcticStation,56,5.60360000,23.08679276,0
ArcticStation,57,3.06200000,25.00000000,0
ArcticStation,58,3.82240000,24.00000000,0
ArcticStation,59,5.23900000,26.00000000,0
ArcticStation,60,7.47280000,26.03702244,8
ArcticStation,61,3.22500000,27.20294102,0
ArcticStation,62,3.67360000,28.16025568,0
ArcticStation,63,3.24040000,29.61418579,0
ArcticStation,64,1.10980000,31.14482300,0
ArcticStation,65,0.70440000,30.14962686,0
ArcticStation,66,0.51320000,27.29468813,0
ArcticStation,67,0.78480000,28.86173938,0
ArcticStation,68,4.66120000,28.01785145,0
ArcticStation,69,0.87240000,29.15475947,0
ArcticStation,70,1.16120000,30.87069808,0
ArcticStation,71,4.49200000,30.41381265,0
ArcticStation,72,3.23040000,34.13209633,0
ArcticStation,73,4.99860000,32.80243893,0
ArcticStation,74,2.94580000,33.60059523,0
ArcticStation,75,5.11900000,33.94112550,0
ArcticStation,76,0.68520000,30.41381265,0
ArcticStation,77,1.86580000,32.75667871,0
ArcticStation,78,4.21120000,32.69556545,0
ArcticStation,79,0.52880000,34.00000000,0
ArcticStation,80,0.86580000,35.90264614,0
ArcticStation,81,3.96200000,36.79673899,0
ArcticStation,82,2.35480000,35.34119409,0
ArcticStation,83,0.82100000,36.68787266,0
ArcticStation,84,4.38540000,35.44009029,0
ArcticStation,85,3.39540000,36.76955262,0
ArcticStation,86,7.82700000,35.89822181,5
ArcticStation,87,7.95140000,34.43835072,0
ArcticStation,88,0.88380000,34.48187930,0
ArcticStation,89,9.71860000,36.31218533,7
ArcticStation,90,8.25560000,40.84971769,4
ArcticStation,91,3.29780000,40.02499219,0
ArcticStation,92,4.95560000,40.24922359,0
ArcticStation,93,5.96240000,41.10972487,4
ArcticStation,94,7.37620000,38.89969179,4
ArcticStation,95,4.73860000,39.11521443,0
ArcticStation,96,2.56320000,39.35733731,0
ArcticStation,97,4.73000000,42.52058325,0
ArcticStation,98,0.86700000,39.29376541,0
ArcticStation,99,6.15880000,42.01190308,0
ArcticStation,100,8.10400000,43.48481100,6
ArcticStation,101,0.78540000,47.01063709,0
ArcticStation,102,3.06360000,42.48529157,0
ArcticStation,103,0.89760000,47.01063709,0
ArcticStation,104,5.04180000,44.55333882,0
ArcticStation,105,2.82440000,43.73785546,0
ArcticStation,106,2.57380000,42.72001873,0
ArcticStation,107,3.89780000,44.64302857,0
ArcticStation,108,3.59320000,43.41658669,0
ArcticStation,109,3.87900000,44.60995791,4
ArcticStation,110,7.82000000,46.32201732,4
ArcticStation,111,7.75560000,49.16299421,0
ArcticStation,112,0.81700000,46.48655720,0
ArcticStation,113,3.23320000,49.36598019,0
ArcticStation,114,7.34920000,48.96149062,4
ArcticStation,115,3.97140000,48.27007354,0
ArcticStation,116,7.95440000,46.87686229,4
ArcticStation,117,0.85080000,47.85394446,0
ArcticStation,118,5.65440000,48.01041554,0
ArcticStation,119,4.75060000,47.07440918,0
ArcticStation,120,4.20180000,49.40647731,0
ArcticStation,121,13.92100000,50.44799302,0
ArcticStation,122,5.53020000,52.77309921,0
ArcticStation,123,3.80080000,51.03920062,0
ArcticStation,124,2.81160000,50.99019514,0
ArcticStation,125,5.40960000,51.98850012,4
ArcticStation,126,8.62780000,52.17278984,0
ArcticStation,127,4.04500000,49.03060269,0
ArcticStation,128,4.92080000,52.00961450,0
ArcticStation,129,0.85500000,48.46648326,0
ArcticStation,130,1.17000000,55.22680509,0
ArcticStation,131,4.35760000,53.25410782,0
ArcticStation,132,4.40180000,55.22680509,0
ArcticStation,133,3.10560000,54.12947441,0
ArcticStation,134,6.00260000,55.23833811,4
ArcticStation,135,3.51760000,53.60037313,0
ArcticStation,136,3.38580000,52.35456045,0
ArcticStation,137,9.70240000,55.03635162,0
ArcticStation,138,4.20700000,54.70831747,0
ArcticStation,139,0.69280000,55.57877293,0
ArcticStation,140,3.95880000,59.03388857,0
ArcticStation,141,3.97980000,60.10823571,0
ArcticStation,142,3.03440000,59.53990259,0
ArcticStation,143,0.66820000,61.07372594,0
ArcticStation,144,3.88500000,61.61980201,0
ArcticStation,145,3.54540000,55.65968020,0
ArcticStation,146,3.88260000,56.92099788,0
ArcticStation,147,2.98180000,59.66573556,0
ArcticStation,148,10.51900000,59.29970511,4
ArcticStation,149,0.64120000,57.00877125,0
ArcticStation,150,4.29160000,61.40032573,0
ArcticStation,151,7.13500000,62.93697871,4
ArcticStation,152,10.99920000,60.92624729,6
ArcticStation,153,3.38260000,63.06346010,0
ArcticStation,154,6.46760000,63.28506933,0
ArcticStation,155,6.71720000,63.12685641,0
ArcticStation,156,7.90300000,60.74537019,0
ArcticStation,157,0.76380000,63.28506933,0
ArcticStation,158,6.82860000,59.83310476,8
ArcticStation,159,3.78220000,62.36986452,0
ArcticStation,160,0.86440000,65.14598990,0
ArcticStation,161,6.10600000,66.18912297,0
ArcticStation,162,6.02460000,70.11419257,0
ArcticStation,163,3.21520000,70.00714249,0
ArcticStation,164,4.35560000,64.88451279,0
ArcticStation,165,0.60500000,64.84597135,0
ArcticStation,166,4.00520000,67.26812024,0
ArcticStation,167,5.85940000,64.93843238,0
ArcticStation,168,2.33500000,65.00000000,0
ArcticStation,169,6.67740000,69.80997805,4
ArcticStation,170,6.00940000,68.81860214,0
ArcticStation,171,2.36460000,69.12307864,0
ArcticStation,172,14.78000000,67.64543889,9
ArcticStation,173,4.83860000,69.72087205,0
ArcticStation,174,3.69560000,71.06335202,0
ArcticStation,175,4.56200000,73.00684899,0
ArcticStation,176,3.03780000,72.00694411,0
ArcticStation,177,4.13980000,69.07966416,0
ArcticStation,178,3.66860000,71.02112362,0
ArcticStation,179,5.56080000,72.47068373,0
ArcticStation,180,3.23500000,75.42545989,0
ArcticStation,181,3.33340000,73.16419890,0
ArcticStation,182,7.04800000,74.33500703,4
ArcticStation,183,6.92300000,75.42545989,0
ArcticStation,184,5.41100000,70.71067812,0
ArcticStation,185,9.09560000,74.63243263,0
ArcticStation,186,0.77620000,73.40980861,0
ArcticStation,187,5.19140000,78.00000000,0
ArcticStation,188,8.27780000,73.61572104,9
ArcticStation,189,4.11800000,74.00000000,0
ArcticStation,190,8.78380000,76.69419796,0
ArcticStation,191,4.26060000,81.30190650,0
ArcticStation,192,13.36000000,75.96773978,7
ArcticStation,193,5.71520000,79.93122043,0
ArcticStation,194,5.42440000,77.10382610,0
ArcticStation,195,3.13800000,76.15773106,0
ArcticStation,196,6.90020000,76.53757247,0
ArcticStation,197,4.44320000,78.40918314,0
ArcticStation,198,6.48500000,78.77182237,0
ArcticStation,199,4.39940000,80.50465825,0
ArcticStation,200,2.81620000,78.84795495,0
ArcticStation,201,3.20300000,84.48076704,0
ArcticStation,202,4.57280000,84.05355436,0
ArcticStation,203,9.11140000,80.95677859,0
ArcticStation,204,4.07640000,78.89233169,0
ArcticStation,205,2.45200000,83.05419917,0
ArcticStation,206,19.04340000,82.75217044,6
ArcticStation,207,3.26620000,78.26237921,0
ArcticStation,208,1.93440000,79.07591289,0
ArcticStation,209,7.87940000,83.09632964,0
ArcticStation,210,5.88780000,84.60885000,4
ArcticStation,211,31.63480000,84.25281300,4
ArcticStation,212,21.50060000,84.49514845,4
ArcticStation,213,8.47640000,82.00609733,0
ArcticStation,214,3.40080000,81.85963596,0
ArcticStation,215,28.19440000,82.77008396,7
ArcticStation,216,0.93300000,83.54639430,0
ArcticStation,217,11.84260000,83.88495129,7
ArcticStation,218,6.86280000,86.97700846,0
ArcticStation,219,13.77440000,85.33107618,9
ArcticStation,220,9.30160000,88.05966219,4
ArcticStation,221,3.05940000,88.28363382,0
ArcticStation,222,4.75240000,90.25519376,0
ArcticStation,223,10.96060000,88.67158444,7
ArcticStation,224,4.13140000,89.06739022,0
ArcticStation,225,4.81520000,90.00000000,0
ArcticStation,226,6.57120000,93.08598176,0
ArcticStation,227,6.27620000,85.23496935,0
ArcticStation,228,5.78900000,87.37067644,10
ArcticStation,229,5.51060000,88.81441324,0
ArcticStation,230,7.48340000,89.00000000,0
ArcticStation,231,0.66780000,98.99494937,0
ArcticStation,232,22.53460000,92.28147743,5
ArcticStation,233,7.50360000,95.67131231,0
ArcticStation,234,14.28680000,91.82113421,4
ArcticStation,235,5.18280000,88.86506625,0
ArcticStation,236,4.63440000,90.41859823,4
ArcticStation,237,13.12900000,93.53486241,8
ArcticStation,238,6.85480000,90.47651629,0
ArcticStation,239,18.38220000,91.45441965,21
ArcticStation,240,3.61140000,94.84724561,0
ArcticStation,241,12.10640000,96.27062669,4
ArcticStation,242,5.25700000,95.81202405,4
ArcticStation,243,9.81800000,100.49875621,0
ArcticStation,244,5.87920000,100.17983829,0
ArcticStation,245,3.76940000,94.84724561,0
ArcticStation,246,4.05240000,100.31948963,0
ArcticStation,247,4.74740000,92.65527508,0
ArcticStation,248,13.50320000,98.08376782,4
ArcticStation,249,9.18020000,95.80198236,4
ArcticStation,250,5.22420000,97.16995420,0
ArcticStation,251,10.39520000,102.83235049,4
ArcticStation,252,4.12700000,101.11874208,0
ArcticStation,253,4.44280000,100.28459503,0
ArcticStation,254,6.59560000,101.53324579,0
ArcticStation,255,1.91480000,97.12363255,0
ArcticStation,256,5.12940000,98.23441352,0
ArcticStation,257,12.45340000,101.49599148,4
ArcticStation,258,0.85460000,99.29753270,0
ArcticStation,259,9.45620000,101.43836917,4
ArcticStation,260,10.70460000,104.33563820,4
ArcticStation,261,9.33120000,105.40229003,4
ArcticStation,262,14.67400000,103.13391814,10
ArcticStation,263,17.53620000,101.88515573,4
ArcticStation,264,5.66060000,104.44615838,0
ArcticStation,265,9.32720000,101.51354589,0
ArcticStation,266,29.29120000,102.82521887,7
ArcticStation,267,13.92680000,107.69386646,4
ArcticStation,268,6.12560000,106.30145813,0
ArcticStation,269,15.09660000,101.46285639,6
ArcticStation,270,14.94760000,113.28557695,5
ArcticStation,271,4.01780000,106.94391053,0
ArcticStation,272,11.79680000,107.47541894,6
ArcticStation,273,12.55200000,109.49361228,4
ArcticStation,274,9.55640000,108.46207879,4
ArcticStation,275,9.23120000,107.44766168,0
ArcticStation,276,2.94020000,108.67382390,0
ArcticStation,277,3.88160000,113.15917992,0
ArcticStation,278,7.08360000,110.20889256,0
ArcticStation,279,11.31180000,110.15508063,5
ArcticStation,280,4.26700000,110.47624179,0
ArcticStation,281,5.15140000,117.51595636,0
ArcticStation,282,8.69420000,116.06894503,0
ArcticStation,283,9.77360000,110.98198052,0
ArcticStation,284,11.67760000,109.71304203,4
ArcticStation,285,6.52920000,108.16653826,0
ArcticStation,286,15.15820000,115.70815608,4
ArcticStation,287,19.87520000,109.07383266,5
ArcticStation,288,15.49840000,109.64520564,8
ArcticStation,289,10.40560000,110.77249200,4
ArcticStation,290,4.39720000,112.27199116,0
ArcticStation,291,9.19220000,113.31813624,0
ArcticStation,292,25.27280000,113.55253559,9
ArcticStation,293,8.77960000,114.54693361,0
ArcticStation,294,2.52940000,112.29425631,0
ArcticStation,295,8.95760000,113.46365057,0
ArcticStation,296,11.72840000,116.40017182,0
ArcticStation,297,5.12860000,114.98260738,0
ArcticStation,298,7.06960000,112.53888217,0
ArcticStation,299,4.45580000,112.80514173,0
ArcticStation,300,3.27620000,117.68602296,0
ArcticStation,301,8.79560000,117.21867536,4
ArcticStation,302,43.61600000,115.61007003,7
ArcticStation,303,8.35180000,114.76933388,0
ArcticStation,304,5.58180000,116.24543002,0
ArcticStation,305,20.42980000,117.33120980,8
ArcticStation,306,4.12180000,123.10158407,0
ArcticStation,307,8.25920000,125.17587627,0
ArcticStation,308,14.61840000,126.09175083,6
ArcticStation,309,10.94460000,123.48287442,12
ArcticStation,310,6.38440000,119.40686747,0
ArcticStation,311,7.84060000,122.78436383,0
ArcticStation,312,19.18520000,121.26845473,5
ArcticStation,313,6.17860000,119.36917525,0
ArcticStation,314,4.22980000,125.20782723,0
ArcticStation,315,5.28460000,121.24768039,0
ArcticStation,316,13.26960000,122.18653707,11
ArcticStation,317,38.68580000,124.31329758,20
ArcticStation,318,41.46100000,121.01413969,9
ArcticStation,319,5.86000000,122.48265183,0
ArcticStation,320,5.42660000,124.08464853,0
ArcticStation,321,20.64180000,124.07226738,19
ArcticStation,322,7.77520000,125.60254774,0
ArcticStation,323,22.17680000,126.30621996,10
ArcticStation,324,6.71580000,124.82387592,0
ArcticStation,325,25.07000000,125.98977865,12
ArcticStation,326,5.51840000,131.24404748,0
ArcticStation,327,3.30880000,131.24404748,0
ArcticStation,328,20.50180000,129.20671028,7
