Map,Query Number,Time,Distance,Path Length
Backwoods,0,1.57240000,7.00000000,0
Backwoods,1,1.15900000,6.40312424,0
Backwoods,2,0.72320000,7.00000000,0
Backwoods,3,1.75940000,6.32455532,0
Backwoods,4,4.01960000,7.07106781,0
Backwoods,5,0.47540000,5.38516481,0
Backwoods,6,0.75740000,6.08276253,0
Backwoods,7,1.01880000,7.07106781,0
Backwoods,8,4.92880000,4.47213595,0
Backwoods,9,0.80580000,6.70820393,0
Backwoods,10,1.04000000,11.40175425,0
Backwoods,11,0.77140000,8.54400375,0
Backwoods,12,6.55020000,8.82842712,5
Backwoods,13,1.37480000,10.00000000,0
Backwoods,14,1.42960000,10.19803903,0
Backwoods,15,2.73960000,8.94427191,0
Backwoods,16,1.35380000,8.06225775,0
Backwoods,17,2.57320000,10.44030651,0
Backwoods,18,1.96240000,7.61577311,0
Backwoods,19,4.41800000,7.00000000,0
Backwoods,20,3.82960000,14.86606875,0
Backwoods,21,0.92280000,13.92838828,0
Backwoods,22,3.63940000,14.42220510,0
Backwoods,23,3.83460000,13.15294644,0
Backwoods,24,2.17660000,11.66190379,0
Backwoods,25,0.51980000,15.00000000,0
Backwoods,26,2.15100000,12.04159458,0
Backwoods,27,2.15760000,12.04159458,0
Backwoods,28,4.72060000,13.64911064,4
Backwoods,29,2.43620000,13.92838828,0
Backwoods,30,2.29200000,18.38477631,0
Backwoods,31,7.46800000,17.72004515,0
Backwoods,32,4.71980000,16.12451550,0
Backwoods,33,3.24900000,16.97056275,0
Backwoods,34,0.83840000,19.02629759,0
Backwoods,35,6.35780000,17.54659718,4
Backwoods,36,0.61800000,18.60107524,0
Backwoods,37,3.40020000,15.62049935,0
Backwoods,38,0.79540000,17.88854382,0
Backwoods,39,0.69140000,16.27882060,0
Backwoods,40,4.96240000,21.95449840,0
Backwoods,41,3.43040000,21.93171220,0
Backwoods,42,1.03700000,22.47220505,0
Backwoods,43,4.01140000,20.80865205,0
Backwoods,44,6.96560000,18.97366596,0
Backwoods,45,0.88920000,23.02172887,0
Backwoods,46,3.87700000,20.24845673,0
Backwoods,47,0.68020000,21.09502311,0
Backwoods,48,1.96600000,21.37755833,0
Backwoods,49,4.94960000,23.00000000,0
Backwoods,50,1.06400000,23.76972865,0
Backwoods,51,0.69140000,24.41311123,0
Backwoods,52,0.65740000,23.08679276,0
Backwoods,53,9.86020000,26.17513878,4
Backwoods,54,2.07440000,24.33105012,0
Backwoods,55,9.30320000,24.20399269,4
Backwoods,56,1.86980000,24.04163056,0
Backwoods,57,5.39260000,23.53720459,0
Backwoods,58,1.04440000,24.18677324,0
Backwoods,59,0.70480000,24.04163056,0
Backwoods,60,0.58640000,27.29468813,0
Backwoods,61,1.93460000,29.61418579,0
Backwoods,62,7.49360000,28.00000000,0
Backwoods,63,5.52240000,29.06888371,0
Backwoods,64,0.56960000,28.30194340,0
Backwoods,65,3.18900000,28.23118843,0
Backwoods,66,0.48720000,26.92582404,0
Backwoods,67,0.73620000,28.16025568,0
Backwoods,68,0.62160000,27.31300057,0
Backwoods,69,3.58900000,30.00000000,0
Backwoods,70,8.90200000,32.66204588,4
Backwoods,71,6.37260000,32.57362574,5
Backwoods,72,0.77760000,35.05709629,0
Backwoods,73,0.79740000,31.06444913,0
Backwoods,74,2.77440000,34.13209633,0
Backwoods,75,4.05900000,33.01514804,0
Backwoods,76,0.60140000,31.01612484,0
Backwoods,77,0.52280000,31.38470965,0
Backwoods,78,5.17700000,34.05877273,0
Backwoods,79,8.35360000,33.01514804,0
Backwoods,80,2.84460000,36.40054945,0
Backwoods,81,5.71760000,36.68787266,0
Backwoods,82,0.85880000,34.17601498,0
Backwoods,83,0.47940000,34.98571137,0
Backwoods,84,2.81860000,36.40054945,0
Backwoods,85,5.24160000,34.01470270,0
Backwoods,86,0.60580000,37.48332963,0
Backwoods,87,3.08720000,35.46829570,0
Backwoods,88,8.33560000,37.33630941,0
Backwoods,89,0.81800000,37.12142239,0
Backwoods,90,6.05360000,37.57658846,0
Backwoods,91,3.27980000,40.26164428,0
Backwoods,92,4.06460000,41.59326869,0
Backwoods,93,0.66980000,40.24922359,0
Backwoods,94,2.73780000,41.43669871,0
Backwoods,95,4.47580000,40.16217126,0
Backwoods,96,0.59120000,43.13930922,0
Backwoods,97,2.63900000,37.94733192,0
Backwoods,98,7.22320000,37.23407613,4
Backwoods,99,0.58240000,37.33630941,0
Backwoods,100,2.01640000,46.04345773,0
Backwoods,101,5.79320000,42.44997055,0
Backwoods,102,2.49340000,41.62931659,0
Backwoods,103,7.78220000,41.33876717,4
Backwoods,104,1.76420000,41.59326869,0
Backwoods,105,11.24860000,42.51820321,6
Backwoods,106,0.74420000,40.71854614,0
Backwoods,107,1.43400000,46.09772229,0
Backwoods,108,0.56100000,43.73785546,0
Backwoods,109,3.55920000,44.00000000,0
Backwoods,110,0.65760000,46.52956050,0
Backwoods,111,9.28420000,47.71516781,6
Backwoods,112,2.29500000,46.09772229,0
Backwoods,113,2.70580000,44.38468204,0
Backwoods,114,0.73780000,48.01041554,0
Backwoods,115,2.82640000,47.42362281,0
Backwoods,116,0.50420000,47.67598976,0
Backwoods,117,0.54080000,47.16990566,0
Backwoods,118,0.51940000,48.83646179,0
Backwoods,119,2.73380000,50.91168825,0
Backwoods,120,0.56800000,50.48762225,0
Backwoods,121,0.55620000,49.73932046,0
Backwoods,122,0.90260000,50.00000000,0
Backwoods,123,5.37860000,51.88448708,0
Backwoods,124,5.98180000,50.21951812,0
Backwoods,125,3.98780000,48.84669897,0
Backwoods,126,4.65840000,53.46026562,0
Backwoods,127,0.57180000,48.38388161,0
Backwoods,128,4.55020000,52.00961450,0
Backwoods,129,0.56100000,51.62363800,0
Backwoods,130,16.31380000,55.13289653,4
Backwoods,131,8.84660000,54.46453589,4
Backwoods,132,3.21860000,53.93514624,0
Backwoods,133,0.77380000,56.32051136,0
Backwoods,134,7.76800000,55.07267925,0
Backwoods,135,4.17300000,55.08175742,0
Backwoods,136,17.78500000,52.68529342,8
Backwoods,137,0.61260000,55.14526272,0
Backwoods,138,8.80620000,53.49890750,5
Backwoods,139,6.46400000,56.00000000,0
Backwoods,140,0.69120000,55.71355311,0
Backwoods,141,12.05000000,60.76933039,6
Backwoods,142,6.64460000,59.04284588,4
Backwoods,143,3.02320000,61.52235366,0
Backwoods,144,1.99300000,58.79625838,0
Backwoods,145,11.29660000,59.05103797,6
Backwoods,146,16.40480000,58.76371334,11
Backwoods,147,3.16260000,59.07622195,0
Backwoods,148,8.02720000,57.39603086,18
Backwoods,149,4.74840000,63.00793601,0
Backwoods,150,2.83780000,60.92618485,0
Backwoods,151,2.17640000,62.48199741,0
Backwoods,152,0.78500000,62.64982043,0
Backwoods,153,10.74940000,62.89752473,4
Backwoods,154,1.91840000,60.40695324,0
Backwoods,155,7.02640000,61.29798393,4
Backwoods,156,17.36460000,60.66990396,11
Backwoods,157,14.65660000,61.78343491,9
Backwoods,158,9.84140000,60.96119791,4
Backwoods,159,3.28320000,65.27633568,0
Backwoods,160,14.74220000,64.91136648,8
Backwoods,161,4.07420000,69.06518660,0
Backwoods,162,6.97920000,67.28725368,4
Backwoods,163,1.77000000,66.49060084,0
Backwoods,164,34.78460000,65.88021708,9
Backwoods,165,7.07480000,65.89394771,5
Backwoods,166,22.09780000,64.97578956,7
Backwoods,167,4.23180000,66.40783086,0
Backwoods,168,15.26620000,66.52764026,4
Backwoods,169,6.36860000,66.49060084,0
Backwoods,170,14.50180000,73.02739212,0
Backwoods,171,0.76280000,67.23094526,0
Backwoods,172,2.66540000,72.00694411,0
Backwoods,173,13.75480000,68.25014285,22
Backwoods,174,14.68720000,70.97716471,9
Backwoods,175,2.73500000,71.11258679,0
Backwoods,176,2.25100000,73.55270219,0
Backwoods,177,16.06220000,70.08609026,7
Backwoods,178,13.39200000,70.92995093,4
Backwoods,179,2.17620000,68.09552114,0
Backwoods,180,2.55520000,75.66372975,0
Backwoods,181,6.47680000,71.69379332,0
Backwoods,182,5.79080000,73.24616031,0
Backwoods,183,3.29640000,77.15568676,0
Backwoods,184,9.95700000,73.68174808,0
Backwoods,185,2.77280000,74.06078585,0
Backwoods,186,3.31660000,74.00000000,0
Backwoods,187,14.79680000,69.69860516,15
Backwoods,188,15.27660000,69.64912043,8
Backwoods,189,7.35080000,73.21964155,7
Backwoods,190,0.50320000,75.58438992,0
Backwoods,191,18.98800000,76.44161722,6
Backwoods,192,6.51920000,78.49533425,5
Backwoods,193,0.61220000,74.95331881,0
Backwoods,194,16.80380000,76.97077664,4
Backwoods,195,11.53580000,78.55887008,4
Backwoods,196,0.91560000,76.11832894,0
Backwoods,197,0.65780000,73.92563831,0
Backwoods,198,5.05340000,77.87810989,0
Backwoods,199,4.03380000,76.65507159,0
Backwoods,200,3.53340000,77.82030583,0
Backwoods,201,10.13660000,82.87946265,4
Backwoods,202,2.40520000,86.97700846,0
Backwoods,203,9.22100000,79.90859742,7
Backwoods,204,16.91220000,80.33898097,18
Backwoods,205,4.79160000,79.70570870,0
Backwoods,206,5.91400000,84.90290676,4
Backwoods,207,5.75260000,80.31347266,5
Backwoods,208,2.78120000,80.52949770,0
Backwoods,209,5.39300000,78.92401409,0
Backwoods,210,1.90760000,82.85529555,0
Backwoods,211,12.04180000,83.31153722,4
Backwoods,212,6.20040000,88.11933974,4
Backwoods,213,6.71360000,86.74350127,4
Backwoods,214,11.19960000,85.65853118,6
Backwoods,215,4.20040000,83.93449827,0
Backwoods,216,9.66800000,86.20415717,4
Backwoods,217,17.06660000,85.81877030,18
Backwoods,218,4.66100000,88.45903006,0
Backwoods,219,9.86400000,84.83538680,10
Backwoods,220,12.68160000,85.88089612,10
Backwoods,221,4.39840000,87.47571091,0
Backwoods,222,7.70920000,85.72630868,0
Backwoods,223,9.65560000,88.82108403,4
Backwoods,224,2.96540000,86.00581376,0
Backwoods,225,11.79820000,87.50888873,4
Backwoods,226,5.58520000,89.35882721,0
Backwoods,227,3.43900000,86.82165628,0
Backwoods,228,13.57980000,87.16461638,4
Backwoods,229,14.01540000,87.56032652,5
Backwoods,230,9.94100000,89.55398271,18
Backwoods,231,8.75040000,94.63250670,5
Backwoods,232,17.12740000,90.48553911,10
Backwoods,233,7.26820000,91.17095208,4
Backwoods,234,2.82900000,92.64987858,0
Backwoods,235,2.44180000,90.42676595,0
Backwoods,236,18.05880000,91.85344097,9
Backwoods,237,7.21300000,91.44397192,0
Backwoods,238,8.26240000,95.04735662,0
Backwoods,239,13.75500000,92.14815497,6
Backwoods,240,9.53780000,98.69670765,8
Backwoods,241,7.29580000,95.43596481,6
Backwoods,242,5.36640000,94.37160590,0
Backwoods,243,22.98580000,95.24191399,16
Backwoods,244,3.73840000,97.80081799,0
Backwoods,245,0.75800000,96.15092303,0
Backwoods,246,0.56240000,101.24228366,0
Backwoods,247,4.35300000,98.61541462,0
Backwoods,248,8.86160000,94.89048682,8
Backwoods,249,16.93780000,96.07370468,7
Backwoods,250,5.91660000,100.07891459,4
Backwoods,251,2.63980000,99.72462083,0
Backwoods,252,19.47540000,97.56904131,11
Backwoods,253,0.74620000,99.04039580,0
Backwoods,254,26.89680000,98.25559000,5
Backwoods,255,29.93680000,102.27835491,7
Backwoods,256,22.32840000,98.52538765,6
Backwoods,257,4.53080000,96.56603958,0
Backwoods,258,14.22620000,99.79716586,5
Backwoods,259,19.41840000,98.88371030,7
Backwoods,260,3.16240000,106.83164325,0
Backwoods,261,13.29240000,103.11510483,4
Backwoods,262,9.28040000,106.27869359,4
Backwoods,263,9.12420000,104.10091258,0
Backwoods,264,3.70560000,102.18121158,0
Backwoods,265,12.31640000,103.94422019,5
Backwoods,266,17.01940000,104.60074074,9
Backwoods,267,0.71680000,101.54801820,0
Backwoods,268,11.52420000,101.72592499,5
Backwoods,269,10.88220000,107.86948291,11
Backwoods,270,7.46000000,112.53888217,0
Backwoods,271,43.63540000,108.94404109,9
Backwoods,272,25.29160000,109.90752310,9
Backwoods,273,36.73540000,107.94235156,12
Backwoods,274,5.42060000,108.46658472,0
Backwoods,275,12.91360000,111.30366027,6
Backwoods,276,21.58640000,106.70176907,8
Backwoods,277,9.76560000,108.39287828,5
Backwoods,278,6.14980000,106.28264204,0
Backwoods,279,20.36840000,107.52813772,4
Backwoods,280,47.62300000,109.29274444,8
Backwoods,281,12.31920000,110.80297728,6
