Map,Query Number,Time,Distance,Path Length
BigGameHunters,0,1.41720000,5.09901951,0
BigGameHunters,1,1.07400000,5.00000000,0
BigGameHunters,2,0.59600000,6.00000000,0
BigGameHunters,3,0.81180000,5.09901951,0
BigGameHunters,4,0.51380000,7.07106781,0
BigGameHunters,5,0.85180000,5.09901951,0
BigGameHunters,6,0.79400000,7.07106781,0
BigGameHunters,7,0.52040000,4.00000000,0
BigGameHunters,8,0.61700000,5.00000000,0
BigGameHunters,9,2.85840000,6.40312424,0
BigGameHunters,10,0.80760000,8.00000000,0
BigGameHunters,11,0.80500000,9.43398113,0
BigGameHunters,12,0.55200000,10.63014581,0
BigGameHunters,13,3.88360000,11.04536102,0
BigGameHunters,14,0.85400000,8.94427191,0
BigGameHunters,15,2.21080000,10.63014581,0
BigGameHunters,16,0.80900000,7.81024968,0
BigGameHunters,17,0.51480000,8.54400375,0
BigGameHunters,18,3.33620000,9.21954446,0
BigGameHunters,19,0.66680000,10.44030651,0
BigGameHunters,20,3.02320000,13.60147051,0
BigGameHunters,21,0.65740000,14.31782106,0
BigGameHunters,22,0.61780000,13.60147051,0
BigGameHunters,23,6.17840000,12.72792206,0
BigGameHunters,24,0.64060000,14.42220510,0
BigGameHunters,25,0.65260000,13.45362405,0
BigGameHunters,26,3.92080000,14.53312704,4
BigGameHunters,27,0.61380000,11.40175425,0
BigGameHunters,28,0.70020000,12.16552506,0
BigGameHunters,29,0.64080000,13.15294644,0
BigGameHunters,30,2.83160000,16.76305461,0
BigGameHunters,31,0.67440000,18.00000000,0
BigGameHunters,32,0.52720000,19.00000000,0
BigGameHunters,33,0.68320000,15.81138830,0
BigGameHunters,34,0.53340000,17.00000000,0
BigGameHunters,35,4.53020000,18.02775638,0
BigGameHunters,36,2.80560000,17.80449381,0
BigGameHunters,37,0.58840000,15.23154621,0
BigGameHunters,38,2.89620000,17.00000000,0
BigGameHunters,39,0.70980000,16.40121947,0
BigGameHunters,40,0.73560000,18.86796226,0
BigGameHunters,41,7.22120000,21.59378012,4
BigGameHunters,42,0.68320000,22.20360331,0
BigGameHunters,43,0.39300000,19.41648784,0
BigGameHunters,44,0.46920000,20.39607805,0
BigGameHunters,45,2.18260000,21.93171220,0
BigGameHunters,46,4.45740000,22.02271555,0
BigGameHunters,47,1.08680000,22.02271555,0
BigGameHunters,48,0.64940000,21.93171220,0
BigGameHunters,49,0.46220000,20.80865205,0
BigGameHunters,50,0.57000000,26.87005769,0
BigGameHunters,51,0.64220000,26.30589288,0
BigGameHunters,52,0.86080000,25.70992026,0
BigGameHunters,53,0.57720000,22.84731932,0
BigGameHunters,54,0.67440000,24.73863375,0
BigGameHunters,55,2.68160000,23.32380758,0
BigGameHunters,56,3.66800000,23.53720459,0
BigGameHunters,57,0.66380000,23.19482701,0
BigGameHunters,58,0.58980000,23.32380758,0
BigGameHunters,59,2.25300000,25.94224354,0
BigGameHunters,60,0.76680000,28.31960452,0
BigGameHunters,61,3.14920000,27.73084925,0
BigGameHunters,62,2.39180000,28.00000000,0
