Map,Query Number,Time,Distance,Path Length
BrokenSteppes,0,1.55800000,7.21110255,0
BrokenSteppes,1,1.19320000,4.12310563,0
BrokenSteppes,2,0.90900000,4.24264069,0
BrokenSteppes,3,0.84080000,7.28010989,0
BrokenSteppes,4,5.40240000,5.00000000,0
BrokenSteppes,5,2.88500000,5.09901951,0
BrokenSteppes,6,2.60760000,6.08276253,0
BrokenSteppes,7,1.05300000,5.83095189,0
BrokenSteppes,8,0.62800000,5.38516481,0
BrokenSteppes,9,1.21580000,7.07106781,0
BrokenSteppes,10,0.68280000,9.84885780,0
BrokenSteppes,11,1.12580000,9.43398113,0
BrokenSteppes,12,0.70020000,10.81665383,0
BrokenSteppes,13,2.97560000,11.18033989,0
BrokenSteppes,14,0.40580000,11.00000000,0
BrokenSteppes,15,1.02740000,10.77032961,0
BrokenSteppes,16,1.19680000,8.24621125,0
BrokenSteppes,17,2.79000000,10.81665383,0
BrokenSteppes,18,2.02000000,10.19803903,0
BrokenSteppes,19,1.04040000,9.05538514,0
BrokenSteppes,20,2.56400000,11.18033989,0
BrokenSteppes,21,0.79940000,12.08304597,0
BrokenSteppes,22,0.70360000,13.15294644,0
BrokenSteppes,23,3.17780000,13.34166406,0
BrokenSteppes,24,1.09140000,11.70469991,0
BrokenSteppes,25,2.27220000,15.55634919,0
BrokenSteppes,26,2.16200000,13.60147051,0
BrokenSteppes,27,3.93160000,13.00000000,0
BrokenSteppes,28,1.07780000,13.03840481,0
BrokenSteppes,29,0.91660000,12.08304597,0
BrokenSteppes,30,1.80580000,17.08800749,0
BrokenSteppes,31,0.82720000,15.23154621,0
BrokenSteppes,32,0.71480000,15.81138830,0
BrokenSteppes,33,4.29860000,17.46424920,0
BrokenSteppes,34,5.32180000,16.49242250,0
BrokenSteppes,35,1.10840000,19.00000000,0
BrokenSteppes,36,0.78940000,18.02775638,0
BrokenSteppes,37,1.01180000,16.27882060,0
BrokenSteppes,38,0.59140000,18.02775638,0
BrokenSteppes,39,4.20780000,19.02629759,0
BrokenSteppes,40,2.64600000,21.63330765,0
BrokenSteppes,41,1.05780000,21.02379604,0
BrokenSteppes,42,3.86360000,22.80350850,0
BrokenSteppes,43,3.15460000,21.58703314,0
BrokenSteppes,44,2.74260000,21.00000000,0
BrokenSteppes,45,3.89440000,21.09502311,0
BrokenSteppes,46,1.87700000,21.63330765,0
BrokenSteppes,47,4.21760000,18.78829423,0
BrokenSteppes,48,0.98000000,19.84943324,0
BrokenSteppes,49,0.60080000,21.02379604,0
BrokenSteppes,50,2.31800000,24.08318916,0
BrokenSteppes,51,0.94020000,24.69817807,0
BrokenSteppes,52,4.57140000,24.18677324,0
BrokenSteppes,53,0.81480000,25.07987241,0
BrokenSteppes,54,0.58420000,22.47220505,0
BrokenSteppes,55,7.56120000,25.00000000,0
BrokenSteppes,56,5.20000000,23.76972865,0
BrokenSteppes,57,3.21140000,24.73863375,0
BrokenSteppes,58,2.97720000,23.76972865,0
BrokenSteppes,59,2.09920000,24.69817807,0
BrokenSteppes,60,4.40620000,30.14962686,0
BrokenSteppes,61,0.80120000,27.45906044,0
BrokenSteppes,62,3.86560000,29.15475947,0
BrokenSteppes,63,0.71980000,29.20616373,0
BrokenSteppes,64,6.86420000,30.49145018,5
BrokenSteppes,65,0.58440000,29.83286778,0
BrokenSteppes,66,3.88940000,29.15475947,0
BrokenSteppes,67,2.61180000,26.83281573,0
BrokenSteppes,68,2.48680000,26.62705391,0
BrokenSteppes,69,3.19860000,26.92582404,0
BrokenSteppes,70,4.37680000,34.23448554,0
BrokenSteppes,71,1.19340000,32.80243893,0
BrokenSteppes,72,3.08440000,30.01666204,0
BrokenSteppes,73,4.84440000,33.10589071,0
BrokenSteppes,74,5.93540000,35.05709629,0
BrokenSteppes,75,3.00180000,30.59411708,0
BrokenSteppes,76,0.66640000,31.57530681,0
BrokenSteppes,77,2.14960000,33.13608305,0
BrokenSteppes,78,0.92300000,33.06055051,0
BrokenSteppes,79,2.24180000,31.25699922,0
BrokenSteppes,80,2.16540000,34.40930107,0
BrokenSteppes,81,1.57540000,36.23534186,0
BrokenSteppes,82,2.79080000,36.76955262,0
BrokenSteppes,83,4.25000000,36.87817783,0
BrokenSteppes,84,5.72700000,36.37363667,4
BrokenSteppes,85,0.59220000,37.01351105,0
BrokenSteppes,86,4.39380000,37.01351105,0
BrokenSteppes,87,8.79340000,34.66813299,6
BrokenSteppes,88,6.25220000,37.00000000,0
BrokenSteppes,89,3.49820000,38.00000000,0
BrokenSteppes,90,0.78320000,39.20459157,0
BrokenSteppes,91,6.49940000,38.07886553,0
BrokenSteppes,92,6.58060000,38.27531842,0
BrokenSteppes,93,0.62340000,39.44616585,0
BrokenSteppes,94,2.04920000,37.94733192,0
BrokenSteppes,95,1.09340000,37.73592453,0
